證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 預收貨款,　　　　　　 預收收入／遞延收入,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無形資產,　　　　 無形資產合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 庫藏股票
8150,2015年09月30日,,,,              9662327,,                  2621,,              3895453,,                 70999,,                  5646,,                     14,,              1750980,,                209738,,                 71666,                 14318,                 85984,             15683762,,,                 18544,,                335930,,             14038795,                173440,,                 21831,                 95589,,                 64256,                181676,             14748385,             30432147,,,,,              1339926,,                831408,,              1902416,                 11629,                174131,,                 63379,,,                  8939,,              1548129,                 50040,              1607108,              5929997,,,              4983135,,                              0,,                403074,                483172,                  1758,                888004,              5871139,             11801136,,,,              9163036,              9163036,,              3776082,,                914790,,              5833073,              6747863,,,                115737,,               -537970,               -422233,                633737,             18631011,                              0,             18631011,             30432147,         97000,              0,     20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2015年06月30日,,,,             12805827,,                    951,,              4062888,,                 43896,,                  2516,,                     16,,              1766948,,                218514,,                 74698,                     95,                 74793,             18976349,,,                 18544,,                327623,,             13818057,                172667,,                 21776,                 92481,,                 65553,                179810,             14516701,             33493050,,,,,              1198738,,                838729,,              4085531,                 10936,                371023,,                 70539,,,                 80242,,              1500000,                 35793,              1616035,              8191531,,,              5780000,,,,                413468,                488267,                  1656,                903391,              6683391,             14874922,,,,              9005516,              9005516,,              3406016,,                914790,,              5249602,              6164392,,,,,,                 42204,,             18618128,                              0,             18618128,             33493050,              0,              0,              0,                 77776,                  2466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2015年03月31日,,,,             14294237,,                  1166,,              4187088,,                 56903,,                  2785,,                              0,,              1765019,,                283231,,                102725,                     21,                102746,             20693175,,,                 18544,,                319282,,             13876668,                182046,,                 21857,                 94451,,                 20304,                136612,             14533152,             35226327,,,,,              1258073,,                885391,,              2139246,                 12530,              1002566,,                 26747,,,                 81489,,              1510647,                 38774,              1630910,              6955463,,,              5780000,,                              0,,                428805,                490284,                  1675,                920764,              6700764,             13656227,,,,              8646193,              8646193,,              2318198,,                582927,,              7352701,              7935628,,,,,,                 29132,,             18929151,              2640949,             21570100,             35226327,,              0,              0,                 78988,                  2501,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2014年12月31日,,,,             13311902,,                  2374,,              4815365,,                140277,,                  2865,,                     72,,              1704665,,                262461,,                269398,                              0,                269398,             20509379,,,                217708,,                              0,,             13604115,                178137,,                 21251,                 96006,,                 20517,                137774,             14137734,             34647113,,,,,              1768270,,              1074925,,              2975188,                 11208,                849482,,                 59612,,,                 55615,,              1508153,                 41318,              1605086,              8343771,,,              4560000,,                              0,,                443737,                491758,                  1694,                937189,              5497189,             13840960,,,,              8646193,              8646193,,              2272838,,                582927,,              6646436,              7229363,,,                 36074,,                              0,                 36074,                              0,             18184468,              2621685,             20806153,             34647113,              0,              0,              0,                 53090,                  2525,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2014年09月30日,,,,             11868719,,                  2563,,              4674100,,                 62615,,                  3049,,                     94,,              1708324,,                289613,,                263530,                    108,                263638,             18872715,,,                217708,,                              0,,             12711586,                188581,,                 21072,                 93663,,                 20192,                134927,             13252802,             32125517,,,,,              1260144,,              1089008,,              1805538,                 10784,                643769,,                122584,,,                 58130,,              1662367,                 30629,              1751126,              6682953,,,              4835000,,                              0,,                454877,                484846,                  2186,                941909,              5776909,             12459862,,,,              8646193,              8646193,,              2235339,,                582927,,              5644829,              6227756,,,                 13325,,                              0,                 13325,                              0,             17122613,              2543042,             19665655,             32125517,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2014年06月30日,,,,             11007070,,                  2786,,              4311630,,                 72422,,                  2261,,                    143,,              1578404,,                140076,,                292894,                      6,                292900,             17407692,,,                  8594,,                              0,,             12797198,                193050,,                 21041,                 91947,,                 19953,                132941,             13131783,             30539475,,,,,              1032818,,              1001108,,              3055935,                 21423,                540200,,                 66497,,,                 42776,,              2224997,                 29021,              2296794,              8014775,,,              2957800,,,,                466628,                487518,                  2211,                956357,              3914157,             11928932,,,,              8646193,              8646193,,              2207491,,                582927,,              4710465,              5293392,,,,,,                 -4051,,             16143025,              2467518,             18610543,             30539475,              0,              0,              0,                 40390,                  2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2014年03月31日,,,,              9710240,,                  3510,,              4111558,,                 86226,,                  2976,,                              0,,              1503542,,                168205,,                277319,                     35,                277354,             15863611,,,                  8594,,                              0,,             12741633,                188108,,                 20479,                 94279,,                 20274,                135032,             13073367,             28936978,,,,,                962232,,                927998,,              1729812,                 12340,                415432,,                 25048,,,                 34185,,              2263052,                 35837,              2333074,              6405936,,,              2968160,,                    150,,                482318,                489810,                  2252,                974380,              3942690,             10348626,,,,              8428553,              8428553,,              1771483,,                350602,,              5483657,              5834259,,,,,,                  8405,,             16042700,              2545652,             18588352,             28936978,,              0,              0,                 31755,                  2430,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,2013年12月31日,,,,,,                  2207,,              4043064,,                160702,,                  1488,,,,              1519403,,                103745,,,,                182998,             16812284,,,                  8594,,,,             12923517,                168916,,                 20460,                 94657,,                 20325,                135442,             13236469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1080568,              9718077,                     32,             30048753,,,,                786680,,                956799,,              2250123,                 10572,                165234,,                 76432,,,                 30581,                  2423,                 33004,,              2874757,                 27593,              2935354,              7181194,,,              3888971,,                120253,,                496104,                413266,                  2192,                911562,              4920786,             12101980,,,,              8428553,              8428553,,              1732588,,                350602,,              4663802,              5014404,,                264823,             15440368,              2506405,             17946773,,                              0,,,,,
8150,2013年09月30日,,,,,,                  1071,,              4192947,,                 92363,,                  2643,,,,              1486857,,                118313,,,,                299140,             15004945,,,                 11635,,,,             12431949,                176031,,                 20462,                 93782,,                 20422,                134666,             14713126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                              0,              8811559,                     52,             29718071,,,,              1509514,,              1009318,,              1609428,                 40061,                 40613,,                 31380,,,                 19313,                  2385,                 21698,,              2568260,                 27251,              2617209,              6857523,,,              4240560,,                164528,,                508674,                375156,                  2176,                886006,              5291094,             12148617,,,,              8428553,              8428553,,              1635237,,                350602,,              3975251,              4325853,,                490796,             14880439,              2689015,             17569454,,              1958845,,,,,
8150,2013年06月30日,,,,,,                  1268,,              4218682,,                173713,,                  2849,,,,              1678280,,                117814,,,,                196251,             16594274,,,                 11635,,,,             12199371,                307942,,                 20556,                 95271,,                 20627,                136454,             14794158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                              0,             10203215,                  2202,             31388432,,,,              1400909,,              1144323,,              2429806,                 40639,                 20742,,                 21295,,,                 23679,                  2407,                 26086,,              2456487,                 34590,              2517163,              7574877,,,              5449666,,                193491,,                523542,                377503,                  2089,                903134,              6546291,             14121168,,,,              8428553,              8428553,,              1595611,,                350602,,              3349385,              3699987,,                556376,             14280527,              2986737,             17267264,,              2138756,,,,,
