證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 銀行長期借款,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 無活絡市場之債券投資－流動淨額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 待分配股票股利
8404,2015年09月30日,,,,              2045117,,                295830,,                  8570,,                698285,,                 24362,,                 39446,,,                685683,                685683,,                  7439,                  7439,,                 48071,              3852803,,,              1573093,,              1239559,,                 51834,,                    192,                 52026,                 20791,,                120322,                  2457,                281549,,                  2828,                  2828,                407156,              3292625,              7145428,,,,,              1233635,              1233635,,                143003,,                 42144,,                284992,                 56305,,                 15294,,                 21836,                 21836,              1797209,,,                193933,,                236606,,                120453,                 60498,                180951,                611490,              2408699,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,              1040523,              1418503,,,                289435,                289435,              4397866,                338863,              4736729,              7145428,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2015年06月30日,,,,              1880894,,,,                  4016,,                703727,,                 28278,,                 38906,,,                665784,                665784,,                  7147,                  7147,,                 42144,              3370896,,,              1517285,,              1185193,,                 48650,,                    190,                 48840,                 19764,,                  6974,                  2322,                272294,,                  2747,                  2747,                284337,              3055419,              6426315,,,,,                670695,                670695,,                119411,,                 26632,,                520063,                 38114,,                 13131,,                 26418,                 26418,              1414464,,,                182074,,                211006,,                116489,                 55333,                171822,                564902,              1979366,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                926444,              1304424,,,                135822,                135822,              4130174,                316775,              4446949,              6426315,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2015年03月31日,,,,              1960560,,,,                  4271,,                612215,,                 43531,,                 52502,,,                662555,                662555,,                  7249,                  7249,,                 37611,              3380494,,,              1550717,,              1143892,,                 49334,,                    199,                 49533,                 18924,,                  5967,                  2355,                277993,,                  2816,                  2816,                289131,              3052197,              6432691,,,,,                782066,                782066,,                134808,,                 31176,,                238063,                 21241,,                 12672,,                 26162,                 26162,              1246188,,,                187800,,                202300,,                118922,                 54657,                173579,                563679,              1809867,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,              1053305,              1431285,,,                191848,                191848,              4313061,                309763,              4622824,              6432691,              0,              0,                187800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2014年12月31日,,,,              1869074,,                              0,,                  7390,,                768731,,                  3556,,                 66211,,,                689307,                689307,,                  7317,                  7317,,                 35535,              3447121,,,              1630171,,              1140852,,                 49868,,                    207,                 50075,                 17456,,                  2039,                  9851,                282437,,                  2874,                  2874,                297201,              3135755,              6582876,,,,,                907631,                907631,,                206357,,                 12945,,                291907,                 36038,,                 14569,,                 26135,                 26135,              1495582,,,                189900,,                192611,,                120818,                 53797,                174615,                557126,              2052708,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                927645,              1305625,,,                230528,                230528,              4226081,                304087,              4530168,              6582876,              0,              0,                189900,              1869074,              6582876,,,,                907631,                907631,,                206357,,                 12945,,                291907,                 36038,,                 14569,,                 26135,                 26135,              1495582,,,                189900,                189900,,                192611,,                120818,                 53797,                174615,                557126,              2052708,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                927645,              1305625,,,                230528,                230528,                              0,              4226081,                304087,              4530168,              0,,,,
8404,2014年09月30日,,,,              1518505,,                              0,,                  6843,,                668937,,                 19998,,                 29781,,,                715639,                715639,,                  7091,                  7091,,                 38558,              3005352,,,              1645049,,              1103771,,                 47894,,                    191,                 48085,                 14834,,                  8359,                  8489,                275479,,                  2814,                  2814,                295141,              3106880,              6112232,,,,,                734900,                734900,,                230410,,                  9261,,                249869,                 19109,,                 12279,,                 42518,                 42518,              1298346,,,                182520,,                174732,,                117836,                 38588,                156424,                513676,              1812022,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                839645,              1217625,,,                104430,                104430,              4011983,                288227,              4300210,              6112232,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2014年06月30日,,,,              1299470,,,,                  9472,,                674954,,                 17366,,                 26029,,,                689972,                689972,,                  6913,                  6913,,                 36845,              2761021,,,              1617075,,              1070744,,                 47092,,                    214,                 47306,                 15958,,                 16293,                 12944,                270300,,                  2772,                  2772,                302309,              3053392,              5814413,,,,,                708713,                708713,,                129715,,                 44709,,                437412,                 28174,,                 12303,,                 22931,                 22931,              1383957,,,                              0,,                166752,,                115616,                 36782,                152398,                319150,              1703107,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                764198,              1142178,,,                  1882,                  1882,              3833988,                277318,              4111306,              5814413,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2014年03月31日,,,,              1136782,,,,                  8210,,                742834,,                 31251,,                 33364,,,                713633,                713633,,                  7043,                  7043,,                 43658,              2716775,,,              1693030,,              1087165,,                 48008,,                    247,                 48255,                 18043,,                  2894,                  2283,                277146,,                  2854,                  2854,                285177,              3131670,              5848445,,,,,                661846,                661846,,                258234,,                 31667,,                208414,                 32324,,                 10037,,                 34983,                 34983,              1237505,,,                              0,,                162939,,                117477,                 36410,                153887,                316826,              1554331,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                878000,              1255980,,,                 72293,                 72293,              4018201,                275913,              4294114,              5848445,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,2013年12月31日,,,,,,,,                  9999,,                721213,,                 23483,,                 27387,,,                736852,                736852,,                  7067,                  7067,,                 57547,              2560273,,,              1720453,,              1102039,,                 46966,,                    276,                 47242,                 18645,,                    903,                 13546,                279860,,                  2893,                  2893,                297202,              3185581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                976725,              5745854,,,,                596250,                596250,,                225570,,                 33795,,                254562,                 27470,,                 11389,,                 67518,                 67518,              1216554,,,                              0,                              0,,                151270,,                119696,                 33105,                152801,                304071,              1520625,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                790864,              1168844,,,                 95248,                 95248,                              0,              3954020,                271209,              4225229,              0,                              0,,,
8404,2013年09月30日,,,,,,,,                  6612,,                644578,,                 39062,,                 24733,,,                749374,                749374,,                  6943,                  6943,,                 44347,              2785541,,,              1720005,,                579692,,                 46594,,                     74,                 46668,                 17922,,                  9222,                 12600,                276678,,                  3096,                  3096,                301596,              2665883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1202256,              5451424,,,,                564402,                564402,,                211121,,                 14466,,                210479,                  3820,,                  9928,,                 80222,                 80222,              1094438,,,                              0,                              0,,                141183,,                118330,                 33250,                151580,                292763,              1387201,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                711638,              1089618,,,                 23896,                 23896,                              0,              3803442,                260781,              4064223,              0,                 67636,,,
8404,2013年06月30日,,,,,,,,                 11313,,                670424,,                 57660,,                 30808,,,                732354,                732354,,                  7025,                  7025,,                 45591,              2773415,,,              1735816,,                590315,,                 47271,,                     97,                 47368,                 25095,,                  8623,                  2256,                281682,,                  2347,                  2347,                294908,              2693502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1218240,              5466917,,,,                502322,                502322,,                160674,,                 30388,,                295044,                 50405,,                 10826,,                 87310,                 87310,              1136969,,,,,,                136569,,                120466,                 32767,                153233,                289802,              1426771,,,,              2233177,              2233177,,,                456751,                456751,                456751,,                377980,,                646954,              1024934,,,                 66116,                 66116,                              0,              3780978,                259168,              4040146,              0,,,,
