證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他流動負債,　　　　 其他流動負債合計
8429,2015年09月30日,,,,              5792320,,              1233124,,                    509,,                146256,,                 81559,              7253768,,,                578158,,                219928,                798086,              8051854,,,,,                  6943,,                213804,,                309499,                102417,,,              1169963,              1169963,              1802626,,,                              0,,                473722,                473722,              2276348,,,,              1288316,              1288316,,,              1176820,                 53656,              1230476,,                168138,,              2534285,              2702423,,,                554291,                554291,              5775506,              5775506,              8051854,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2015年06月30日,,,,              5098404,,              1362556,,                              0,,                100339,,                149577,              6710876,,,                554342,,                211725,                766067,              7476943,,,,,                 18223,,                225706,,                265602,                108941,,,              1164741,              1164741,              1783213,,,                              0,,                426143,                426143,              2209356,,,,              1209686,              1288316,,,              1176820,                 53656,              1230476,,                168138,,              2304326,              2472464,,,                276331,                276331,              5267587,              5267587,              7476943,              0,              0,              0,                 78630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2015年03月31日,,,,              5163959,,              1093165,,                              0,,                152594,,                 76852,              6486570,,,                564363,,                214841,                779204,              7265774,,,,,                 12583,,                211695,,                181148,                128348,,,              1159543,              1159543,              1693317,,,                              0,,                400558,                400558,              2093875,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              2196785,              2364923,,,                366814,                366814,              5171899,              5171899,              7265774,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2014年12月31日,,,,              4599851,,              1384404,,                    320,,                107026,,                154009,              6245610,,,                572308,,                217138,                789446,              7035056,,,,,                 10183,,                190320,,                171123,                115730,,,                              0,                              0,                487356,,,              1154367,,                379380,              1533747,              2021103,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              1974062,              2142200,,,                431591,                431591,              5013953,              5013953,              7035056,              0,              0,              0,                              0,              4599851,              7035056,,,,                 10183,,                190320,,                171123,                115730,                487356,,,              1154367,,                379380,              1533747,              2021103,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              1974062,              2142200,,,                431591,                431591,              5013953,              5013953,,
8429,2014年09月30日,,,,              4299761,,              1134027,,                    536,,                131351,,                 76021,              5641696,,,                557854,,                210940,                768794,              6410490,,,,,                 10903,,                115057,,                148063,                 97643,,,                              0,                              0,                371666,,,              1149214,,                332750,              1481964,              1853630,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              1700432,              1868570,,,                248128,                248128,              4556860,              4556860,              6410490,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2014年06月30日,,,,              4322083,,              1372121,,                              0,,                 77263,,                 50672,              5822139,,,                542491,,                204951,                747442,              6569581,,,,,                  9103,,                202392,,                596329,                102176,,,                              0,                              0,                910000,,,              1144085,,                354949,              1499034,              2409034,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              1462319,              1630457,,,                 89928,                 89928,              4160547,              4160547,              6569581,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2014年03月31日,,,,              4725342,,              1153243,,                              0,,                142168,,                 76953,              6097706,,,                 67747,,                208713,                276460,              6374166,,,,,                  5623,,                202712,,                119834,                102270,,,                              0,                              0,                430439,,,              1138978,,                336336,              1475314,              1905753,,,,              1209686,              1209686,,,              1176820,                 53656,              1230476,,                168138,,              1672693,              1840831,,,                187420,                187420,              4468413,              4468413,              6374166,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,2013年12月31日,,,,,,              1290584,,                  2272,,                132741,,                148634,              4651933,,,                 72572,,                209725,                282297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              3077702,              4934230,,,,                              0,,                210053,,                 90606,                121603,                422262,,,                              0,,                296645,                296645,                718907,,,,              1209686,              1209686,,,              1176820,                              0,              1176820,,                168138,,              1440104,              1608242,,,                220575,                220575,              4215323,              4215323,,
8429,2013年09月30日,,,,,,              1168667,,                    593,,                141088,,                337527,              4050910,,,                 74892,,                205817,                280709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              2403035,              4331619,,,,                              0,,                  3355,,                101515,                 76480,                181350,,,                              0,,                265703,                265703,                447053,,,,              1209686,              1209686,,,              1176820,                              0,              1176820,,                168138,,              1190777,              1358915,,,                139145,                139145,              3884566,              3884566,,
8429,2013年06月30日,,,,,,              1156946,,                              0,,                134878,,                  2346,              4716543,,,                 56813,,                  6554,                 63367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              3422373,              4779910,,,,                              0,,                149909,,                596491,                131719,                878119,,,                              0,,                238981,                238981,              1117100,,,,              1209686,              1209686,,,              1176820,                              0,              1176820,,                168138,,                919872,              1088010,,,                188294,                188294,              3662810,              3662810,,
