證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 應付票據,　　　　　 應付票據合計,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　　 其他應付款－其他,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 預付投資款,　　　　　 資本公積－其他,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計
8454,2015年12月31日,,,,              3128081,,                812737,,                 29611,,                 15830,,                411248,,                132155,,                  3921,,                124639,,                 32076,,              1232202,                 18274,              1250476,              5940774,,,                 60000,,              1290779,,              2190151,,                 19837,                 20973,,                 50186,,                 34750,                 84936,              3666676,              9607450,,,,,                 70938,,              2476640,,                 45949,,                394020,                 42315,                101337,,,                 58462,                493359,                551821,              3683020,,,                 13773,,                  7430,,                  5012,                241663,                              0,                246675,                267878,              3950898,,,,              1420585,              1420585,,              3354858,,                355652,                              0,,              1058963,              1414615,,               -151358,                397175,              5641525,                 15027,              5656552,              9607450,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2015年09月30日,,,,              2631476,,                845451,,                 39062,,                  6881,,                467226,,                 68325,,                  2011,,                128433,,                 27815,,              1207983,                 30494,              1238477,              5455157,,,                 60000,,              1251980,,              2209733,,                 22398,                 20666,,                 76608,,                 34750,                111358,              3676135,              9131292,,,,,                              0,,              2151522,,                 49555,,                346465,                 38876,                 46988,,,                 67920,                344126,                412046,              3045452,,,                 13773,,                  3208,,                  4241,                238252,                              0,                242493,                259474,              3304926,,,,              1420585,              1420585,,              3329617,,                355652,                              0,,                802663,              1158315,,               -115778,,              5792739,                 33627,              5826366,              9131292,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2015年06月30日,,,,              2719335,,                989104,,                 40128,,                  8665,,                367972,,                140759,,,,                104002,,                 37280,,                934623,                 31311,                965934,              5373179,,,                 60000,,              1251623,,              2233628,,                 23720,                 20646,,                 73398,,                 36943,                110341,              3699958,              9073137,,,,,                              0,,              2134868,,                 50309,,                413483,                 47609,                127436,,,                 75664,                325361,                401025,              3174730,,,                 13772,,,,                  4603,                232012,                              0,                236615,                250387,              3425117,,,,              1420585,              1420585,,              3329617,,                355652,                              0,,                543494,                899146,,                -51173,,              5598175,                 49845,              5648020,              9073137,              0,              0,,                              0,,                              0,,                104002,                413483,,              3129555,              3129555,                148277,                 48935,                  2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2015年03月31日,,,,              2075326,,              1999689,,                 49588,,                  5543,,                321132,,                121901,,,,                 88121,,                 36101,,              2144907,                 11264,              2156171,              6853572,,,                 60000,,                592806,,              2243163,,                 24245,                 22115,,                 64916,,                198943,                263859,              3206188,             10059760,,,,,                              0,,              2187687,,                 56213,,                268169,                 47484,                258966,,,                 66198,                302783,                368981,              3187500,,,                 13340,,,,                  4981,                230779,                     25,                235785,                249125,              3436625,,,,              1420585,              1420585,,              3329617,,                370788,                 20017,,              1444136,              1834941,,                -28337,,              6556806,                 66329,              6623135,             10059760,              0,              0,,                              0,,                              0,,                 88121,                268169,,              3129555,              3129555,                148277,                 48935,                  2850,,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2014年12月31日,,,,              1958210,,              2009447,,                 50539,,                  3333,,                323900,,                158388,,                    125,,                105069,,                 38628,,              2129434,                 15603,              2145037,              6792676,,,                 60000,,                606229,,              2264717,,                 27815,                 20173,,                 65208,,                197693,                262901,              3241835,             10034511,,,,,                              0,,              2307794,,                 61979,,                396873,                 45456,                194934,,,                 60962,                317991,                378953,              3385989,,,                 13340,,                              0,,                  5508,                234704,                    109,                240321,                253661,              3639650,,,,              1420585,              1420585,,              3329617,,                370788,                 20017,,              1169790,              1560595,,                    193,                              0,              6310990,                 83871,              6394861,             10034511,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2014年09月30日,,,,              1215246,,                740729,,                 61988,,                  4308,,                330760,,                142875,,                    125,,                128286,,                 44824,,                111940,                 14713,                126653,              2796546,,,                              0,,                570044,,              2290934,,                 26795,                 22457,,                 61711,,                361420,                423131,              3333361,              6129907,,,,,                216146,,              2073372,,                 48876,,                378645,                 48507,                131399,,,                 52543,                305849,                358392,              3256089,,,                 13340,,                              0,,                  4106,                241663,                    241,                246010,                259350,              3515439,,,,              1278585,              1278585,,                 84337,,                370788,                 20017,,                846123,              1236928,,                 -4752,,              2595098,                 19370,              2614468,              6129907,              0,              0,,                    752,,                    752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2014年06月30日,,,,                820747,,                769323,,                 53512,,                 11540,,                309342,,                231626,,,,                137720,,                 50634,,                136893,                 21635,                158528,              2556517,,,                              0,,                570196,,              2296753,,                 28996,                 23306,,                 61181,,                270966,                332147,              3251398,              5807915,,,,,                171276,,              2063085,,                107593,,                379947,                 15425,                121117,,,                 60435,                403301,                463736,              3324206,,,                 12207,,,,                  4487,                239166,                    574,                244227,                256434,              3580640,,,,              1278585,              1278585,,                 57529,,                370788,                 20017,,                478386,                869191,,                 18891,,              2224196,                  3079,              2227275,              5807915,              0,              0,,                 13545,,                  2027,,                137720,                379947,,                  5914,                  5914,                              0,                 48935,                  2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2014年03月31日,,,,              2303118,,                764540,,                112277,,                  5382,,                222250,,                142897,,,,                235066,,                 59575,,                139647,                 35272,                174919,              4066921,,,                              0,,                414788,,                608676,,                 24958,                 23038,,                 65114,,                198967,                412199,              1483659,              5550580,,,,,                144858,,              1810299,,                 88889,,                371116,                  5002,                121791,,,                 39041,                343221,                382262,              2924674,,,                 12303,,,,                  4493,                233095,                    967,                238555,                250858,              3175532,,,,              1278585,              1278585,,                 57529,,                379805,                              0,,                663199,              1043004,,                -13667,,              2365451,                  9597,              2375048,              5550580,              0,              0,,                    587,,                    457,,                235066,                371116,,                  5914,                  5914,                              0,                 48935,                  2680,,                 46310,                148118,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,2013年12月31日,,,,,,                758591,,                490926,,                  5474,,                  1336,,                 53587,,,,                295423,,                 66522,,                339457,                 40952,                380409,              4368741,,,                              0,,                409142,,                717348,,                 23100,                 25662,,                 72037,,                176467,                248504,              1423756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                    150,,,,                295423,,,,,,,,,,,,              0,              2316323,              5792497,,,,                105813,,                  1483,,              2077492,,                 99782,,                524139,                524139,                  5203,                 70207,,,                 57981,                402995,                460976,              3345095,,,                 19732,,                  4491,                248736,                  1515,                254742,                274474,              3619569,,,,              1278585,              1278585,,,                  8594,                  8594,                              0,                 49450,                              0,                 58044,,                379805,                              0,,                459623,                839428,,                -20017,              2156040,                 16888,              2172928,,                              0,,
8454,2013年09月30日,,,,,,                749668,,                350370,,                  3116,,                    532,,                 96986,,,,                361606,,                 94501,,                722512,                 20578,                743090,              4112013,,,,,                359158,,                525261,,                 23809,                 35608,,                 84961,,                 20176,                107341,              1051177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,,,                361606,,,,,,,,,,,,              0,              1712144,              5163190,,,,                328480,,                    995,,              1684692,,                 54940,,                380077,                380077,                  7053,                 23316,,,                 66065,                473758,                539823,              3019376,,,                  8749,,                  7395,                238365,                  1476,                247236,                255985,              3275361,,,,              1278585,              1278585,,,,                  8594,                              0,                              0,,                  8594,,                379805,                              0,,                228833,                608638,,                -32085,              1863732,                 24097,              1887829,,                  2204,,
