證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－其他,　　　　 待分配股票股利,　　　 庫藏股票
9802,2015年09月30日,,,,                906465,,                    147,,                    144,,                960518,,                111907,,                 18651,,              1699141,,                 79667,,                 35380,              3812020,,,                  3245,,              4456197,,                 32086,                 76893,,                376871,              4945292,              8757312,,,,,              1170941,,                  3097,,                793415,,                574155,                 67174,,                197540,              2806322,,,                              0,,                 80000,,                  5555,,                271167,                356722,              3163044,,,,              1329574,              1329574,,,              2772419,                              0,                  2072,                 19269,                  9126,              2802886,,                184778,                210604,,                682042,              1077424,,,                431256,,                -59755,,                 -7234,                364267,                 21244,              5552907,                 41361,              5594268,              8757312,              0,              0,        511000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2015年06月30日,,,,                608966,,                  1048,,                     33,,              1207069,,                109574,,                 25942,,              1743233,,                 63122,,                 27035,              3786022,,,                  5334,,              4132752,,                 30940,                108291,,                360067,              4637384,              8423406,,,,,              1009726,,                              0,,                765639,,                812427,                 40969,,                227438,              2856199,,,                              0,,                              0,,                  1766,,                261426,                263192,              3119391,,,,              1325420,              1325420,,,              2762029,                              0,                  2652,                 19793,                  9126,              2793600,,                184778,                210604,,                626365,              1021747,,,                193351,,                -57666,,                 -9603,                126082,,              5266849,                 37166,              5304015,              8423406,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2015年03月31日,,,,                708676,,                    165,,                    167,,              1012979,,                 60737,,                 64578,,              1643001,,                 71129,,                 21432,              3582864,,,                  6490,,              4044944,,                 32343,                123988,,                371545,              4579310,              8162174,,,,,                795224,,                              0,,                609132,,                393827,                 66688,,                267217,              2132088,,,                              0,,                              0,,                  2150,,                266049,                268199,              2400287,,,,              1308747,              1308747,,,              2721992,                              0,                  4953,                 19793,                  9126,              2755864,,                146049,                210604,,              1101469,              1458122,,,                272344,,                -56510,,                -11636,                204198,,              5726931,                 34956,              5761887,              8162174,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2014年12月31日,,,,                737103,,                    197,,                              0,,              1278430,,                106068,,                              0,,              1948668,,                 53657,,                 26248,              4150371,,,                  7809,,              3876268,,                 57363,                136021,,                392120,              4469581,              8619952,,,,,                825976,,                  4543,,                834702,,                534351,                 53352,,                226737,              2479661,,,                              0,,                 90000,,                  2289,,                384673,                476962,              2956623,,,,              1293433,              1293433,,,              2683245,                              0,                  7152,                 21424,                              0,              2711821,,                146049,                210604,,                959950,              1316603,,,                329267,,                -55191,,                -17216,                256860,                              0,              5578717,                 84612,              5663329,              8619952,              0,              0,              0,                737103,              8619952,,,,                825976,,                  4543,,                834702,,                534351,                 53352,,                226737,              2479661,,,                              0,,                 90000,,                  2289,,                384673,                476962,              2956623,,,,              1293433,              1293433,,,              2683245,                              0,                  7152,                 21424,              2711821,,                146049,                210604,,                959950,              1316603,,,                329267,,                -55191,,                -17216,                256860,              5578717,                 84612,              5663329,,,
9802,2014年09月30日,,,,                848993,,                     78,,                              0,,                686067,,                130692,,                              0,,              1778934,,                 60978,,                 36575,              3542317,,,                  9280,,              3714324,,                 55593,                130481,,                299258,              4208936,              7751253,,,,,                760714,,                  4287,,                649574,,                385252,                 17000,,                285339,              2102166,,,                              0,,                              0,,                  1881,,                377075,                378956,              2481122,,,,              1270880,              1270880,,,              2628978,                              0,                 10161,                 21785,                              0,              2660924,,                146049,                210604,,                860234,              1216887,,,                142465,,                -53720,,                -22664,                 66081,                              0,              5214772,                 55359,              5270131,              7751253,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2014年06月30日,,,,              1043781,,                              0,,                              0,,                971407,,                 92711,,                              0,,              1689388,,                 81158,,                 18801,              3897246,,,                 10646,,              3482271,,                 33374,                124963,,                321850,              3973104,              7870350,,,,,                684477,,                 10118,,                836397,,                593702,                 31994,,                 62392,              2219080,,,                478096,,                              0,,                  1819,,                367574,                847489,              3066569,,,,              1198423,              1198423,,,              2457027,                              0,                 20154,                 21882,                              0,              2499063,,                146049,                210604,,                785846,              1142499,,,                 15869,,                -52354,,                -28106,                -64591,,              4775394,                 28387,              4803781,              7870350,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2014年03月31日,,,,                955236,,                              0,,                              0,,                715916,,                107738,,                              0,,              1729902,,                 74043,,                 18147,              3600982,,,                 11439,,              3554228,,                 33439,                144478,,                301155,              4044739,              7645721,,,,,                587429,,                  8210,,                720243,,                357827,                 34295,,                 81806,              1789810,,,                475810,,                              0,,                  2455,,                376792,                855057,              2644867,,,,              1198423,              1198423,,,              2457027,                              0,                 20154,                 22239,                              0,              2499420,,                119435,                210604,,                919170,              1249209,,,                118159,,                -51561,,                -33886,                 32712,,              4979764,                 21090,              5000854,              7645721,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2013年12月31日,,,,,,                  8700,,                     14,,                750189,,                104293,,,,              1772902,,                 88090,,                 17901,              3678668,,,                 11089,,              3427194,,                 33718,                162859,,                305743,              3940603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                936579,              7619271,,,,                659954,,                  2290,,                639288,,                446252,                 39252,,                 60666,              1847702,,,                473560,,                  6667,,                  4062,,                378812,                863101,              2710803,,,,              1186423,              1186423,,,              2457027,                              0,                 20154,                              0,              2477181,,                119435,                210604,,                838958,              1168997,,,                105293,,                -51911,,                              0,                 53382,              4885983,                 22485,              4908468,                              0,,
9802,2013年09月30日,,,,,,                  7889,,                    201,,                810545,,                 91196,,,,              1358551,,                 86155,,                 13076,              3144600,,,                 10249,,              3180918,,                 18557,                158349,,                453885,              3821958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                776987,              6966558,,,,                829189,,                              0,,                521002,,                355638,                 42741,,                 80019,              1828589,,,                              0,,                              0,,                  3505,,                375167,                378672,              2207261,,,,              1186423,              1186423,,,              2457027,                              0,                              0,                              0,              2457027,,                119435,                210604,,                794749,              1124788,,,                 21741,,                -52751,,                              0,                -31010,              4737228,                 22069,              4759297,                              0,,
9802,2013年06月30日,,,,,,                  6296,,                  2461,,                765621,,                101760,,,,              1428110,,                111564,,                 19503,              3474559,,,                 11136,,              3146241,,                 19863,                167232,,                384273,              3728745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1039244,              7203304,,,,                693827,,                              0,,                675681,,                571746,                 63573,,                 73026,              2077853,,,                              0,,                              0,,                  2831,,                382976,                385807,              2463660,,,,              1186423,              1186423,,,              2458405,                              0,                              0,                              0,              2458405,,                118515,                239474,,                708565,              1066554,,,                 58230,,                -51864,,                              0,                  6366,              4717748,                 21896,              4739644,,,
