證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付設備款,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
9905,2015年09月30日,,,,                591774,,                424252,,                789800,,                766599,,                158363,,              1631741,,                 22191,,              1486179,,                  3529,                222290,                225819,,                  4957,              6101675,,,                  1274,,              3208074,,,                  7735,                  7735,                 33272,,                    750,                128588,,                508951,                638289,              3888644,              9990319,,,,,                562009,,                654960,,                599723,,                222778,                 63236,,                 66108,                 66108,              2168814,,,                434090,,                 33096,                163918,                    101,                197115,                631205,              2800019,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1474351,,              1787062,              3261413,,,                759877,,                 94579,                854456,                              0,              7190300,              7190300,              9990319,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2015年06月30日,,,,              1080990,,                352308,,              1023254,,              1051139,,                150450,,              1566286,,                 18781,,              1410235,,                  3396,                173619,                177015,,                  9973,              6840431,,,                  1274,,              3113656,,,                  7787,                  7787,                 35222,,                  1736,                124581,,                482334,                608651,              3766590,             10607021,,,,,                623469,,                871352,,                662302,,                827709,                 84421,,                 94888,                 94888,              3164141,,,                428534,,                 31983,                165448,                     97,                197528,                626062,              3790203,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1474351,,              1538515,              3012866,,,                584633,,                144888,                729521,                              0,              6816818,              6816818,             10607021,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2015年03月31日,,,,              1190321,,                141850,,                868238,,                947463,,                143876,,              1246860,,                 27784,,              1495701,,                  3452,                160975,                164427,,                  3675,              6230195,,,                  2352,,              3182779,,,                  8062,                  8062,                 35187,,                  5346,                127475,,                472956,                605777,              3834157,             10064352,,,,,                688371,,                601152,,                524679,,                212498,                112250,,                 68069,                 68069,              2207019,,,                417922,,                 32627,                166997,                     99,                199723,                617645,              2824664,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1396265,,              1966468,              3362733,,,                651334,,                151190,                802524,,              7239688,              7239688,             10064352,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2014年12月31日,,,,                890303,,                              0,,                886929,,              1313644,,                112593,,              1002508,,                 40977,,              1755427,,                  3487,                150806,                154293,,                  1160,              6157834,,,                  2352,,              3231101,,,                  8332,                  8332,                 34329,,                  1975,                129641,,                476017,                607633,              3883747,             10041581,,,,,                953050,,                571113,,                367590,,                224862,                 89172,,                 38180,                 38180,              2243967,,,                421168,,                 33126,                168573,                 10009,                211708,                632876,              2876843,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1396265,,              1860791,              3257056,,,                694773,,                138478,                833251,                              0,              7164738,              7164738,             10041581,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2014年09月30日,,,,                905112,,                    553,,                649876,,                956567,,                222058,,              1340487,,                 32549,,              1789984,,                  3380,                355687,                359067,,                 16624,              6272877,,,                  2352,,              3171678,,,                  8268,                  8268,                 34423,,                  1390,                126519,,                300536,                428445,              3645166,              9918043,,,,,              1038057,,                510119,,                554873,,                196877,                 68320,,                 63020,                 63020,              2431266,,,                418742,,                 32282,                165158,                 10071,                207511,                626253,              3057519,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1396265,,              1704446,              3100711,,,                558037,,                127345,                685382,                              0,              6860524,              6860524,              9918043,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2014年06月30日,,,,              1109703,,                  1570,,              1260856,,                904144,,                172511,,              1421391,,                 31200,,              1581056,,                  3298,                554410,                557708,,                  3972,              7044111,,,                  2352,,              3024873,,,                  4785,                  4785,                 35315,,                  7686,                124247,,                  3767,                135700,              3203025,             10247136,,,,,              1063985,,                438315,,                583612,,                853714,                 88491,,                 98798,                 98798,              3126915,,,                410254,,                 31656,                166864,                 10068,                208588,                618842,              3745757,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1396265,,              1439122,              2835387,,,                452488,,                139073,                591561,                              0,              6501379,              6501379,             10247136,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2014年03月31日,,,,                573329,,                  5961,,              1255451,,              1154439,,                146253,,              1221586,,                 84332,,              1675164,,                  3364,                550114,                553478,,                  2951,              6672944,,,                  4671,,              3049431,,,                  5095,                  5095,                 36361,,                 18080,                127575,,                 20842,                166497,              3262055,              9934999,,,,,                780249,,                665834,,                587104,,                139883,                128617,,                 51636,                 51636,              2353323,,,                407014,,                 32424,                168630,                 10070,                211124,                618138,              2971461,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1308445,,              1941987,              3250432,,,                531996,,                106679,                638675,,              6963538,              6963538,              9934999,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905,2013年12月31日,,,,,,                 18894,,              1157643,,,,                187103,,              1154363,,                 25480,,              1842873,,                  3364,                522329,                525693,,                    844,              6653352,,,                  4671,,              3103725,,,                  5103,                  5103,                 38334,,                  7220,                128458,,,                178109,              3329942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                698823,              1041636,                 42431,              9983294,,,,                978231,,                571769,,                630533,,                214388,                104639,,                 53864,                 53864,              2553424,,,                405632,,                 32732,                170096,                 10025,                212853,                618485,              3171909,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1308445,,              1783459,              3091904,,,                541220,,                103830,                645050,                              0,              6811385,                              0,              6811385,,
9905,2013年09月30日,,,,,,                  6987,,                846726,,,,                405318,,              1205509,,                 30304,,              1721571,,                  3307,                531479,                534786,,                  7923,              6357595,,,                  6958,,              3064361,,,                  5142,                  5142,                 30563,,                  7389,                127090,,,                155342,              3262366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                818684,                779787,                 20863,              9619961,,,,                980133,,                573409,,                538569,,                218652,                 96268,,                 45780,                 45780,              2452811,,,                399430,,                 47366,                117443,                 10014,                174823,                574253,              3027064,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1308445,,              1654010,              2962455,,,                468688,,                 87323,                556011,                              0,              6592897,                              0,              6592897,,
9905,2013年06月30日,,,,,,                  5430,,              1339646,,,,                218715,,              1239224,,                 28506,,              1535588,,                  3291,                448233,                451524,,                  8738,              6481639,,,                  6958,,              3133999,,,                  5409,                  5409,                 31732,,                  4489,                129489,,,                141802,              3319900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                852775,                801493,                  7824,              9801539,,,,                851640,,                390199,,                570863,,                854992,                114875,,                145264,                145264,              2927833,,,                389196,,                              0,                119434,                 10014,                129448,                518644,              3446477,,,,              3050000,              3050000,,,                 11523,                 12908,                 24431,,              1308445,,              1370552,              2678997,,,                515946,,                 85688,                601634,                              0,              6355062,                              0,              6355062,,
