證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 應收建造合約款－關係人,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 礦產資源淨額,　　　　 礦產資源淨額,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　　 預付設備款,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 按攤銷後成本衡量之金融負債－流動,　　　　 以成本衡量之金融負債－流動,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付建造合約款,　　　　 應付建造合約款－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 工程進度請款金額,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 避險之衍生金融負債－非流動,　　　　 按攤銷後成本衡量之金融負債－非流動,　　　　 以成本衡量之金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 庫存現金,　　　　　 特別股股本,　　　　　 債券換股權利證書,　　　　　 預收股本,　　　　　 待分配股票股利,　　　　　 特別股轉換普通股權利證書,　　　　　 待註銷股本,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　　 天然資源淨額,　　　　 天然資源淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 按攤銷後成本衡量之金融負債－流動,　　　 以成本衡量之金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 應付建造合約款－關係人,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 工程進度請款金額,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 以成本衡量之金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計
9906,2015年09月30日,,,,                185566,,                 11170,,                              0,,                  1263,,                  7678,,,              2712684,              2712684,,                  1970,,                              0,                156404,                 66705,                223109,              3143440,,,                  8004,,                  4489,,                 28770,,                  1852,                 30622,,                 14570,                 14570,                 57685,              3201125,,,,,                179035,,                 13513,,                191951,,                 51977,,                 28324,                  8769,                              0,,,                  5220,,                264308,                264308,                  8254,                277782,                751351,,,              1693554,,                     20,                     84,                    104,              1693658,              2445009,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                 -8254,                 37946,,,                              0,                              0,                              0,                756116,                756116,              3201125,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年06月30日,,,,                440205,,                    138,,                              0,,                 20026,,                  7396,,,              2658034,              2658034,,                  3304,,                              0,                156104,                 49289,                205393,              3334496,,,                  8743,,                  4502,,                 28770,,                  2158,                 30928,,                 14588,                 14588,                 58761,              3393257,,,,,                363810,,                 11333,,                228380,,                 98427,,                 32609,                  8610,                              0,,,                  1482,,,                276647,                  8220,                286349,              1029518,,,              1596516,,                     20,                     95,                    115,              1596631,              2626149,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                  2738,                 48938,,,,                              0,                              0,                767108,                767108,              3393257,              0,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年03月31日,,,,                318430,,                    581,,                  4960,,                129847,,                  6949,,,              2553159,              2553159,,                  4414,,                              0,                286605,                 64455,                351060,              3371829,,,                  8639,,                  4515,,                 28770,,                  2325,                 31095,,                 61632,                 61632,                105881,              3477710,,,,,                669084,,                 17542,,                179658,,                 53806,,                 36261,                203343,                              0,,,                 55087,,,                              0,                 11550,                 66637,              1226331,,,              1513540,,                     20,                    106,                    126,              1513666,              2739997,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                -26657,                 19543,,,,                              0,                              0,                737713,                737713,              3477710,,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                  2429,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                318430,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年12月31日,,,,                111428,,                     60,,                     49,,                130676,,                  6852,,,              2583081,              2583081,,                  4192,,                179220,                300355,                 76528,                556103,              3392441,,,                  9217,,                  4529,,                 28770,,                  2164,                 30934,,                 47865,                 47865,                 92545,              3484986,,,,,                768641,,                  8886,,                168265,,                 27380,,                 24703,                277728,                              0,,,                 35219,,                              0,                              0,                  9210,                 44429,              1320032,,,              1442470,,                     80,                              0,                     80,              1442550,              2762582,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                -41966,                  4234,,,                              0,                              0,                              0,                722404,                722404,              3484986,              0,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,                111428,                              0,                              0,                              0,                              0,                              0,                              0,                111428,                              0,                  6852,                              0,,                              0,              3484986,,,,                768641,,                              0,,                              0,                              0,                              0,                              0,,                  8886,,                              0,,                168265,,                 27380,                              0,                              0,,                 24703,                277728,                              0,,                              0,                              0,                              0,,,                 35219,,                              0,                  9210,                 44429,              1320032,,,                              0,                              0,                              0,                              0,,                              0,,              1442470,,                              0,,                              0,,                     80,                     80,              1442550,              2762582,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                -41966,                  4234,,                              0,                              0,                722404,                              0,                              0,                722404,,,,,
9906,2014年09月30日,,,,                165646,,                              0,,                              0,,                131891,,                  7205,,,              2385713,              2385713,,                  7476,,                190388,                237180,                 67395,                494963,              3192894,,,                  9829,,                              0,,                 28770,,                  2127,                 30897,,                147173,                147173,                187899,              3380793,,,,,                783200,,                  7253,,                189690,,                 34683,,                 29194,                242932,                  1376,,,                 19123,,                              0,                              0,                  1950,                 21073,              1309401,,,              1334660,,                     32,                              0,                     32,              1334692,              2644093,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                -27670,                 18530,,,                              0,                              0,                              0,                736700,                736700,              3380793,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年06月30日,,,,                201291,,                 10974,,                    775,,                131907,,                              0,,,              2200481,              2200481,,                  8720,,                218192,                298776,                 56432,                573400,              3127548,,,                 92253,,                              0,,                 28770,,                  1179,                 29949,,                  1230,                  2889,                125091,              3252639,,,,,                718400,,                  7461,,                178520,,                 68333,,                 32482,                244608,                  1517,,,                 11114,,,                  3191,                    563,                 14868,              1266230,,,              1234760,,                     32,                              0,                     32,              1234792,              2501022,,,,                700000,                700000,,                 18170,,                 46200,                              0,,                -12753,                 33447,,,,                              0,                              0,                751617,                751617,              3252639,              0,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                  1659,,                              0,,                              0,                              0,                              0,                              0,,                     41,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年03月31日,,,,                235949,,                     37,,                  2631,,                130759,,                    141,,,              1976362,              1976362,,                  5077,,                184078,                373776,                 51057,                608911,              2959867,,,                 92506,,                              0,,                 28770,,                  1039,                 29809,,                    341,                    965,                123280,              3083147,,,,,                650000,,                    945,,                182369,,                 52683,,                 24871,                173313,                 12507,,,                  7486,,,                  3175,                 13705,                 24366,              1121054,,,              1193564,,                     32,                              0,                     32,              1193596,              2314650,,,,                700000,                700000,,                 18170,,                 45429,                  6869,,                 -1971,                 50327,,,,                              0,                              0,                768497,                768497,              3083147,,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                    624,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                235949,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2013年12月31日,,,,,,                  1612,,                     11,,                162699,,,,,              1833529,              1833529,,                  7912,,                181843,                373959,                 41132,                596934,              2867533,,,                 93007,,                              0,,                 28770,,                  1214,                 29984,,                     36,                     36,                123027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,                              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                264674,                              0,                    162,                              0,,                              0,              2990560,,,,                550000,,                              0,,                              0,                              0,                              0,                              0,,                 23318,,                              0,,                208883,,                 51622,                              0,                              0,,                 44185,                158222,                 12246,,                              0,                              0,                              0,,,                 14391,,                  2636,                 13491,                 30518,              1078994,,,                              0,                              0,                              0,                              0,,                              0,,              1131364,,                              0,,                              0,,                     32,                     32,              1131396,              2210390,,,,                700000,                700000,,                 18170,,                 45429,                  6869,,                  9702,                 62000,,                              0,                              0,                780170,                              0,                              0,                780170,                              0,,,,
9906,2013年09月30日,,,,,,                 58840,,                    525,,                249055,,,,,              2283898,              2283898,,                 12936,,                174140,                263167,                 71358,                508665,              3267384,,,                 93038,,,,                 28770,,                  1234,                 30004,,                110539,                110539,                233990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                153447,,                     18,,,,              3501374,,,,                              0,,,,,,,,,                 18336,,,,                308923,,                 55761,,,,                 23573,                704318,                  1725,,,,,,,                218203,,                 49113,                 18255,                285571,              1398207,,,,,,,,,,              1343547,,,,,,                     32,                     32,              1343579,              2741786,,,,                700000,                700000,,                 18170,,                 45429,                  6869,,                -10880,                 41418,,                              0,,                759588,,,                759588,                              0,,,,
9906,2013年06月30日,,,,,,                  8448,,                    117,,                 38459,,,,,                956454,                956454,,                 54493,,                 50860,                150000,                254831,                455691,              1783789,,,                 93726,,,,                 28770,,                  1402,                 30172,,                  4336,                  4336,                135639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  7405,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                270089,,                     38,,,,              1919428,,,,                              0,,,,,,,,,                  6316,,                              0,,                 91049,,                 14958,,,,                 40664,                 61840,                              0,,,,,,,                278627,,                  1049,                 17255,                296931,                511758,,,,,,,,,,                654271,,,,,,                     32,                     32,                654303,              1166061,,,,                310200,                700000,,                 18170,,                 45429,                  6869,,                 -7733,                 44565,,                 -9368,,                753367,,,                753367,                389800,,,,
