證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他流動負債－其他,　　　　 其他非流動負債－其他,　　　 庫藏股票
9907,2015年09月30日,,,,              1811106,,                              0,,              1239572,,              1414280,,              1675861,,                137176,,                 26154,,              4679385,,              1302562,,                              0,,                 45983,                 45983,             12332079,,,                106992,,                501050,,             33846066,,                165243,,                468137,                478470,,                 41939,                 85998,                525362,,                 59600,                712899,             36278857,             48610936,,,,,              4271530,,                              0,,                 17722,,              1343496,,                255551,,              1478058,                163957,                 33546,                              0,,                 17898,,                 61906,,              5637506,              5717310,             13281170,,,                737420,,             13054869,,                 73661,,                316691,,                 49654,                348633,                 10003,                408290,             14590931,             27872101,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1379732,                826453,,                924872,              3131057,,,                736667,,               -271925,                464742,             19615430,              1123405,             20738835,             48610936,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907,2015年06月30日,,,,              2260199,,                    142,,              1153923,,              1409058,,              1960771,,                156813,,                 33915,,              4778663,,              1346083,,                              0,,                 36063,                 36063,             13135630,,,                171411,,                501050,,             33617119,,                160623,,                455374,                390212,,                 38628,                 86209,                498185,,                 67342,                690364,             35986153,             49121783,,,,,              3342314,,                              0,,                 22783,,              1497052,,                201797,,              2224050,                154763,                 65625,                              0,,                 17199,,                 33580,,              4792744,              4843523,             12351907,,,                708568,,             14930746,,                 73320,,                295158,,                 47706,                361840,                  9196,                418742,             16426534,             28778441,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1379732,                826453,,                781076,              2987261,,,                426645,,               -207506,                219139,             19226031,              1117311,             20343342,             49121783,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907,2014年12月31日,,,,              1571903,,                              0,,              1255436,,              2041830,,                689692,,                143211,,                 35848,,              5053426,,              1778101,,                 39928,,                 53979,                 53979,             12663354,,,                178340,,                501050,,             35344195,,                167463,,                488186,                356162,,                    907,                 53530,                499142,,                 76490,                630069,             37665465,             50328819,,,,,              4102556,,                 99942,,                 19571,,                601615,,                172561,,              1637040,              1282736,                 71440,                              0,,                 16437,,                157810,,              4737529,              4911776,             12899237,,,                              0,,             16026489,,                 72639,,                272344,,                 48848,                390035,                 10180,                449063,             16820535,             29719772,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1303221,                826453,,                811964,              2941638,,,                673800,,               -200577,                473223,             19434492,              1174555,             20609047,             50328819,              0,              0,              0,              1571903,                 35848,             50328819,,,,              4102556,,                 99942,,                 19571,,                601615,,                172561,,              1637040,              1282736,                 71440,                              0,,                 16437,,                157810,,              4737529,              4911776,             12899237,,,             16026489,,                 72639,,                272344,,                 48848,                390035,                 10180,                449063,             16820535,             29719772,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1303221,                826453,,                811964,              2941638,,,                673800,,               -200577,                473223,             19434492,              1174555,             20609047,,,,,,,
9907,2014年09月30日,,,,              1823810,,                              0,,                931732,,              1786793,,              1198432,,                171069,,                 16832,,              5310937,,              1500715,,                318391,,                 17217,                 17217,             13075928,,,                152100,,                501050,,             32524221,,                164355,,                484561,                264446,,                  4572,                 59215,                488230,,                 75533,                627550,             34718283,             47794211,,,,,              5439274,,              1699220,,                 20584,,              1230147,,                227064,,              1528673,                 69351,                 41397,                    970,,                 31846,,                 52669,,              4124222,              4208737,             14465417,,,                              0,,             12348694,,                 72305,,                254453,,                 47332,                394930,                  8500,                450762,             13126214,             27591631,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1303221,                826453,,                736831,              2866505,,,                394793,,               -226817,                167976,             19054112,              1148468,             20202580,             47794211,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907,2014年06月30日,,,,              2117657,,                              0,,                784268,,              1843840,,              1493817,,                155417,,                  8458,,              5105728,,              1553581,,                305429,,                 18675,                 18675,             13386870,,,                154002,,                501050,,             32257108,,                162241,,                487765,                261682,,                 24995,                 73272,                422451,,                 79802,                600520,             34424368,             47811238,,,,,              5254163,,                449811,,                 17046,,              1280856,,                157753,,              2595327,                119456,                115277,                     31,,                 19727,,                 77855,,              4296808,              4394390,             14384110,,,                              0,,             12909541,,                 71971,,                237814,,                 46152,                407681,                  8279,                462112,             13681438,             28065548,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1303221,                826453,,                575223,              2704897,,,                121820,,               -224915,               -103095,             18621433,              1124257,             19745690,             47811238,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907,2014年03月31日,,,,,,                              0,,                995464,,              1626627,,              1344325,,                159807,,,,              4665061,,              1603951,,                311990,,                  4944,                  4944,             13178774,,,                143782,,                501050,,             32445936,,                166827,,                501964,                251268,,                 91389,                 72252,                432063,,                 82890,                678594,             34689421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2443594,                 23011,             47868195,,,,              5145949,,                              0,,                 21593,,              1522320,,                133306,,              1410014,,                257812,                    635,,                 12549,,                 93709,,              4146651,              4252909,             12744538,,,             13601484,,                 71636,,                229750,,                 47009,                420469,                 17197,                484675,             14387545,             27132083,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1183966,                826453,,              1540556,              3550975,,,                253362,,               -235135,                 18227,             19588833,              1147279,             20736112,,,,,,,
9907,2013年12月31日,,,,,,                     43,,              1067488,,              2082063,,                881955,,                178314,,,,              4925065,,              1616709,,                314126,,                  5971,                  5971,             11889232,,,                177579,,                501050,,             32446044,,                 10561,,                497753,                232735,,                164799,                117203,                333726,,                 82980,                698708,             34564430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                804825,                 12673,             46453662,,,,              4199647,,                              0,,                 22974,,              1286624,,                209283,,              1306295,                              0,                216132,                    371,,                  4762,,                159912,,              3829209,              3993883,             11235209,,,             13877451,,                 71302,,                220324,,                              0,                435778,                 15787,                451565,             14620642,             25855851,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1183966,                826453,,              1192555,              3202974,,,                427350,,               -201338,                226012,             19448617,              1149194,             20597811,,                              0,,,,,
9907,2013年09月30日,,,,,,                              0,,                931852,,              1958207,,              1228545,,                230744,,,,              5194411,,              1156405,,                              0,,                  4914,                  4914,             13454693,,,                192060,,                501050,,             30419702,,                 10561,,                497413,                183054,,              1062616,                 97778,                353468,,                 69308,              1583170,             33387010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2745987,                  3628,             46841703,,,,              4770026,,                149958,,                 32569,,              1459216,,                380210,,              1127191,                              0,                181823,                              0,,                  6288,,                 61284,,              3631871,              3699443,             11833738,,,             14193261,,                 70974,,                214331,,                              0,                445394,                 12563,                457957,             14936523,             26770261,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1183966,                826453,,                939388,              2949807,,,                183331,,               -186857,                 -3526,             18965912,              1105530,             20071442,,                 33302,,,,,
9907,2013年06月30日,,,,,,                              0,,                956218,,              1859083,,                839287,,                116422,,,,              5327077,,              1103465,,                              0,,                  1611,                  1611,             12086344,,,                165234,,                501050,,             30577692,,                 10561,,                490148,                168481,,                403357,                 74452,                304140,,                 75501,                857450,             32770616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1872566,                 10615,             44856960,,,,              3546058,,                              0,,                 23832,,              1288491,,                304511,,              1062546,              1293265,                108879,                              0,,                  6363,,                 66909,,              3681191,              3754463,             11382045,,,             12938502,,                 70646,,                210645,,                              0,                458236,                 12291,                470527,             13690320,             25072365,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1183966,                826453,,                631282,              2641701,,,                226313,,               -213683,                 12630,             18673962,              1110633,             19784595,,,,,,,
9907,2013年03月31日,,,,,,                              0,,                900682,,              1804359,,                499219,,                127696,,,,              5125335,,                732759,,                              0,,                     17,                     17,             11884702,,,                140123,,                501050,,             26872716,,                 10561,,                466100,                159419,,                254203,                 69101,                290740,,                 70519,                684563,             28834532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2688058,                  6577,             40719234,,,,              3455387,,                 59973,,                 21504,,                984664,,                 58663,,                698478,,                 81268,                              0,,                  4667,,                 61632,,              2079665,              2145964,              7505901,,,             13059225,,                 70318,,                206687,,                              0,                470835,                  7751,                478586,             13814816,             21320717,,,,             15791453,             15791453,,,                 58271,                169088,,                    819,                228178,,              1156779,                826453,,                524093,              2507325,,,                 41946,,               -238794,               -196848,             18330108,              1068409,             19398517,,,,,,,
