證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 其他應付款－其他
9914,2015年09月30日,,,,              4565986,,                451871,,                310512,,                 15994,,                460568,,              1336946,,                105708,,                              0,,,              3377277,              3377277,,                120365,             10745227,,,                153790,,                  3400,,              8408321,,              2883028,,                 37814,,,                 18588,                  1626,                 20214,                171595,,                 87335,                              0,                403699,,                 22220,                 22220,                513254,             12191416,             22936643,,,,,              1200419,,                              0,,                              0,,              4677305,,                110076,,                              0,                587482,                587482,                237437,,,                115733,                115733,                201071,                316804,              7129523,,,                484319,,              1913161,,                390522,                 13576,                404098,              2801578,              9931101,,,,              2989838,                              0,              2989838,,,                416290,                416290,                    215,                416505,,              1736191,                 17462,,              6804769,              8558422,,                483070,                              0,             12447835,                557707,             13005542,             22936643,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2015年06月30日,,,,              4934093,,                603648,,                378038,,                 25781,,                505126,,              1649917,,                116645,,                              0,,,              3959319,              3959319,,                114083,             12286650,,,                161275,,                  3400,,              7692879,,              2867651,,                 37956,,,                 16296,                  1526,                 17822,                164588,,                 85595,                 14092,                395895,,                  7722,                  7722,                503304,             11448875,             23735525,,,,,                890528,,                              0,,                              0,,              5240913,,                 97859,,              2033090,                798335,              2831425,                304519,,,                 18539,                 18539,                182359,                200898,              9566142,,,                549420,,              1809970,,                479259,                 13145,                492404,              2851794,             12417936,,,,              2989838,                              0,              2989838,,,                416290,                416290,                    215,                416505,,              1736191,                 17462,,              5691421,              7445074,,                -68664,                              0,             10782753,                534836,             11317589,             23735525,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2015年03月31日,,,,              4217524,,                354235,,                332799,,                 33954,,                814565,,              1108001,,                105589,,                              0,,,              2994156,              2994156,,                142398,             10103221,,,                172083,,                 18714,,              7710362,,              2893585,,                 38098,,,,,                 17726,                184714,,                 85910,                 14412,                402088,,                  8271,                  8271,                510681,             11545963,             21649184,,,,,              1045068,,                              0,,                              0,,              3451839,,                 93513,,,,                780604,                383416,,,                 18104,                 18104,                173522,                191626,              5946066,,,                565826,,              1797096,,                479856,                 17053,                496909,              2859831,              8805897,,,,              2989838,,              2989838,,,                416290,                416290,                    215,                416505,,              1401206,                 17462,,              7473308,              8891976,,                 18216,                              0,             12316535,                526752,             12843287,             21649184,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2014年12月31日,,,,              4066671,,                353425,,                437864,,                 21434,,                518651,,              1307434,,                107359,,                              0,,,              3202359,              3202359,,                116027,             10131224,,,                163453,,                 18714,,              7746295,,              2937741,,                 38239,,,                 17482,                  1565,                 19047,                193052,,                101840,                              0,                410143,,                 23256,                 23256,                535239,             11651780,             21783004,,,,,                896501,,                              0,,                              0,,              4108975,,                 88499,,                              0,                729928,                729928,                307484,,,                 20697,                 20697,                259996,                280693,              6412080,,,                574486,,              1725116,,                480216,                 31037,                511253,              2810855,              9222935,,,,              2989838,                              0,              2989838,,,                416290,                416290,                    215,                416505,,              1401206,                 17462,,              6770606,              8189274,,                419306,                              0,             12014923,                545146,             12560069,             21783004,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2014年09月30日,,,,              3499079,,                403410,,                572351,,                 16580,,                323799,,                928075,,                116069,,                              0,,,              3328550,              3328550,,                100422,              9288335,,,                160256,,                 18714,,              7476616,,              2874549,,                 38382,,,                 16401,                  1504,                 17905,                166135,,                 92300,                              0,                394944,,                 20309,                 20309,                507553,             11260110,             20548445,,,,,                734648,,                              0,,                              0,,              4539552,,                108279,,                              0,                651663,                651663,                189636,,,                 20761,                 20761,                204612,                225373,              6449151,,,                558185,,              1737777,,                459365,                 29427,                488792,              2784754,              9233905,,,,              2989838,                              0,              2989838,,,                416290,                416290,                    215,                416505,,              1401206,                 17462,,              5859659,              7278327,,                117276,                              0,             10801946,                512594,             11314540,             20548445,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2014年06月30日,,,,              4228679,,                454073,,                481034,,                  9773,,                394534,,              1170664,,                135001,,                              0,,,              3440454,              3440454,,                109214,             10423426,,,                103735,,                 18714,,              7167565,,              2850051,,                 38523,,,                 16978,                  1477,                 18455,                157612,,                 87834,                 13586,                389577,,                  6779,                  6779,                497776,             10852431,             21275857,,,,,                609193,,                              0,,                              0,,              4604605,,                 93797,,              1708479,                773767,              2482246,                288783,,,                 21940,                 21940,                190856,                212796,              8291420,,,                555458,,              1635987,,                458371,                 28782,                487153,              2678598,             10970018,,,,              2847464,                142373,              2989837,,,                416290,                416290,                    215,                416505,,              1401206,                 17462,,              4883386,              6302054,,                 91923,                              0,              9800319,                505520,             10305839,             21275857,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2014年03月31日,,,,              3576607,,                664421,,                 49008,,                 16888,,                846969,,                638554,,                138941,,                              0,,,              2703774,              2703774,,                135765,              8770927,,,                116708,,                 18714,,              7014872,,              2794209,,                 38665,,,,,                 17388,                172024,,                 52981,                 13782,                399624,,                  7116,                  7116,                473503,             10646083,             19417010,,,,,              1102120,,                    178,,                              0,,              2889654,,                 90180,,,,                726299,                421526,,,                 52438,                 52438,                 75571,                128009,              5357966,,,                496397,,              1565207,,                456829,                 28662,                485491,              2547095,              7905061,,,,              2847464,,              2847464,,,                416290,                416290,                    215,                416505,,              1110460,                189205,,              6151891,              7451556,,                294205,                              0,             11009730,                502219,             11511949,             19417010,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914,2013年12月31日,,,,,,                603360,,,,                 23393,,                483501,,              1248561,,                138295,,,,,              3089799,              3089799,,                125590,              9036140,,,                106579,,                 18714,,              6483745,,              2441404,,                 38807,,,                 15072,                  1474,                 16546,                174639,,                 76903,                 14273,                397386,,                  6167,                  6167,                494729,              9775163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3323641,                              0,                              0,             18811303,,,,                963672,,                              0,,                              0,,              3869797,,                113463,,                672292,                342016,,,                 51997,                 51997,                 84418,                136415,              6097655,,,                193222,,              1467823,,                456061,                  9653,                465714,              2126759,              8224414,,,,              2847464,                              0,              2847464,,,                416290,                416290,                    215,                416505,,              1110460,                189205,,              5427328,              6726993,,                119668,                              0,             10110630,                476259,             10586889,,
9914,2013年09月30日,,,,,,                 72517,,,,                  7985,,                444544,,                851887,,                125534,,,,,              3389317,              3389317,,                119875,              8555805,,,                101218,,                 18714,,              6304431,,              2182922,,                 38949,,,                 15143,                  1462,                 16605,                168726,,                172686,                 12970,                335180,,                  7612,                  7612,                528448,              9360013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3543930,                              0,                    216,             17915818,,,,                615014,,                582955,,                 18606,,              3788705,,                 76743,,                519375,                315340,,,                 66770,                 66770,                185883,                252653,              6169391,,,                 48323,,              1418460,,                508593,                  7711,                516304,              1983087,              8152478,,,,              2847464,                              0,              2847464,,,                416290,                416290,                    215,                416505,,              1110460,                189205,,              4731706,              6031371,,                  7490,                              0,              9302830,                460510,              9763340,                              0,                519375
9914,2013年06月30日,,,,,,                404366,,,,                  1378,,                414573,,                875113,,                 47512,,,,,              3600716,              3600716,,                198718,              9740796,,,                107609,,                 18714,,              6157956,,              2080293,,                 39091,,,                 15693,                  1484,                 17177,                161186,,                114539,                 12980,                340344,,                  5550,                  5550,                473413,              9055439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4110427,                 87787,                    206,             18796235,,,,                677452,,                822425,,                 27847,,              3467462,,                 99693,,              2291121,                261797,,,                 82352,                 82352,                160356,                242708,              7890505,,,                 52657,,              1460444,,                507516,                  7542,                515058,              2028159,              9918664,,,,              2847464,                              0,              2847464,,,                416290,                416290,                              0,                416290,,              1110460,                189205,,              3898620,              5198285,,                 60866,                              0,              8522905,                354666,              8877571,              1566106,                725015
