證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 債券換股權利證書,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　　 特別盈餘公積,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收款項合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 庫存現金,　　　 無形資產,　　　　 無形資產合計,　　　　 應付股利,　　　　 其他非流動負債－其他
9930,2015年09月30日,,,,                239257,,                168322,,                218308,,                185180,,                              0,,                179472,,                442614,                 54601,,                 17957,,                 35299,,                              0,,,                212617,                212617,,                 49062,,                 15392,                 24219,                 11354,                 50965,              1853654,,,                 31285,,                227605,,              4028782,,                 12638,                 21695,,                 23429,                329590,,                  3053,                  3053,                356072,              4678077,              6531731,,,,,                674400,,                149960,,                              0,,                 17140,,                 92323,,                 57357,                              0,,                 36369,                554086,                590455,                127329,,                  5355,,                 92358,                  9330,                  1823,                108866,              1817830,,,                 46677,,,                307957,                307957,                 83560,                 11572,                403089,                449766,              2267596,,,,              2259458,              2259458,,                162024,,                958580,,                803051,              1761631,,                -33580,                              0,              4149533,                              0,                114602,              4264135,              6531731,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2015年06月30日,,,,                306016,,                122750,,                280672,,                186520,,                              0,,                184341,,                363645,                 47898,,                 30517,,                 34260,,                      4,,,                207642,                207642,,                 60028,,                 11103,                 29171,                 11757,                 52031,              1876324,,,                 30397,,                240928,,              3939114,,                 12638,                 22314,,                 61281,                331860,,                  3204,                  3204,                396345,              4641736,              6518060,,,,,                 83893,,                              0,,                              0,,                  9958,,                 53936,,                 94544,                  4276,,                 19648,                501406,              1497573,                 91033,,                  1797,,                 88883,                  8209,                  3167,                102056,              1937269,,,                 46765,,,                309540,                309540,                 85567,                 11427,                406534,                453299,              2390568,,,,              2259458,              2259458,,                162026,,                958580,,                589663,              1548243,,                 45060,                              0,              4014787,                              0,                112705,              4127492,              6518060,              0,              0,                976519,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2015年03月31日,,,,                266920,,                123597,,                300317,,                250057,,                              0,,                181013,,                542786,                 77235,,                 11623,,                 28178,,                      2,,,                200231,                200231,,                131138,,                 17662,                 26556,                 13985,                 58203,              2171300,,,                 30712,,                255693,,              3859809,,                  1316,                 23096,,                 51752,                334160,,                  4357,                  4357,                390269,              4560895,              6732195,,,,,                226502,,                 59973,,                              0,,                 28243,,                 78132,,                 78135,                 10559,,                 21467,                524220,                545687,                170237,,                  3512,,                150300,                  6148,                  2058,                162018,              1361483,,,                 46760,,,                312390,                312390,                 87404,                 11427,                411221,                457981,              1819464,,,,              2259458,              2259458,,                162026,,                855322,,              1434875,              2290197,,                 71059,                              0,              4782740,                              0,                129991,              4912731,              6732195,              0,              0,,,,                  1997,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2014年12月31日,,,,                146754,,                111296,,                314230,,                208023,,                  2793,,                164932,,                567332,                  5829,,                  9770,,                 23529,,                              0,,,                191137,                191137,,                133048,,                 14036,                 25483,                 10099,                 49618,              1928291,,,                 30646,,                253867,,              3812605,,                  1316,                 23400,,                 43027,                335236,,                  5305,                  5305,                383568,              4505402,              6433693,,,,,                213816,,                 99986,,                    392,,                 15656,,                 44754,,                 68369,                              0,,                 32277,                578720,                610997,                124430,,                  4712,,                 92528,                 10513,                  5741,                113494,              1291894,,,                 46804,,,                312667,                312667,                 89211,                  9427,                411305,                458109,              1750003,,,,              2259458,              2259458,,                162026,,                855322,,              1192892,              2048214,,                 86636,                              0,              4556334,                              0,                127356,              4683690,              6433693,              0,              0,                              0,                              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2014年09月30日,,,,                113916,,                 90240,,                312217,,                197161,,                  4190,,                152484,,                393624,                 23243,,                  1373,,                 22263,,                    246,,,                236356,                236356,,                195492,,                 20568,                 19732,                 18143,                 58443,              1801248,,,                 29702,,                251114,,              3440205,,                  1316,                 28459,,                 56420,                373752,,                  2197,                  2197,                432369,              4183165,              5984413,,,,,                234929,,                299867,,                    419,,                 21686,,                 42667,,                 82754,                    381,,                 31595,                525475,                557070,                 74578,,                  6221,,                143901,                              0,                  7489,                157611,              1471962,,,                 46800,,,                              0,                              0,                 90611,                  8711,                 99322,                146122,              1618084,,,,              2259458,              2259458,,                162026,,                855322,,                897452,              1752774,,                 80982,                              0,              4255240,                              0,                111089,              4366329,              5984413,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2014年06月30日,,,,                113832,,                260202,,                236867,,                137238,,                  2650,,                154827,,                437229,                 20505,,                 12335,,                 18351,,                    245,,,                186826,                186826,,                213800,,                 14683,                 15557,                  3959,                 34199,              1829106,,,                 92084,,                239902,,              3439328,,                  1316,                 30048,,                 11895,                373754,,                  2876,                  2876,                388525,              4191203,              6020309,,,,,                 28993,,                              0,,                              0,,                 11215,,                 49281,,                 93859,                              0,,                 31690,                507229,              1285700,                103198,,                  5374,,                196659,                              0,                  8402,                210435,              1782681,,,                 48008,,,                              0,                              0,                 92807,                 16823,                109630,                157638,              1940319,,,,              2259458,              2259458,,                162026,,                855322,,                632116,              1487438,,                 65955,                              0,              3974877,                              0,                105113,              4079990,              6020309,              0,              0,                746781,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2014年03月31日,,,,                152628,,                168016,,                224102,,                292590,,                     60,,                134176,,                365897,                 22833,,                 28742,,                 24695,,                    246,,,                134343,                134343,,                240205,,                 14849,                 17222,                 43756,                 75827,              1864360,,,                 79663,,                241916,,              3493419,,                  1316,                 30120,,                 11895,                373767,,                  3615,                  3615,                389277,              4235711,              6100071,,,,,                175442,,                 49991,,                              0,,                 35939,,                 45968,,                 83126,                              0,,                 34654,                518418,                553072,                143793,,                  8433,,                272299,                              0,                  1737,                282469,              1369800,,,                 47927,,,                              0,                              0,                 93856,                 16823,                110679,                158606,              1528406,,,,              2259458,              2259458,,                162026,,                766811,,              1154632,              1975538,,                 57595,                              0,              4454617,                              0,                117048,              4571665,              6100071,              0,              0,,,,                              0,                 54095,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930,2013年12月31日,,,,,,                221805,,                230497,,                221650,,                  6199,,                140454,,                450965,                 14946,,                 21581,,                 17070,,,,,                151136,                151136,,                289371,,                 14648,                 22489,                 16469,                 53606,              1961004,,,                 83568,,                258233,,              3456849,,                  1316,                 30405,,                 12191,                302541,,                  3580,                  3580,                318312,              4148683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                141479,                    245,              6109687,,,,                199105,,                299916,,                              0,,                 23737,,                  2000,,                 44794,,                 82500,                 11336,,                 27287,                546437,                573724,                102472,,                 21181,,                214075,                              0,                  1784,                237040,              1576624,,,                 47838,,,                              0,                              0,                 94944,                 16636,                111580,                159418,              1736042,,,,              2259458,              2259458,,                162026,,                766811,                 54095,,                940755,              1761661,,                 76855,                              0,              4260000,                113645,              4373645,                141479,,                              0,                              0,                              0
9930,2013年09月30日,,,,,,                216513,,                221533,,                143934,,                              0,,                178691,,                311180,                 13932,,                    891,,                 20109,,,,,                176081,                176081,,                110610,,                  8765,                 16018,                 16273,                 41056,              1541034,,,                 90265,,                250479,,              3133022,,                  1316,                 32474,,                321625,                281978,,                  4394,                  4394,                607997,              4115553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                106259,                    245,              5656587,,,,                174783,,                349793,,                              0,,                 63942,,                              0,,                 43122,,                 84918,                  8988,,                 72094,                478179,                550273,                 55721,,                 11939,,                 67383,,                  1950,                 81272,              1412812,,,                 47991,,,,,                 89155,                  2750,                 91905,                139896,              1552708,,,,              2259458,              2259458,,                162026,,                766811,                 54095,,                687812,              1508718,,                 71040,,              4001242,                102637,              4103879,,,,,
9930,2013年06月30日,,,,,,                268294,,                207506,,                157201,,                              0,,                335269,,                436424,                  7325,,                  8548,,                 19188,,,,,                160387,                160387,,                121858,,                  8889,                 15831,                 20669,                 45389,              1883892,,,                 67675,,                239525,,              3163886,,                  1316,                 33188,,                216800,                233662,,                  4741,                  4741,                455203,              3960812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                116258,                    245,              5844704,,,,                 10352,,                149966,,,,                 83775,,                              0,,                140391,,                 93385,                 19549,,                 53284,                513054,              1207820,                 73282,,                 15146,,                 78116,,                  7383,                100645,              1879165,,,                 47846,,,,,                 90508,                  2750,                 95313,                143159,              2022324,,,,              2259458,              2259458,,                162026,,                766811,                 54095,,                454458,              1275364,,                 26400,,              3723248,                 99132,              3822380,                116258,,                     19,                641482,                  2055
