證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款項－關係人,　　　 應付公司債,　　　　 應付公司債合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
9933,2015年09月30日,,,,              7448627,,                401413,,                593787,,                276820,,                920508,,              4039885,,                  8374,             24059587,,                307205,,                 61199,,                160448,,                296478,,              3865923,,                 70080,             42510334,,,                543827,,              2355419,,              6954750,,                823703,,                119498,                544890,,              3544153,             14886240,             57396574,,,,,              2977149,,                  5858,,                 14317,,             13280355,,                404203,              8394589,,              1914415,                    871,                258917,,              4817593,             32068267,,,              2730150,,                513703,,              2851978,              6095831,             38164098,,,,              7605088,              7605088,,,              2801532,                  5043,                208685,                              0,                272794,                  2600,                  4856,              3295510,,              2852010,                768286,,              1996927,              5617223,,,                145344,,                -18560,,                              0,                126784,                 11835,             16632770,              2599706,             19232476,             57396574,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2015年06月30日,,,,              9320225,,                580623,,                695816,,                880335,,              1386391,,              4231296,,                 23425,             20051856,,                251479,,                 56435,,                180494,,                329867,,              3790467,,                 98286,             41876995,,,                547800,,              2119037,,              6933450,,                825014,,                121772,                542600,,              3750023,             14839696,             56716691,,,,,              1656774,,                  3686,,                 19284,,             14037463,,                142189,              8784163,,              3751420,                 41111,                261713,,              3282657,             31980460,,,              2769150,,                470060,,              2918201,              6157411,             38137871,,,,              7599591,              7599591,,,              2789456,                  5043,                197103,                              0,                278413,                  3203,                  3672,              3276890,,              2852010,                768286,,              1545147,              5165443,,,                 21760,,                 98134,,                              0,                119894,                 11835,             16149983,              2428837,             18578820,             56716691,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2015年03月31日,,,,             12479704,,                546382,,                731675,,                 29964,,              1398687,,              3967839,,                 23947,             17859195,,                286104,,                 37014,,                189660,,                419576,,              3129522,,                 60883,             41160152,,,                560352,,              2152050,,              6969519,,                826324,,                102572,                540413,,              3574615,             14725845,             55885997,,,,,              1712684,,                 23720,,                 13616,,             14409394,,                 99163,              9417282,,              1450554,,                488581,,              1994714,             29609708,,,              2887350,,                463427,,              2902291,              6253068,             35862776,,,,              7586451,              7586451,,,              2762292,                  5043,                205466,                              0,                287967,                  3207,                  3644,              3267619,,              2663798,                778162,,              2855212,              6297172,,,                 63998,,                128189,,                              0,                192187,                 11835,             17331594,              2691627,             20023221,             55885997,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2014年12月31日,,,,              9810303,,              1783575,,                680181,,                 11774,,              1411400,,              4964255,,                  3927,             18758973,,                283345,,                 38008,,                170268,,                316169,,              3632839,,                225591,             42090608,,,                574622,,              2065874,,              7026878,,                827635,,                118638,                540924,,              3638169,             14792740,             56883348,,,,,                353618,,                 14907,,                 19397,,             15454053,,                189299,              9989561,,              2523644,                              0,                375668,,              2113784,             31033931,,,              2926350,,                440049,,              2998863,              6365262,             37399193,,,,              7575303,              7575303,,,              2737464,                  5043,                184615,                              0,                296048,                  3303,                  3560,              3230033,,              2663798,                778162,,              2432925,              5874885,,,                102387,,                148176,,                              0,                250563,                 11835,             16918949,              2565206,             19484155,             56883348,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2014年09月30日,,,,              9455911,,                747534,,                637050,,                  7414,,              1634189,,              5398057,,                    842,             18153729,,                149328,,                100071,,                152733,,                507464,,              3739110,,                107591,             40791023,,,                597591,,              2047030,,              6977584,,                829011,,                121412,                529094,,              3755324,             14857046,             55648069,,,,,                521973,,                  8143,,                145162,,             14361346,,                 99556,             10367975,,              1849217,                              0,                171577,,              3014348,             30539297,,,              3044550,,                446878,,              3031611,              6523039,             37062336,,,,              7559453,              7559453,,,              2700535,                  5043,                183511,                              0,                309295,                  3889,                  3492,              3205765,,              2663798,                778162,,              1705308,              5147268,,,                 27759,,                213009,,                              0,                240768,                 11835,             16141419,              2444314,             18585733,             55648069,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2014年06月30日,,,,             12539196,,              1659741,,                634382,,              1640004,,                              0,,              6110091,,                  2503,             14030371,,                201357,,                 51217,,                152176,,                297316,,              3649053,,                 77940,             41045347,,,              1564284,,                698268,,              6967687,,                830388,,                115030,                552423,,              3770367,             14498447,             55543794,,,,,              1130051,,                  8697,,                154354,,             13245763,,                 50264,             11352971,,              3653027,                 38056,                219089,,              1226433,             31078705,,,              3083550,,                440015,,              3143652,              6667217,             37745922,,,,              7513815,              7513815,,,              2560652,                  5043,                165870,                              0,                389925,                  3986,                  2557,              3128033,,              2663798,                778162,,              1164690,              4606650,,,                -25314,,                265236,,                              0,                239922,                 11835,             15476585,              2321287,             17797872,             55543794,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2014年03月31日,,,,             12084040,,              2024600,,                591141,,              3284108,,                              0,,              5646588,,                  1358,             11256082,,                173905,,                 58159,,                166281,,                166194,,              3033184,,              1214142,             39699782,,,                663363,,                687465,,              7073597,,                831764,,                 96211,                575793,,              3842784,             13770977,             53470759,,,,,                968831,,                 25720,,                 43493,,             13419138,,                 80721,             10214617,,              1631032,,                244964,,                970162,             27598678,,,              3257297,,                423661,,              3195758,              6876716,             34475394,,,,              7497450,              7497450,,,              2531540,                  5043,                155225,                              0,                389176,                  3986,                  2557,              3087527,,              2499625,                778162,,              2370409,              5648196,,,                  9785,,                212731,,                              0,                222516,                 11835,             16443854,              2551511,             18995365,             53470759,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2014年01月01日,,,,              9327026,,                843215,,                604730,,              3244527,,                              0,,              4367870,,                  4136,             12372269,,                175433,,                 67235,,                163728,,                 89661,,              3002991,,                869378,             35132199,,,                584153,,                675002,,              7150831,,                833141,,                114766,                561828,,              3897325,             13817046,             48949245,,,,,                991965,,                 20061,,                  5518,,             13348156,,                 16134,              5427224,,              2688807,                              0,                172416,,                987389,             23657670,,,              3296297,,                422653,,              3174489,              6893439,             30551109,,,,              7474343,              7474343,,,              2488469,                  5043,                172654,                              0,                397529,                  3986,                  2404,              3070085,,              2499625,                778162,,              1910722,              5188509,,,                  7178,,                222360,,                              0,                229538,                 11835,             15950640,              2447496,             18398136,             48949245,              0,              0,      1257634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933,2013年12月31日,,,,,,                843215,,                604730,,              3244527,,                              0,,              4367870,,                  4136,             12372269,,                175433,,                 67235,,,,                 89661,,              3002991,,                869378,             35132199,,,                584153,,                675002,,              7150831,,                833141,,                114766,                449881,,              3897325,             13705099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1257634,              9327026,                163728,             48837298,,,,                991965,,                 20061,,                  5518,,             13348156,,                 16134,              5427224,,              2688807,                172416,,                987389,             23657670,,,              3296297,,                422653,,              2515189,              6234139,             29891809,,,,              7474343,              7474343,,,              2488469,                  5043,                172654,                              0,                397019,                  3986,                  2914,              3070085,,              2499625,                778162,,              2432195,              5709982,,,                  7178,,                222360,,                              0,                229538,                 11835,             16472113,              2473376,             18945489,,,,
9933,2013年09月30日,,,,,,              1465179,,                707887,,              2785827,,                              0,,              5652046,,                 13666,             10352743,,                 98055,,                 75587,,,,                102720,,              4267822,,              1002924,             35228475,,,                604900,,                653607,,              7158118,,                834587,,                108204,                398975,,              3939100,             13697491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1257634,              8528138,                175881,             48925966,,,,              1264853,,                  8463,,                  1558,,             12391989,,                              0,              6986483,,              2333932,                138369,,              1008850,             24134497,,,              3620307,,                441463,,              2329435,              6391205,             30525702,,,,              7466643,              7466643,,,              2474736,                  5043,                172386,,                385792,                 13023,                  2898,              3053878,,              2499625,                778162,,              2075104,              5352891,,,                  6088,,                243904,,                              0,                249992,                 11835,             16111569,              2288695,             18400264,,,,
