證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 待分配股票股利
9940,2015年09月30日,,,,              2518167,,                248931,,                704559,,                 30283,,                718422,,                127334,,                 31954,,,              6350932,              6350932,,              1137481,                200282,              1337763,             12068345,,,                291919,,                  9787,,              3575062,,              2870956,,                151087,                 33809,,                127718,                 13912,,                  5702,                147332,              7079952,             19148297,,,,,                 41408,,                  3573,,                 59262,,              1061020,                116392,                 29057,,                 33719,,                210299,,              1288504,,                190000,                149208,              1838011,              3182442,,,              3000000,,              2471227,,                  3812,,                 37191,,                 55728,              1056875,              1112603,              6624833,              9807275,,,,              6318398,              6318398,,                 63896,,              1645009,,                623013,              2268022,,,                374827,,                193586,                568413,              9218729,                122293,              9341022,             19148297,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2015年06月30日,,,,              2851770,,                  8530,,                829028,,                 29995,,                792324,,                240872,,                  4769,,,              5953197,              5953197,,                471927,                111897,                583824,             11294309,,,                289713,,                  9180,,              3570897,,              2862081,,                151009,                 31167,,                124814,                 12348,,                  5324,                142486,              7056533,             18350842,,,,,                 24865,,                  5620,,                 71540,,              1129775,                110705,                134135,,                 41161,,                873652,,,,                283912,                387088,              1544652,              3062453,,,              3000000,,              2064761,,                  3434,,                 28349,,                 84344,              1031267,              1115611,              6212155,              9274608,,,,              6318398,              6318398,,                 63896,,              1645009,,                513062,              2158071,,,                118271,,                300186,                418457,              8958822,                117412,              9076234,             18350842,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2015年03月31日,,,,              2621555,,                  8821,,                776523,,                 30971,,                757506,,                290466,,                 17473,,,              5819886,              5819886,,                513473,                 74599,                588072,             10911273,,,                292041,,                 10463,,              3585908,,              2877761,,                139934,                 27148,,                125583,                 12889,,                  5128,                143600,              7076855,             17988128,,,,,                 40352,,                 15982,,                  8162,,                982542,                107497,                155102,,                 42597,,                216575,,,,                287960,                 94370,                598905,              1951139,,,              3000000,,              2425567,,                  3238,,                 27998,,,,              1076252,              6533055,              8484194,,,,              6134367,              6134367,,                 63896,,              1537793,,              1175435,              2713228,,,,,,                448651,              9360142,                143792,              9503934,             17988128,              0,              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2014年12月31日,,,,              2865766,,                 19180,,                840562,,                 26762,,                763270,,                319213,,                 17399,,,              5387474,              5387474,,                388352,                 76814,                465166,             10704792,,,                293616,,                 10951,,              3604588,,              2881243,,                142718,                 25477,,                128436,                  9004,,                  5079,                142519,              7101112,             17805904,,,,,                 45828,,                  7186,,                165767,,              1683773,                131726,                111956,,                 44299,,                274117,,                 19100,,                291180,                102970,                687367,              2877902,,,              3000000,,              1356958,,                  3189,,                 27341,,                 82680,                941726,              1024406,              5411894,              8289796,,,,              6134367,              6134367,,                 63896,,              1537793,,              1094412,              2632205,,,                264741,,                281404,                546145,              9376613,                139495,              9516108,             17805904,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2014年09月30日,,,,              1445897,,                 40185,,                810934,,                 26189,,                779277,,                327806,,                 19108,,,              4828598,              4828598,,                716417,                 98705,                815122,              9093116,,,                284601,,                 11019,,              3612696,,              2831395,,                142265,                 15239,,                125525,                 14487,,                  7981,                147993,              7045208,             16138324,,,,,                 51993,,                  9441,,                  3515,,              1591529,                 98853,                 45104,,                 43566,,                127884,,                  2448,,                279864,                 72805,                483001,              2327002,,,              3000000,,                737811,,                  6091,,                 28115,,                 81217,              1029812,              1111029,              4883046,              7210048,,,,              6134367,              6134367,,                 63896,,              1537793,,                707522,              2245315,,,                 88817,,                266790,                355607,              8799185,                129091,              8928276,             16138324,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2014年06月30日,,,,              2368908,,                 52027,,                853624,,                 32628,,                873051,,                337175,,                    600,,,              4694788,              4694788,,              1030401,                 83752,              1114153,             10326954,,,                282054,,                 11598,,              3527594,,              2825062,,                121454,                 18326,,                127752,                 11648,,                  7896,                147296,              6933384,             17260338,,,,,                485390,,                 13461,,                     63,,              1607297,                 94903,                159125,,                 54294,,              1486907,,,,                              0,                107998,              1594905,              4009438,,,              3000000,,                437758,,                  6006,,                 27637,,                 79204,                944715,              1023919,              4495320,              8504758,,,,              5028170,              6134367,,                 63896,,              1537793,,                582784,              2120577,,,                  4628,,                317009,                321637,              8640477,                115103,              8755580,             17260338,              0,              0,              1106197,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2014年03月31日,,,,              1639443,,                 30665,,                766456,,                 43460,,              1020694,,                109265,,                      2,,,              4411177,              4411177,,                941532,                 93675,              1035207,              9056369,,,                287531,,                 11765,,              3545753,,              2851345,,                122165,                 16769,,                129513,                  8712,,                  4550,                381944,              7217272,             16273641,,,,,                618012,,                 19321,,                  4254,,              1348093,                102737,                433773,,                 58262,,                210037,,,,                              0,                101233,                311270,              2895722,,,                              0,,              2608324,,                  2660,,                 27142,,,,                930921,              3569047,              6464769,,,,              5028170,              5028170,,                 68597,,              1290290,,              2819106,              4230089,,,,,,                344443,              9671299,                137573,              9808872,             16273641,              0,              0,,,,                239169,                120693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,2013年12月31日,,,,,,                218940,,                897779,,                 63941,,              1146484,,                106721,,,,,              4174264,              4174264,,              1137400,                 68048,              1205448,              9419561,,,                285489,,                 11623,,              3560568,,              2831604,,                 89878,                 17123,,                129145,,,                  4623,                374072,              7170357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,                234237,,              1605974,                     10,                  6067,             16589918,,,,                586627,,                  9631,,                    406,,              2769092,                 97001,                424145,,                 66268,,                194756,,                              0,                149966,                344722,              4297892,,,                              0,,              1572206,,                  2733,,                 26947,,              1068392,              2670278,              6968170,,,,              5028170,              5028170,,                 68597,,              1290290,                120693,,              2579654,              3990637,,                403640,              9491044,                130704,              9621748,,,,,,,
9940,2013年09月30日,,,,,,                214849,,                813996,,                 60014,,              1326109,,                107991,,,,,              4064249,              4064249,,                989052,                 78381,              1067433,              9641474,,,                292139,,                 11190,,              3528764,,              2827781,,                 86499,                 12471,,                123285,,,                  4506,                401700,              7160544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,                229196,,              1985673,                  1160,                 44713,             16802018,,,,                553116,,                  9941,,,,              2412687,                 90312,                296089,,                 62683,,                152963,,                              0,                111870,                264833,              3689661,,,                              0,,              3195044,,                  2617,,                 31894,,                953176,              4182731,              7872392,,,,              5028170,              5028170,,                 68597,,              1290290,                120693,,              2053040,              3464023,,                247496,              8808286,                121340,              8929626,                 47670,                905506,,                -35534,,                283030,
9940,2013年06月30日,,,,,,                419201,,                720064,,                197363,,              1065540,,                 86253,,,,,              3787772,              3787772,,                198122,                 73721,                271843,              8636722,,,                293591,,                 10463,,              3530604,,              2837830,,                 90629,                 16800,,                122598,,,                  4553,                393040,              7172957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,                224155,,              2088686,,                 41734,             15809679,,,,                 72831,,                  3587,,,,              2228052,                 83926,                303224,,                 74249,,                939385,,                195663,                142734,              1277782,              4043651,,,                              0,,              2635400,,                  2662,,                 31393,,                813733,              3483188,              7526839,,,,              4655713,              5028170,,                 68597,,              1290290,                120693,,              1463357,              2874340,,                201828,              8172935,                109905,              8282840,                 47013,                766720,,                 18680,,                183148,                372457
