證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他非流動負債－其他,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 當期所得稅資產合計,　　　　 預付貨款,　　　　　 其他非流動資產－其他,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 共同控制下前手權益,　　　　 其他非流動負債－其他,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 預付租金
9944,2015年09月30日,,,,                948763,,                     61,,                 99334,,                645232,,                 23140,,                  6763,,,                598727,                598727,,                 70766,,                139392,                 42395,                181787,              2574573,,,              2334701,,                170071,,                  9986,                 12099,,                 25015,                 11789,                190205,,                 11322,                238331,              2765188,              5339761,,,,,                982521,,                              0,,                 30236,,                290176,,                279135,                 37329,                 32038,,,                 17067,,                              0,                  2412,                 19479,              1670914,,,                146785,,                170000,,                117187,,                 11858,                 35996,                  4138,                 51992,                485964,              2156878,,,,              1085732,              1085732,,                223115,,                294872,                106123,,              1112641,              1513636,,                261698,                              0,              3084181,                              0,                 98702,              3182883,              5339761,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2015年06月30日,,,,                955350,,                    491,,                 94171,,                661379,,                 17749,,                  1953,,,                644975,                644975,,                 70565,,                206114,                 40921,                247035,              2693668,,,              2258255,,                170772,,                  8915,                 13902,,                 61807,                 10900,                181588,,                 13263,                267558,              2719402,              5413070,,,,,              1125164,,                              0,,                 33007,,                284959,,                289483,                 37402,                 41721,,,                 21718,,                              0,                  2030,                 23748,              1835484,,,                173740,,                170000,,                 98509,,                 11646,                 38282,                  4707,                 54635,                496884,              2332368,,,,              1074099,              1074099,,                206816,,                294872,                106123,,              1094932,              1495927,,                204804,                              0,              2981646,                              0,                 99056,              3080702,              5413070,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2015年03月31日,,,,                934007,,                    406,,                 69452,,                669554,,                 26020,,                     51,,,                687587,                687587,,                 98912,,                143906,                 65522,                209428,              2695417,,,              2270061,,                171474,,                  9233,                 14637,,                 63168,                 13454,                184956,,                 12653,                274231,              2739636,              5435053,,,,,              1123288,,                              0,,                 32421,,                319029,,                245198,                 35358,                 38420,,,                 19887,,                              0,                  2194,                 22081,              1815795,,,                202994,,                170000,,                 97338,,                 11818,                 47578,                 11234,                 70630,                540962,              2356757,,,,              1061350,              1061350,,                189060,,                283319,                106123,,              1109486,              1498928,,                225803,                              0,              2975141,                              0,                103155,              3078296,              5435053,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2014年12月31日,,,,                873255,,                    889,,                 62690,,                682130,,                 24061,,                  4256,,,                589761,                589761,,                 60915,,                145224,                 50454,                195678,              2493635,,,              2329495,,                104603,,                  9688,                 11356,,                 74957,                 25419,                188975,,                 12468,                301819,              2756961,              5250596,,,,,                926514,,                              0,,                 29128,,                310115,,                275993,                 44359,                 26400,,,                 30825,,                              0,                  2350,                 33175,              1645684,,,                209679,,                170000,,                104845,,                 12056,                 49698,                  5016,                 66770,                551294,              2196978,,,,              1057964,              1057964,,                184416,,                283319,                106123,,              1066944,              1456386,,                248819,                              0,              2947585,                              0,                106033,              3053618,              5250596,              0,              0,              0,                              0,                873255,,                              0,                  4256,                 60915,                 12468,              5250596,,,,                926514,,                              0,,                 29128,,                310115,,                              0,,                275993,                 44359,                 26400,,,                 30825,,                              0,                              0,                  2350,                 33175,              1645684,,,                209679,,                170000,,                104845,,                 12056,                 49698,                  5016,                 66770,                551294,              2196978,,,,              1057964,                              0,              1057964,,                184416,,                283319,                106123,,              1066944,              1456386,,                248819,                              0,              2947585,                106033,              3053618,,,,,
9944,2014年09月30日,,,,                868239,,                    527,,                 60446,,                615471,,                 31011,,                  5686,,,                580591,                580591,,                 80157,,                159952,                 67421,                227373,              2469501,,,              2075100,,                105056,,                  4275,                  7441,,                184001,                 21940,                182157,,                 12086,                400184,              2592056,              5061557,,,,,                863403,,                              0,,                 28446,,                302261,,                274319,                 37598,                 32761,,,                 24385,,                              0,                 13241,                 37626,              1576414,,,                214861,,                170000,,                 78562,,                 11584,                 48130,                  4717,                 64431,                527854,              2104268,,,,              1055175,              1055175,,                180645,,                283319,                106123,,              1055178,              1444620,,                177170,                              0,              2857610,                              0,                 99679,              2957289,              5061557,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2014年06月30日,,,,                790301,,                  1026,,                 64484,,                732904,,                 26002,,                  4948,,,                569833,                569833,,                 78152,,                155992,                 35731,                191723,              2459373,,,              2049596,,                105510,,                  4501,                  8356,,                 53629,                  6549,                180132,,                 11743,                252053,              2420016,              4879389,,,,,                652791,,                              0,,                 40715,,                338216,,                292357,                 37827,                 36455,,,                 41447,,                              0,                 13305,                 54752,              1453113,,,                251536,,                170000,,                 70818,,                 11431,                 55041,                  4712,                 71184,                563538,              2016651,,,,              1038880,              1038880,,                158800,,                283319,                106123,,              1035954,              1425396,,                146487,                              0,              2769563,                              0,                 93175,              2862738,              4879389,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2014年03月31日,,,,                829033,,                    455,,                 58272,,                659897,,                 15328,,                  5005,,,                566581,                566581,,                 71056,,                 97069,                 32307,                129376,              2335003,,,              2051935,,                105455,,                  4964,                  8489,,                 37880,                  6458,                185172,,                 12563,                242073,              2412916,              4747919,,,,,                605525,,                              0,,                 49783,,                319699,,                236148,                 35595,                 12057,,,                 10974,,                              0,                 12362,                 23336,              1282143,,,                323800,,                170000,,                 79251,,                 11723,                 54833,                  4707,                 71263,                644314,              1926457,,,,              1007048,              1007048,,                116603,,                272772,                129045,,              1026965,              1428782,,                179142,                              0,              2731575,                              0,                 89887,              2821462,              4747919,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,2013年12月31日,,,,,,                              0,,                 61321,,                709402,,                 16922,,,,,                572223,                572223,,                 47016,,                225973,                 23548,                249521,              2458730,,,              2015795,,                105909,,                  5233,                  8343,,                 10444,                  7264,                184043,,                 14008,                215759,              2351039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                780068,,                              0,                 22257,                 47016,                 14008,              4809769,,,,                972464,,                              0,,                 26384,,                413726,,                              0,,                261903,                 38193,                 15250,,,                 21560,,                              0,                              0,                 13036,                 34596,              1762516,,,                              0,,                170000,,                 72510,,                 11632,                 54763,                  4412,                 70807,                313317,              2075833,,,,              1007048,                              0,              1007048,,                 95368,,                272772,                129045,,                980797,              1382614,,                153978,                              0,              2639008,                 94928,              2733936,                              0,                              0,,,
9944,2013年09月30日,,,,,,                              0,,                 51115,,                647060,,                 13707,,,,,                560602,                560602,,                 75326,,                223409,                 24181,                247590,              2400784,,,              1910828,,                106116,,                  5505,                  7617,,                 19963,                  7364,                186517,,                 13632,                227476,              2257542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                780319,,,                 25065,,,              4658326,,,,                939248,,                 30000,,                 44895,,                294813,,,,                239988,                 36332,                  7967,,,                 28810,,,                170000,                 18304,                217114,              1810357,,,                              0,,                              0,,                 63307,,                 11643,                 48715,                  4665,                 65023,                128330,              1938687,,,,              1007048,,              1007048,,                 95368,,                272772,                129045,,                986451,              1388268,,                135155,                              0,              2625839,                 93800,              2719639,                              0,,,,
9944,2013年06月30日,,,,,,                              0,,                 47578,,                697578,,                 15067,,,,,                541886,                541886,,                 59979,,                160711,                 22278,                182989,              2442939,,,              1914173,,                106551,,                  5962,                  7697,,                 19031,                  7484,                181102,,                 22076,                229693,              2264076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                876219,,,                 21643,,,              4707015,,,,                978605,,                 30000,,                 64943,,                289900,,,,                234925,                 37082,                 15719,,,                 14839,,,                170000,                 18469,                203308,              1854482,,,                              0,,                              0,,                 65380,,                 11750,                 48549,                  4673,                 64972,                130352,              1984834,,,,              1007048,,              1007048,,                 95368,,                272772,                129045,,                974890,              1376707,,                152695,                              0,              2631818,                 90363,              2722181,                              0,                              0,,,
