證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　　　 其他應付款－其他,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 應收建造合約款,　　　 其他應付款項－關係人,　　　 其他權益,　　　　 其他權益合計,　　 非控制權益
9946,2015年09月30日,,,,                446185,,                              0,,                              0,,                  1360,,                 42271,,                              0,,                    257,,,                  5641,,             10092800,             10098441,,                221667,,                 57564,                 27452,                 85016,             10895197,,,                135543,,                 16081,                 11524,,                              0,,                284340,,                  5090,                289430,                452578,             11347775,,,,,              5061236,,                 70560,,                284438,,                              0,,                106856,                  1941,,,                686733,,                              0,                  4308,                  4308,                 56186,                747227,              6272258,,,                668843,,                 32667,,                              0,,                 20749,                722259,              6994517,,,,              2661425,                              0,              2661425,,,                493450,                 16859,                              0,                510309,,                228030,,                992103,              1220133,                 38609,              4353258,              4353258,             11347775,              0,              0,      1913000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2015年06月30日,,,,                565653,,                              0,,                              0,,                    927,,                 41281,,                              0,,                    264,,,                  6490,,             11803697,             11810187,,                408437,,                305981,                 32397,                338378,             13165127,,,                136366,,                 16510,                 11864,,                  1628,,                284340,,                  5847,                291815,                456555,             13621682,,,,,              6677260,,                128563,,                333624,,                      7,,                104155,                  4258,,,              1581771,,                  1400,                  4308,                  5708,                113273,              1700752,              8948619,,,                666299,,                 33744,,                    340,,                 20712,                721095,              9669714,,,,              2161369,                396214,              2660684,,,                493285,                 16859,                      6,                510150,,                228030,,                590259,                818289,                 37155,              3951968,              3951968,             13621682,              0,     39621400,      1832000,                103101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2015年03月31日,,,,                266964,,                              0,,                              0,,                    935,,                  6330,,                              0,,                      8,,,,,,             11316046,,                378398,,                368544,                 28295,                396839,             12365520,,,                137009,,                 16715,                 11864,,                  1628,,                284340,,                  6198,                292166,                457754,             12823274,,,,,              6185720,,                102915,,                372222,,                              0,,                 84664,                  9027,,,              1303947,,,,                484679,                 90589,              1879215,              8633763,,,                663755,,                 34821,,                    340,,                 20658,                719574,              9353337,,,,              2062027,                 99342,              2161369,,,,,,                425846,,,,,                882722,,              3469937,              3469937,             12823274,              0,      9934200,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2014年12月31日,,,,                367456,,                    181,,                              0,,                    878,,                  3822,,                     15,,                              0,,,                  7819,,             10822125,             10829944,,                367650,,                371049,                 26932,                397981,             11967927,,,                137517,,                 16899,                 11864,,                  1628,,                284340,,                  6371,                292339,                458619,             12426546,,,,,              5950366,,                104809,,                291318,,                    101,,                 97581,                  6461,,,              1312980,,                597609,                  4308,                601917,                 14718,              1929615,              8380251,,,                661211,,                 35897,,                    340,,                 20614,                718062,              9098313,,,,              2058242,                  3785,              2062027,,,                386316,                 16859,                  2218,                405393,,                223656,,                637157,                860813,                              0,              3328233,              3328233,             12426546,              0,        378500,              0,                              0,                367456,                              0,             12426546,,,,              5950366,,                104809,,                291318,,                    101,,                 97581,                  6461,,              1929615,              8380251,,,                661211,,                 35897,,                    340,,                 20614,                718062,              9098313,,,,              2058242,                  3785,              2062027,,                405393,,                860813,                              0,              3328233,              3328233,,,,,,,,,,,,,,,,,,,,,,,
9946,2014年09月30日,,,,                159597,,                              0,,                149000,,                    877,,                  8571,,                    723,,                  1252,,,                 11217,,             10199744,             10210961,,                409694,,                427756,                 34386,                462142,             11402817,,,                138142,,                 17044,                  4947,,                  1248,,                284340,,                  7910,                293498,                453631,             11856448,,,,,              5461736,,                134125,,                216779,,                              0,,                 83837,                 60134,,,              1310979,,                599273,                  4308,                603581,                 18922,              1933482,              7890093,,,                658667,,                 36974,,                    294,,                 30586,                726521,              8616614,,,,              2047653,                 19039,              2066692,,,                387135,                 16859,                  2235,                406229,,                223656,,                563042,                786698,                 19785,              3239834,              3239834,             11856448,              0,      1903900,        845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2014年06月30日,,,,                269102,,                              0,,                149000,,                    539,,                  7229,,                              0,,                      7,,,                 10581,,              9798089,              9808670,,                368104,,                427956,                 17157,                445113,             11047764,,,                138987,,                 17033,                  4539,,                  1248,,                284340,,                  7927,                293515,                454074,             11501838,,,,,              4614996,,                118801,,                204699,,                              0,,                608782,                 61782,,,              1294209,,                619108,                  4308,                623416,                 17650,              1935275,              7544335,,,                656123,,                 38051,,                    212,,                 30632,                725018,              8269353,,,,              2047288,                    365,              2047653,,,                383024,                 16859,                  2321,                402204,,                223656,,                578757,                802413,                 19785,              3232485,              3232485,             11501838,              0,         36500,        845000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2014年03月31日,,,,                184251,,                              0,,                198500,,                    639,,                  8516,,                              0,,                     37,,,,,,              9095401,,                327599,,                647905,                 14321,                662226,             10477169,,,                139906,,                 16618,                  4154,,                  1248,,                284340,,                  6023,                291611,                452289,             10929458,,,,,              4074106,,                105038,,                211137,,                              0,,                 97365,                 22825,,,              1221537,,,,                620972,                 18128,              1860637,              6371108,,,                653579,,                 39128,,                    294,,                 30635,                723636,              7094744,,,,              2045463,                  1825,              2047288,,,,,,                402098,,,,,              1385328,,              3834714,              3834714,             10929458,              0,        182500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,2013年12月31日,,,,,,                     64,,,,                    248,,                  9399,,                              0,,,,,,,,              8307307,,                326790,,,,                530431,              9776187,,,                140764,,                 16813,                  1658,,,,,,,                290072,                449307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        868600,              0,,                403448,                198500,             10225494,,,,              3301526,,                110221,,                238228,,                              0,,                115033,                 22197,,              1931355,              5718560,,,                651035,,                 40205,,                    294,,                 30654,                722188,              6440748,,,,              2036777,                  8686,              2045463,,                401447,,              1337836,                              0,              3784746,              3784746,,,,,,,,,,,,,,,,,,,,,,,
9946,2013年09月30日,,,,,,                    194,,,,                    963,,                 10536,,                              0,,,,,                  8735,,              7229508,              7238243,,                344354,,,,                551037,              9127134,,,                141436,,                 17491,                  1855,,,,,,                  4428,                  4428,                165210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        708000,              0,,                782781,                198500,              9292344,,,,              3137446,,                104847,,                208141,,,,                142867,                 22952,,              1996602,              5612855,,,                              0,,                 41282,,                  4091,,                  1296,                 46669,              5659524,,,,              2029697,                  7080,              2036777,,                398346,,              1197697,                              0,              3632820,              3632820,,                    394,                    132,                              0,                142867,                624608,,              1327720,,                  4308,                 39966,                    481,                    815,                100021,,              1097676,,,,,,,
9946,2013年06月30日,,,,,,                              0,,,,                  3186,,                 29902,,,,,,,                  9841,,              7315815,              7325656,,                389719,,,,                 84164,              8940262,,,                142691,,                 16108,                 11104,,,,,,                348384,                348384,                519140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        565700,              0,,                908893,                198500,              9459402,,,,              3055970,,                127089,,                173890,,,,                556057,                 22085,,              1737445,              5672536,,,                630859,,                 42718,,                  4091,,                 11398,                689066,              6361602,,,,              2024040,                  5657,              2029697,,                395813,,                672290,                              0,              3097800,              3097800,,                      5,                    237,                              0,                556057,                              0,,              1698424,,                  4308,                 34713,                    481,                 10917,                100021,,                572269,,                    853,,,,,
