證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1313,2015年第3季,,,             10734714,,                  8712,             10743426,,,             10564425,                  6856,             10571281,                172145,                172145,,,                205782,,                182141,                387923,               -215778,,,                284296,                284296,,               -439127,,                 89427,,                   -240,               -244498,               -460276,,               -214637,               -245639,               -245639,,,                573159,               -939205,,                              0,                 22200,               -388246,               -388246,               -633885,,               -245639,                              0,,               -633885,                              0,,                             -0.21,,                             -0.21,,,,,,,
1313,2015年第2季,,,             11779012,,                  9461,             11788473,,,             11100431,                  7271,             11107702,                680771,                680771,,,                196958,,                266667,                463625,                217146,,,                482852,                482852,,                 50828,,                 85008,,                 -2258,                446414,                663560,,                189195,                474365,                474365,,,               -189128,                478443,,                 -1689,                 -4820,                292446,                292446,                766811,,                474365,,,                766811,                              0,,                              0.41,,                              0.41,                              0,,,,,,
1313,2015年01月01日至2015年09月30日,,,             33434778,,                 32116,             33466894,,,             32062425,                 25534,             32087959,              1378935,              1378935,,,                592458,,                682054,              1274512,                104423,,,                975289,                975289,,               -501822,,                261504,,                 -5065,                206898,                311321,,                 -4891,                316212,                316212,,,                116566,               -413800,,                 -4386,                 13560,               -315180,               -315180,                  1032,,                316212,                              0,,                  1032,                              0,,                              0.27,,                              0.27,,,,,,,
1313,2015年01月01日至2015年06月30日,,,             22700064,,                 23404,             22723468,,,             21498000,                 18678,             21516678,              1206790,              1206790,,,                386676,,                499913,                886589,                320201,,,                690993,                690993,,                -62695,,                172077,,                 -4825,                451396,                771597,,                209746,                561851,                561851,,,               -456593,                525405,,                 -4386,                 -8640,                 73066,                 73066,                634917,,                561851,,,                634917,                              0,,                              0.48,,                              0.48,                              0,,,,,,
1313,2015年01月01日至2015年03月31日,,,             10921052,,                 13943,             10934995,,,             10397569,                 11407,             10408976,                526019,                526019,,,                189718,,                233246,                422964,                103055,,,                208141,                208141,,               -113523,,                 87069,,                 -2567,                  4982,                108037,,                 20551,                 87486,                 87486,,,               -267465,                 46962,,                 -2697,                 -3820,               -219380,               -219380,               -131894,,                 87486,                              0,,               -131894,                              0,,                              0.08,,                              0.08,,,,,,,
1313,2014年第3季,,,             12815200,,                 16073,             12831273,,,             12417160,                 20065,             12437225,                394048,                394048,,,                193279,,                196839,                390118,                  3930,,,                282989,                282989,,                -31588,,                104333,,                   -204,                146864,                150794,,                -14711,                165505,                165505,,,                313671,               -385136,,                  3256,                  6000,                -74209,                -74209,                 91296,,                165505,                              0,,                 91296,                              0,,                              0.14,,                              0.14,,,,,,,
1313,2014年第2季,,,             14114064,,                 18699,             14132763,,,             13568995,                 14526,             13583521,                549242,                549242,,,                199011,,                232665,                431676,                117566,,,                148182,                148182,,                -88770,,                115329,,                 -1475,                -57392,                 60174,,                 11142,                 49032,                 49032,,,               -336213,                 83577,,                 -3594,                 -6490,               -249740,               -249740,               -200708,,                 49032,,,               -200708,                              0,,                              0.04,,                              0.04,                              0,,,,,,
1313,2014年度,,,             53054454,,                227644,             53282098,,,             51766426,                179854,             51946280,              1335818,              1335818,,,                872946,,                853699,              1726645,               -390827,,,                638682,                638682,,               -210613,,                426527,,                 -7319,                 -5777,               -396604,,               -152702,               -243902,               -243902,,,,,,,,,                608976,                365074,,               -243252,                   -650,,                365482,                   -408,,                             -0.21,,                             -0.21,,                996162,               -367487,                -11928,,                 10129,                 17900
1313,2014年01月01日至2014年09月30日,,,             40043798,,                 68075,             40111873,,,             38799308,                 59109,             38858417,              1253456,              1253456,,,                571539,,                633199,              1204738,                 48718,,,                541662,                541662,,               -267027,,                331577,,                 -4019,                -60961,                -12243,,                -65110,                 52867,                 52867,,,                218357,               -398603,,                  2022,                  6590,               -184814,               -184814,               -131947,,                 53517,                   -650,,               -131539,                   -408,,                              0.05,,                              0.05,,,,,,,
1313,2014年01月01日至2014年06月30日,,,             27228598,,                 52002,             27280600,,,             26382148,                 39044,             26421192,                859408,                859408,,,                378260,,                436360,                814620,                 44788,,,                258673,                258673,,               -235439,,                227244,,                 -3815,               -207825,               -163037,,                -50399,               -112638,               -112638,,,                -95314,                -13467,,                 -1234,                    590,               -110605,               -110605,               -223243,,               -111988,,,               -222835,                   -408,,                             -0.10,,                             -0.10,                   -650,,,,,,
1313,2014年01月01日至2014年03月31日,,,             13114534,,                 33303,             13147837,,,             12813153,                 24518,             12837671,                310166,                310166,,,                179249,,                203695,                382944,                -72778,,,                110491,                110491,,               -146669,,                111915,,                 -2340,               -150433,               -223211,,                -61541,               -161670,               -161670,,,                240899,                -97044,,                  2360,                  7080,                139135,                139135,                -22535,,               -161020,                   -650,,                -22127,                   -408,,                             -0.14,,                             -0.14,,,,,,,
1313,2013年第3季,,,             12815486,,                 56234,             12871720,,,             12321024,                 41597,             12362621,                509099,                509099,,,                203387,,                230459,                433846,                 75253,,,                238821,                238821,,                123668,,                 99376,,                  1599,                264712,                339965,,                 39514,                300451,                300451,,,,,,,,,                  7777,                308228,,                301240,                   -789,,                308828,                   -600,,                              0.26,,                              0.26,,               -157580,                162480,,,                 -1643,                 -4520
1313,2013年第2季,,,             13774367,,                 52342,             13826709,,,             13683717,                 29013,             13712730,                113979,                113979,,,                199287,,                186736,                386023,               -272044,,,                 99185,                 99185,,                222454,,                 92766,,                 -4602,                224271,                -47773,,                -32027,                -15746,                -15746,,,,,,,,,                328864,                313118,,                -14264,,,                313658,                   -540,,                             -0.01,,                             -0.01,                 -1482,                263364,                 63646,,,                  3684,                  1830
1313,2013年度,,,             51390885,,                208221,             51599106,,,             50007643,                141323,             50148966,              1450140,              1450140,,,                802457,,                808704,              1611161,               -161021,,,                560658,                560658,,                643076,,                380842,,                 -8230,                814662,                653641,,                 60613,                593028,                593028,,,,,,,,,              1239692,              1832720,,                597975,                 -4947,,              1834326,                 -1606,,                              0.52,,                              0.52,,                764133,                474341,                 -1463,,                 10351,                  7670
1313,2013年07月01日至2013年09月30日,,,             12815486,,                 56234,             12871720,,,             12321024,                 41597,             12362621,                509099,                509099,,,                203387,,                230459,                433846,                 75253,,,                238821,                238821,,                123668,,                 99376,,                  1599,                264712,                339965,,                 39514,                300451,                300451,,,,,,,,,                  7777,                308228,,                301240,                   -789,,                308828,                   -600,,                              0.26,,                              0.26,,               -157580,                162480,,,                 -1643,                 -4520
1313,2013年04月01日至2013年06月30日,,,             13774367,,                 52342,             13826709,,,             13683717,                 29013,             13712730,                113979,                113979,,,                199287,,                186736,                386023,               -272044,,,                 99185,                 99185,,                222454,,                 92766,,                 -4602,                224271,                -47773,,                -32027,                -15746,                -15746,,,,,,,,,                328864,                313118,,                -14264,,,                313658,                   -540,,                             -0.01,,                             -0.01,                 -1482,                263364,                 63646,,,                  3684,                  1830
1313,2013年01月01日至2013年12月31日,,,             51390885,,                208221,             51599106,,,             50007643,                141323,             50148966,              1450140,              1450140,,,                802457,,                808704,              1611161,               -161021,,,                560658,                560658,,                643076,,                380842,,                 -8230,                814662,                653641,,                 60613,                593028,                593028,,,,,,,,,              1239692,              1832720,,                597975,                 -4947,,              1834326,                 -1606,,                              0.52,,                              0.52,,                764133,                474341,                 -1463,,                 10351,                  7670
1313,2013年01月01日至2013年09月30日,,,             37937952,,                158223,             38096175,,,             36992867,                102067,             37094934,              1001241,              1001241,,,                579772,,                615565,              1195337,               -194096,,,                433026,                433026,,                524671,,                281214,,                 -6174,                670309,                476213,,                 22331,                453882,                453882,,,,,,,,,                694499,              1148381,,                458824,                 -4942,,              1150827,                 -2446,,                              0.40,,                              0.40,,                526928,                165550,,,                  7441,                  5420
