證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 與其他綜合損益組成部分相關之所得稅
1323,2015年第3季,,,                763664,                763664,,,                571038,                571038,                192626,                192626,,,                 49996,,                 42671,,                 10931,                103598,,                    -30,                 88998,,,                  9186,,                 18788,,                  4872,                 23102,                112100,,                 26628,                 85472,                 85472,,,                              0,                              0,,                 25496,                   -827,                 24669,                 24669,                110141,,                 63042,                 22430,,                 87861,                 22280,,                              0.69,,                              0.69,,,,,,,,,,,,,,,,,
1323,2015年第2季,,,                756666,                756666,,,                585178,                585178,                171488,                171488,,,                 47503,,                 37032,,                 11109,                 95644,,                     15,                 75859,,,                 12862,,                -10063,,                  5372,                 -2573,                 73286,,                 17872,                 55414,                 55414,,,                              0,                              0,,                -10947,                   -780,                -11727,                -11727,                 43687,,                 40410,                 15004,,                 28774,                 14913,,                              0.44,,                              0.44,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,
1323,2015年第1季,,,                754527,                754527,,,                568801,                568801,                185726,                185726,,,                 43942,,                 36754,,                 10643,                 91339,,                              0,                 94387,,,                  9572,,                -12129,,                  5961,                 -8518,                 85869,,                 26541,                 59328,                 59328,,,,,,                -16322,                    -91,                -16413,                -16413,                 42915,,                 47353,                 11975,,                 30961,                 11954,,                              0.52,,                              0.52,,,,,,,,,,,,,,,,,
1323,2015年01月01日至2015年09月30日,,,              2274857,              2274857,,,              1725017,              1725017,                549840,                549840,,,                141441,,                116457,,                 32683,                290581,,                    -15,                259244,,,                 31620,,                 -3404,,                 16205,                 12011,                271255,,                 71041,                200214,                200214,,,                              0,                              0,,                 -1773,                 -1698,                 -3471,                 -3471,                196743,,                150805,                 49409,,                147596,                 49147,,                              1.66,,                              1.65,,,,,,,,,,,,,,,,,
1323,2015年01月01日至2015年06月30日,,,              1511193,              1511193,,,              1153979,              1153979,                357214,                357214,,,                 91445,,                 73786,,                 21752,                186983,,                     15,                170246,,,                 22434,,                -22192,,                 11333,                -11091,                159155,,                 44413,                114742,                114742,,,                              0,                              0,,                -27269,                   -871,                -28140,                -28140,                 86602,,                 87763,                 26979,,                 59735,                 26867,,                              0.97,,                              0.96,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,
1323,2014年第3季,,,                894194,                894194,,,                653911,                653911,                240283,                240283,,,                 55171,,                 42586,,                 14555,                112312,,                     -7,                127964,,,                 22091,,                -11172,,                  6006,                  4913,                132877,,                 33408,                 99469,                 99469,,,                              0,                              0,,                 18329,                   -433,                 17896,                 17896,                117365,,                 78534,                 20935,,                 96705,                 20660,,                              0.86,,                              0.86,,,,,,,,,,,,,,,,,
1323,2014年第2季,,,                831651,                831651,,,                620998,                620998,                210653,                210653,,,                 48471,,                 39594,,                  9802,                 97867,,                     -4,                112782,,,                 10291,,                 -9740,,                  6451,                 -5900,                106882,,                 34871,                 72011,                 72011,,,                              0,                              0,,                -19283,                    381,                -18902,                -18902,                 53109,,                 56299,                 15712,,                 37255,                 15854,,                              0.62,,                              0.62,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,
1323,2014年第1季,,,                823477,                823477,,,                621891,                621891,                201586,                201586,,,                 49066,,                 41552,,                 11417,                102035,,                     79,                 99630,,,                 10874,,                  1758,,                  7031,                  5601,                105231,,                 29104,                 76127,                 76127,,,,,,                 12016,                    643,                 12659,                 12659,                 88786,,                 59005,                 17122,,                 71437,                 17349,,                              0.65,,                              0.65,,,,,,,,,,,,,,,,,
1323,2014年度,,,              3471411,              3471411,,,              2581357,              2581357,                890054,                890054,,,                209658,,                158153,,                 48341,                416152,,                     68,                473970,,,                 50391,,                -17849,,                 25876,                  6666,                480636,,                132919,                347717,                347717,,,,,,,,,                 23407,                371124,,                273626,                 74091,,                298483,                 72641,,                              3.01,,                              2.99,,,,,,,,,,,                 70534,                  1490,                -44128,                 -4489,                              3.01,                              2.99,
1323,2014年01月01日至2014年09月30日,,,              2549322,              2549322,,,              1896800,              1896800,                652522,                652522,,,                152708,,                123732,,                 35774,                312214,,                     68,                340376,,,                 43256,,                -19154,,                 19488,                  4614,                344990,,                 97383,                247607,                247607,,,                              0,                              0,,                 11062,                    591,                 11653,                 11653,                259260,,                193929,                 53678,,                205488,                 53772,,                              2.13,,                              2.12,,,,,,,,,,,,,,,,,
