證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）
1326,2015年第3季,,             79201681,,             72911380,              6290301,              6290301,,,              2144380,,              1455623,              3600003,              2690298,,,              3851944,,              1186031,,                549592,,              3074784,              7563167,             10253465,,              1281742,              8971723,              8971723,,,                              0,                              0,,              2411471,            -14902813,,             -1203065,                442010,            -14136417,            -14136417,             -5164694,,              7804936,              1166787,,             -6775544,              1610850,,                              1.34,                              1.34,,,,,,
1326,2015年第2季,,             90568175,,             77409221,             13158954,             13158954,,,              2192963,,              1411350,              3604313,              9554641,,,                523721,,               -371633,,                598039,,              6140965,              5695014,             15249655,,              1774731,             13474924,             13474924,,,,,,               -991419,             -7370469,,             -2780391,                -98000,            -11044279,            -11044279,              2430645,,             12202306,              1272618,,               -647264,              3077909,,                              2.09,                              2.09,,,,,,
1326,2015年第1季,,             80909048,,             74716000,              6193048,              6193048,,,              2221659,,              1304119,              3525778,              2667270,,,                372501,,               -225575,,                565390,,                282616,               -135848,              2531422,,                474331,              2057091,              2057091,,,,,,             -1229904,              2789591,,                216843,               -136044,              1912574,              1912574,              3969665,,              1486545,                570546,,              3758256,                211409,,                              0.25,                              0.25,,,,,,
1326,2015年01月01日至2015年09月30日,,            250678904,,            225036601,             25642303,             25642303,,,              6559002,,              4171092,             10730094,             14912209,,,              4748166,,                588823,,              1713021,,              9498365,             13122333,             28034542,,              3530804,             24503738,             24503738,,,                              0,                              0,,                190148,            -19483691,,             -3766613,                207966,            -23268122,            -23268122,              1235616,,             21493787,              3009951,,             -3664552,              4900168,,                              3.68,                              3.68,,,,,,
1326,2015年01月01日至2015年06月30日,,            171477223,,            152125221,             19352002,             19352002,,,              4414622,,              2715469,              7130091,             12221911,,,                896222,,               -597208,,              1163429,,              6423581,              5559166,             17781077,,              2249062,             15532015,             15532015,,,,,,             -2221323,             -4580878,,             -2563548,               -234044,             -9131705,             -9131705,              6400310,,             13688851,              1843164,,              3110992,              3289318,,                              2.34,                              2.34,,,,,,
1326,2014年第3季,,            100725009,,             93950172,              6774837,              6774837,,,              2167902,,              1330364,              3498266,              3276571,,,              3670233,,                311732,,                652726,,              2430306,              5759545,              9036116,,                298196,              8737920,              8737920,,,                              0,                              0,,              1511695,            -13920066,,             -2012331,                180014,            -14600716,            -14600716,             -5862796,,              7441506,              1296414,,             -6388937,                526141,,                              1.27,                              1.27,,,,,,
1326,2014年第2季,,            110381586,,            104304267,              6077319,              6077319,,,              2191681,,              1230122,              3421803,              2655516,,,                453291,,                133953,,                669816,,              2063245,              1980673,              4636189,,                409990,              4226199,              4226199,,,,,,             -1876921,             19125040,,              3950182,               -214180,             21412481,             21412481,             25638680,,              3469584,                756615,,             24893215,                745465,,                              0.60,                              0.60,,,,,,
1326,2014年第1季,,            100960296,,             95975080,              4985216,              4985216,,,              1949065,,              1348214,              3297279,              1687937,,,                413524,,              3071900,,                645999,,              2520514,              5359939,              7047876,,                731453,              6316423,              6316423,,,,,,              1205938,             -5651147,,               -388967,                135910,             -4970086,             -4970086,              1346337,,              5678904,                637519,,              1465184,               -118847,,                              0.97,                              0.97,,,,,,
1326,2014年度,,            401453739,,            383655665,             17798074,             17798074,,,              8468032,,              5284295,             13752327,              4045747,,,              4894649,,              4806423,,              2584695,,              4532308,             11648685,             15694432,,              1673291,             14021141,             14021141,,,,,,,,,,,,             12852455,             26873596,,             10530288,              3490853,,             25182244,              1691352,,                              1.80,                              1.80,              4356765,              5170789,,              3867126,                542225,                              0.00
1326,2014年01月01日至2014年09月30日,,            312066891,,            294229519,             17837372,             17837372,,,              6308648,,              3908700,             10217348,              7620024,,,              4537048,,              3517585,,              1968541,,              7014065,             13100157,             20720181,,              1439639,             19280542,             19280542,,,                              0,                              0,,                840712,               -446173,,              1548884,                101744,              1841679,              1841679,             21122221,,             16589994,              2690548,,             19969462,              1152759,,                              2.84,                              2.84,,,,,,
