證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　　 銷貨收入,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換損失
1418,2015年第3季,,,,                301938,                              0,                     11,                301927,                301927,,                298116,                  3811,                  3811,,,                 18034,,                 16332,,                  2425,                 36791,                -32980,,,,                      7,                     70,                 15648,                 15725,,                   -249,                              0,                              0,                   -249,,                  4641,                  4641,,                    558,                   -558,                 10277,                -22703,,                      9,                -22712,                -22712,,,                    718,,                              0,                    718,                    718,                -21994,,                -22704,                     -8,,                -21986,                     -8,,                             -0.18,                             -0.18,,,,,,,,
1418,2015年第2季,,,,                418482,                    178,                    235,                418069,                418069,,                437652,                -19583,                -19583,,,                 19087,,                 16684,,                  2296,                 38067,                -57650,,,,                     41,                 16945,                 16784,                 33770,,                  4114,                              0,                              0,                  4114,,                  4980,                  4980,,                    723,                   -723,                 32181,                -25469,,                    835,                -26304,                -26304,,,                -20275,,                              0,                -20275,                -20275,                -46579,,                -26293,                    -11,,                -46568,                    -11,,                             -0.21,                             -0.21,                418482,,,,,,,
1418,2015年01月01日至2015年09月30日,,,,              1042550,                    198,                    413,              1041939,              1041939,,              1080530,                -38591,                -38591,,,                 51225,,                 50286,,                  7150,                108661,               -147252,,,,                    196,                 17015,                 32482,                 49693,,                  4709,                      5,                              0,                  4704,,                 14412,                 14412,,                  1719,                 -1719,                 38266,               -108986,,                  1864,               -110850,               -110850,,,                -22542,,                              0,                -22542,                -22542,               -133392,,               -110825,                    -25,,               -133367,                    -25,,                             -0.90,                             -0.90,,,,,,,,
1418,2015年01月01日至2015年06月30日,,,,                740612,                    198,                    402,                740012,                740012,,                782414,                -42402,                -42402,,,                 33191,,                 33954,,                  4725,                 71870,               -114272,,,,                    189,                 16945,                 16834,                 33968,,                  4958,                      5,                              0,                  4953,,                  9771,                  9771,,                  1161,                 -1161,                 27989,                -86283,,                  1855,                -88138,                -88138,,,                -23260,,                              0,                -23260,                -23260,               -111398,,                -88121,                    -17,,               -111381,                    -17,,                             -0.72,                             -0.72,                740612,,,,,,,
1418,2015年01月01日至2015年03月31日,,,,                322130,                     20,                    167,                321943,                321943,,                344762,                -22819,                -22819,,,                 14104,,                 17270,,                  2429,                 33803,                -56622,,,,                    148,,                     50,                    198,,                    844,                      5,,                    839,,                  4791,                  4791,,                    438,                   -438,                 -4192,                -60814,,                  1020,                -61834,                -61834,,,                 -2985,,                              0,                 -2985,                 -2985,                -64819,,                -61828,                     -6,,                -64813,                     -6,,                             -0.51,                             -0.51,,,,,,,,
1418,2014年第3季,,,,                497597,                  1689,                    259,                495649,                495649,,                491430,                  4219,                  4219,,,                 20795,,                 19041,,                  3064,                 42900,                -38681,,,,                      5,                     77,                    136,                    218,,                   -138,                      9,                              0,                   -147,,                  4370,                  4370,,                    362,                   -362,                 -4661,                -43342,,                    397,                -43739,                -43739,,,                 -3031,,                      6,                 -3025,                 -3025,                -46764,,                -43728,                    -11,,                -46759,                     -5,,                             -0.36,                             -0.36,,,,,,,,
1418,2014年第2季,,,,                537603,                              0,                    583,                537020,                537020,,                548503,                -11483,                -11483,,,                 22865,,                 17350,,                  3018,                 43233,                -54716,,,,                     23,                 23634,                 22236,                 45893,,                  5879,                      1,                    116,                  5762,,                  4985,                  4985,,                    598,                   -598,                 46072,                 -8644,,                  1996,                -10640,                -10640,,,                -31076,,                     -7,                -31083,                -31083,                -41723,,                -10634,                     -6,,                -41717,                     -6,,                             -0.09,                             -0.09,                537603,,,,,,,
1418,2014年01月01日至2014年09月30日,,,,              1457041,                  1689,                  1693,              1453659,              1453659,,              1458329,                 -4670,                 -4670,,,                 61356,,                 53318,,                  8554,                123228,               -127898,,,,                    176,                 23711,                 22590,                 46477,,                  2377,                     25,                    116,                  2236,,                 12908,                 12908,,                  1447,                 -1447,                 34358,                -93540,,                  2738,                -96278,                -96278,,,                -31514,,                      6,                -31508,                -31508,               -127786,,                -96262,                    -16,,               -127770,                    -16,,                             -0.80,                             -0.80,,,,,,,,
1418,2014年01月01日至2014年06月30日,,,,                959444,                              0,                  1434,                958010,                958010,,                966899,                 -8889,                 -8889,,,                 40561,,                 34277,,                  5490,                 80328,                -89217,,,,                    171,                 23634,                 22454,                 46259,,                  2515,                     16,                    116,                  2383,,                  8538,                  8538,,                  1085,                 -1085,                 39019,                -50198,,                  2341,                -52539,                -52539,,,                -28483,,                              0,                -28483,                -28483,                -81022,,                -52528,                    -11,,                -81011,                    -11,,                             -0.43,                             -0.43,                959444,,,,,,,
1418,2014年01月01日至2014年03月31日,,,,                421841,                              0,                    851,                420990,                420990,,                418396,                  2594,                  2594,,,                 17696,,                 16927,,                  2472,                 37095,                -34501,,,,                    148,,                    218,                    366,,                 -3364,                     15,,                 -3379,,                  3553,                  3553,,                    487,                   -487,                 -7053,                -41554,,                    345,                -41899,                -41899,,,                  2593,,                      7,                  2600,                  2600,                -39299,,                -41894,                     -5,,                -39294,                     -5,,                             -0.35,                             -0.35,,                  2593,,                      7,,,,
1418,2013年07月01日至2013年09月30日,,,,                596963,                              0,                    612,                596351,                596351,,                574192,                 22159,                 22159,,,                 28235,,                 18123,,                  2837,                 49195,                -27036,,,,                      6,                     52,                    860,                    918,,                  1549,                              0,                              0,                  1549,,                  3035,                  3035,,                    528,                   -528,                 -1096,                -28132,,                    838,                -28970,                -28970,,,,,,,                     93,                -28877,,                -28965,                     -5,,                -28872,                     -5,,                             -0.24,                             -0.24,,                     98,,                     -5,,,,
1418,2013年04月01日至2013年06月30日,,,,                395903,                    208,                    526,                395169,                395169,,                419689,                -24520,                -24520,,,                 15783,,                 16941,,                  2725,                 35449,                -59969,,,,                      6,                 14549,                 10453,                 25008,,                  1345,                              0,                  1627,                    -97,,                  3104,                  3104,,                    619,                   -619,                 21188,                -38781,,                  1472,                -40253,                -40253,,,,,,,                -14681,                -54934,,                -40247,                     -6,,                -54928,                     -6,,                             -0.33,                             -0.33,,                -14683,,                      2,,,                    185,                              0
