證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1460,2015年第3季,,              2047275,,              1670083,                377192,                377192,,,                155880,,                 60689,,                 69405,                285974,,                 -1877,                 89341,,,                  7698,,                 19012,,                  8800,                  8800,                 17910,                107251,,                 15967,                 91284,                 91284,,,                 14137,                -27970,                -13833,                -13833,                 77451,,                 91283,                      1,,                 77450,                      1,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,
1460,2015年第2季,,              1875299,,              1509285,                366014,                366014,,,                154909,,                 58715,,                 57991,                271615,,                 -2773,                 91626,,,                 22053,,                -27795,,                  8250,                  8250,                -13992,                 77634,,                 10837,                 66797,                 66797,,,                -21645,                 -1461,                -23106,                -23106,                 43691,,                 66797,                              0,,                 43691,                              0,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,
1460,2015年01月01日至2015年09月30日,,              6016343,,              4885987,              1130356,              1130356,,,                458347,,                180513,,                187020,                825880,,                 -6496,                297980,,,                 34126,,                  4736,,                 25419,                 25419,                 13443,                311423,,                 43286,                268137,                268137,,,                -19257,                -30265,                -49522,                -49522,                218615,,                268142,                     -5,,                218620,                     -5,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,
1460,2015年01月01日至2015年06月30日,,              3969068,,              3215904,                753164,                753164,,,                302467,,                119824,,                117615,                539906,,                 -4619,                208639,,,                 26428,,                -14276,,                 16619,                 16619,                 -4467,                204172,,                 27319,                176853,                176853,,,                -33394,                 -2295,                -35689,                -35689,                141164,,                176859,                     -6,,                141170,                     -6,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,
1460,2015年01月01日至2015年03月31日,,              2093769,,              1706619,                387150,                387150,,,                147558,,                 61109,,                 59624,                268291,,                 -1846,                117013,,,                  4375,,                 13519,,                  8369,                  8369,                  9525,                126538,,                 16482,                110056,                110056,,,                -11749,                   -834,                -12583,                -12583,                 97473,,                110062,                     -6,,                 97479,                     -6,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,
1460,2014年第3季,,              1953991,,              1608691,                345300,                345300,,,                160854,,                 57674,,                 64416,                282944,,                 -5499,                 56857,,,                 11254,,                 29444,,                  8655,                  8655,                 32043,                 88900,,                 12447,                 76453,                 76453,,,                 17457,                 -8482,                  8975,                  8975,                 85428,,                 76454,                     -1,,                 85429,                     -1,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,
1460,2014年第2季,,              1979344,,              1627213,                352131,                352131,,,                173164,,                 52403,,                 50267,                275834,,                   -203,                 76094,,,                 10350,,                 -1902,,                  8798,                  8798,                   -350,                 75744,,                 10888,                 64856,                 64856,,,                -18399,                  5487,                -12912,                -12912,                 51944,,                 64857,                     -1,,                 51945,                     -1,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,
1460,2014年度,,              8158215,,              6708304,              1449911,              1449911,,,                658139,,                233501,,                228259,              1119899,,                 -7389,                322623,,,                 37699,,                114079,,                 34894,                 34894,                116884,                439507,,                 65551,                373956,                373956,,,,,,                 14618,                388574,,                373954,                      2,,                388572,                      2,,                              0.85,                              0.85,,                              0.85,                              0.85,                 55349,                   -674,                -48262,                 -8205
1460,2014年01月01日至2014年09月30日,,              5836665,,              4834966,              1001699,              1001699,,,                471981,,                165388,,                170783,                808152,,                 -6256,                187291,,,                 31044,,                 60939,,                 26650,                 26650,                 65333,                252624,,                 33648,                218976,                218976,,,                 16514,                 -7275,                  9239,                  9239,                228215,,                218980,                     -4,,                228219,                     -4,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,
1460,2014年01月01日至2014年06月30日,,              3882674,,              3226275,                656399,                656399,,,                311127,,                107714,,                106367,                525208,,                   -757,                130434,,,                 19790,,                 31495,,                 17995,                 17995,                 33290,                163724,,                 21201,                142523,                142523,,,                   -943,                  1207,                    264,                    264,                142787,,                142526,                     -3,,                142790,                     -3,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,
