證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 停業單位損益,　　 停業單位損益合計
1468,2015年第3季,,,                 92819,                 92819,,,                 93234,                 93234,                   -415,                   -415,,,                  6958,,                 22810,,                  1152,                 30920,                -31335,,,                    549,                    549,,                 20229,,                  5790,,                   -327,                 14661,                -16674,,                              0,                -16674,                -16674,,,                  4462,,                              0,                    632,                  3830,                  3830,                -12844,,                -12936,                 -3738,,                 -9853,                 -2991,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,
1468,2015年第2季,,,                187315,                187315,,,                159206,                159206,                 28109,                 28109,,,                  8221,,                 23832,,                  1774,                 33827,                 -5718,,,                    698,                    698,,                 -3439,,                  6611,,                   -352,                 -9704,                -15422,,                              0,                -15422,                -15422,,,                 -2119,,                     19,                   -300,                 -1800,                 -1800,                -17222,,                -15110,                   -312,,                -16555,                   -667,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,,,
1468,2015年01月01日至2015年09月30日,,,                452495,                452495,,,                400491,                400491,                 52004,                 52004,,,                 24976,,                 60353,,                  3989,                 89318,                -37314,,,                  1933,                  1933,,                 12271,,                 18682,,                   -908,                 -5386,                -42700,,                              0,                -42700,                -42700,,,                   -902,,                    159,                   -128,                   -615,                   -615,                -43315,,                -36079,                 -6621,,                -36543,                 -6772,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,,,,,,,
1468,2015年01月01日至2015年06月30日,,,                359676,                359676,,,                307257,                307257,                 52419,                 52419,,,                 18018,,                 37543,,                  2837,                 58398,                 -5979,,,                  1384,                  1384,,                 -7958,,                 12892,,                   -581,                -20047,                -26026,,                              0,                -26026,                -26026,,,                 -5364,,                    159,                   -760,                 -4445,                 -4445,                -30471,,                -23143,                 -2883,,                -26690,                 -3781,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,,,,,,
1468,2015年01月01日至2015年03月31日,,,                172361,                172361,,,                148051,                148051,                 24310,                 24310,,,                  9797,,                 13711,,                  1063,                 24571,                   -261,,,                    686,                    686,,                 -4519,,                  6281,,                   -229,                -10343,                -10604,,                              0,                -10604,                -10604,,,                 -3245,,                    140,                   -460,                 -2645,                 -2645,                -13249,,                 -8033,                 -2571,,                -10135,                 -3114,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,,,,,,,
1468,2014年第3季,,,                113664,                113664,,,                111002,                111002,                  2662,                  2662,,,                  8738,,                 18263,,                    433,                 27434,                -24772,,,                    478,                    478,,                 14885,,                  6605,,                     11,                  8769,                -16003,,                              0,                -16003,                -16003,,,                  4664,,                   -122,                    660,                  3882,                  3882,                -12121,,                -13314,                 -2689,,                -10214,                 -1907,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,
1468,2014年第2季,,,                176702,                176702,,,                117869,                117869,                 58833,                 58833,,,                 11048,,                 31673,,                    657,                 43378,                 15455,,,                    572,                    572,,                 -8061,,                 11159,,                   -108,                -18756,                 -3301,,                              0,                 -3301,                 -3301,,,                 -5259,,                              0,                   -744,                 -4515,                 -4515,                 -7816,,                 -6493,                  3192,,                -10127,                  2311,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,,
1468,2014年度,,,                588336,                588336,,,                542286,                542286,                 46050,                 46050,,,                 42629,,                 79487,,                  4302,                126418,                -80368,,,                  2032,                  2032,,                 41350,,                 28906,,                   -525,                 13951,                -66417,,                              0,                -66417,                -66417,,,,,,,,                  7903,                -58514,,                -57708,                 -8709,,                -51965,                 -6549,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,                 12905,                 -3560,,                   -220,                 -1222,,
1468,2014年01月01日至2014年09月30日,,,                497812,                497812,,,                420011,                420011,                 77801,                 77801,,,                 34886,,                 78924,,                  1746,                115556,                -37755,,,                  1510,                  1510,,                 19258,,                 23703,,                   -315,                 -3250,                -41005,,                              0,                -41005,                -41005,,,                  2873,,                   -122,                    407,                  2344,                  2344,                -38661,,                -37252,                 -3753,,                -35389,                 -3272,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,,,,,,,
1468,2014年01月01日至2014年06月30日,,,                384148,                384148,,,                309009,                309009,                 75139,                 75139,,,                 26148,,                 60661,,                  1313,                 88122,                -12983,,,                  1032,                  1032,,                  4373,,                 17098,,                   -326,                -12019,                -25002,,                              0,                -25002,                -25002,,,                 -1791,,                              0,                   -253,                 -1538,                 -1538,                -26540,,                -23938,                 -1064,,                -25175,                 -1365,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,,,,,,
1468,2014年01月01日至2014年03月31日,,,                207446,                207446,,,                191140,                191140,                 16306,                 16306,,,                 15100,,                 28988,,                    656,                 44744,                -28438,,,                    460,                    460,,                 12434,,                  5939,,                   -218,                  6737,                -21701,,                              0,                -21701,                -21701,,,                  3468,,                              0,                    491,                  2977,                  2977,                -18724,,                -17445,                 -4256,,                -15048,                 -3676,,                             -1.10,                             -1.10,,                             -1.10,                             -1.10,,,,,,,
1468,2013年第3季,,,                172688,                172688,,,                147358,                147358,                 25330,                 25330,,,                 13313,,                 44871,,                    658,                 58842,                -33512,,,                    866,                    866,,                 -3059,,                  8296,,                     11,                -10478,                -43990,,,                -43990,                -43990,,,,,,,,                 -1832,                -45822,,                -43380,                   -610,,                -44854,                   -968,,                             -0.27,                             -0.27,,,,                 -2139,,,                              0,                    307,,
