證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入折讓,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 與不重分類之項目相關之所得稅,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1470,2015年第3季,,,,                 69043,                    109,                 68934,,,                111815,                    939,                110876,                110876,                179810,,,                 46856,,                 94154,                141010,                 38800,                 38800,,,                 15487,,                  7442,                 22929,,                    180,                 16051,,,                  1660,,                  2295,                  3955,                 20006,,                  3271,                 16735,                 16735,,,                 -3947,                 -3947,                 -3947,                 12788,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2015年第2季,,,,                 98695,                    415,                 98280,,,                101657,                  1401,                100256,                100256,                198536,,,                 70235,,                 90788,                161023,                 37513,                 37513,,,                 17405,,                  7831,                 25236,,                    150,                 12427,,,                  1170,,                    504,                  1674,                 14101,,                  3337,                 10764,                 10764,,,                 -4920,                 -4920,                 -4920,                  5844,,                              0.12,                              0.12,,                              0.12,                              0.12,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1470,2015年01月01日至2015年09月30日,,,,                257562,                    846,                256716,,,                325614,                  4325,                321289,                321289,                578005,,,                180903,,                273775,                454678,                123327,                123327,,,                 50827,,                 23140,                 73967,,                    420,                 49780,,,                  3589,,                   -410,                  3179,                 52959,,                 10194,                 42765,                 42765,,,                 -3791,                 -3791,                 -3791,                 38974,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2015年01月01日至2015年06月30日,,,,                188519,                    737,                187782,,,                213799,                  3386,                210413,                210413,                398195,,,                134047,,                179621,                313668,                 84527,                 84527,,,                 35340,,                 15698,                 51038,,                    240,                 33729,,,                  1929,,                 -2705,                   -776,                 32953,,                  6923,                 26030,                 26030,,,                    156,                    156,                    156,                 26186,,                              0.30,                              0.30,,                              0.30,                              0.30,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1470,2015年01月01日至2015年03月31日,,,,                 89824,                    322,                 89502,,,                112142,                  1985,                110157,                110157,                199659,,,                 63812,,                 88833,                152645,                 47014,                 47014,,,                 17935,,                  7867,                 25802,,                     90,                 21302,,,                    759,,                 -3209,                 -2450,                 18852,,                  3586,                 15266,                 15266,,,                  5076,                  5076,                  5076,                 20342,,                              0.18,                              0.18,,                              0.18,                              0.18,,,                              0,                              0,                              0,,                    477,                    282,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
1470,2014年第3季,,,,                 61276,                     73,                 61203,,,                 99483,                  3159,                 96324,                 96324,                157527,,,                 43839,,                 86983,                130822,                 26705,                 26705,,,                 14136,,                  7226,                 21362,,                  2361,                  7704,,,                  1171,,                    196,                  1367,                  9071,,                  1512,                  7559,                  7559,,,                 -1046,                 -1046,                 -1046,                  6513,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2014年第2季,,,,                 88841,                     81,                 88760,,,                107094,                  2133,                104961,                104961,                193721,,,                 62590,,                 87126,                149716,                 44005,                 44005,,,                 15372,,                  7488,                 22860,,                 -1287,                 19858,,,                  2539,,                   -451,                  2088,                 21946,,                  3730,                 18216,                 18216,,,                 -1015,                 -1015,                 -1015,                 17201,,                              0.21,                              0.21,,                              0.21,                              0.21,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1470,2014年01月01日至2014年09月30日,,,,                248183,                    321,                247862,,,                311531,                  6733,                304798,                304798,                552660,,,                181054,,                259696,                440750,                111910,                111910,,,                 42155,,                 21521,                 63676,,                  1736,                 49970,,,                  4350,,                    694,                  5044,                 55014,,                  9321,                 45693,                 45693,,,                 -5144,                 -5144,                 -5144,                 40549,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2014年01月01日至2014年06月30日,,,,                186907,                    248,                186659,,,                212048,                  3574,                208474,                208474,                395133,,,                137215,,                172713,                309928,                 85205,                 85205,,,                 28019,,                 14295,                 42314,,                   -625,                 42266,,,                  3179,,                    498,                  3677,                 45943,,                  7809,                 38134,                 38134,,,                 -4098,                 -4098,                 -4098,                 34036,,                              0.44,                              0.44,,                              0.44,                              0.44,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1470,2014年01月01日至2014年03月31日,,,,                 98066,                    167,                 97899,,,                104954,                  1441,                103513,                103513,                201412,,,                 74625,,                 85587,                160212,                 41200,                 41200,,,                 12647,,                  6807,                 19454,,                    662,                 22408,,,                    640,,                    949,                  1589,                 23997,,                  4079,                 19918,                 19918,,,                 -3083,                 -3083,                 -3083,                 16835,,                              0.23,                              0.23,,                              0.23,                              0.23,,,                              0,                              0,                              0,,                    379,                    261,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
1470,2013年07月01日至2013年09月30日,,,,                 75302,                     -4,                 75306,,,                 95054,                  2318,                 92736,                 92736,                168042,,,                 59847,,                 88674,                148521,                 19521,                 19521,,,                 12776,,                  6293,                 19069,,                  8296,                  8748,,,                  1651,,                   -547,                  1104,                  9852,,                  1619,                  8233,                  8233,,,,,                    701,                  8934,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,,,,,,,,,,,                    701,,
1470,2013年04月01日至2013年06月30日,,,,                 65371,                    111,                 65260,,,                 89081,                  1957,                 87124,                 87124,                152384,,,                 52541,,                 80884,                133425,                 18959,                 18959,,,                 11710,,                  5565,                 17275,,                     52,                  1736,,,                    824,,                    318,                  1142,                  2878,,                    489,                  2389,                  2389,,,,,                 -3878,                 -1489,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,                 -3878,,
1470,2013年01月01日至2013年12月31日,,,,                298054,                    363,                297691,,,                382408,                 10998,                371410,                371410,                669101,,,                239438,,                336200,                575638,                 93463,                 93463,,,                 49019,,                 24251,                 73270,,                 11258,                 31451,,,                  3885,,                  1422,                  5307,                 36758,,                  7458,                 29300,                 29300,,,,,                    431,                 29731,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,,,,,,,,,,,,,,,,,,                  1355,                 -1113,                   -189
1470,2013年01月01日至2013年09月30日,,,,                216362,                    180,                216182,,,                273745,                  5679,                268066,                268066,                484248,,,                173659,,                247482,                421141,                 63107,                 63107,,,                 36146,,                 18218,                 54364,,                  8854,                 17597,,,                  2977,,                    920,                  3897,                 21494,,                  3598,                 17896,                 17896,,,,,                  1387,                 19283,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,,,,,,                  1387,,
1470,2013年01月01日至2013年06月30日,,,,                141060,                    184,                140876,,,                178691,                  3361,                175330,                175330,                316206,,,                113812,,                158808,                272620,                 43586,                 43586,,,                 23370,,                 11925,                 35295,,                    558,                  8849,,,                  1326,,                  1467,                  2793,                 11642,,                  1979,                  9663,                  9663,,,,,                    686,                 10349,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,,,,,,,                    686,,
1470,2013年01月01日至2013年03月31日,,,,                 75689,                     73,                 75616,,,                 89610,                  1404,                 88206,                 88206,                163822,,,                 61271,,                 77924,                139195,                 24627,                 24627,,,                 11660,,                  6360,                 18020,,                    506,                  7113,,,                    502,,                  1149,                  1651,                  8764,,                  1490,                  7274,                  7274,,,,,                  4564,                 11838,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,,,,,,,,,,,,,,,,,,,                  4564,,
1470,2012年07月01日至2012年09月30日,,,,                 65660,                    341,                 65319,,,                 86063,                  2243,                 83820,                 83820,                149139,,,                 53520,,                 86963,                140483,                  8656,                  8656,,,                 10607,,                  5638,                 16245,,                              0,                 -7589,,,                  3108,,                 -1322,                  1786,                 -5803,,                 -1008,                 -4795,                 -4795,,,,,                  1786,                 -3009,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,,,,,,,,                  1786,,
1470,2012年04月01日至2012年06月30日,,,,                 79904,                    155,                 79749,,,                102259,                  1430,                100829,                100829,                180578,,,                 65589,,                 96181,                161770,                 18808,                 18808,,,                 11714,,                  4822,                 16536,,                    199,                  2471,,,                    365,,                    360,                    725,                  3196,,                    546,                  2650,                  2650,,,,,                 -1312,                  1338,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,                 -1312,,
1470,2012年01月01日至2012年12月31日,,,,                314015,                  1203,                312812,,,                392830,                  8930,                383900,                383900,                696712,,,                258847,,                370468,                629315,                 67397,                 67397,,,                 43786,,                 22055,                 65841,,                  2843,                  4399,,,                  5971,,                  6677,                 12648,                 17047,,                  2807,                 14240,                 14240,,,,,                 -3314,                 10926,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,,,,,,,,,                   -651,                 -3209,                   -546
1470,2012年01月01日至2012年09月30日,,,,                228218,                    592,                227626,,,                289506,                  5444,                284062,                284062,                511688,,,                188141,,                277342,                465483,                 46205,                 46205,,,                 32970,,                 16516,                 49486,,                    180,                 -3101,,,                  4487,,                  7226,                 11713,                  8612,,                  1361,                  7251,                  7251,,,,,                  1121,                  8372,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,,,,,,,,,,,,,,,,,,,                  1121,,
1470,2012年01月01日至2012年06月30日,,,,                162558,                    251,                162307,,,                203443,                  3201,                200242,                200242,                362549,,,                134621,,                190379,                325000,                 37549,                 37549,,,                 22363,,                 10878,                 33241,,                    180,                  4488,,,                  1379,,                  8548,                  9927,                 14415,,                  2369,                 12046,                 12046,,,,,                   -665,                 11381,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,,,,,,,,,,,,,,,                   -665,,
1470,2012年01月01日至2012年03月31日,,,,                 82654,                     96,                 82558,,,                101184,                  1771,                 99413,                 99413,                181971,,,                 69032,,                 94198,                163230,                 18741,                 18741,,,                 10649,,                  6056,                 16705,,                    -19,                  2017,,,                  1014,,                  8188,                  9202,                 11219,,                  1823,                  9396,                  9396,,,,,                    647,                 10043,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,,,,,,,                    647,,
