證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
1503,2015年第3季,,,              4678770,,                127499,,,                243194,                243194,,                  3250,              5052713,,,              3776671,,                 61482,,                209210,                209210,                  4259,              4051622,              1001091,              1001091,,,                371233,,                315888,,                134637,                821758,                179333,,,                 22404,                 22404,,                 95229,,                 11270,,                 97682,                204045,                383378,,                 66414,                316964,                316964,,,                142220,                 24086,,                 64919,                 25869,                205356,                205356,                522320,,                305768,                 11196,,                500300,                 22020,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,,,,,,,,,,,,,
1503,2015年第2季,,,              4714428,,                126528,,,                110488,                110488,,                  3250,              4954694,,,              3806274,,                 60228,,                 86580,                 86580,                  5538,              3958620,                996074,                996074,,,                298697,,                294983,,                118809,                712489,                283585,,,                 21388,                 21388,,                 16534,,                 10492,,                 70351,                 97781,                381366,,                114326,                267040,                267040,,,                -61339,                -39363,,                -68856,                -16038,               -153520,               -153520,                113520,,                252333,                 14707,,                103057,                 10463,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,,,,,,,,,,
1503,2015年01月01日至2015年09月30日,,,             13889017,,                380519,,,                491589,                491589,,                  9750,             14770875,,,             11114705,,                181571,,                408214,                408214,                 10401,             11714891,              3055984,              3055984,,,                918478,,                872174,,                364439,              2155091,                900893,,,                 49388,                 49388,,                102485,,                 31635,,                220910,                341148,              1242041,,                269911,                972130,                972130,,,                  5091,                -21375,,                 -8972,                 -2446,                -22810,                -22810,                949320,,                928437,                 43693,,                904951,                 44369,,                              1.78,                              1.78,,                              1.77,                              1.77,,,,,,,,,,,,,,,,,
1503,2015年01月01日至2015年06月30日,,,              9210247,,                253020,,,                248395,                248395,,                  6500,              9718162,,,              7338034,,                120089,,                199004,                199004,                  6142,              7663269,              2054893,              2054893,,,                547245,,                556286,,                229802,              1333333,                721560,,,                 26984,                 26984,,                  7256,,                 20365,,                123228,                137103,                858663,,                203497,                655166,                655166,,,               -137129,                -45461,,                -73891,                -28315,               -228166,               -228166,                427000,,                622669,                 32497,,                404651,                 22349,,                              1.20,                              1.20,,                              1.19,                              1.19,,,,,,,,,,,,,,,,,
1503,2015年01月01日至2015年03月31日,,,              4495819,,                126492,,,                137907,                137907,,                  3250,              4763468,,,              3531760,,                 59861,,                112424,                112424,                    604,              3704649,              1058819,              1058819,,,                248548,,                261303,,                110993,                620844,                437975,,,,                  5596,,                 -9278,,                  9873,,                 52877,                 39322,                477297,,                 89171,                388126,                388126,,,                -75790,                 -6098,,                 -5035,                -12277,                -74646,                -74646,                313480,,                370336,                 17790,,                301594,                 11886,,                              0.71,                              0.71,,                              0.71,                              0.71,                              0,                              0,                              0,                              0,                 -5035,                              0,                              0,                              0,                              0,,,,,,,,
1503,2014年第3季,,,              4613596,,                127836,,,                121984,                121984,,                  3250,              4866666,,,              3665435,,                 61381,,                 93507,                 93507,                  3607,              3823930,              1042736,              1042736,,,                281202,,                311012,,                117382,                709596,                333140,,,                 19164,                 19164,,                 36064,,                 11568,,                 89158,                132818,                465958,,                 73556,                392402,                392402,,,                 87466,                  2766,,                119739,                 13111,                196860,                196860,                589262,,                372398,                 20004,,                561802,                 27460,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,,,,,,,,,,
1503,2014年第2季,,,              4958141,,                128581,,,                 38970,                 38970,,                  3251,              5128943,,,              3991003,,                 61802,,                 35821,                 35821,                 10263,              4098889,              1030054,              1030054,,,                309849,,                284827,,                114501,                709177,                320877,,,                 32984,                 32984,,                    198,,                 10758,,                 49304,                 71728,                392605,,                 97852,                294753,                294753,,,                -92237,                 -9767,,                 -8159,                -15806,                -94357,                -94357,                200396,,                276057,                 18696,,                188137,                 12259,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,,,,,,,,,,
1503,2014年度,,,             18957229,,                513362,,,                319337,                319337,,                 13000,             19802928,,,             15252381,,                252495,,                259424,                259424,                  6875,             15771175,              4031753,              4031753,,,              1200047,,              1101219,,                468593,              2769859,              1261894,,,                 61072,                 61072,,                134095,,                 40801,,                241302,                395668,              1657562,,                324503,              1333059,              1333059,,,,,,,,,                153158,              1486217,,              1267797,                 65262,,              1403591,                 82626,,                              2.43,                              2.43,,                              2.42,                              2.42,,,,,,,,,,                269176,                -76403,                -52761,,                 33063,                -19917,,
1503,2014年01月01日至2014年09月30日,,,             13956711,,                384762,,,                181343,                181343,,                  9750,             14532566,,,             11142238,,                188058,,                146587,                146587,                 14526,             11491409,              3041157,              3041157,,,                872659,,                825346,,                335772,              2033777,              1007380,,,                 56523,                 56523,,                 85302,,                 33108,,                187238,                295955,              1303335,,                254917,              1048418,              1048418,,,                 57875,                -69295,,                 63815,                 -4068,                 56463,                 56463,              1104881,,                990831,                 57587,,              1042475,                 62406,,                              1.90,                              1.90,,                              1.89,                              1.89,,,,,,,,,,,,,,,,,
1503,2014年01月01日至2014年06月30日,,,              9343115,,                256926,,,                 59359,                 59359,,                  6500,              9665900,,,              7476803,,                126677,,                 53080,                 53080,                 10919,              7667479,              1998421,              1998421,,,                591457,,                514334,,                218390,              1324181,                674240,,,                 37359,                 37359,,                 49238,,                 21540,,                 98080,                163137,                837377,,                181361,                656016,                656016,,,                -29591,                -72061,,                -55924,                -17179,               -140397,               -140397,                515619,,                618433,                 37583,,                480673,                 34946,,                              1.19,                              1.19,,                              1.18,                              1.18,,,,,,,,,,,,,,,,,
