證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1612,2015年第3季,,,,                810273,                810273,                     66,                  2321,                807886,                807886,,,                791255,                791255,                791255,                 16631,                 16631,,,                 46131,,                  1112,                 47243,                -30612,,,                 26108,,                  4632,,                    160,,                 -4088,                 26492,                 -4120,,                  6147,                -10267,                -10267,,,                 10418,               -113567,,                -27312,               -130461,               -130461,               -140728,,                 -9281,                   -986,,               -139736,                   -992,,                             -0.03,,                             -0.03,,,,,,
1612,2015年第2季,,,,                772403,                772403,                    539,                  2513,                769351,                769351,,,                759030,                759030,                759030,                 10321,                 10321,,,                 41342,,                     29,                 41371,                -31050,,,                 11640,,                 26352,,                    173,,                  2377,                 40196,                  9146,,                -11193,                 20339,                 20339,,,                 23297,                -68362,,                -31453,                -76518,                -76518,                -56179,,                 20430,                    -91,,                -56087,                    -92,,                              0.06,,                              0.06,,,,,,
1612,2015年01月01日至2015年09月30日,,,,              2396646,              2396646,                    902,                  7001,              2388743,              2388743,,,              2340164,              2340164,              2340164,                 48579,                 48579,,,                130482,,                  2915,                133397,                -84818,,,                 43736,,                 67608,,                    439,,                  2568,                113473,                 28655,,                 -5543,                 34198,                 34198,,,                  6355,               -162332,,                -60540,               -216517,               -216517,               -182319,,                 35434,                 -1236,,               -181077,                 -1242,,                              0.11,,                              0.11,,,,,,
1612,2015年01月01日至2015年06月30日,,,,              1586373,              1586373,                    836,                  4680,              1580857,              1580857,,,              1548909,              1548909,              1548909,                 31948,                 31948,,,                 84351,,                  1803,                 86154,                -54206,,,                 17628,,                 62976,,                    279,,                  6656,                 86981,                 32775,,                -11690,                 44465,                 44465,,,                 -4063,                -48765,,                -33228,                -86056,                -86056,                -41591,,                 44715,                   -250,,                -41341,                   -250,,                              0.14,,                              0.14,,,,,,
1612,2014年第3季,,,,                950942,                950942,                    676,                  2716,                947550,                947550,,,                906023,                906023,                906023,                 41527,                 41527,,,                 30999,,                  7259,                 38258,                  3269,,,                 31736,,                 14121,,                    190,,                  5733,                 51400,                 54669,,                  8101,                 46568,                 46568,,,                  2742,                 32436,,                -19310,                 15868,                 15868,                 62436,,                 45020,                  1548,,                 60884,                  1552,,                              0.14,,                              0.14,,,,,,
1612,2014年第2季,,,,                914370,                914370,                  1855,                  2376,                910139,                910139,,,                870700,                870700,                870700,                 39439,                 39439,,,                 47342,,                  9085,                 56427,                -16988,,,                  5425,,                102868,,                    471,,                   -215,                107607,                 90619,,                 10957,                 79662,                 79662,,,                 -2721,                  6503,,                 -6406,                 -2624,                 -2624,                 77038,,                 72134,                  7528,,                 69510,                  7528,,                              0.22,,                              0.22,,,,,,
1612,2014年度,,,,              3818420,              3818420,                  3323,                  9383,              3805714,              3805714,,,              3634355,              3634355,              3634355,                171359,                171359,,,                189016,,                  6881,                195897,                -24538,,,                 54728,,                205687,,                  1301,,                 39512,                298626,                274088,,                 13567,                260521,                260521,,,,,,,,                 -7651,                252870,,                251155,                  9366,,                244656,                  8214,,                              0.77,,                              0.77,                  9408,                 10417,                 -6314,,                -20498,                    664
1612,2014年01月01日至2014年09月30日,,,,              3024176,              3024176,                  2585,                  6792,              3014799,              3014799,,,              2860531,              2860531,              2860531,                154268,                154268,,,                125474,,                 19831,                145305,                  8963,,,                 43610,,                188334,,                  1137,,                  6895,                237702,                246665,,                 28669,                217996,                217996,,,                  3040,                  3153,,                -22437,                -16244,                -16244,                201752,,                209450,                  8546,,                193202,                  8550,,                              0.65,,                              0.65,,,,,,
1612,2014年01月01日至2014年06月30日,,,,              2073234,              2073234,                  1908,                  4077,              2067249,              2067249,,,              1954508,              1954508,              1954508,                112741,                112741,,,                 94475,,                 12572,                107047,                  5694,,,                 11874,,                174213,,                    947,,                  1162,                186302,                191996,,                 20568,                171428,                171428,,,                    298,                -29283,,                 -3127,                -32112,                -32112,                139316,,                164430,                  6998,,                132318,                  6998,,                              0.51,,                              0.51,,,,,,
1612,2014年01月01日至2014年03月31日,,,,              1158864,              1158864,                     53,                  1701,              1157110,              1157110,,,              1083808,              1083808,              1083808,                 73302,                 73302,,,                 47133,,                  3487,                 50620,                 22682,,,                  6449,,                 71345,,                    476,,                  1377,                 78695,                101377,,                  9611,                 91766,                 91766,,,,,,,,                -29488,                 62278,,                 92296,                   -530,,                 62808,                   -530,,                              0.28,,                              0.28,                  3019,                -35786,,,                  3279,
1612,2013年第3季,,,,              1095895,              1095895,                    295,                  2606,              1092994,              1092994,,,              1056182,              1056182,              1056182,                 36812,                 36812,,,                 45521,,                 10804,                 56325,                -19513,,,                 28548,,                  7422,,                    599,,                 11383,                 46754,                 27241,,                    247,                 26994,                 26994,,,,,,,,                  4860,                 31854,,                 28660,                 -1666,,                 33520,                 -1666,,                              0.09,,                              0.09,                 -2436,                 24122,,,                -16826,
1612,2013年第2季,,,,              1005118,              1005118,                    254,                  3256,              1001608,              1001608,,,                992961,                992961,                992961,                  8647,                  8647,,,                 46311,,                  3948,                 50259,                -41612,,,                  7595,,                  2321,,                    494,,                 14087,                 23509,                -18103,,                 -2385,                -15718,                -15718,,,,,,,,                -49486,                -65204,,                -14609,                 -1109,,                -64095,                 -1109,,                             -0.05,,                             -0.05,                    952,                -14783,,,                -35655,
1612,2013年度,,,,              4301522,              4301522,                  1556,                 16130,              4283836,              4283836,,,              4169076,              4169076,              4169076,                114760,                114760,,,                173891,,                 58172,                232063,               -117303,,,                 55763,,                155750,,                  2134,,                -56738,                152641,                 35338,,                 -7781,                 43119,                 43119,,,,,,,,                -20296,                 22823,,                 51365,                 -8246,,                 30342,                 -7519,,                              0.16,,                              0.16,                  4265,                 77090,                -18356,,                -87508,                 -4213
1612,2013年07月01日至2013年09月30日,,,,              1095895,              1095895,                    295,                  2606,              1092994,              1092994,,,              1056182,              1056182,              1056182,                 36812,                 36812,,,                 45521,,                 10804,                 56325,                -19513,,,                 28548,,                  7422,,                    599,,                 11383,                 46754,                 27241,,                    247,                 26994,                 26994,,,,,,,,                  4860,                 31854,,                 28660,                 -1666,,                 33520,                 -1666,,                              0.09,,                              0.09,                 -2436,                 24122,,,                -16826,
1612,2013年04月01日至2013年06月30日,,,,              1005118,              1005118,                    254,                  3256,              1001608,              1001608,,,                992961,                992961,                992961,                  8647,                  8647,,,                 46311,,                  3948,                 50259,                -41612,,,                  7595,,                  2321,,                    494,,                 14087,                 23509,                -18103,,                 -2385,                -15718,                -15718,,,,,,,,                -49486,                -65204,,                -14609,                 -1109,,                -64095,                 -1109,,                             -0.05,,                             -0.05,                    952,                -14783,,,                -35655,
1612,2013年01月01日至2013年12月31日,,,,              4301523,              4301523,                  1557,                 16130,              4283836,              4283836,,,              4169076,              4169076,              4169076,                114760,                114760,,,                173891,,                 58172,                232063,               -117303,,,                 55763,,                155750,,                  2134,,                -56738,                152641,                 35338,,                 -7781,                 43119,                 43119,,,,,,,,                -20296,                 22823,,                 51365,                 -8246,,                 30342,                 -7519,,                              0.16,,                              0.16,                  4265,                 77090,                -18356,,                -87508,                 -4213
