證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 裝置收入,　　　　 裝置收入,　　　　 裝置收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 勞務成本,　　　 裝置成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　　　 與可能重分類之項目相關之所得稅,　　　　 銷貨收入,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他費用,　　　 租金收入,　　 其他營業成本,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1615,2015年第3季,,,,                724630,                     44,                  4085,                720501,,                    525,,,                  5535,                  5535,                  5535,                726561,,,                674254,,                    380,,                  3353,                  3353,                677987,                 48574,                 48574,,,                 11111,,                 16458,,                  1333,                 28902,                 19672,,,                  5129,                  5129,,                 -1439,,                  1871,                  1871,                  1819,                 21491,,                  3653,                  3653,                 17838,,                              0,                 17838,,,                 -1029,                 -1029,                 -1029,                 16809,,                 17838,                              0,                              0,,                 16809,                              0,                              0,,                              0.16,,                              0.16,,,,,,,,,,,,,,,,
1615,2015年第2季,,,,                580834,                     20,                  4780,                576034,,                    524,,,                              0,                              0,                              0,                576558,,,                543766,,                    379,,                              0,                              0,                544145,                 32413,                 32413,,,                  9658,,                 14482,,                  1235,                 25375,                  7038,,,                    966,                    966,,                 -6122,,                  1583,                  1583,                 -6739,                    299,,                   -189,                   -189,                    488,,                              0,                    488,,,                   -957,                   -957,                   -957,                   -469,,                    488,                              0,                              0,,                   -469,                              0,                              0,,                              0.00,,                              0.00,                    524,                543766,                    379,                              0,,,,,,,,,,,,
1615,2015年01月01日至2015年09月30日,,,,              1908798,                     64,                 12226,              1896508,,                  1587,,,                 19216,                 19216,                 19216,              1917311,,,              1785766,,                  1138,,                 14414,                 14414,              1801318,                115993,                115993,,,                 31102,,                 47968,,                  3979,                 83049,                 32944,,,                  6163,                  6163,,                -12251,,                  5020,                  5020,                -11108,                 21836,,                  3472,                  3472,                 18364,,                              0,                 18364,,,                   -522,                   -522,                   -522,                 17842,,                 18364,                              0,                              0,,                 17842,                              0,                              0,,                              0.16,,                              0.16,,,,,,,,,,,,,,,,
1615,2015年01月01日至2015年06月30日,,,,              1184168,                     20,                  8141,              1176007,,                  1062,,,                 13681,                 13681,                 13681,              1190750,,,              1111512,,                    758,,                 11061,                 11061,              1123331,                 67419,                 67419,,,                 19991,,                 31510,,                  2646,                 54147,                 13272,,,                  1034,                  1034,,                -10812,,                  3149,                  3149,                -12927,                    345,,                   -181,                   -181,                    526,,                              0,                    526,,,                    507,                    507,                    507,                  1033,,                    526,                              0,                              0,,                  1033,                              0,                              0,,                              0.00,,                              0.00,                  1062,              1111512,                    758,                              0,,,,,,,,,,,,
1615,2015年01月01日至2015年03月31日,,,,                603334,                              0,                  3361,                599973,,                    538,,,,                 13681,                 13681,                614192,,,                567747,,                    379,,,,                579187,                 35005,                 35005,,,                 10333,,                 17027,,                  1411,                 28771,                  6234,,,                     68,                     68,,                 -4690,,                  1566,                  1566,                 -6188,                     46,,,                      8,                     38,,,                     38,,,                  1464,                  1464,                  1464,                  1502,,                     38,,,,                  1502,,,,                              0.00,,                              0.00,,                567747,,,                603334,,                 11061,                 11061,                              0,                              0,,,,,,
1615,2014年第3季,,,,                652370,                     54,                  3323,                648993,,                    511,,,                  6805,                  6805,                  6805,                656309,,,                633272,,                    380,,                  4820,                  4820,                638472,                 17837,                 17837,,,                  9597,,                 13854,,                  1132,                 24583,                 -6746,,,                  7558,                  7558,,                  1972,,                  1653,                  1653,                  7877,                  1131,,                     95,                     95,                  1036,,                              0,                  1036,,,                 -1320,                 -1320,                 -1320,                   -284,,                  1036,                              0,                              0,,                   -284,                              0,                              0,,                              0.01,,                              0.01,,,,,,,,,,,,,,,,
1615,2014年第2季,,,,                716183,                     23,                  3831,                712329,,                    511,,,                              0,                              0,                              0,                712840,,,                651793,,                    379,,                     22,                     22,                652194,                 60646,                 60646,,,                  9988,,                 16533,,                  1183,                 27704,                 32942,,,                    925,                    925,,                  1834,,                  1887,                  1887,                    872,                 33814,,                  3276,                  3276,                 30538,,                              0,                 30538,,,                    674,                    674,                    674,                 31212,,                 30538,                              0,                              0,,                 31212,                              0,                              0,,                              0.27,,                              0.27,                    511,                651793,                    379,                              0,,,,,,,,,,,,
1615,2014年度,,,,              2728966,                     95,                 15057,              2713814,,                  2043,,,,                 12178,                 12178,              2728035,,,              2575174,,                  1517,,                  8257,                  8257,              2584948,                143087,                143087,,,                 37601,,                 62771,,                  4836,                105208,                 37879,,,,                  8669,,                 51404,,,,                 53005,                 90884,,,                  7654,                 83230,,,                 83230,,,,,                    311,                 83541,,                 83230,                              0,                              0,,                 83541,                              0,                              0,,                              0.74,,                              0.74,,,                  1517,,,,,,,,                              0,,                 -7068,                    686,                   -452,                    -77
1615,2014年01月01日至2014年09月30日,,,,              2019871,                     77,                 11054,              2008740,,                  1533,,,                 10803,                 10803,                 10803,              2021076,,,              1910612,,                  1138,,                  7522,                  7522,              1919272,                101804,                101804,,,                 28391,,                 46972,,                  3549,                 78912,                 22892,,,                  8558,                  8558,,                 48281,,                  5343,                  5343,                 51496,                 74388,,                  6683,                  6683,                 67705,,                              0,                 67705,,,                   -289,                   -289,                   -289,                 67416,,                 67705,                              0,                              0,,                 67416,                              0,                              0,,                              0.61,,                              0.60,,,,,,,,,,,,,,,,
1615,2014年01月01日至2014年06月30日,,,,              1367501,                     23,                  7731,              1359747,,                  1022,,,                  3998,                  3998,                  3998,              1364767,,,              1277340,,                    758,,                  2702,                  2702,              1280800,                 83967,                 83967,,,                 18794,,                 33118,,                  2417,                 54329,                 29638,,,                  1000,                  1000,,                 46309,,                  3690,                  3690,                 43619,                 73257,,                  6588,                  6588,                 66669,,                              0,                 66669,,,                  1031,                  1031,                  1031,                 67700,,                 66669,                              0,                              0,,                 67700,                              0,                              0,,                              0.60,,                              0.59,                  1022,              1277340,                    758,                              0,,,,,,,,,,,,
