證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 訓練費,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 水電瓦斯費,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 稅捐-管理費用,　　　 折舊-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 訓練費-推銷費用,　　　 訓練費-管理費用,　　　 處分投資利益,　　　 佣金支出,　　　 稅捐,　　　 研究發展費用,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1617,2015年第3季,,,,                703402,                703402,                  4115,                  1041,                698246,                698246,,,                633375,                633375,                633375,                 64871,                 64871,,,                  6346,                     46,                     20,                    311,                    524,                     62,                    163,                    114,                    562,                    168,                              0,                     14,                    199,                     72,                              0,                  1781,                    921,                 11303,,                 28343,                    547,                     54,                    481,                    458,                    796,                    575,                  1665,                    559,                    973,                  1378,                    473,                    375,                 10411,                 47088,,                  2168,                 60559,                  4312,,,,                  4813,                  1465,                    482,                    283,                  7043,,                    131,                 54923,                              0,                    993,                              0,                 15270,                              0,                      9,,                  7999,                 30783,,                  5601,                  5601,                 32225,                 36537,,                  2049,                  2049,                 34488,                 34488,,,                 31068,                  3778,                 34846,                 34846,                 69334,,                 34488,                              0,,                 69334,                              0,,                              0.24,,                              0.24,,,,,,,,,,,
1617,2015年第2季,,,,                765323,                765323,                  1100,                    726,                763497,                763497,,,                699552,                699552,                699552,                 63945,                 63945,,,                  6223,                     30,                     39,                    345,                    809,                     67,                     82,                    104,                    582,                    183,                    122,                     11,                    200,                     85,,                  2287,                    726,                 11901,,                 22499,                    525,                    134,                    603,                    464,                    536,                    623,                  2060,                    412,                  1823,                  1328,                    498,                    386,                  9401,                 40909,,                  2460,                 55270,                  8675,,,,                  5625,                  1533,,                              0,                  7158,,                              0,                              0,                              0,                  1684,                  1256,                    639,                  4358,                     18,,                  1998,                 -9953,,                  5199,                  5199,                 -7994,                    681,,                  1950,                  1950,                 -1269,                 -1269,,,                -12855,                 -5886,                -18741,                -18741,                -20010,,                 -1140,                   -129,,                -19141,                   -869,,                             -0.01,,                             -0.01,                      6,                   -383,                              0,,,,,,,,
1617,2015年第1季,,,,                752107,                752107,                  1536,                    733,                749838,                749838,,,                687632,                687632,                687632,                 62206,                 62206,,,                  6273,                    112,                     31,                     93,                    861,                     68,                    246,                    149,                    571,                    276,,                     11,                    199,                     97,                              0,                  2342,                  1006,                 12335,,                 24487,                    631,                    125,                    442,                    502,                    473,                    558,                  1601,                    788,,                  1326,                    495,                    415,                  8872,                 42540,,                  1752,                 56627,                  5579,,,,                  5252,                  1485,,                              0,                  6737,,                     91,                              0,                              0,                     33,                              0,,                  7980,                     35,,,                 -3255,,                  5269,                  5269,                 -1787,                  3792,,                  1812,                  1812,                  1980,                  1980,,,                 -7790,                  1589,                 -6201,                 -6201,                 -4221,,                  1489,                    491,,                 -4725,                    504,,                              0.01,,                              0.01,,,                  4702,                              0,                  1442,                    383,,,,,
1617,2015年01月01日至2015年09月30日,,,,              2220832,              2220832,                  6751,                  2500,              2211581,              2211581,,,              2020559,              2020559,              2020559,                191022,                191022,,,                 18842,                    188,                     90,                    749,                  2194,                    197,                    491,                    367,                  1715,                    627,                    122,                     36,                    598,                    254,                      6,                  6410,                  2653,                 35539,,                 75329,                  1703,                    313,                  1526,                  1424,                  1805,                  1756,                  5326,                  1759,                  4238,                  4032,                  1466,                  1176,                 28684,                130537,,                  6380,                172456,                 18566,,,,                 15690,                  4483,                    482,                    283,                 20938,,                              0,                 42585,                              0,                  2710,                  1034,                 11207,                              0,                     62,,                  9997,                 17575,,                 16069,                 16069,                 22444,                 41010,,                  5811,                  5811,                 35199,                 35199,,,                 10423,                   -519,                  9904,                  9904,                 45103,,                 34837,                    362,,                 45468,                   -365,,                              0.24,,                              0.24,,,,,,,,,,,
1617,2015年01月01日至2015年06月30日,,,,              1517430,              1517430,                  2636,                  1459,              1513335,              1513335,,,              1387184,              1387184,              1387184,                126151,                126151,,,                 12496,                    142,                     70,                    438,                  1670,                    135,                    328,                    253,                  1153,                    459,                    122,                     22,                    399,                    182,,                  4629,                  1732,                 24236,,                 46986,                  1156,                    259,                  1045,                    966,                  1009,                  1181,                  3661,                  1200,                  3265,                  2654,                    993,                    801,                 18273,                 83449,,                  4212,                111897,                 14254,,,,                 10877,                  3018,,                              0,                 13895,,                              0,                              0,                              0,                  1717,                  1165,                              0,                 12338,                     53,,                  1998,                -13208,,                 10468,                 10468,                 -9781,                  4473,,                  3762,                  3762,                    711,                    711,,,                -20645,                 -4297,                -24942,                -24942,                -24231,,                    349,                    362,,                -23866,                   -365,,                              0.00,,                              0.00,                      6,                              0,                  4063,,,,,,,,
1617,2014年第3季,,,,                961448,                961448,                  5022,                  1805,                954621,                954621,,,                859255,                859255,                859255,                 95366,                 95366,,,                  6579,                     46,                     33,                    245,                  1043,                     77,                    130,                    162,                    552,                    186,                              0,                     11,                    199,                    116,                              0,                  2446,                  1016,                 12841,,                 22903,                    544,                    149,                    508,                    463,                    693,                    619,                  1734,                    511,                  1724,                  1422,                    451,                    421,                 11403,                 43545,,                  2424,                 58810,                 36556,,,,                  3431,                  1472,                  1103,                              0,                  6006,,                              0,                 15222,                              0,                    916,                      2,                    173,                              0,                    358,,                 19384,                 -5611,,                  5760,                  5760,                 -5365,                 31191,,                  7338,                  7338,                 23853,                 23853,,,                 22492,                 -1799,                 20693,                 20693,                 44546,,                 24435,                   -582,,                 44972,                   -426,,                              0.17,,                              0.17,,,,,,,,,,,
1617,2014年第2季,,,,                916447,                916447,                  1173,                  1304,                913970,                913970,,,                842208,                842208,                842208,                 71762,                 71762,,,                  6668,                     30,                     16,                    495,                  1104,                     75,                    218,                    169,                    588,                    110,                    122,                     12,                    205,                    120,,                  2391,                    917,                 13244,,                 22478,                    517,                    125,                    525,                    482,                    568,                    489,                  1718,                    299,                  1739,                  1438,                    445,                    405,                 10079,                 41307,,                  2371,                 56922,                 14840,,,,                  5268,                  1446,,                              0,                  6714,,                  4254,                              0,                              0,                  1152,                              0,                    227,                 12944,                    473,,                              0,                -10542,,                  6092,                  6092,                 -9920,                  4920,,                  5295,                  5295,                   -375,                   -375,,,                -14818,                  5473,                 -9345,                 -9345,                 -9720,,                   -305,                    -70,,                -10025,                    305,,                              0.00,,                              0.00,                      4,                              0,                              0,,,,,,,,
1617,2014年第1季,,,,                858093,                858093,                    415,                  1249,                856429,                856429,,,                790924,                790924,                790924,                 65505,                 65505,,,                  6563,                     46,                     27,                     93,                    975,                     67,                    221,                    123,                    571,                    215,,                     11,                    205,                    104,                      1,                  2158,                    492,                 11872,,                 22617,                    593,                    166,                    470,                    474,                    718,                    562,                  1913,                    727,,                  1474,                    447,                    396,                  9508,                 41347,,                  2252,                 55471,                 10034,,,,                  3027,                    797,,                     27,                  3851,,                     34,                 15509,                              0,                              0,                              0,,                              0,                    464,,,                 15335,,                  6142,                  6142,                 13044,                 23078,,                  1720,                  1720,                 21358,                 21358,,,                 -7948,                  1188,                 -6760,                 -6760,                 14598,,                 21391,                    -33,,                 14498,                    100,,                              0.15,,                              0.15,,,                    256,                              0,                  1282,                              0,,,,,
1617,2014年度,,,,              3629381,              3629381,                 13236,                  5992,              3610153,              3610153,,,              3306786,              3306786,              3306786,                303367,                303367,,,                 27355,                    214,                     91,                  1161,                  4095,                    289,                    827,                    581,                  2260,                    766,                    210,                     45,                    808,                    450,                      5,                  9718,                  3091,                 51966,,                 97046,                  2133,                    622,                  2011,                  1885,                  2718,                  2167,                  7133,                  2158,                  8094,                  5677,                  1795,                  1729,                 42699,                177867,,                  8616,                238449,                 64918,,,,                 15499,                  5188,                  1117,                              0,                 21804,,                  2144,                 48159,                              0,                  3188,                              0,                    580,                              0,                  1545,,                 35909,                  9081,,                 23589,                 23589,                  7296,                 72214,,,                 26437,                 45777,                 45777,,,,,,                 29389,                 75166,,                 47354,                 -1577,,                 75681,                   -515,,                              0.33,,                              0.33,,,                              0,,,,                 26437,                 25465,                  5982,                 -2479,                   -421
1617,2014年01月01日至2014年09月30日,,,,              2735988,              2735988,                  6610,                  4358,              2725020,              2725020,,,              2492387,              2492387,              2492387,                232633,                232633,,,                 19810,                    122,                     76,                    833,                  3122,                    219,                    569,                    454,                  1711,                    511,                    122,                     34,                    609,                    340,                      5,                  6995,                  2425,                 37957,,                 67998,                  1654,                    440,                  1503,                  1419,                  1979,                  1670,                  5365,                  1537,                  4745,                  4334,                  1343,                  1222,                 30990,                126199,,                  7047,                171203,                 61430,,,,                 11726,                  3715,                  1103,                              0,                 16544,,                  4286,                 17787,                              0,                  2041,                              0,                    144,                              0,                  1295,,                 19384,                   -791,,                 17994,                 17994,                 -2241,                 59189,,                 14353,                 14353,                 44836,                 44836,,,                   -274,                  4862,                  4588,                  4588,                 49424,,                 45521,                   -685,,                 49445,                    -21,,                              0.32,,                              0.32,,,,,,,,,,,
