證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 共同控制下前手權益（淨利／損）,　　 與其他綜合損益組成部分相關之所得稅
1704,2015年第3季,,,              9996357,,                 62676,             10059033,,,              8486931,,                 24534,              8511465,              1547568,              1547568,,,                411932,,                171646,,                 69064,                652642,                894926,,,                286469,,              6716592,,                 35722,,                   -766,              6966573,              7861499,,                117727,              7743772,              7743772,,,                995613,                 -3565,                169255,                822793,                822793,              8566565,,              7743931,                   -159,,              8566723,                   -158,,                              9.08,,                              8.68,,,,,,,
1704,2015年第2季,,,              9040540,,                 61452,              9101992,,,              7875040,,                 21825,              7896865,              1205127,              1205127,,,                368664,,                153709,,                -22785,                499588,                705539,,,                263969,,                -30138,,                300840,,                 -2303,                -69312,                636227,,                123124,                513103,                513103,,,               -234512,                 -3462,                -39866,               -198108,               -198108,                314995,,                594168,                -81065,,                396060,                -81065,,                              0.70,,                              0.67,,,,,,,
1704,2015年01月01日至2015年09月30日,,,             26472284,,                178817,             26651101,,,             23423569,,                 69824,             23493393,              3157708,              3157708,,,              1097822,,                484013,,                110106,              1691941,              1465767,,,              1057637,,              6871262,,                660171,,                 -5898,              7262830,              8728597,,                274706,              8453891,              8453891,,,                538331,                    510,                 91518,                447323,                447323,              8901214,,              8661523,               -207632,,              9108845,               -207631,,                             10.15,,                              9.68,,,,,,,
1704,2015年01月01日至2015年06月30日,,,             16475927,,                116141,             16592068,,,             14936638,,                 45290,             14981928,              1610140,              1610140,,,                685890,,                312367,,                 41042,              1039299,                570841,,,                771168,,                154670,,                624449,,                 -5132,                296257,                867098,,                156979,                710119,                710119,,,               -457282,                  4075,                -77737,               -375470,               -375470,                334649,,                917592,               -207473,,                542122,               -207473,,                              1.08,,                              1.03,,,,,,,
1704,2015年01月01日至2015年03月31日,,,              7435387,,                 54689,              7490076,,,              7061598,,                 23465,              7085063,                405013,                405013,,,                317226,,                158658,,                 63827,                539711,               -134698,,,                507199,,                184808,,                323609,,                 -2829,                365569,                230871,,                 33855,                197016,                197016,,,               -222770,                  7537,                -37871,               -177362,               -177362,                 19654,,                323424,               -126408,,                146062,               -126408,,                              0.38,,                              0.37,,,,,,,
1704,2014年第3季,,,             10122255,,                 56568,             10178823,,,              9725680,,                 21659,              9747339,                431484,                431484,,,                356331,,                161211,,                 93512,                611054,               -179570,,,                189267,,               -721487,,                192638,,                 -5417,               -730275,               -909845,,                  3761,               -913606,               -913606,,,                330319,                    246,                 56154,                274411,                274411,               -639195,,                 -4482,               -909124,,                269990,               -909185,,                             -0.01,,                              0.00,,,,,,,
1704,2014年第2季,,,             12477135,,                 58925,             12536060,,,             12511064,,                 21975,             12533039,                  3021,                  3021,,,                446085,,                216766,,                 84815,                747666,               -744645,,,                202045,,            -10402926,,                124474,,                 -4788,            -10330143,            -11074788,,                -12537,            -11062251,            -11062251,,,               -361079,                  1294,                -61383,               -298402,               -298402,            -11360653,,             -7615969,             -3446282,,             -7913844,             -3446809,,                             -8.93,,                             -8.93,,,,,,,
1704,2014年度,,,             41753596,,                226629,             41980225,,,             40994183,,                 86289,             41080472,                899753,                899753,,,              1536944,,                733462,,                310823,              2581229,             -1681476,,,                849899,,            -11320483,,                980481,,                -21076,            -11472141,            -13153617,,                  5272,            -13158889,            -13158889,,,,,,,                915108,            -12243781,,             -8327416,             -4831473,,             -7412000,             -4831781,,                             -9.76,,,              1089241,                 11036,               -185169,,,,
1704,2014年01月01日至2014年09月30日,,,             34164103,,                170407,             34334510,,,             33678502,,                 64374,             33742876,                591634,                591634,,,              1191148,,                567051,,                246856,              2005055,             -1413421,,,                598428,,            -11143572,,                437245,,                -14379,            -10996768,            -12410189,,                 22240,            -12432429,            -12432429,,,                319910,                 -1736,                 54384,                263790,                263790,            -12168639,,             -7850406,             -4582023,,             -7586308,             -4582331,,                             -9.20,,                              0.00,,,,,,,
1704,2014年01月01日至2014年06月30日,,,             24041848,,                113839,             24155687,,,             23952822,,                 42715,             23995537,                160150,                160150,,,                834817,,                405840,,                153344,              1394001,             -1233851,,,                409161,,            -10422085,,                244607,,                 -8962,            -10266493,            -11500344,,                 18479,            -11518823,            -11518823,,,                -10409,                 -1982,                 -1770,                -10621,                -10621,            -11529444,,             -7845924,             -3672899,,             -7856298,             -3673146,,                             -9.20,,                             -9.20,,,,,,,
