證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計
1713,2014年第3季,,                198735,,                165441,                 33294,                 33294,,,                  7866,,                  6352,,                    918,                 15136,                 18158,,,                  1466,,                     81,,                  7686,                  9233,                 27391,,                  3363,                 24028,                 24028,,                    295,,,                     20,,                    315,                 24343,,                              0.16
1713,2014年第2季,,                179157,,                149350,                 29807,                 29807,,,                  8407,,                  6219,,                    933,                 15559,                 14248,,,                  8796,,                   -309,,                  3686,                 12173,                 26421,,                  3873,                 22548,                 22548,,                   -387,,,                    -50,,                   -437,                 22111,,                              0.15
1713,2014年度,,                748780,,                623401,                125379,                125379,,,                 31518,,                 27221,,                  3729,                 62468,                 62911,,,                 13340,,                    538,,                 29299,                 43177,                106088,,                 14087,                 92001,                 92001,,                   -515,                 -2247,,                     85,                   -382,                 -2295,                 89706,,                              0.61
1713,2014年01月01日至2014年09月30日,,                548132,,                455587,                 92545,                 92545,,,                 23418,,                 19637,,                  2740,                 45795,                 46750,,,                 11772,,                    262,,                 14433,                 26467,                 73217,,                 10018,                 63199,                 63199,,                   -718,,,                    -15,,                   -733,                 62466,,                              0.42
1713,2014年01月01日至2014年06月30日,,                349397,,                290146,                 59251,                 59251,,,                 15552,,                 13285,,                  1822,                 30659,                 28592,,,                 10306,,                    181,,                  6747,                 17234,                 45826,,                  6655,                 39171,                 39171,,                 -1013,,,                    -35,,                 -1048,                 38123,,                              0.26
1713,2014年01月01日至2014年03月31日,,                170240,,                140796,                 29444,                 29444,,,                  7145,,                  7066,,                    889,                 15100,                 14344,,,                  1510,,                    490,,                  3061,                  5061,                 19405,,                  2782,                 16623,                 16623,,                   -626,,,                     15,,                   -611,                 16012,,                              0.11
1713,2013年第3季,,                163673,,                136808,                 26865,                 26865,,,                  7740,,                  5639,,                    808,                 14187,                 12678,,,                  1547,,                   -399,,                  5989,                  7137,                 19815,,                  2124,                 17691,                 17691,,                  1363,,,                              0,,                  1363,                 19054,,                              0.12
1713,2013年第2季,,                163346,,                140748,                 22598,                 22598,,,                  7464,,                  6588,,                    806,                 14858,                  7740,,,                  1606,,                   -630,,                 14070,                 15046,                 22786,,                  1749,                 21037,                 21037,,                    202,,,                    309,,                    511,                 21548,,                              0.14
1713,2013年度,,                660381,,                558523,                101858,                101858,,,                 30407,,                 24397,,                  3230,                 58034,                 43824,,,                  6380,,                   -328,,                 34935,                 40987,                 84811,,                  8559,                 76252,                 76252,,                  2339,                 12149,,                    142,                  2065,                 12565,                 88817,,                              0.51
1713,2013年07月01日至2013年09月30日,,                163673,,                136808,                 26865,                 26865,,,                  7740,,                  5639,,                    808,                 14187,                 12678,,,                  1547,,                   -399,,                  5989,                  7137,                 19815,,                  2124,                 17691,                 17691,,                  1363,,,                              0,,                  1363,                 19054,,                              0.12
