證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1714,2015年第3季,,              8869009,,              8431125,                437884,                437884,,,                232623,,                182241,,                 36996,                451860,                -13976,,,                 42184,,                336286,,                144581,,                 23698,                257587,                243611,,                 25126,                218485,                218485,,,                              0,                              0,,                423317,                 -7824,,                     -1,                              0,                415492,                415492,                633977,,                314890,                -96405,,                593538,                 40439,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,
1714,2015年第2季,,             10197953,,              9555215,                642738,                642738,,,                298122,,                218976,,                 75144,                592242,                 50496,,,                 75964,,                212885,,                222788,,                  7246,                 73307,                123803,,                 33839,                 89964,                 89964,,,,,,               -242283,                 -6995,,                   -650,                              0,               -249928,               -249928,               -159964,,                208632,               -118668,,                 15831,               -175795,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,
1714,2015年01月01日至2015年09月30日,,             30423078,,             28845658,              1577420,              1577420,,,                818554,,                607313,,                137686,              1563553,                 13867,,,                224425,,                562541,,                605578,,                 39602,                220990,                234857,,                 83612,                151245,                151245,,,                              0,                              0,,                 57515,                 -7965,,                 -1788,                              0,                 47762,                 47762,                199007,,                524686,               -373441,,                533993,               -334986,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,
1714,2015年01月01日至2015年06月30日,,             21554069,,             20414533,              1139536,              1139536,,,                585931,,                425072,,                100690,              1111693,                 27843,,,                182241,,                226255,,                460997,,                 15904,                -36597,                 -8754,,                 58486,                -67240,                -67240,,,,,,               -365802,                   -141,,                 -1787,                              0,               -367730,               -367730,               -434970,,                209796,               -277036,,                -59545,               -375425,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,
1714,2015年01月01日至2015年03月31日,,             11356116,,             10859318,                496798,                496798,,,                287809,,                206096,,                 25546,                519451,                -22653,,,                106277,,                 13370,,                238209,,                  8658,               -109904,               -132557,,                 24647,               -157204,               -157204,,,,,,               -123519,                  6854,,                 -1137,,               -117802,               -117802,               -275006,,                  1164,               -158368,,                -75376,               -199630,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,
1714,2014年第3季,,             13086520,,             12525178,                561342,                561342,,,                251951,,                242630,,                 46718,                541299,                 20043,,,                 41103,,                 13471,,                177336,,                  7720,               -115042,                -94999,,                 54001,               -149000,               -149000,,,                              0,                              0,,                334049,                  3271,,                  2006,                              0,                339326,                339326,                190326,,                -21319,               -127681,,                184796,                  5530,,                             -0.02,                             -0.02,,                              0.00,                              0.00,,,,,,
1714,2014年第2季,,             14429205,,             13747687,                681518,                681518,,,                230756,,                207281,,                 47033,                485070,                196448,,,                 27903,,               -164479,,                146067,,                 24054,               -258589,                -62141,,                 34107,                -96248,                -96248,,,,,,               -246094,                              0,,                   -503,                              0,               -246597,               -246597,               -342845,,                -54791,                -41457,,               -191303,               -151542,,                             -0.06,                             -0.06,,                              0.00,                              0.00,,,,,,
1714,2014年度,,             56677333,,             54366833,              2310500,              2310500,,,              1094635,,                940649,,                100017,              2135301,                175199,,,                193237,,               -845349,,                685194,,                144489,             -1192817,             -1017618,,                141518,             -1159136,             -1159136,,,,,,,,,,,,                369036,               -790100,,               -395328,               -763808,,               -106503,               -683597,,                             -0.42,                             -0.42,,                              0.00,                              0.00,                364421,                    632,                  6696,,                 -1957,                    756
1714,2014年01月01日至2014年09月30日,,             41452475,,             39477399,              1975076,              1975076,,,                750924,,                728410,,                 86143,              1565477,                409599,,,                106954,,               -171948,,                458008,,                 98675,               -424327,                -14728,,                148116,               -162844,               -162844,,,                              0,                              0,,                 85280,                  3271,,                 -1375,                              0,                 87176,                 87176,                -75668,,                 40529,               -203373,,                 98257,               -173925,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,
1714,2014年01月01日至2014年06月30日,,             28365955,,             26952221,              1413734,              1413734,,,                498973,,                447652,,                 77553,              1024178,                389556,,,                 65851,,               -185419,,                280672,,                 90955,               -309285,                 80271,,                 94115,                -13844,                -13844,,,,,,               -248769,                              0,,                 -3381,                              0,               -252150,               -252150,               -265994,,                 61848,                -75692,,                -86539,               -179455,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,
