證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨退回,　　　 銷貨折讓,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1726,2015年第3季,,,,              1860111,              1860111,,,                 29135,                 29135,              1889246,,,              1318772,,                 32254,                 32254,              1351026,                538220,                538220,,,                148496,,                 72168,,                 42269,                262933,,                              0,                275287,,,                 27494,,                 10285,,                     38,,                  3763,                 41504,                316791,,                 50248,                266543,                266543,,,                 69296,                -24683,                              0,                 44613,                 44613,                311156,,                266543,                              0,,                311156,                              0,,                              1.65,,                              1.64,,,,,,,,,,
1726,2015年第2季,,,,              1955744,              1955744,,,                 40387,                 40387,              1996131,,,              1374321,,                 31612,                 31612,              1405933,                590198,                590198,,,                169907,,                 60836,,                 37824,                268567,,                 -1183,                320448,,,                 13832,,                -13935,,                     66,,                    -72,                   -241,                320207,,                 85600,                234607,                234607,,,                -39770,                -20840,                              0,                -60610,                -60610,                173997,,                234607,                              0,,                173997,                              0,,                              1.45,,                              1.45,,                              0,,,,,,,,
1726,2015年01月01日至2015年09月30日,,,,              5852969,              5852969,,,                120640,                120640,              5973609,,,              4139673,,                112872,                112872,              4252545,              1721064,              1721064,,,                514722,,                187933,,                122825,                825480,,                              0,                895584,,,                 56156,,                 -6082,,                    280,,                  3854,                 53648,                949232,,                231239,                717993,                717993,,,                -20533,                -48157,                              0,                -68690,                -68690,                649303,,                717993,                              0,,                649303,                              0,,                              4.43,,                              4.43,,,,,,,,,,
1726,2015年01月01日至2015年06月30日,,,,              3992858,              3992858,,,                 91505,                 91505,              4084363,,,              2820901,,                 80618,                 80618,              2901519,              1182844,              1182844,,,                366226,,                115765,,                 80556,                562547,,                              0,                620297,,,                 28662,,                -16367,,                    242,,                     91,                 12144,                632441,,                180991,                451450,                451450,,,                -89829,                -23474,                              0,               -113303,               -113303,                338147,,                451450,                              0,,                338147,                              0,,                              2.79,,                              2.79,,                              0,,,,,,,,
1726,2015年01月01日至2015年03月31日,,,,              2037114,              2037114,,,                 51118,                 51118,              2088232,,,              1446580,,                 49006,                 49006,              1495586,                592646,                592646,,,                196319,,                 54929,,                 42732,                293980,,                  1183,                299849,,,                 14830,,                 -2432,,                    176,,                    163,                 12385,                312234,,                 95391,                216843,                216843,,,                -50059,                 -2634,,                -52693,                -52693,                164150,,                216843,                              0,,                164150,                              0,,                              1.34,,                              1.34,,,,,,,,,,
1726,2014年第3季,,,,              1992809,              1992809,,,                 58334,                 58334,              2051143,,,              1457110,,                 44809,                 44809,              1501919,                549224,                549224,,,                160595,,                 64438,,                 40000,                265033,,                              0,                284191,,,                 27732,,                -27194,,                    214,,                  1271,                  1595,                285786,,                 43851,                241935,                241935,,,                 43194,                 -9030,                              0,                 34164,                 34164,                276099,,                241935,                              0,,                276099,                              0,,                              1.49,,                              1.49,,,,,,,,,,
1726,2014年第2季,,,,              2004750,              2004750,,,                 55374,                 55374,              2060124,,,              1434394,,                 42570,                 42570,              1476964,                583160,                583160,,,                159191,,                 61615,,                 42993,                263799,,                 -3188,                316173,,,                 16477,,                 -3681,,                    208,,                 -1398,                 11190,                327363,,                 40254,                287109,                287109,,,                -45860,                -11243,                              0,                -57103,                -57103,                230006,,                287109,                              0,,                230006,                              0,,                              1.78,,                              1.78,,                              0,,,,,,,,
1726,2014年度,,,,              8085782,              8085782,,,                216824,                216824,              8302606,,,              5792871,,                163877,                163877,              5956748,              2345858,              2345858,,,                620999,,                246685,,                173368,              1041052,,                              0,              1304806,,,                 76696,,               -135982,,                    872,,                 -3172,                -63330,              1241476,,                206437,              1035039,              1035039,,,,,,,                 54149,              1089188,,              1035039,                              0,,              1089188,                              0,,                              6.39,,                              6.38,,,                125056,                -38278,                -39312,                 -6683,,,,
1726,2014年01月01日至2014年09月30日,,,,              5930313,              5930313,,,                190423,                190423,              6120736,,,              4269650,,                124647,                124647,              4394297,              1726439,              1726439,,,                438317,,                179797,,                133757,                751871,,                              0,                974568,,,                 59044,,                -71567,,                    713,,                 -2238,                -15474,                959094,,                173339,                785755,                785755,,,                 33519,                -32782,                              0,                    737,                    737,                786492,,                785755,                              0,,                786492,                              0,,                              4.85,,                              4.85,,,,,,,,,,
1726,2014年01月01日至2014年06月30日,,,,              3937504,              3937504,,,                132089,                132089,              4069593,,,              2812540,,                 79838,                 79838,              2892378,              1177215,              1177215,,,                277722,,                115359,,                 93757,                486838,,                              0,                690377,,,                 31312,,                -44373,,                    499,,                 -3509,                -17069,                673308,,                129488,                543820,                543820,,,                 -9675,                -23752,                              0,                -33427,                -33427,                510393,,                543820,                              0,,                510393,                              0,,                              3.36,,                              3.36,,                              0,,,,,,,,
