證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1730,2015年第3季,,,                501871,                501871,,,                273728,                273728,                228143,                228143,,,                138844,,                 35308,,                  2500,                176652,                 51491,,,,                    360,                              0,                  5421,                  5781,,                              0,                    270,                  1053,                              0,                      2,                    166,                              0,                     39,                  1116,,                    305,                    305,                  6592,                 58083,,                 10637,                 47446,                 47446,,,                              0,                              0,,                 13525,                 13525,                 13525,                 60971,,                 43428,                              0,                  4018,,                 55897,                              0,                  5074,,                              0.81,
1730,2015年第2季,,,                454795,                454795,,,                245789,                245789,                209006,                209006,,,,,,,,                169514,                 39492,,,,                    485,,                  6599,                  7084,,                    532,                    227,,,                     44,                              0,                    879,                      3,                   -167,,                    251,                    251,                  6666,                 46158,,                 16450,                 29708,                 29708,,,                              0,                              0,,                 -5545,                 -5545,                 -5545,                 24163,,                 29124,,                    584,,                 23552,,                    611,,                              0.54,
1730,2015年01月01日至2015年09月30日,,,              1422195,              1422195,,,                778738,                778738,                643457,                643457,,,                406033,,                 97549,,                  7672,                511254,                132203,,,,                  1256,                              0,                 16042,                 17298,,                    210,                    660,                              0,                              0,                     46,                              0,                    474,                     97,                    253,,                    869,                    869,                 16682,                148885,,                 36549,                112336,                112336,,,                              0,                              0,,                  4698,                  4698,                  4698,                117034,,                101755,                              0,                 10581,,                105370,                              0,                 11664,,                              1.90,
1730,2015年01月01日至2015年06月30日,,,                920324,                920324,,,                505010,                505010,                415314,                415314,,,,,,,,                334602,                 80712,,,,                    896,,                 10621,                 11517,,                    376,                    390,,,                     44,                              0,                  1527,                     58,                   -863,,                    564,                    564,                 10090,                 90802,,                 25912,                 64890,                 64890,,,                              0,                              0,,                 -8827,                 -8827,                 -8827,                 56063,,                 58327,,                  6563,,                 49473,,                  6590,,                              1.09,
1730,2015年01月01日至2015年03月31日,,,                465529,                465529,,,                259221,                259221,                206308,                206308,,,                130932,,                 31476,,                  2680,                165088,                 41220,,,,                    411,,                  4022,                  4433,,                              0,                    163,                              0,,                              0,                    156,                    648,                     55,                   -696,,                    313,                    313,                  3424,                 44644,,                  9462,                 35182,                 35182,,,                              0,                              0,,                 -3282,                 -3282,                 -3282,                 31900,,                 29203,,                  5979,,                 25921,,                  5979,,                              0.55,
1730,2014年第3季,,,                385275,                385275,,,                205724,                205724,                179551,                179551,,,                128015,,                 15006,,                  2916,                145937,                 33614,,,,                    845,                              0,                  3063,                  3908,,                              0,                    210,                              0,                  1534,                     39,                     69,                    872,                              0,                    764,,                    140,                    140,                  4532,                 38146,,                  7092,                 31054,                 31054,,,                   -405,                   -405,,                  7884,                  7884,                  7479,                 38533,,                 31054,                              0,                              0,,                 38533,                              0,                              0,,                              0.58,
1730,2014年第2季,,,                370020,                370020,,,                194620,                194620,                175400,                175400,,,,,,,,                145614,                 29786,,,,                    889,,                  5390,                  6279,,                              0,                     44,,,                              0,                    208,                  1357,                    370,                 -1891,,                     10,                     10,                  4378,                 34164,,                  9001,                 25163,                 25163,,,                   -405,                   -405,,                 -7900,                 -7900,                 -8305,                 16858,,                 25163,,                              0,,                 16858,,                              0,,                              0.47,
1730,2014年度,,,              1595878,              1595878,,,                861747,                861747,                734131,                734131,,,                508826,,                 85496,,                 12899,                607221,                126910,,,,                  2790,                              0,                 24813,                 27603,,                              0,                    943,,                              0,                  2267,                    265,                    286,                  1928,                 -3803,,                    316,                    316,                 23484,                150394,,                 31191,                119203,                119203,,,,,,,,                 24066,                143269,,                114703,                              0,                  4500,,                138769,                              0,                  4500,,                              2.14,                 24066
1730,2014年01月01日至2014年09月30日,,,              1105372,              1105372,,,                593860,                593860,                511512,                511512,,,                364221,,                 52080,,                  9580,                425881,                 85631,,,,                  2208,                              0,                 15448,                 17656,,                              0,                    801,                              0,                              0,                    108,                    227,                  1806,                  2294,                 -3634,,                    155,                    155,                 13867,                 99498,,                 21882,                 77616,                 77616,,,                 -1215,                 -1215,,                  5923,                  5923,                  4708,                 82324,,                 77616,                              0,                              0,,                 82324,                              0,                              0,,                              1.45,
1730,2014年01月01日至2014年06月30日,,,                720097,                720097,,,                388136,                388136,                331961,                331961,,,,,,,,                279944,                 52017,,,,                  1363,,                 12385,                 13748,,                              0,                    591,,,                     69,                    158,                    934,                  3828,                 -4398,,                     15,                     15,                  9335,                 61352,,                 14790,                 46562,                 46562,,,                   -810,                   -810,,                 -1961,                 -1961,                 -2771,                 43791,,                 46562,,                              0,,                 43791,,                              0,,                              0.87,
