證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
1805,2015年第3季,,,,                 19433,                    213,                    576,                 18644,,                              0,                 18644,,,                 17086,,                              0,                 17086,                  1558,                  1558,,,                  7930,,                 18121,,                    304,                 26355,                -24797,,,                 11281,,                 -5194,,                  1067,                  5020,                -19777,,                      2,                -19779,                -19779,                -19779,,                -19779,,                -19779,,                             -0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2015年第2季,,,,                 40659,                    699,                  1147,                 38813,,                              0,                 38813,,,                 36119,,                              0,                 36119,                  2694,                  2694,,,                  8760,,                 14947,,                    323,                 24030,                -21336,,,                    -59,,                    733,,                  1068,                   -394,                -21730,,                              0,                -21730,                -21730,                -21730,,                -21730,,                -21730,,                             -0.27,,,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
1805,2015年01月01日至2015年09月30日,,,,                102232,                  1160,                  2757,                 98315,,                              0,                 98315,,,                 89106,,                              0,                 89106,                  9209,                  9209,,,                 26004,,                 62559,,                    966,                 89529,                -80320,,,                 15333,,                 -4121,,                  3249,                  7963,                -72357,,                      2,                -72359,                -72359,                -72359,,                -72359,,                -72359,,                             -0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2015年01月01日至2015年06月30日,,,,                 82799,                    947,                  2181,                 79671,,                              0,                 79671,,,                 72020,,                              0,                 72020,                  7651,                  7651,,,                 18074,,                 44438,,                    662,                 63174,                -55523,,,                  4052,,                  1073,,                  2182,                  2943,                -52580,,                              0,                -52580,                -52580,                -52580,,                -52580,,                -52580,,                             -0.66,,,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
1805,2015年01月01日至2015年03月31日,,,,                 42140,                    248,                  1034,                 40858,,                              0,                 40858,,,                 35901,,                              0,                 35901,                  4957,                  4957,,,                  9314,,                 29491,,                    339,                 39144,                -34187,,,                  4111,,                    340,,                  1114,                  3337,                -30850,,                              0,                -30850,                -30850,                -30850,,                -30850,,                -30850,,                             -0.38,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,
1805,2014年第3季,,,,                 40558,                    177,                    497,                 39884,,                              0,                 39884,,,                 32480,,                              0,                 32480,                  7404,                  7404,,,                 12684,,                 15329,,                    472,                 28485,                -21081,,,                  1015,,                     -1,,                  1083,                    -69,                -21150,,                              0,                -21150,                -21150,                -21150,,                -21150,,                -21150,,                             -0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2014年第2季,,,,                 43248,                  2299,                    707,                 40242,,                207486,                247728,,,                 41814,,                176800,                218614,                 29114,                 29114,,,                 11825,,                 15030,,                  1136,                 27991,                  1123,,,                  1134,,                     48,,                  1106,                     76,                  1199,,                              0,                  1199,                  1199,                  1199,,                  1199,,                  1199,,                              0.01,,,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
1805,2014年度,,,,                181052,                  3723,                  2597,                174732,,                857053,              1031785,,,                156030,,                728747,                884777,                147008,                147008,,,                 72494,,                 64325,,                  2419,                139238,                  7770,,,                  5798,,                     25,,                  4633,                  1190,                  8960,,                              0,                  8960,                  8960,                  8960,,                  8960,,                  8960,,                              0.11,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2014年01月01日至2014年09月30日,,,,                120024,                  3757,                  1580,                114687,,                857053,                971740,,,                105570,,                729263,                834833,                136907,                136907,,,                 56908,,                 48604,,                  2126,                107638,                 29269,,,                  3192,,                     26,,                  3560,                   -342,                 28927,,                              0,                 28927,                 28927,                 28927,,                 28927,,                 28927,,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2014年01月01日至2014年06月30日,,,,                 79466,                  3580,                  1083,                 74803,,                857053,                931856,,,                 73090,,                729263,                802353,                129503,                129503,,,                 44224,,                 33275,,                  1654,                 79153,                 50350,,,                  2177,,                     27,,                  2477,                   -273,                 50077,,                              0,                 50077,                 50077,                 50077,,                 50077,,                 50077,,                              0.62,,,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
