證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益
2008,2015年第3季,,                283601,,                299930,                -16329,                -16329,,,                 15535,,                 13590,                 29125,                -45454,,,                 19354,,                -21695,,                  8998,,                     -5,                -11344,                -56798,,                 27335,                 -7485,                 19850,                -76648,                -76648,,,               -185371,,                -21894,                              0,               -207265,               -207265,               -283913,,                             -0.28,,                             -0.28,,,,,,,,,,,,,,,,,,
2008,2015年第2季,,                368368,,                385134,                -16766,                -16766,,,                 18969,,                 15000,                 33969,                -50735,,,                  1810,,                 10157,,                  5886,,                    238,                  6319,                -44416,,                              0,                              0,                              0,                -44416,                -44416,,,                -40020,,                -18053,                              0,                -58073,                -58073,               -102489,,                             -0.16,,                             -0.16,,,,,,,,,,,,,,,,,,
2008,2015年第1季,,                336715,,                354443,                -17728,                -17728,,,                 18818,,                 14113,                 32931,                -50659,,,                    921,,                  8352,,                  5781,,                    -41,                  3451,                -47208,,                              0,                              0,                              0,                -47208,                -47208,,,                -15061,,                 -9182,                              0,                -24243,                -24243,                -71451,,                             -0.17,,                             -0.17,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,
2008,2015年01月01日至2015年09月30日,,                988684,,              1039507,                -50823,                -50823,,,                 53322,,                 42703,                 96025,               -146848,,,                 22085,,                 -3186,,                 20665,,                    192,                 -1574,               -148422,,                 27335,                 -7485,                 19850,               -168272,               -168272,,,               -240452,,                -49129,                              0,               -289581,               -289581,               -457853,,                             -0.61,,                             -0.61,,,,,,,,,,,,,,,,,,
2008,2015年01月01日至2015年06月30日,,                705083,,                739577,                -34494,                -34494,,,                 37787,,                 29113,                 66900,               -101394,,,                  2731,,                 18509,,                 11667,,                    197,                  9770,                -91624,,                              0,                              0,                              0,                -91624,                -91624,,,                -55081,,                -27235,                              0,                -82316,                -82316,               -173940,,                             -0.33,,                             -0.33,,,,,,,,,,,,,,,,,,
2008,2014年第3季,,                355275,,                398385,                -43110,                -43110,,,                 19828,,                 17188,                 37016,                -80126,,,                  8375,,                  2980,,                  3043,,                 -1845,                  6467,                -73659,,                              0,                              0,                              0,                -73659,                -73659,,,                -35802,,                -14506,                              0,                -50308,                -50308,               -123967,,                             -0.27,,                             -0.27,,,,,,,,,,,,,,,,,,
2008,2014年第2季,,                319911,,                354585,                -34674,                -34674,,,                 16025,,                 14063,                 30088,                -64762,,,                  6396,,                  1027,,                  2364,,                    139,                  5198,                -59564,,                115328,                              0,                115328,               -174892,               -174892,,,                  8182,,                -20762,                              0,                -12580,                -12580,               -187472,,                             -0.63,,                             -0.63,,,,,,,,,,,,,,,,,,
2008,2014年第1季,,                350061,,                373096,                -23035,                -23035,,,                 15919,,                 15613,                 31532,                -54567,,,                    846,,                 -1478,,                  1970,,                  2779,                    177,                -54390,,                              0,                              0,                              0,                -54390,                -54390,,,                 -5698,,                   -906,                              0,                 -6604,                 -6604,                -60994,,                             -0.20,,                             -0.20,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,
2008,2014年度,,              1489229,,              1589759,               -100530,               -100530,,,                 82054,,                 60381,                142435,               -242965,,,                 18701,,                -16558,,                 11772,,                 -1368,                -10997,               -253962,,,                              0,                115328,               -369290,               -369290,,,,,,,,                -50228,               -419518,,                             -1.34,,                             -1.34,,,,,,,,,,,,                  1368,                115328,                -16126,,                -34102,                              0,
2008,2014年01月01日至2014年09月30日,,              1025246,,              1126066,               -100820,               -100820,,,                 51772,,                 46864,                 98636,               -199456,,,                 15617,,                  2529,,                  7377,,                  1073,                 11842,               -187614,,                115328,                              0,                115328,               -302942,               -302942,,,                -33318,,                -36174,                              0,                -69492,                -69492,               -372434,,                             -1.10,,                             -1.10,,,,,,,,,,,,,,,,,,
