證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2027,2015年第3季,,             12667906,,             11779771,                888135,                888135,,,                392774,,                913869,              1306643,,                  1645,               -416863,,,                 52571,,                333727,,                184477,                201821,               -215042,,                 33109,               -248151,               -248151,,,,                              0,                              0,                              0,,              1002408,                -15187,                -59345,                   -564,                928440,                928440,                680289,,               -260431,                 12280,,                446394,                233895,,                             -0.33,,                             -0.33,,,,,,,,,
2027,2015年第2季,,             13242183,,             11552915,              1689268,              1689268,,,                268120,,                980010,              1248130,,                  5856,                446994,,,                 54909,,                 74668,,                173504,                -43927,                403067,,                372419,                 30648,                 30648,,,,,,,,               -209355,                 -3192,                 10442,                    191,               -202296,               -202296,               -171648,,                -24036,                 54684,,               -186492,                 14844,,                             -0.03,,                             -0.03,                             -0.03,                             -0.03,,,,,,,
2027,2015年01月01日至2015年09月30日,,             39353482,,             35257944,              4095538,              4095538,,,              1118970,,              2694479,              3813449,,                 -1269,                280820,,,                145375,,                330896,,                527234,                -50963,                229857,,                359643,               -129786,               -129786,,,,                              0,                              0,                              0,,                476223,                -27239,               -105096,                     10,                343878,                343878,                214092,,               -233047,                103261,,                 41980,                172112,,                             -0.29,,                             -0.29,,,,,,,,,
2027,2015年01月01日至2015年06月30日,,             26685576,,             23478173,              3207403,              3207403,,,                726196,,              1780610,              2506806,,                 -2914,                697683,,,                 92804,,                 -2831,,                342757,               -252784,                444899,,                326534,                118365,                118365,,,,,,,,               -526185,                -12052,                -45751,                    574,               -584562,               -584562,               -466197,,                 27384,                 90981,,               -404414,                -61783,,                              0.04,,                              0.04,                              0.04,                              0.04,,,,,,,
2027,2015年01月01日至2015年03月31日,,             13443393,,             11925258,              1518135,              1518135,,,                458076,,                800600,              1258676,,                 -8770,                250689,,,                 37895,,                -77499,,                169253,               -208857,                 41832,,                -45885,                 87717,                 87717,,,,,,,,               -316830,                 -8860,                -56193,                    383,               -382266,               -382266,               -294549,,                 51420,                 36297,,               -217922,                -76627,,                              0.07,,                              0.07,                              0.07,                              0.07,,             13443393,,,,,
2027,2014年第3季,,             13475118,,             10814202,              2660916,              2660916,,,                452362,,                948042,              1400404,,                   -186,              1260326,,,                 37411,,                 69040,,                143350,                -36899,              1223427,,                329104,                894323,                894323,,,,                              0,                              0,                              0,,                240117,                    -86,                 14983,                    572,                254442,                254442,              1148765,,                849798,                 44525,,              1068945,                 79820,,                              1.05,,                              1.05,,,,,,,,,
2027,2014年第2季,,             13127549,,             10456893,              2670656,              2670656,,,                502918,,                855575,              1358493,,                  1073,              1313236,,,                 31740,,               -220237,,                137165,               -325662,                987574,,                243532,                744042,                744042,,,,,,,,               -304482,                  8393,                -47969,                   -363,               -343695,               -343695,                400347,,                662070,                 81972,,                388097,                 12250,,                              0.86,,                              0.86,                              0.86,                              0.86,,,,,,,
2027,2014年度,,             50811759,,             41913361,              8898398,              8898398,,,              1920626,,              3580546,              5501172,,                  7352,              3404578,,,                118616,,                -46643,,                562241,               -490268,              2914310,,                783277,              2131033,              2131033,,,,,,,,,,,,,                798663,              2929696,,              1885199,                245834,,              2497371,                432325,,                              2.44,,                              2.44,                              2.44,                              2.44,,,                909338,                 18316,                -97368,                -37614,                  5991
2027,2014年01月01日至2014年09月30日,,             38196508,,             31130506,              7066002,              7066002,,,              1394953,,              2596762,              3991715,,                  1670,              3075957,,,                 94276,,               -198709,,                417781,               -522214,              2553743,,                702814,              1850929,              1850929,,,,                              0,                              0,                              0,,                291689,                 17052,                -52933,                  1647,                254161,                254161,              2105090,,              1668137,                182792,,              1859647,                245443,,                              2.08,,                              2.08,,,,,,,,,
2027,2014年01月01日至2014年06月30日,,             24721390,,             20316304,              4405086,              4405086,,,                942591,,              1648720,              2591311,,                  1856,              1815631,,,                 56865,,               -267749,,                274431,               -485315,              1330316,,                373710,                956606,                956606,,,,,,,,                 51572,                 17138,                -67916,                  1075,                   -281,                   -281,                956325,,                818339,                138267,,                790702,                165623,,                              1.07,,                              1.07,                              1.07,                              1.07,,,,,,,
