證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 停業單位淨利（淨損）
2031,2015年第3季,,,,              1408945,              1408945,,,                              0,                              0,,                  5840,              1414785,,,              1602772,,                              0,                              0,                 31180,              1633952,               -219167,               -219167,,,                 27865,,                  5250,                 33115,,                133791,                133791,               -118491,,,                  9355,                  9355,,                -68730,,                 26745,,                    365,                -85755,               -204246,,                 -3674,               -200572,               -200572,,,                 13339,               -383461,               -370122,               -370122,               -570694,,               -198037,                 -2535,,               -568204,                 -2490,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,,,,
2031,2015年第2季,,,,              1842406,              1842406,,,                              0,                              0,,                  1748,              1844154,,,              1895033,,                              0,                              0,                    852,              1895885,                -51731,                -51731,,,                 34061,,                  6658,                 40719,,                -61863,                -61863,               -154313,,,                  2394,                  2394,,                 44826,,                 27145,,                    550,                 20625,               -133688,,                  7063,               -140751,               -140751,,,                 -2921,                -94985,                -97906,                -97906,               -238657,,               -139596,                 -1155,,               -237491,                 -1166,,                             -0.50,                             -0.50,,                             -0.45,                             -0.45,,,,
2031,2015年01月01日至2015年09月30日,,,,              5050098,              5050098,,,                              0,                              0,,                 11726,              5061824,,,              5271944,,                              0,                              0,                 32079,              5304023,               -242199,               -242199,,,                107896,,                 38251,                146147,,                -61211,                -61211,               -449557,,,                 13417,                 13417,,                461115,,                 79371,,                    945,                396106,                -53451,,                  3433,                -56884,                -56884,,,                  8106,               -499554,               -491448,               -491448,               -548332,,                -51213,                 -5671,,               -542660,                 -5672,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,
2031,2015年01月01日至2015年06月30日,,,,              3641153,              3641153,,,                              0,                              0,,                  5886,              3647039,,,              3669172,,                              0,                              0,                    899,              3670071,                -23032,                -23032,,,                 80031,,                 33001,                113032,,               -195002,               -195002,               -331066,,,                  4062,                  4062,,                529845,,                 52626,,                    580,                481861,                150795,,                  7107,                143688,                143688,,,                 -5233,               -116093,               -121326,               -121326,                 22362,,                146824,                 -3136,,                 25544,                 -3182,,                              0.53,                              0.53,,                              0.49,                              0.49,,,,
2031,2015年01月01日至2015年03月31日,,,,              1798747,              1798747,,,                              0,                              0,,                  4138,              1802885,,,              1774139,,                              0,                              0,                     47,              1774186,                 28699,                 28699,,,                 45970,,                 26343,                 72313,,               -133139,               -133139,               -176753,,,                  1668,                  1668,,                485019,,                 25481,,                     30,                461236,                284483,,                     44,                284439,                284439,,,                 -2312,                -21108,                -23420,                -23420,                261019,,                286420,                 -1981,,                263035,                 -2016,,                              1.03,                              1.03,,                              0.94,                              0.94,,,,
2031,2014年第3季,,,,              2192107,              2192107,,,                              0,                              0,,                 18529,              2210636,,,              2032923,,                              0,                              0,                 27035,              2059958,                150678,                150678,,,                 42178,,                 13164,                 55342,,                 67021,                 67021,                162357,,,                  3959,                  3959,,                -61073,,                 35021,,                    614,                -91521,                 70836,,                 11104,                 59732,                 59732,,,                  2605,                 97909,                100514,                100514,                160246,,                 61468,                 -1736,,                161965,                 -1719,,                              0.22,                              0.22,,                              0.21,                              0.21,,,,
2031,2014年第2季,,,,              2492295,              2492295,,,                              0,                              0,,                 12492,              2504787,,,              2325018,,                              0,                              0,                    161,              2325179,                179608,                179608,,,                 40280,,                 23782,                 64062,,                -26310,                -26310,                 89236,,,                  4590,                  4590,,                 54023,,                 27978,,                    393,                 31028,                120264,,                 19660,                100604,                100604,,,                 -2926,                -37909,                -40835,                -40835,                 59769,,                102034,                 -1430,,                 61221,                 -1452,,                              0.37,                              0.37,,                              0.33,                              0.33,,,,
2031,2014年度,,,,              8533612,              8533612,,,                 73260,                 73260,,                 46630,              8653502,,,              8051247,,                 66259,                 66259,                 37831,              8155337,                498165,                498165,,,                163170,,                 65886,                229056,,                215635,                215635,                484744,,,                  9432,                  9432,,               -107718,,                120123,,                  1158,               -217251,                267493,,                 45032,                222461,                222461,,,,,,                 -6629,                215832,,                231451,                 -8990,,                224774,                 -8942,,                              0.83,                              0.83,,                              0.79,                              0.79,                  7556,                -11941,                 -2244,                              0.00
2031,2014年01月01日至2014年09月30日,,,,              6763834,              6763834,,,                 61956,                 61956,,                 39914,              6865704,,,              6309425,,                 55615,                 55615,                 30068,              6395108,                470596,                470596,,,                117836,,                 53510,                171346,,                 71194,                 71194,                370444,,,                  9569,                  9569,,                -29314,,                 88369,,                  1028,               -107086,                263358,,                 44139,                219219,                219219,,,                  1470,                -33049,                -31579,                -31579,                187640,,                224708,                 -5489,,                193122,                 -5482,,                              0.81,                              0.81,,                              0.76,                              0.76,,,,
2031,2014年01月01日至2014年06月30日,,,,              4571727,              4571727,,,                 61956,                 61956,,                 21385,              4655068,,,              4276502,,                 55615,                 55615,                  3033,              4335150,                319918,                319918,,,                 75658,,                 40346,                116004,,                  4173,                  4173,                208087,,,                  5610,                  5610,,                 31759,,                 53348,,                    414,                -15565,                192522,,                 33035,                159487,                159487,,,                 -1135,               -130958,               -132093,               -132093,                 27394,,                163240,                 -3753,,                 31157,                 -3763,,                              0.59,                              0.59,,                              0.53,                              0.53,,,,
