證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　　 不動產、廠房及設備減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 租金收入
2049,2015年第3季,,              3759238,,              2487520,              1271718,              1271718,,,                297738,,                346670,,                225784,                870192,                401526,,,                 19084,                 19084,,                -41548,                     16,               -304511,,                  4500,                  4500,                258447,,                 42763,,                  9694,                244462,                645988,,                117622,                528366,                528366,,,                145590,                     -1,                 24714,                120875,                120875,                649241,,                596043,                -67677,,                716805,                -67564,,                              2.21,                              2.21,,                              2.21,                              2.21,,,,,,,,,,,,,,,,,,
2049,2015年第2季,,              4322123,,              2771603,              1550520,              1550520,,,                350900,,                295803,,                246931,                893634,                656886,,,                 14336,                 14336,,                 -1789,                    122,                 50667,,                  9508,                  9508,                -62086,,                 42124,,                  4316,                -85558,                571328,,                208512,                362816,                362816,,,                  7281,                              0,                  1331,                  5950,                  5950,                368766,,                428065,                -65249,,                434306,                -65540,,                              1.64,                              1.64,,                              1.63,                              1.63,,,,,,,,,,,,,,,,,,
2049,2015年01月01日至2015年09月30日,,             11719032,,              7472041,              4246991,              4246991,,,                922627,,                916244,,                663118,              2501989,              1745002,,,                 53472,                 53472,,                -21637,                    242,               -121223,,                 14008,                 14008,                 85336,,                128776,,                 17685,                 27717,              1772719,,                422195,              1350524,              1350524,,,                -19869,                              0,                 -3321,                -16548,                -16548,              1333976,,              1539598,               -189074,,              1523228,               -189252,,                              5.72,                              5.72,,                              5.69,                              5.69,,,,,,,,,,,,,,,,,,
2049,2015年01月01日至2015年06月30日,,              7959794,,              4984521,              2975273,              2975273,,,                624889,,                569574,,                437334,              1631797,              1343476,,,                 34388,                 34388,,                 19911,                    226,                183288,,                  9508,                  9508,               -173111,,                 86013,,                  7991,               -216745,              1126731,,                304573,                822158,                822158,,,               -165459,                      1,                -28035,               -137423,               -137423,                684735,,                943555,               -121397,,                806423,               -121688,,                              3.61,                              3.61,,                              3.59,                              3.59,,,,,,,,,,,,,,,,,,
2049,2015年01月01日至2015年03月31日,,              3637671,,              2212918,              1424753,              1424753,,,                273989,,                273771,,                190403,                738163,                686590,,,                 20052,                 20052,,                 21700,                    104,                132621,,,,               -111025,,                 43889,,                  3675,               -131187,                555403,,                 96061,                459342,                459342,,,               -172740,                      1,                -29366,               -143373,               -143373,                315969,,                515490,                -56148,,                372117,                -56148,,                              1.97,                              1.97,,                              1.96,                              1.96,,,,,,,,,,,,,,,,,,
2049,2014年第3季,,              4239888,,              2624933,              1614955,              1614955,,,                265060,,                239375,,                209929,                714364,                900591,,,                 13299,                 13299,,                 -4139,                    189,                -32963,,                              0,                              0,                 28635,,                 43743,,                  4168,                  2359,                902950,,                176240,                726710,                726710,,,                -53757,                     -1,                 -9139,                -44619,                -44619,                682091,,                760417,                -33707,,                715798,                -33707,,                              2.82,                              2.82,,                              2.82,                              2.82,,,,,,,,,,,,,,,,,,
2049,2014年第2季,,              3538429,,              2149884,              1388545,              1388545,,,                298472,,                272199,,                207267,                777938,                610607,,,                 15416,                 15416,,                  2265,                  2049,                 78531,,                              0,                              0,                -78315,,                 44251,,                    512,               -106638,                503969,,                213778,                290191,                290191,,,                -36045,                     -1,                 -6128,                -29918,                -29918,                260273,,                328387,                -38196,,                298469,                -38196,,                              1.26,                              1.26,,                              1.25,                              1.25,,,,,,,,,,,,,,,,,,
2049,2014年度,,             15087336,,              9296584,              5790752,              5790752,,,              1126186,,              1009279,,                807452,              2942917,              2847835,,,,                 66675,,,                  8210,,,                  9200,                 21654,                158489,,                172112,,                 10055,                 63107,              2910942,,                643592,              2267350,              2267350,,,,,,,                -22356,              2244994,,              2404906,               -137556,,              2382550,               -137556,,                              9.20,                              9.20,,                              9.16,                              9.16,                              0,                211439,                 23086,                 12454,                -19698,                              0,                 -5641,                  2983,,,,,,,,,,
2049,2014年01月01日至2014年09月30日,,             10790287,,              6587911,              4202376,              4202376,,,                791557,,                737812,,                579006,              2108375,              2094001,,,                 40366,                 40366,,                 -6895,                  2357,                -43497,,                              0,                              0,                 34245,,                129496,,                  8466,                -46419,              2047582,,                532187,              1515395,              1515395,,,                -52503,                              0,                 -8560,                -43943,                -43943,              1471452,,              1623042,               -107647,,              1579099,               -107647,,                              6.03,                              6.03,,                              6.01,                              6.01,,,,,,,,,,,,,,,,,,
2049,2014年01月01日至2014年06月30日,,              6550399,,              3962978,              2587421,              2587421,,,                526497,,                498437,,                369077,              1394011,              1193410,,,                 27067,                 27067,,                 -2756,                  2168,                -10534,,                              0,                              0,                  5610,,                 85753,,                  4298,                -48778,              1144632,,                355947,                788685,                788685,,,                  1254,                      1,                    579,                    676,                    676,                789361,,                862625,                -73940,,                863301,                -73940,,                              3.30,                              3.30,,                              3.29,                              3.29,,,,,,,,,,,,,,,,,,
