證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 處分投資性不動產利益,　　　 減損迴轉利益,　　　　 投資性不動產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 投資性不動產減損損失,　　　　 減損損失合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2062,2015年第3季,,              1700264,,              1326356,                373908,                373908,,,                 52817,,                126792,,                 28673,                208282,                165626,,,,                  1461,                  6313,                  7774,,                 54934,                  2147,                              0,                 52787,,                  7252,                  7252,                 53309,                218935,,                 44731,                174204,                174204,,,                171366,                 29132,                142234,                142234,                316438,,                174204,                              0,                              0,,                316438,                              0,                              0,,                              1.07,                              1.07,,                              1.07,                              1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年第2季,,              1693017,,              1331336,                361681,                361681,,,                 65213,,                116012,,                 18981,                200206,                161475,,,,                  5236,                  2031,                  7267,,,                  1183,                              0,                 -7352,,                  7883,                  7883,                 -7968,                153507,,                 43205,                110302,                110302,,,                -50512,                 -8587,                -41925,                -41925,                 68377,,                110302,,,,                 68377,,,,                              0.68,                              0.68,,                              0.68,                              0.68,                  6169,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年01月01日至2015年09月30日,,              4934339,,              3850146,              1084193,              1084193,,,                183733,,                351106,,                 63871,                598710,                485483,,,,                 17824,                 10878,                 28702,,                 46594,                  5060,                              0,                 41534,,                 20659,                 20659,                 49577,                535060,,                125808,                409252,                409252,,,                 58679,                  9971,                 48708,                 48708,                457960,,                409252,                              0,                              0,,                457960,                              0,                              0,,                              2.51,                              2.51,,                              2.51,                              2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年01月01日至2015年06月30日,,              3234075,,              2523790,                710285,                710285,,,                130916,,                224314,,                 35198,                390428,                319857,,,,                 16363,                  4565,                 20928,,,                  2913,                              0,                -11253,,                 13407,                 13407,                 -3732,                316125,,                 81077,                235048,                235048,,,               -112687,                -19161,                -93526,                -93526,                141522,,                235048,,,,                141522,,,,                              1.44,                              1.44,,                              1.44,                              1.44,                  8340,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年01月01日至2015年03月31日,,              1541058,,              1192454,                348604,                348604,,,                 65703,,                108302,,                 16217,                190222,                158382,,,,                 11127,                  2534,                 13661,,,                  1730,                              0,                 -3901,,                  5524,                  5524,                  4236,                162618,,                 37872,                124746,                124746,,,                -62175,                -10574,                -51601,                -51601,                 73145,,                124746,                              0,                              0,,                 73145,                              0,                              0,,                              0.77,                              0.77,,                              0.76,                              0.76,                  2171,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
2062,2014年第3季,,              1594001,,              1238128,                355873,                355873,,,                 68508,,                 97684,,                 16300,                182492,                173381,,,,                 12958,                  5213,                 18171,,                 32173,                  4697,                -28647,                 56123,,                  5842,                  5842,                 68452,                241833,,                 42951,                198882,                198882,,,                 77599,                 13192,                 64407,                 64407,                263289,,                198882,                              0,                              0,,                263289,                              0,                              0,,                              1.22,                              1.22,,                              1.22,                              1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年第2季,,              1540688,,              1201950,                338738,                338738,,,                 62469,,                 99217,,                  9806,                171492,                167246,,,,                 15601,                    927,                 16528,,,                    503,                  3126,                -12978,,                  5827,                  5827,                 -2277,                164969,,                 46870,                118099,                118099,,,                -84114,                -14299,                -69815,                -69815,                 48284,,                118099,,,,                 48284,,,,                              0.72,                              0.72,,                              0.72,                              0.72,                  9349,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年度,,              6169791,,              4790044,              1379747,              1379747,,,                246246,,                384189,,                 66895,                697330,                682417,,,,                 62958,                 20631,                 83589,,                 59529,                 10508,,                 46682,,                 24420,                 24420,                105851,                788268,,                166101,                622167,                622167,,,,,,                207321,                829488,,                622167,                              0,                              0,,                829488,                              0,                              0,,                              3.82,                              3.82,,                              3.81,                              3.81,,,,,,,,,,,,,                              0,,                  4213,                  4213,                  6552,                253074,                 -3284,                 42469,,,,,,,
2062,2014年01月01日至2014年09月30日,,              4532440,,              3535964,                996476,                996476,,,                172481,,                285369,,                 40451,                498301,                498175,,,,                 49449,                 14249,                 63698,,                  5663,                  9681,                 21878,                -25896,,                 18216,                 18216,                 19586,                517761,,                111955,                405806,                405806,,,                 63214,                 10747,                 52467,                 52467,                458273,,                405806,                              0,                              0,,                458273,                              0,                              0,,                              2.49,                              2.49,,                              2.49,                              2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年01月01日至2014年06月30日,,              2938439,,              2297836,                640603,                640603,,,                103973,,                187685,,                 24151,                315809,                324794,,,,                 36491,                  9036,                 45527,,,                  4984,                 50525,                -82019,,                 12374,                 12374,                -48866,                275928,,                 69004,                206924,                206924,,,                -14385,                 -2445,                -11940,                -11940,                194984,,                206924,,,,                194984,,,,                              1.27,                              1.27,,                              1.27,                              1.27,                 26510,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年01月01日至2014年03月31日,,              1397751,,              1095886,                301865,                301865,,,                 41504,,                 88468,,                 14345,                144317,                157548,,,,                 20890,                  8109,                 28999,,,                  4481,                 47399,                -69041,,                  6547,                  6547,                -46589,                110959,,                 22134,                 88825,                 88825,,,                 69729,                 11854,                 57875,                 57875,                146700,,                 88825,                              0,                              0,,                146700,                              0,                              0,,                              0.54,                              0.54,,                              0.54,                              0.54,                 17161,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
2062,2013年第3季,,              1623518,,              1193932,                429586,                429586,,,                 48526,,                 77019,,                 12702,                138247,                291339,,,,                 12594,                  3738,                 16332,,                 -9455,                  1430,                  1116,                 11871,,                  4963,                  4963,                 23240,                314579,,                 60135,                254444,                254444,,,,,,                -40314,                214130,,                254444,                              0,                              0,,                214130,                              0,                              0,,                              1.56,                              1.56,,                              1.56,                              1.56,,,,,,,,,,,,,                 49150,,,,,                -45447,,                 -5133,,                 25278,                 25278,,,,
2062,2013年第2季,,              1562812,,              1130408,                432404,                432404,,,                 50296,,                100013,,                 15424,                165733,                266671,,,,                 12355,                  2910,                 15265,,                 13579,                    854,                              0,                 12725,,                  4295,                  4295,                 23695,                290366,,                 56565,                233801,                233801,,,,,,                 51330,                285131,,                233801,                              0,                              0,,                285131,                              0,                              0,,,                              1.43,,,,,,,,,,,,,,,,                              0,,,,,                 56463,,                  5133,,,,,,,
2062,2013年度,,              5927937,,              4369329,              1558608,              1558608,,,                194282,,                344585,,                 58692,                597559,                961049,,,,                 53125,                 20584,                 73709,,                 45842,                  2742,,                 95053,,                 20250,                 20250,                148512,              1109561,,                204391,                905170,                905170,,,,,,                167163,              1072333,,                905170,                              0,                              0,,              1072333,                              0,                              0,,                              5.55,                              5.55,,                              5.55,                              5.55,,,,,,,,,,,,,                 83164,,                -25278,                -25278,                  5933,                174324,                 -1558,                  5603,,,,,,,
2062,2013年07月01日至2013年09月30日,,              1623518,,              1193932,                429586,                429586,,,                 48526,,                 77019,,                 12702,                138247,                291339,,,,                 12594,                  3738,                 16332,,                 -9455,                  2546,,                 11871,,                  4963,                  4963,                 23240,                314579,,                 60135,                254444,                254444,,,,,,                -40314,                214130,,                254444,,,,                214130,,,,                              1.56,                              1.56,,                              1.56,                              1.56,,,,,,,,,,,,,                 49150,,,,,                -45447,,                 -5133,,                 25278,                 25278,,,,
2062,2013年04月01日至2013年06月30日,,              1562812,,              1130408,                432404,                432404,,,                 50296,,                100013,,                 15424,                165733,                266671,,,,                 12355,                  2910,                 15265,,                 13579,                    854,,                 12725,,                  4295,                  4295,                 23695,                290366,,                 56565,                233801,                233801,,,,,,                 51330,                285131,,                233801,,                              0,,                285131,,                              0,,,                              1.43,,,                              1.43,,,,,,,,,,,,,                              0,,,,,                 56463,,                  5133,,,,,                              0,,                              0
2062,2013年01月01日至2013年12月31日,,              5927937,,              4369329,              1558608,              1558608,,,                194282,,                344585,,                 58692,                597559,                961049,,,,                 53125,                 20584,                 73709,,                 45842,                  2742,,                 95053,,                 20250,                 20250,                148512,              1109561,,                204391,                905170,                905170,,,,,,                167163,              1072333,,                905170,,,,              1072333,,,,                              5.55,                              5.55,,                              5.55,                              5.55,,,,,,,,,,,,,                 83164,,,,                  5933,                174324,                 -1558,                  5603,,                 25278,                 25278,,,,
2062,2013年01月01日至2013年09月30日,,              4469599,,              3279644,              1189955,              1189955,,,                139409,,                255934,,                 43098,                438441,                751514,,,,                 33409,                  8478,                 41887,,                 16745,                  3043,                  1116,                 70472,,                 13658,                 13658,                 98701,                850215,,                158837,                691378,                691378,,,,,,                122614,                813992,,                691378,                              0,                              0,,                813992,                              0,                              0,,                              4.24,                              4.24,,                              4.24,                              4.24,,,,,,,,,,,,,                 83164,,,,,                122614,,                              0,,                 25278,                 25278,,,,
2062,2013年01月01日至2013年06月30日,,              2846081,,              2085712,                760369,                760369,,,                 90883,,                178915,,                 30396,                300194,                460175,,,,                 20815,                  4740,                 25555,,                 26200,                  1613,                              0,                 58601,,                  8695,                  8695,                 75461,                535636,,                 98702,                436934,                436934,,,,,,                162928,                599862,,                436934,                              0,                              0,,                599862,                              0,                              0,,,                              2.68,,,,,,,,,,,,,,,,                 34014,,,,,                168061,,                  5133,,,,,,,
2062,2013年01月01日至2013年03月31日,,              1283269,,                955304,                327965,                327965,,,                 40587,,                 78902,,                 14972,                134461,                193504,,,,                  8460,                  1830,                 10290,,                 12621,                    759,                              0,                 45876,,                  4400,                  4400,                 51766,                245270,,                 42137,                203133,                203133,,,,,,                111598,                314731,,                203133,,                              0,,                314731,,                              0,,                              1.25,                              1.25,,                              1.25,                              1.25,,,,,,,,,,,,,                 34014,,,,,                111598,,                              0,,,,,,,
