證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 當期所得稅費用（利益）
2305,2015年第3季,,,                194349,                194349,,,                121510,                121510,                 72839,                 72839,,,                 36611,,                 37816,,                 24578,                 99005,                -26166,,,,                  2840,                 22088,                 24928,,                 15138,,                  1780,                  1780,                 38286,                 12120,,                 40232,                -28112,                -28112,,,                 63429,                              0,                 10577,                 52852,                 52852,                 24740,,                -29214,                  1102,,                 22428,                  2312,,                             -0.14,,,,,,,,
2305,2015年第2季,,,                192649,                192649,,,                117136,                117136,                 75513,                 75513,,,                 34346,,                 34780,,                 23510,                 92636,                -17123,,,,                  2379,                 16789,                 19168,,                 25346,,                  2266,                  2266,                 42248,                 25125,,                  7707,                 17418,                 17418,,,                -23961,                 -6441,                 -6675,                -23727,                -23727,                 -6309,,                 16380,                  1038,,                 -7039,                    730,,                              0.08,,,,,,,,
2305,2015年01月01日至2015年09月30日,,,                584477,                584477,,,                355300,                355300,                229177,                229177,,,                100515,,                107591,,                 68798,                276904,                -47727,,,,                  7893,                 55305,                 63198,,                 58837,,                  6817,                  6817,                115218,                 67491,,                 51720,                 15771,                 15771,,,                 23586,                -11443,                  3902,                  8241,                  8241,                 24012,,                 13759,                  2012,,                 21367,                  2645,,                              0.07,,,,,,,,
2305,2015年01月01日至2015年06月30日,,,                390128,                390128,,,                233790,                233790,                156338,                156338,,,                 63904,,                 69775,,                 44220,                177899,                -21561,,,,                  5053,                 33217,                 38270,,                 43699,,                  5037,                  5037,                 76932,                 55371,,                 11488,                 43883,                 43883,,,                -39843,                -11443,                 -6675,                -44611,                -44611,                   -728,,                 42973,                    910,,                 -1061,                    333,,                              0.21,,,,,,,,
2305,2015年01月01日至2015年03月31日,,,                197479,                197479,,,                116654,                116654,                 80825,                 80825,,,                 29558,,                 34995,,                 20710,                 85263,                 -4438,,,,                  2674,                 16428,                 19102,,                 18353,,                  2771,                  2771,                 34684,                 30246,,                  3781,                 26465,                 26465,,,                -15882,                 -5002,,                -20884,                -20884,                  5581,,                 26594,                   -129,,                  5978,                   -397,,                              0.13,,,,,,,,
2305,2014年第3季,,,                173644,                173644,,,                112233,                112233,                 61411,                 61411,,,                 27980,,                 37570,,                 20613,                 86163,                -24752,,,,                  2801,                 12574,                 15375,,                143729,,                  3759,                  3759,                155345,                130593,,                 16579,                114014,                114014,,,                 42148,                  3692,                              0,                 45840,                 45840,                159854,,                114390,                   -376,,                159444,                    410,,                              0.56,,,,,,,,
2305,2014年第2季,,,                197676,                197676,,,                119598,                119598,                 78078,                 78078,,,                 31482,,                 35950,,                 22389,                 89821,                -11743,,,,                  4629,                 12907,                 17536,,                   -865,,                  4137,                  4137,                 12534,                    791,,                  5308,                 -4517,                 -4517,,,                -26323,                  2653,                              0,                -23670,                -23670,                -28187,,                 -4125,                   -392,,                -27273,                   -914,,                             -0.02,,,,,,,,
2305,2014年第1季,,,                187711,                187711,,,                106630,                106630,                 81081,                 81081,,,                 37970,,                 35231,,                 23297,                 96498,                -15417,,,,                  6775,                 17587,                 24362,,                  5600,,                  5473,                  5473,                 24489,                  9072,,                  5451,                  3621,                  3621,,,,,,,                 -4244,                   -623,,                  5442,                 -1821,,                  1429,                 -2052,,                              0.03,                 -7871,                  3627,,,                              0.03,,,
2305,2014年度,,,                798731,                798731,,,                481209,                481209,                317522,                317522,,,                139758,,                143887,,                 87937,                371582,                -54060,,,,                 18070,                 60211,                 78281,,                154655,,                 16302,                 16302,                216634,                162574,,                 12096,                150478,                150478,,,,,,,                 62237,                212715,,                153103,                 -2625,,                214409,                 -1694,,                              0.76,                 60518,                 15475,                   -995,                 12761,,,,
2305,2014年01月01日至2014年09月30日,,,                559031,                559031,,,                338461,                338461,                220570,                220570,,,                 97432,,                108751,,                 66299,                272482,                -51912,,,,                 14205,                 43068,                 57273,,                148464,,                 13369,                 13369,                192368,                140456,,                 27338,                113118,                113118,,,                  7954,                  9972,                              0,                 17926,                 17926,                131044,,                115707,                 -2589,,                133600,                 -2556,,                              0.57,,,,,,,,
2305,2014年01月01日至2014年06月30日,,,                385387,                385387,,,                226228,                226228,                159159,                159159,,,                 69452,,                 71181,,                 45686,                186319,                -27160,,,,                 11404,                 30494,                 41898,,                  4735,,                  9610,                  9610,                 37023,                  9863,,                 10759,                   -896,                   -896,,,                -34194,                  6280,                              0,                -27914,                -27914,                -28810,,                  1317,                 -2213,,                -25844,                 -2966,,                              0.01,,,,,,,,
2305,2014年01月01日至2014年03月31日,,,                187711,                187711,,,                106630,                106630,                 81081,                 81081,,,                 37970,,                 35231,,                 23297,                 96498,                -15417,,,,                  6775,                 17587,                 24362,,                  5600,,                  5473,                  5473,                 24489,                  9072,,                  5451,                  3621,                  3621,,,                 -7871,                  3627,,                 -4244,                 -4244,                   -623,,                  5442,                 -1821,,                  1429,                 -2052,,                              0.03,,,,,,,,
2305,2013年第3季,,,                172084,                172084,,,                109171,                109171,                 62913,                 62913,,,                 36823,,                 35455,,                 24582,                 96860,                -33947,,,,                    199,                 18397,                 18596,,                  1545,,                  4491,                  4491,                 15650,                -18297,,                  2470,                -20767,                -20767,,,,,,,                -17881,                -38648,,                -19134,                 -1633,,                -36536,                 -2112,,                             -0.09,                -19351,                  1470,,,,,,
2305,2013年第2季,,,                189843,                189843,,,                120164,                120164,                 69679,                 69679,,,                 32912,,                 35456,,                 26042,                 94410,                -24731,,,,                    679,                 18488,                 19167,,                  3967,,                  5038,                  5038,                 18096,                 -6635,,                  4057,                -10692,                -10692,,,,,,,                 28011,                 17319,,                 -8326,                 -2366,,                 18875,                 -1556,,                             -0.04,                 27962,                     49,,,                             -0.04,,,
2305,2013年第1季,,,                156630,                156630,,,                 93156,                 93156,                 63474,                 63474,,,                 34978,,                 36471,,                 26935,                 98384,                -34910,,,,                  2749,                 18073,                 20822,,                  9790,,                  5093,                  5093,                 25519,                 -9391,,                  4084,                -13475,                -13475,,,,,,,                 34814,                 21339,,                -11466,                 -2009,,                 22127,                   -788,,                             -0.06,                 33644,                  1170,,,                             -0.06,,,
2305,2013年度,,,                707029,                707029,,,                439494,                439494,                267535,                267535,,,                143402,,                144875,,                101469,                389746,               -122211,,,,                  5758,                 73087,                 78845,,                124953,,                 18593,                 18593,                185205,                 62994,,                 30963,                 32031,                 32031,,,,,,,                 64434,                 96465,,                 40030,                 -7999,,                102276,                 -5811,,                              0.20,                 67627,                  7543,                    388,                 11124,,,,
2305,2013年07月01日至2013年09月30日,,,                172084,                172084,,,                109171,                109171,                 62913,                 62913,,,                 36823,,                 35455,,                 24582,                 96860,                -33947,,,,                    199,                 17600,                 17799,,                  2304,,                  4491,                  4491,                 15612,                -18335,,                  2463,                -20798,                -20798,,,,,,,                -17881,                -38679,,                -19165,                 -1633,,                -36567,                 -2112,,                             -0.09,                -19351,                  1470,,,                             -0.09,,,                  2463
2305,2013年04月01日至2013年06月30日,,,                189843,                189843,,,                120164,                120164,                 69679,                 69679,,,                 32912,,                 35456,,                 26042,                 94410,                -24731,,,,                    679,                 17689,                 18368,,                  3513,,                  5038,                  5038,                 16843,                 -7888,,                  3845,                -11733,                -11733,,,,,,,                 28011,                 16278,,                 -9367,                 -2366,,                 17834,                 -1556,,                             -0.05,                 27962,                     49,,,                             -0.05,,,
2305,2013年01月01日至2013年12月31日,,,                707029,                707029,,,                439494,                439494,                267535,                267535,,,                143402,,                144875,,                101469,                389746,               -122211,,,,                  5758,                 69566,                 75324,,                 21437,,                 18593,                 18593,                 78168,                -44043,,                 12767,                -56810,                -56810,,,,,,,                 64434,                  7624,,                -48811,                 -7999,,                 13435,                 -5811,,                             -0.24,                 67627,                  7543,                    388,                 11124,                             -0.24,,                              0,
2305,2013年01月01日至2013年09月30日,,,                518557,                518557,,,                322491,                322491,                196066,                196066,,,                104713,,                107382,,                 77559,                289654,                -93588,,,,                  3627,                 54958,                 58585,,                 15302,,                 14622,                 14622,                 59265,                -34323,,                 10611,                -44934,                -44934,,,,,,,                 44944,                     10,,                -38926,                 -6008,,                  4466,                 -4456,,                             -0.19,                 42255,                  2689,,,,,,
