證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2314,2015年第3季,,              1486691,,              1299153,                187538,                187538,,,                 38281,,                 31233,,                146472,                215986,                -28448,,,                  6382,,                184753,,                 10186,                180949,                152501,,                  7734,                144767,                144767,,,                 80825,                 13740,                 67085,                 67085,                211852,,                144767,                              0,,                211849,                      3,,                              0.36,                              0.36,,                              0.36,                              0.36,,,
2314,2015年第2季,,              1238251,,              1109939,                128312,                128312,,,                 50778,,                 34398,,                171040,                256216,               -127904,,,                  6909,,                  2400,,                 10334,                 -1025,               -128929,,                    645,               -129574,               -129574,,,                -20433,                 -3474,                -16959,                -16959,               -146533,,               -129574,                              0,,               -146533,                              0,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,
2314,2015年第1季,,              1624151,,              1368524,                255627,                255627,,,                 57396,,                 33556,,                155839,                246791,                  8836,,,                  7378,,                  6967,,                 11286,                  3059,                 11895,,                  6538,                  5357,                  5357,,,                -28068,                 -4771,                -23297,                -23297,                -17940,,                  5361,                     -4,,                -17934,                     -6,,                              0.01,                              0.01,,                              0.01,                              0.01,,,
2314,2015年01月01日至2015年09月30日,,              4349093,,              3777616,                571477,                571477,,,                146455,,                 99187,,                473351,                718993,               -147516,,,                 20669,,                194120,,                 31806,                182983,                 35467,,                 14917,                 20550,                 20550,,,                 32324,                  5495,                 26829,                 26829,                 47379,,                 20554,                     -4,,                 47382,                     -3,,                              0.05,                              0.05,,                              0.05,                              0.05,,,
2314,2015年01月01日至2015年06月30日,,              2862402,,              2478463,                383939,                383939,,,                108174,,                 67954,,                326879,                503007,               -119068,,,                 14287,,                  9367,,                 21620,                  2034,               -117034,,                  7183,               -124217,               -124217,,,                -48501,                 -8245,                -40256,                -40256,               -164473,,               -124213,                     -4,,               -164467,                     -6,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,
2314,2014年第3季,,              1513835,,              1315057,                198778,                198778,,,                 63440,,                 36153,,                160438,                260031,                -61253,,,                 11236,,                 -3324,,                 10166,                 -2254,                -63507,,                  5476,                -68983,                -68983,,,                 33537,                  5710,                 27827,                 27827,                -41156,,                -69132,                    149,,                -41257,                    101,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,
2314,2014年第2季,,              1494569,,              1316705,                177864,                177864,,,                 55437,,                 40612,,                186453,                282502,               -104638,,,                 10265,,                -33121,,                  9759,                -32615,               -137253,,                    414,               -137667,               -137667,,,                -42923,                 -7301,                -35622,                -35622,               -173289,,               -135886,                 -1781,,               -171532,                 -1757,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,,,
2314,2014年第1季,,              1597816,,              1427702,                170114,                170114,,,                 74244,,                 37223,,                200150,                311617,               -141503,,,                  6106,,                -12612,,                  8319,                -14825,               -156328,,                  6491,               -162819,               -162819,,,                 32616,                  5542,                 27074,                 27074,               -135745,,               -160911,                 -1908,,               -133852,                 -1893,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,,,
2314,2014年度,,              6263053,,              5586603,                676450,                676450,,,                246415,,                155922,,                695494,              1097831,               -421381,,,                 35800,,                -97052,,                 38624,                -99876,               -521257,,                 19407,               -540664,               -540664,,,,,,                 87836,               -452828,,               -538888,                 -1776,,               -451070,                 -1758,,                             -1.35,                             -1.35,,                             -1.35,                             -1.35,                103875,                  1617,                 17656
2314,2014年01月01日至2014年09月30日,,              4606220,,              4059464,                546756,                546756,,,                193121,,                113988,,                547041,                854150,               -307394,,,                 27607,,                -49057,,                 28244,                -49694,               -357088,,                 12381,               -369469,               -369469,,,                 23230,                  3951,                 19279,                 19279,               -350190,,               -365929,                 -3540,,               -346641,                 -3549,,                             -0.91,                             -0.91,,                             -0.91,                             -0.91,,,
