證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2356,2015年第3季,,            105422624,,             99819314,              5603310,              5603310,,,                695416,,              1294380,,              2257065,              4246861,              1356449,,,                559116,,              1315221,,                395566,,                -20698,              1458073,              2814522,,                923905,              1890617,              1890617,,,                796578,               -146897,,                   -426,                649255,                649255,              2539872,,              1943116,                -52499,,              2589849,                -49977,,                              0.54,,                              0.54,,,,,,,
2356,2015年第2季,,             90692400,,             85633873,              5058527,              5058527,,,                627316,,              1112713,,              2200213,              3940242,              1118285,,,                537026,,                 37533,,                287198,,                -19104,                268257,              1386542,,                455851,                930691,                930691,,,               -237776,                -73326,,                    894,               -310208,               -310208,                620483,,              1170438,               -239747,,                860075,               -239592,,                              0.32,,                              0.32,,,,,,,
2356,2015年01月01日至2015年09月30日,,            285418432,,            269490445,             15927987,             15927987,,,              1944923,,              3567435,,              6334543,             11846901,              4081086,,,              1694298,,              1028213,,                782000,,                -50428,              1890083,              5971169,,              1865555,              4105614,              4105614,,,                 99903,                 28289,,                 -2614,                125578,                125578,              4231192,,              4566524,               -460910,,              4689274,               -458082,,                              1.27,,                              1.26,,,,,,,
2356,2015年01月01日至2015年06月30日,,            179995808,,            169671131,             10324677,             10324677,,,              1249507,,              2273055,,              4077478,              7600040,              2724637,,,              1135182,,               -287008,,                386434,,                -29730,                432010,              3156647,,                941650,              2214997,              2214997,,,               -696675,                175186,,                 -2188,               -523677,               -523677,              1691320,,              2623408,               -408411,,              2099425,               -408105,,                              0.73,,                              0.73,,,,,,,
2356,2015年01月01日至2015年03月31日,,             89303408,,             84037258,              5266150,              5266150,,,                622191,,              1160342,,              1877265,              3659798,              1606352,,,                598156,,               -324541,,                 99236,,                -10626,                163753,              1770105,,                485799,              1284306,              1284306,,,               -458899,                248512,,                 -3082,               -213469,               -213469,              1070837,,              1452970,               -168664,,              1239350,               -168513,,                              0.41,,                              0.40,                              0,,,,,,
2356,2014年第3季,,            101339792,,             96000116,              5339676,              5339676,,,                730632,,              1168423,,              2093405,              3992460,              1347216,,,                681260,,                625697,,                380261,,                  7755,                934451,              2281667,,                601021,              1680646,              1680646,,,                506793,                -28078,,                  3435,                482150,                482150,              2162796,,              1829371,               -148725,,              2308563,               -145767,,                              0.51,,                              0.51,,,,,,,
2356,2014年第2季,,            104903602,,             99345028,              5558574,              5558574,,,                661638,,              1196221,,              2020677,              3878536,              1680038,,,                868526,,               -149752,,                270794,,                 -4475,                443505,              2123543,,                616642,              1506901,              1506901,,,               -490976,                 27281,,                 -3213,               -466908,               -466908,              1039993,,              1478427,                 28474,,              1011445,                 28548,,                              0.41,,                              0.41,,,,,,,
2356,2014年度,,            435599968,,            412251630,             23348338,             23348338,,,              2926456,,              4800839,,              8511964,             16239259,              7109079,,,              2864110,,              1015376,,              1251417,,                -56450,              2571619,              9680698,,              3015137,              6665561,              6665561,,,,,,,,              1359826,              8025387,,              7097815,               -432254,,              8455834,               -430447,,                              1.98,,                              1.96,,              1472514,                     32,                 -6610,,                  1836,                107946
2356,2014年01月01日至2014年09月30日,,            322928503,,            306228586,             16699917,             16699917,,,              2018738,,              3469300,,              6236403,             11724441,              4975476,,,              2228280,,                933649,,              1029468,,                  2258,              2134719,              7110195,,              1975965,              5134230,              5134230,,,                257500,                 98826,,                    511,                356837,                356837,              5491067,,              5201345,                -67115,,              5554910,                -63843,,                              1.45,,                              1.44,,,,,,,
2356,2014年01月01日至2014年06月30日,,            221588711,,            210228470,             11360241,             11360241,,,              1288106,,              2300877,,              4142998,              7731981,              3628260,,,              1547020,,                307952,,                649207,,                 -5497,              1200268,              4828528,,              1374944,              3453584,              3453584,,,               -249293,                126904,,                 -2924,               -125313,               -125313,              3328271,,              3371974,                 81610,,              3246347,                 81924,,                              0.94,,                              0.93,,,,,,,
