證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2374,2015年第3季,,              4976041,,              4343222,                632819,                632819,,,                 47207,,                165621,,                206440,                419268,                213551,,,                 55019,,                 57367,,                  1521,,                   -533,                110332,                323883,,                 28333,                295550,                295550,,,                235762,               -131739,                104023,                104023,                399573,,                290330,                  5220,,                394130,                  5443,,                              0.72,                              0.72,,                              0.71,                              0.71,,,,
2374,2015年第2季,,              4937573,,              4306286,                631287,                631287,,,                 36024,,                174008,,                210403,                420435,                210852,,,                 30069,,                169009,,                  2266,,                    440,                197252,                408104,,                 84414,                323690,                323690,,,                -62255,               -195225,               -257480,               -257480,                 66210,,                190243,                133447,,                -65267,                131477,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,
2374,2015年01月01日至2015年09月30日,,             14561282,,             12821591,              1739691,              1739691,,,                107396,,                517551,,                625265,              1250212,                489479,,,                111490,,                319481,,                  6979,,                  1150,                425142,                914621,,                143835,                770786,                770786,,,                113993,               -182085,                -68092,                -68092,                702694,,                601556,                169230,,                530854,                171840,,                              1.34,                              1.34,,                              1.32,                              1.32,,,,
2374,2015年01月01日至2015年06月30日,,              9585241,,              8478369,              1106872,              1106872,,,                 60189,,                351930,,                418825,                830944,                275928,,,                 56471,,                262114,,                  5458,,                  1683,                314810,                590738,,                115502,                475236,                475236,,,               -121769,                -50346,               -172115,               -172115,                303121,,                311226,                164010,,                136724,                166397,,                              0.66,                              0.66,,                              0.65,                              0.65,,,,
2374,2015年01月01日至2015年03月31日,,              4647668,,              4172083,                475585,                475585,,,                 24165,,                177922,,                208422,                410509,                 65076,,,                 26402,,                 93105,,                  3192,,                  1243,                117558,                182634,,                 31088,                151546,                151546,,,                -59514,                144879,                 85365,                 85365,                236911,,                120983,                 30563,,                201991,                 34920,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,
2374,2014年第3季,,              5976106,,              5312166,                663940,                663940,,,                 46679,,                215896,,                270563,                533138,                130802,,,                 53645,,                 56011,,                  4257,,                 -1269,                104130,                234932,,                 32641,                202291,                202291,,,                 92251,                743257,                835508,                835508,              1037799,,                195864,                  6427,,              1027444,                 10355,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,
2374,2014年第2季,,              6695544,,              6211715,                483829,                483829,,,                 37971,,                197398,,                233251,                468620,                 15209,,,                 24945,,                -13823,,                  4183,,                   -672,                  6267,                 21476,,                  7729,                 13747,                 13747,,,               -129687,                 23153,               -106534,               -106534,                -92787,,                 14119,                   -372,,                -87024,                 -5763,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,
2374,2014年度,,             24180166,,             22051457,              2128709,              2128709,,,                165112,,                836743,,              1021344,              2023199,                105510,,,                134511,,                 -2224,,                 16812,,                 -6362,                109113,                214623,,                 43634,                170989,                170989,,,,,,                625124,                796113,,                154814,                 16175,,                773381,                 22732,,                              0.33,                              0.33,,                              0.33,                              0.33,                272201,                337915,                 18083,                  3075
2374,2014年01月01日至2014年09月30日,,             17803119,,             16223528,              1579591,              1579591,,,                117567,,                610747,,                734993,              1463307,                116284,,,                 95602,,               -158219,,                 12917,,                 -5775,                -81309,                 34975,,                 26239,                  8736,                  8736,,,                 55584,                838718,                894302,                894302,                903038,,                  8729,                      7,,                902302,                    736,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,
2374,2014年01月01日至2014年06月30日,,             11827013,,             10911362,                915651,                915651,,,                 70888,,                394851,,                464430,                930169,                -14518,,,                 41957,,               -214230,,                  8660,,                 -4506,               -185439,               -199957,,                 -6402,               -193555,               -193555,,,                -36667,                 95461,                 58794,                 58794,               -134761,,               -187135,                 -6420,,               -125142,                 -9619,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,
2374,2014年01月01日至2014年03月31日,,              5131469,,              4699647,                431822,                431822,,,                 32917,,                197453,,                231179,                461549,                -29727,,,                 17012,,               -200407,,                  4477,,                 -3834,               -191706,               -221433,,                -14131,               -207302,               -207302,,,                 93020,                 72308,                165328,                165328,                -41974,,               -201254,                 -6048,,                -38118,                 -3856,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,,,,
2374,2013年第3季,,              6449145,,              5783140,                666005,                666005,,,                 27725,,                194842,,                324729,                547296,                118709,,,                 42635,,                 21278,,                  4314,,                 -5073,                 54526,                173235,,                 17794,                155441,                155441,,,,,,                -93153,                 62288,,                163029,                 -7588,,                 70765,                 -8477,,                              0.36,                              0.36,,                              0.36,                              0.36,                -58870,                -34283,,
2374,2013年第2季,,              6607360,,              6037008,                570352,                570352,,,                 37593,,                199663,,                250524,                487780,                 82572,,,                 32222,,                 16617,,                  4493,,                 -2630,                 41716,                124288,,                 35910,                 88378,                 88378,,,,,,                135826,                224204,,                105189,                -16811,,                242843,                -18639,,                              0.23,                              0.23,,                              0.23,                              0.23,                 58182,                 77644,,
2374,2013年度,,             26711038,,             24342252,              2368786,              2368786,,,                133709,,                820275,,              1039853,              1993837,                374949,,,                121350,,                 53743,,                 18521,,                -18399,                138173,                513122,,                 99214,                413908,                413908,,,,,,                138050,                551958,,                484477,                -70569,,                620777,                -68819,,                              1.08,                              1.08,,                              1.07,                              1.07,                175198,                -49070,                 14364,                  2442
2374,2013年07月01日至2013年09月30日,,              6449145,,              5783140,                666005,                666005,,,                 27725,,                194842,,                324729,                547296,                118709,,,                 42635,,                 21278,,                  4314,,                 -5073,                 54526,                173235,,                 17794,                155441,                155441,,,,,,                -93153,                 62288,,                163029,                 -7588,,                 70765,                 -8477,,                              0.36,                              0.36,,                              0.36,                              0.36,                -58870,                -34283,,
2374,2013年04月01日至2013年06月30日,,              6607360,,              6037008,                570352,                570352,,,                 37593,,                199663,,                250524,                487780,                 82572,,,                 32222,,                 16617,,                  4493,,                 -2630,                 41716,                124288,,                 35910,                 88378,                 88378,,,,,,                135826,                224204,,                105189,                -16811,,                242843,                -18639,,                              0.23,                              0.23,,                              0.23,                              0.23,                 58182,                 77644,,
2374,2013年01月01日至2013年12月31日,,             26711038,,             24342252,              2368786,              2368786,,,                133709,,                820275,,              1039853,              1993837,                374949,,,                121350,,                 53743,,                 18521,,                -18399,                138173,                513122,,                 99214,                413908,                413908,,,,,,                138050,                551958,,                484477,                -70569,,                620777,                -68819,,                              1.08,                              1.08,,                              1.07,                              1.07,                175198,                -49070,                 14364,                  2442
2374,2013年01月01日至2013年09月30日,,             20129014,,             18320364,              1808650,              1808650,,,                 99232,,                598673,,                801386,              1499291,                309359,,,                 89631,,                 30633,,                 13958,,                -12783,                 93523,                402882,,                 83756,                319126,                319126,,,,,,                 47080,                366206,,                369515,                -50389,,                416932,                -50726,,                              0.82,                              0.82,,                              0.82,                              0.82,                118251,                -71171,,
2374,2013年01月01日至2013年06月30日,,             13679869,,             12537224,              1142645,              1142645,,,                 71507,,                403831,,                476657,                951995,                190650,,,                 46996,,                  9355,,                  9644,,                 -7710,                 38997,                229647,,                 65962,                163685,                163685,,,,,,                140233,                303918,,                206486,                -42801,,                346167,                -42249,,                              0.46,                              0.46,,                              0.46,                              0.46,                177121,                -36888,,
2374,2013年01月01日至2013年03月31日,,              7072509,,              6500216,                572293,                572293,,,                 33914,,                204168,,                226133,                464215,                108078,,,                 14774,,                 -7262,,                  5151,,                 -5080,                 -2719,                105359,,                 30052,                 75307,                 75307,,,,,,                  4407,                 79714,,                101297,                -25990,,                103324,                -23610,,                              0.23,                              0.23,,                              0.22,                              0.22,                118939,               -114532,,
2374,2012年07月01日至2012年09月30日,,             11352312,,             10348900,              1003412,              1003412,,,                 65702,,                279929,,                289034,                634665,                368747,,,                 47102,,                 12211,,                  6645,,                  5591,                 58259,                427006,,                 78497,                348509,                348509,,,,,,               -101109,                247400,,                375043,                -26534,,                278085,                -30685,,                              0.83,                              0.83,,                              0.77,                              0.77,                -80970,                -20139,,
2374,2012年04月01日至2012年06月30日,,             11779050,,             10702513,              1076537,              1076537,,,                 65234,,                247567,,                289089,                601890,                474647,,,                 20637,,                  3322,,                  6254,,                   -199,                 17506,                492153,,                150748,                341405,                341405,,,,,,                  5428,                346833,,                395442,                -54037,,                398487,                -51654,,                              0.89,                              0.89,,                              0.82,                              0.82,                 43508,                -38080,,
2374,2012年01月01日至2012年12月31日,,             43420581,,             39659569,              3761012,              3761012,,,                211266,,                970776,,              1154337,              2336379,              1424633,,,                109779,,                -42920,,                 26065,,                  8696,                 49490,              1474123,,                348663,              1125460,              1125460,,,,,,               -105969,              1019491,,              1306910,               -181450,,              1208127,               -188636,,                              2.92,                              2.92,,                              2.70,                              2.70,               -122973,                 43901,                -32406,                 -5509
2374,2012年01月01日至2012年09月30日,,             33176315,,             30314686,              2861629,              2861629,,,                174457,,                742371,,                837162,              1753990,              1107639,,,                 81317,,                 95141,,                 19800,,                 14367,                171025,              1278664,,                295188,                983476,                983476,,,,,,                -78048,                905428,,              1092669,               -109193,,              1020749,               -115321,,                              2.44,                              2.44,,                              2.26,                              2.26,               -127307,                 49259,,
2374,2012年01月01日至2012年06月30日,,             21824003,,             19965786,              1858217,              1858217,,,                108755,,                462442,,                548128,              1119325,                738892,,,                 34215,,                 82930,,                 13155,,                  8776,                112766,                851658,,                216691,                634967,                634967,,,,,,                 23061,                658028,,                717626,                -82659,,                742664,                -84636,,                              1.61,                              1.61,,                              1.49,                              1.49,                -46337,                 69398,,
2374,2012年01月01日至2012年03月31日,,             10044953,,              9263273,                781680,                781680,,,                 43521,,                214875,,                259039,                517435,                264245,,,                 13578,,                 79608,,                  6901,,                  8975,                 95260,                359505,,                 65943,                293562,                293562,,,,,,                 17633,                311195,,                322184,                -28622,,                344177,                -32982,,                              0.72,                              0.72,,                              0.67,                              0.67,                -89845,                107478,,
