證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
2423,2015年第3季,,                522651,,                273439,                249212,                              0,                              0,                249212,,,                103492,,                 67693,,                 46624,                217809,                 31403,,,                 19992,,                 31360,,                    740,                 50612,                 82015,,                 13349,                 68666,                 68666,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 38430,                -62000,                   -257,                -23313,                -23313,                 45353,,                 68664,                      2,,                 45009,                    344,,                              0.50,,                              0.49,                              0.00,                              0.49,,,,,,
2423,2015年第2季,,                505099,,                259302,                245797,                              0,                              0,                245797,,,                108787,,                 51635,,                 46281,                206703,                 39094,,,                 10964,,                -10218,,                    786,                    -40,                 39054,,                 -1063,                 40117,                 40117,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -13749,                              0,                    -87,                -13662,                -13662,                 26455,,                 40465,                   -348,,                 26927,                   -472,,                              0.31,,                              0.30,                              0.00,                              0.30,,,,,,
2423,2015年01月01日至2015年09月30日,,              1495863,,                758721,                737142,                              0,                              0,                737142,,,                300287,,                178350,,                139918,                618555,                118587,,,                 44285,,                 11592,,                  2664,                 53213,                171800,,                 16710,                155090,                155090,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 16567,                -61967,                   -498,                -44902,                -44902,                110188,,                155914,                   -824,,                110884,                   -696,,                              1.13,,                              1.12,                              0.00,                              1.12,,,,,,
2423,2015年01月01日至2015年06月30日,,                973212,,                485282,                487930,                              0,                              0,                487930,,,                196795,,                110657,,                 93294,                400746,                 87184,,,                 24293,,                -19768,,                  1924,                  2601,                 89785,,                  3361,                 86424,                 86424,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -21863,                     33,                   -241,                -21589,                -21589,                 64835,,                 87250,                   -826,,                 65875,                 -1040,,                              0.66,,                              0.66,                              0.00,                              0.66,,,,,,
2423,2015年01月01日至2015年03月31日,,                468113,,                225980,                242133,                              0,                              0,                242133,,,                 88008,,                 59022,,                 47013,                194043,                 48090,,,                 13329,,                 -9550,,                  1138,                  2641,                 50731,,                  4424,                 46307,                 46307,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 -8114,                     33,                   -154,                 -7927,                 -7927,                 38380,,                 46785,                   -478,,                 38948,                   -568,,                              0.36,,                              0.36,                              0.00,                              0.36,,,,,,
2423,2014年第3季,,                545813,,                283656,                262157,                              0,                              0,                262157,,,                 79134,,                 87683,,                 42395,                209212,                 52945,,,                 16856,,                 -3769,,                    969,                 12118,                 65063,,                  5707,                 59356,                 59356,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 18685,                -20000,                     -7,                 -1308,                 -1308,                 58048,,                 59414,                    -58,,                 57854,                    194,,                              0.43,,                              0.43,                              0.00,                              0.43,,,,,,
2423,2014年第2季,,                548586,,                295107,                253479,                              0,                              0,                253479,,,                 77046,,                 88479,,                 47865,                213390,                 40089,,,                 12559,,                 -1563,,                    942,                 10054,                 50143,,                  3616,                 46527,                 46527,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -13867,                -16590,                    -13,                -30444,                -30444,                 16083,,                 47101,                   -574,,                 16850,                   -767,,                              0.36,,                              0.36,                              0.00,                              0.36,,,,,,
2423,2014年度,,              2166790,,              1158308,              1008482,                              0,                              0,              1008482,,,                335690,,                346680,,                178520,                860890,                147592,,,                 65800,,                  5145,,                  4135,                 66810,                214402,,                 39268,                175134,                175134,,,,,,,,,,,,,,,                -33508,                141626,,                177172,                 -2038,,                143321,                 -1695,,                              1.35,,                              1.34,                              0.00,                              1.34,                 31865,                -56591,                -10452,                 -1670,,
2423,2014年01月01日至2014年09月30日,,              1568639,,                826278,                742361,                              0,                              0,                742361,,,                228128,,                257898,,                132655,                618681,                123680,,,                 48182,,                  2901,,                  3143,                 47940,                171620,,                 27080,                144540,                144540,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                  6956,                -36590,                    244,                -29878,                -29878,                114662,,                145666,                 -1126,,                115741,                 -1079,,                              1.05,,                              1.05,                              0.00,                              1.05,,,,,,
2423,2014年01月01日至2014年06月30日,,              1022826,,                542622,                480204,                              0,                              0,                480204,,,                148994,,                170215,,                 90260,                409469,                 70735,,,                 31326,,                  6670,,                  2174,                 35822,                106557,,                 21373,                 85184,                 85184,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -11729,                -16590,                    251,                -28570,                -28570,                 56614,,                 86252,                 -1068,,                 57887,                 -1273,,                              0.66,,                              0.65,                              0.00,                              0.65,,,,,,
