證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 當期所得稅費用（利益）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 利息費用,　　 遞延所得稅費用（利益）,　　 繼續營業單位淨利（淨損）
2436,2015年第3季,,,,                472656,                472656,                472656,                472656,,,                362561,                362561,                362561,                110095,                110095,,,                 32250,,                 18293,,                 58289,                108832,                  1263,,,                 77764,,                -20031,,                              0,                 57733,                 58996,,                  1510,                 57486,                 57486,,,                  1675,               -190864,               -189189,               -189189,               -131703,,                 57381,                    105,,               -131466,                   -237,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,,
2436,2015年第2季,,,,,,                430538,                430538,,,                330256,                330256,                330256,                100282,                100282,,,                 30625,,                 14020,,                 54620,                 99265,                  1017,,,                  1099,,                 58360,,                              0,                 59459,                 60476,,                 24363,                 36113,                 36113,,,                   -468,               -159064,               -159532,               -159532,               -123419,,                 36103,                     10,,               -123146,                   -273,,                              0.16,,                              0.16,,,,,,,,,,,,,,,,,,,,
2436,2015年01月01日至2015年09月30日,,,,              1303210,              1303210,              1303210,              1303210,,,              1000626,              1000626,              1000626,                302584,                302584,,,                 92292,,                 46545,,                165426,                304263,                 -1679,,,                 80175,,                 57172,,                              0,                137347,                135668,,                 25139,                110529,                110529,,,                    859,               -329048,               -328189,               -328189,               -217660,,                110359,                    170,,               -217218,                   -442,,                              0.50,,                              0.49,,,,,,,,,,,,,,,,,,,,
2436,2015年01月01日至2015年06月30日,,,,,,                830554,                830554,,,                638065,                638065,                638065,                192489,                192489,,,                 60042,,                 28252,,                107137,                195431,                 -2942,,,                  2411,,                 77203,,                              0,                 79614,                 76672,,                 23629,                 53043,                 53043,,,                   -816,               -138184,               -139000,               -139000,                -85957,,                 52978,                     65,,                -85752,                   -205,,                              0.24,,                              0.24,,,,,,,,,,,,,,,,,,,,
2436,2015年01月01日至2015年03月31日,,,,                400016,                400016,                400016,                400016,,,,,                307809,                 92207,                 92207,,,                 29417,,                 14232,,                 52517,                 96166,                 -3959,,,                  1312,,                 18843,,                              0,                 20155,                 16196,,                   -734,                 16930,                 16930,,,                   -348,                 20880,                 20532,                 20532,                 37462,,                 16875,                     55,,                 37394,                     68,,                              0.08,,                              0.08,                   -734,,,,,,,,,,,,,,,,,,,
2436,2014年第3季,,,,                552888,                552888,                552888,                552888,,,                430212,                430212,                430212,                122676,                122676,,,                 36129,,                 16575,,                 62657,                115361,                  7315,,,                 51654,,                 32727,,                              0,                 84381,                 91696,,                  2180,                 89516,                 89516,,,                    585,               -130414,               -129829,               -129829,                -40313,,                 89480,                     36,,                -40204,                   -109,,                              0.40,,                              0.40,,,,,,,,,,,,,,,,,,,,
2436,2014年第2季,,,,,,                468692,                468692,,,                366701,                366701,                366701,                101991,                101991,,,                 34523,,                 15534,,                 51443,                101500,                    491,,,                 11346,,                 27270,,                      2,                 38614,                 39105,,                  1775,                 37330,                 37330,,,                   -658,                144644,                143986,                143986,                181316,,                 37136,                    194,,                181102,                    214,,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,,,
2436,2014年度,,,,              1877067,              1877067,              1877067,              1877067,,,              1456609,              1456609,              1456609,                420458,                420458,,,                137179,,                 70815,,                230090,                438084,                -17626,,,                 69629,,                162182,,                     42,                231769,                214143,,                  5136,                209007,                209007,,,,,,                191169,                400176,,                208668,                    339,,                399643,                    533,,                              0.94,,,,                  1464,                189308,                    397,,,,,,,,,,,,,,,,
2436,2014年01月01日至2014年09月30日,,,,              1426995,              1426995,              1426995,              1426995,,,              1107907,              1107907,              1107907,                319088,                319088,,,                101998,,                 51334,,                167265,                320597,                 -1509,,,                 65873,,                123087,,                     40,                188920,                187411,,                  5633,                181778,                181778,,,                    571,                173989,                174560,                174560,                356338,,                181442,                    336,,                355906,                    432,,                              0.82,,                              0.82,,,,,,,,,,,,,,,,,,,,
2436,2014年01月01日至2014年06月30日,,,,,,                874107,                874107,,,                677695,                677695,                677695,                196412,                196412,,,                 65869,,                 34759,,                104608,                205236,                 -8824,,,                 14219,,                 90360,,                     40,                104539,                 95715,,                  3453,                 92262,                 92262,,,                    -14,                304403,                304389,                304389,                396651,,                 91962,                    300,,                396110,                    541,,                              0.42,,                              0.41,,,,,,,,,,,,,,,,,,,,
