證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
2437,2015年第3季,,,,              1077771,              1077771,                  8994,              1068777,              1068777,,,                796552,                796552,                796552,                272225,                272225,,,                 54666,                 54666,,                 64937,                 64937,,                  8400,                  8400,                128003,                144222,,,                 16244,,                 -6514,,                  5500,                  4230,                148452,,                 39423,                109029,                109029,,,                142639,                   -194,                 24248,                118197,                118197,                227226,,                109029,,                227226,,                              1.64,,                              1.38,,,,,,,,,,,,,,
2437,2015年第2季,,,,              1050083,              1050083,                  4848,              1045235,              1045235,,,                834618,                834618,                834618,                210617,                210617,,,                 60364,                 60364,,                 61469,                 61469,,                  8745,                  8745,                130578,                 80039,,,                 18240,,                 -8197,,                  4471,                  5572,                 85611,,                -16596,                102207,                102207,,,                -45499,                     52,                 -7734,                -37713,                -37713,                 64494,,                102207,,                 64494,,                              1.54,,                              1.32,,,,,,,,,,,,,,
2437,2015年01月01日至2015年09月30日,,,,              3102928,              3102928,                 25154,              3077774,              3077774,,,              2370961,              2370961,              2370961,                706813,                706813,,,                170526,                170526,,                187856,                187856,,                 25826,                 25826,                384208,                322605,,,                 53920,,                -38156,,                 18040,                 -2276,                320329,,                 40531,                279798,                279798,,,                 41750,                    -85,                  7097,                 34568,                 34568,                314366,,                279798,,                314366,,                              4.35,,                              3.69,,,,,,,,,,,,,,
2437,2015年01月01日至2015年06月30日,,,,              2025157,              2025157,                 16160,              2008997,              2008997,,,              1574409,              1574409,              1574409,                434588,                434588,,,                115860,                115860,,                122919,                122919,,                 17426,                 17426,                256205,                178383,,,                 37676,,                -31642,,                 12540,                 -6506,                171877,,                  1108,                170769,                170769,,,               -100889,                    109,                -17151,                -83629,                -83629,                 87140,,                170769,,                 87140,,                              2.70,,                              2.33,,,,,,,,,,,,,,
2437,2015年01月01日至2015年03月31日,,,,,                975074,                 11312,                963762,                963762,,,,                739791,                739791,                223971,                223971,,,,                 55496,,,                 61450,,,                  8681,                125627,                 98344,,,                 19436,,                -23445,,                  8069,                -12078,                 86266,,                 17704,                 68562,                 68562,,,                -55390,                     57,                 -9417,                -45916,                -45916,                 22646,,                 68562,,                 22646,,                              1.14,,                              0.99,                              0,                              0,,,,,,,,,,,,
2437,2014年第3季,,,,              1036124,              1036124,                  4349,              1031775,              1031775,,,                801482,                801482,                801482,                230293,                230293,,,                 54223,                 54223,,                 61946,                 61946,,                 16089,                 16089,                132258,                 98035,,,                 18508,,                 -3564,,                  5189,                  9755,                107790,,                 31964,                 75826,                 75826,,,                 82294,                    -59,                 13901,                 68334,                 68334,                144160,,                 75826,,                144160,,                              1.29,,                              1.28,,,,,,,,,,,,,,
2437,2014年第2季,,,,                830758,                830758,                  3656,                827102,                827102,,,                625515,                625515,                625515,                201587,                201587,,,                 37995,                 37995,,                 78212,                 78212,,                 12060,                 12060,                128267,                 73320,,,                 96402,,                 -1356,,                  3070,                 91976,                165296,,                 40527,                124769,                124769,,,                -54609,                    779,                 -9125,                -44705,                -44705,                 80064,,                124769,,                 80064,,                              2.12,,                              2.10,,,,,,,,,,,,,,
2437,2014年度,,,,              3551317,              3551317,                 25429,              3525888,              3525888,,,,              2740566,              2740566,                785322,                785322,,,,                173000,,,                243409,,,                 46702,                463111,                322211,,,                150292,,                  1086,,                 14909,                136469,                458680,,                117868,                340812,                340812,,,,,,,                 97474,                438286,,                340812,,                438286,,                              5.80,,                              5.75,,,,                 61442,                 61442,                 76477,                 12373,                121839,                    983,                 -5583,                -19765,,,
2437,2014年01月01日至2014年09月30日,,,,              2558179,              2558179,                 19588,              2538591,              2538591,,,              1960469,              1960469,              1960469,                578122,                578122,,,                120399,                120399,,                176772,                176772,,                 38412,                 38412,                335583,                242539,,,                131108,,                  4612,,                  9775,                125945,                368484,,                 93341,                275143,                275143,,,                  9917,                  1135,                  1756,                  9296,                  9296,                284439,,                275143,,                284439,,                              4.68,,                              4.64,,,,,,,,,,,,,,
2437,2014年01月01日至2014年06月30日,,,,              1522055,              1522055,                 15239,              1506816,              1506816,,,              1158987,              1158987,              1158987,                347829,                347829,,,                 66176,                 66176,,                114826,                114826,,                 22323,                 22323,                203325,                144504,,,                112600,,                  8176,,                  4586,                116190,                260694,,                 61377,                199317,                199317,,,                -72377,                  1194,                -12145,                -59038,                -59038,                140279,,                199317,,                140279,,                              3.39,,                              3.36,,,,,,,,,,,,,,
