證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換損失,　　　 銷貨成本,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 處分投資損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 當期所得稅費用（利益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　 未實現銷貨（損）益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　 備供出售金融資產未實現評價損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2461,2015年第3季,,,              1059333,              1059333,,,                796230,                796230,                263103,                              0,                263103,,,                 69973,,                 74388,,                 43559,                187920,                 75183,,,,                  1668,                  2893,                  4561,,                     39,                 28991,                  1399,                 11419,                  3326,                              0,,                              0,                 15684,,                  8479,                  8479,,                  5481,                 17247,                 92430,,                 15545,                 76885,                 76885,,,                135582,                135582,                135582,                212467,,                 66065,                 10820,,                197129,                 15338,,                              0.46,                              0.46,,                              0.39,                              0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年第2季,,,                952344,                952344,,,                715497,                715497,                236847,                              0,                236847,,,                 65673,,                 68679,,                 45111,                179463,                 57384,,,,                  2507,                  5032,                  7539,,                    632,,                 -1750,                 10228,                  1699,,,,                -16853,,                  8124,                  8124,,                 11575,                 -5863,                 51521,,                 20773,                 30748,                 30748,,,                -61910,                -61910,                -61910,                -31162,,                 40354,                 -9606,,                -17099,                -14063,,                              0.26,                              0.26,,                              0.23,                              0.23,                              0,                  3808,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年01月01日至2015年09月30日,,,              2954112,              2954112,,,              2256249,              2256249,                697863,                 26866,                724729,,,                200952,,                210780,,                129414,                541146,                183583,,,,                  6611,                 12365,                 18976,,                  1219,                 11990,                              0,                 32671,                  4496,                  1484,,                              0,                -25442,,                 24968,                 24968,,                 18681,                -12753,                170830,,                 46916,                123914,                123914,,,                 41286,                 41286,                 41286,                165200,,                131592,                 -7678,,                174146,                 -8946,,                              0.87,                              0.87,,                              0.75,                              0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年01月01日至2015年06月30日,,,              1894779,              1894779,,,              1460019,              1460019,                434760,                 26866,                461626,,,                130979,,                136392,,                 85855,                353226,                108400,,,,                  4943,                  9472,                 14415,,                  1180,,                 -2883,                 21252,                  1170,,,,                -41126,,                 16489,                 16489,,                 13200,                -30000,                 78400,,                 31371,                 47029,                 47029,,,                -94296,                -94296,                -94296,                -47267,,                 65527,                -18498,,                -22983,                -24284,,                              0.42,                              0.42,,                              0.37,                              0.37,                              0,                 17001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年01月01日至2015年03月31日,,,                942435,                942435,,,                744522,                744522,                197913,                 26866,                224779,,,                 65306,,                 67713,,                 40744,                173763,                 51016,,,,                  2436,                  4440,                  6876,,                    548,                              0,                              0,                 11024,                              0,                  1133,,,                -24273,,                  8365,                  8365,,                  1625,                -24137,                 26879,,                 10598,                 16281,                 16281,,,                -32386,                -32386,                -32386,                -16105,,                 25173,                 -8892,,                 -5884,                -10221,,                              0.16,                              0.16,,                              0.14,                              0.14,                    529,                 13193,                744522,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
2461,2014年第3季,,,              1088973,              1088973,,,                787855,                787855,                301118,                              0,                301118,,,                 68556,,                 96816,,                 36305,                201677,                 99441,,,,                  1237,                  5764,                  7001,,                              0,                 25322,                              0,                 12948,                  6194,                    201,,                 16473,                -10494,,                  7937,                  7937,,                 10001,                 -1429,                 98012,,                  7392,                 90620,                 90620,,,                 59234,                 59234,                 59234,                149854,,                 54481,                 36139,,                113272,                 36582,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年第2季,,,              1061442,              1061442,,,                758814,                758814,                302628,                              0,                302628,,,                 69097,,                 84864,,                 43218,                197179,                105449,,,,                  2969,                 11778,                 14747,,                  1005,,                   -368,                 15836,                              0,,,,                -24188,,                  8464,                  8464,,                  8221,                 -9684,                 95765,,                 35967,                 59798,                 59798,,,                -49990,                -49990,                -49990,                  9808,,                 34750,                 25048,,                -12672,                 22480,,                              0.22,                              0.22,,                              0.20,                              0.20,                  2982,                 11971,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年度,,,              4215580,              4215580,,,              3106472,              3106472,              1109108,                 12964,              1122072,,,                319305,,                352550,,                178035,                849890,                272182,,,,                  9647,                 29063,                 38710,,                  1713,                 52661,                  2397,                 70090,                 13339,,,                 71502,                -98160,,                 32840,                 32840,,                 49417,                -42873,                229309,,                 36612,                192697,                192697,,,,,                125162,                317859,,                 90690,                102007,,                211663,                106196,,                              0.56,                              0.56,,                              0.48,                              0.48,,,              3106472,,,,,,,,,,,,                127644,                 -2482,,,,,,,,,,,,,
2461,2014年01月01日至2014年09月30日,,,              3139946,              3139946,,,              2294388,              2294388,                845558,                 12964,                858522,,,                210008,,                264599,,                128002,                602609,                255913,,,,                  6444,                 22609,                 29053,,                  1780,                 24636,                              0,                 30679,                  3326,                    512,,                 16473,                -24574,,                 24501,                 24501,,                 21084,                  1062,                256975,,                 54841,                202134,                202134,,,                 25092,                 25092,                 25092,                227226,,                120084,                 82050,,                143132,                 84094,,                              0.75,                              0.75,,                              0.74,                              0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年01月01日至2014年06月30日,,,              2050973,              2050973,,,              1506533,              1506533,                544440,                 12964,                557404,,,                141452,,                167783,,                 91697,                400932,                156472,,,,                  5207,                 16845,                 22052,,                  1780,,                   -311,                 17731,                              0,,,,                -14080,,                 16564,                 16564,,                 11083,                  2491,                158963,,                 47449,                111514,                111514,,,                -34142,                -34142,                -34142,                 77372,,                 65603,                 45911,,                 29860,                 47512,,                              0.41,                              0.41,,                              0.39,                              0.39,                  2868,                    686,,,,,,,,,,,,,,,,,,,,,,,,,,,
