證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費-推銷費用,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費-推銷費用,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 捐贈-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 各項攤提-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 運費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 廣告費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 各項攤提-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 訓練費-管理費用,　　　 網路服務費,　　　 保全費,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 租金支出-研發費用,　　　 文具用品-研發費用,　　　 旅費-研發費用,　　　 運費-研發費用,　　　 郵電費-研發費用,　　　 修繕費-研發費用,　　　 水電瓦斯費-研發費用,　　　 保險費-研發費用,　　　 交際費-研發費用,　　　 稅捐-研發費用,　　　 折舊及折耗,　　　 各項攤提-研發費用,　　　 伙食費-研發費用,　　　 職工福利-研發費用,　　　 訓練費-研發費用,　　　 其他費用-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 無形資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　　 捐贈,　　　 廣告費,　　　 稅捐,　　 勞務收入,　　　 其他勞務收入,　　　　 其他勞務收入,　　　　 其他勞務收入淨額,　　　 勞務收入合計,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　　 金融資產減損損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 專櫃銷貨收入（百貨業適用）,　　　 分期付款銷貨收入,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 權益工具投資之利益（損失）,　　　 股利收入,　　　 壞帳轉回利益,　　 遞延所得稅費用（利益）,　　 其他費用,　　　 透過損益按公允價值衡量之金融資產（負債）利益
2465,2015年第3季,,,,                579955,                579955,                  1163,                    165,                578627,,                  1794,                  1794,                580421,,,                487623,                487623,                487623,                 92798,                 92796,,,                 26546,                  1054,                     79,                  5085,                  1684,                    288,                     65,                  2815,                    447,                  2479,                  1081,,                      6,                    951,                    771,                    606,                    120,                    172,                      9,                  1820,                 22097,                 68175,,                 17652,                    958,                    200,                  1052,                    112,                    119,                     51,                              0,                    514,                    842,                     95,,                    122,                    310,                  1484,                    499,                    248,                     53,                      5,                    119,                      3,                     26,                  4637,                 29101,,                 25293,                  1209,                     13,                    191,                      7,                    433,                    100,                    346,                  1958,                      2,                      6,                    508,                  1297,                    711,                     90,                              0,                  3565,                 35729,                133005,                -40209,,,,                    141,                              0,                    141,                     10,                     35,                    186,,                              0,                  1904,                              0,                              0,                              0,,                              0,                              0,                  1904,,                  2666,                  2666,,                    538,                   -538,                 -1114,                -41323,,                      1,                      1,                -41324,                -41324,,,,,,,                  3041,                    517,                  2524,                  2524,                -38800,,                -39723,                 -1601,,                -37829,                   -971,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,                      2,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2465,2015年第2季,,,,                587059,                587059,                  1716,                    602,                584741,,                  3436,                  3436,                588177,,,                511449,                511449,                511449,                 76728,                 76728,,,                 24624,                  1157,                     85,                  3453,                  2693,                    353,                     24,,                    268,                  2444,                    591,,                    176,                    861,                    444,                    428,                    127,                    662,                      4,                  1675,                  7178,                 55334,,                 16215,                    625,                     66,                    982,                     88,                    181,                    146,,                    299,                    791,                    105,,                    865,                    -16,                  1358,                    322,                    180,                     50,                              0,                     31,                     23,                     15,                  3393,                 25914,,                 24662,                  1209,                     11,                    282,                     14,                    397,                    100,                    240,                  1948,                              0,                     11,                    442,                    954,                    550,                     97,                              0,                  5526,                 36443,                117691,                -40963,,,,                    212,                      7,                    219,                     32,                  1905,                  2156,,                  3919,                              0,                      1,                              0,                  1480,,                              0,                              0,                  2438,,                  2340,                  2340,,                    583,                   -583,                  1671,                -39292,,                  3359,                  3359,                -42651,                -42651,,,,,,,                   -807,                   -137,                   -670,                   -670,                -43321,,                -40984,                 -1667,,                -41583,                 -1738,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,                              0,                    195,                  8087,,,,,,,,,,,,,,,,,,,,,,,
2465,2015年度,,,,              2430244,              2430244,                  5958,                  1875,              2422411,,                 54491,                 54491,              2476902,,,              2074493,              2074493,              2074493,                402409,                402409,,,                101537,                  4202,                    282,                 14247,                  7408,                  1483,                    111,                 22957,                  1302,                 10124,                  3135,                     15,                    213,                  4146,                  2061,                  2058,                    532,                  1324,                     83,                  6716,                 50781,                234717,,                 66828,                  2232,                    678,                  3729,                    470,                    599,                    309,                              0,                  1521,                  3418,                    550,                    575,                  1157,                     42,                  5875,                  1643,                    873,                    398,                     13,                    297,                     43,                     83,                 15810,                107143,,                 97095,                  4821,                     46,                  1077,                     34,                  1603,                    333,                  1031,                  8070,                     10,                     17,                  1723,                  4530,                  2534,                    434,                              0,                 15763,                139121,                480981,                -78572,,,,                    698,                     18,                    716,                     67,                  3355,                  4138,,                147679,                              0,                    125,                     27,                  5321,,                  6247,                  6247,                135959,,                 10853,                 10853,,                  1828,                 -1828,                127416,                 48844,,                  4358,                  4358,                 44486,                 44486,,,                 -5711,                   -971,                 -4740,,                    988,                    203,                    785,                 -3955,                 40531,,                 52035,                 -7549,,                 47830,                 -7299,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,2015年01月01日至2015年09月30日,,,,              1667214,              1667214,                  4840,                  1228,              1661146,,                 48542,                 48542,              1709688,,,              1413072,              1413072,              1413072,                296616,                296614,,,                 74011,                  3028,                    216,                 11211,                  5858,                    932,                    101,                 15353,                    965,                  7599,                  2250,,                    182,                  3095,                  1361,                  1447,                    373,                  1079,                     30,                  4984,                 34987,                169062,,                 47826,                  1254,                    332,                  2929,                    315,                    465,                    243,                              0,                  1110,                  2513,                    268,,                  1000,                    295,                  4498,                  1144,                    610,                    318,                     13,                    198,                     43,                     56,                 10780,                 76405,,                 72950,                  3604,                     33,                    778,                     26,                  1161,                    263,                    799,                  6053,                     10,                     17,                  1339,                  2958,                  1805,                    299,                              0,                 12831,                104926,                350393,                -53779,,,,                    486,                     10,                    496,                     53,                  2814,                  3363,,                146892,                              0,                    125,                              0,                    658,,                  4519,                  4519,                141590,,                  8092,                  8092,,                  1417,                 -1417,                135444,                 81665,,                  3408,                  3408,                 78257,                 78257,,,,,,,                  1648,                    280,                  1368,                  1368,                 79625,,                 82813,                 -4556,,                 83674,                 -4049,,                              0.77,                              0.77,,                              0.77,                              0.77,                      2,                    195,,,,,,,,,,,,,,,,,,,,,,,,
2465,2015年01月01日至2015年06月30日,,,,              1087259,              1087259,                  3677,                  1063,              1082519,,                 46748,                 46748,              1129267,,,                925449,                925449,                925449,                203818,                203818,,,                 47465,                  1974,                    137,                  6126,                  4174,                    644,                     36,,                    518,                  5120,                  1169,,                    176,                  2144,                    590,                    841,                    253,                    907,                     21,                  3164,                 12890,                100887,,                 30174,                    296,                    132,                  1877,                    203,                    346,                    192,,                    596,                  1671,                    173,,                    878,                    -15,                  3014,                    645,                    362,                    265,                      8,                     79,                     40,                     30,                  6143,                 47304,,                 47657,                  2395,                     20,                    587,                     19,                    728,                    163,                    453,                  4095,                      8,                     11,                    831,                  1661,                  1094,                    209,                              0,                  9266,                 69197,                217388,                -13570,,,,                    345,                     10,                    355,                     43,                  2779,                  3177,,                146892,                              0,                    125,                              0,                  2562,,                  4519,                  4519,                139686,,                  5426,                  5426,,                    879,                   -879,                136558,                122988,,                  3407,                  3407,                119581,                119581,,,,,,,                 -1393,                   -237,                 -1156,                 -1156,                118425,,                122536,                 -2955,,                121503,                 -3078,,                              1.14,                              1.14,,                              1.14,                              1.14,                              0,                    195,                 12538,,,,,,,,,,,,,,,,,,,,,,,
2465,2015年01月01日至2015年03月31日,,,,                500200,                500200,                  1961,                    461,                497778,,                 43312,                 43312,                541090,,,                414000,                414000,                414000,                127090,                127090,,,                 22841,                    817,                     52,                  2673,                  1481,                    291,                     12,,                    250,                  2676,                    578,,,                  1283,                    146,                    413,                    126,                    245,                     17,                  1489,                  5712,                 45553,,                 13959,                   -329,                     66,                    895,                    115,                    165,                     46,,                    297,                    880,                     68,,,                      1,                  1656,                    323,                    182,                    215,                      8,                     48,                     17,                     15,                  2750,                 21390,,                 22995,                  1186,                      9,                    305,                      5,                    331,                     63,                    213,                  2147,                      8,,                    389,                    707,                    544,                    112,                              0,                  3740,                 32754,                 99697,                 27393,,,,                    133,                      3,                    136,                     11,                    874,                  1021,,                142973,                              0,                    124,                              0,                  1082,,                  4519,                  4519,                137248,,                  3086,                  3086,,                    296,                   -296,                134887,                162280,,                     48,                     48,                162232,                162232,,,,,,,                   -586,                   -100,                   -486,                   -486,                161746,,                163520,                 -1288,,                163086,                 -1340,,                              1.53,                              1.53,,                              1.53,                              1.53,,,                  4451,                     13,,,,,,,,,,,,,,,,,,,,,,
2465,2014年第3季,,,,                541723,                541723,                  1172,                    465,                540086,,                  2115,                  2115,                542201,,,                448984,                448984,                448984,                 93217,                 93246,,,                 24157,                  1041,                     43,                  4184,                  2596,                    289,                    197,                  3171,                    351,                  2644,                    568,,                     11,                  1529,                     38,                    396,                    131,                    227,                              0,                  1408,                  7017,                 49998,,                 16912,                   -262,                     38,                  1291,                    138,                    141,                     67,                    -48,                    391,                    809,                    292,,                     56,                     53,                  1584,                    325,                    185,                     55,                     60,                     42,                              0,                     10,                  2748,                 24887,,                 23089,                  1306,                     15,                    214,                              0,                    425,                     59,                    361,                  1812,                      8,                      6,                  1193,                    877,                    511,                     88,                      2,                  7484,                 37450,                112335,                -19089,,,,                    141,                              0,                    141,                      5,                    941,                  1087,,                     96,                  1190,                              0,                     44,                              0,,                              0,                              0,                  1242,,                  3050,                  3050,,                    338,                   -338,                 -1059,                -20148,,                              0,                              0,                -20148,                -20148,,,,,,,                  1059,                    182,                    877,                    877,                -19271,,                -19330,                   -818,,                -18550,                   -721,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                    -29,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2465,2014年第2季,,,,                490058,                490058,                  1064,                    530,                488464,,                  3291,                  3291,                491755,,,                431774,                431774,                431774,                 59981,                 59952,,,                 23920,                  1143,                     55,                  2503,                  2393,                    310,                    314,,                    312,                  2462,                    579,,                    184,                  1621,                     38,                    386,                    109,                    149,                              0,                  1685,                  4404,                 44748,,                 14601,                   -302,                     47,                    849,                    112,                    130,                     54,,                    289,                    802,                     27,,                    946,                      3,                  1612,                    232,                    184,                     47,                     30,                     63,                              0,                     11,                  3940,                 23677,,                 22662,                  1312,                      9,                    214,                      7,                    491,                     71,                    315,                  1796,                     11,                     11,                  1689,                    845,                    500,                     82,                              0,                  7745,                 37760,                106185,                -46233,,,,                    242,                   -227,                     15,                      5,                  1049,                  1069,,                              0,                              0,                              0,                      1,                    634,,                              0,                              0,                   -635,,                  2510,                  2510,,                    266,                   -266,                 -2342,                -48575,,                     -1,                     -1,                -48574,                -48574,,,,,,,                   -674,                   -114,                   -560,                   -560,                -49134,,                -47296,                 -1278,,                -47835,                 -1299,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,                     29,                              0,                  2181,,,,,,,,,,,,,,,,,,,,,,,
2465,2014年度,,,,              2125402,              2125402,                  5272,                  3184,              2116946,,                 12532,                 12532,              2129478,,,              1812387,              1812387,              1812387,                317091,                317091,,,                 96711,                  3960,                    226,                 12730,                  9780,                  1139,                    780,                 13088,                  1225,                 10558,                  2148,                              0,                    245,                  6178,                    233,                  1562,                    465,                    991,                      3,                  6056,                 31216,                199294,,                 62641,                 -1103,                    191,                  4157,                    473,                    546,                    230,                    -48,                  1293,                  3379,                    697,                    300,                  1084,                     23,                  6497,                  1131,                    743,                    247,                    234,                    246,                              0,                     41,                 11311,                 94313,,                 94779,                  5366,                     62,                  1111,                     32,                  1784,                    282,                  1225,                  7513,                     72,                     65,                  5339,                  4456,                  2037,                    338,                     20,                 26114,                150595,                444202,               -127111,,,,                    724,                     18,                    742,                     55,                  5849,                  6646,,                     96,                  4383,                              0,                    518,                              0,,                 12148,                 12148,                 -8187,,                 10632,                 10632,,                  1296,                 -1296,                -13469,               -140580,,                    312,                    312,               -140892,               -140892,,,                   -637,                   -108,                   -529,,                  2555,                    435,                  2120,                  1591,               -139301,,               -134652,                 -6240,,               -133345,                 -5956,,                             -1.26,                             -1.26,,                             -1.26,                             -1.26,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,2014年01月01日至2014年09月30日,,,,              1569569,              1569569,                  4535,                  1882,              1563152,,                  9931,                  9931,              1573083,,,              1339205,              1339205,              1339205,                233878,                233878,,,                 71227,                  3178,                    191,                  9155,                  7850,                    830,                    768,                  9915,                    922,                  7682,                  1474,,                    195,                  4617,                    133,                  1144,                    364,                    591,                      3,                  4705,                 23191,                148135,,                 46580,                   -892,                    138,                  2932,                    357,                    397,                    176,                    -48,                  1002,                  2573,                    417,,                  1002,                     57,                  4806,                    792,                    557,                    207,                     90,                    107,                              0,                     31,                  8932,                 70213,,                 69133,                  4053,                     46,                    808,                     28,                  1333,                    202,                    925,                  5586,                     72,                     17,                  4782,                  2629,                  1508,                    262,                     13,                 21682,                113079,                331427,                -97549,,,,                    500,                      9,                    509,                     12,                  3401,                  3922,,                     96,                  1331,                              0,                    514,                              0,,                              0,                              0,                    913,,                  7562,                  7562,,                    823,                   -823,                 -3550,               -101099,,                     53,                     53,               -101152,               -101152,,,,,,,                    721,                    122,                    599,                    599,               -100553,,                -97896,                 -3256,,                -97387,                 -3166,,                             -0.91,                             -0.91,,                             -0.91,                             -0.91,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
