證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 權益工具投資之利益（損失）
2484,2015年第3季,,                760418,,                616504,                143914,                143914,,,                 27450,,                 45364,,                 21948,                 94762,                 49152,,,                  6054,,                 57526,,                  3064,,                 14407,                 74923,                124075,,                 24933,                 99142,                 99142,,,                 22586,,                  7230,                  5179,                 24637,                 24637,                123779,,                104419,                 -5277,,                129144,                 -5365,,                              0.66,,                              0.65,,,,,,,,,,
2484,2015年第2季,,                654607,,                514530,                140077,                140077,,,                 24984,,                 38386,,                 15424,                 78794,                 61283,,,                  5819,,                 -5883,,                  3047,,                  8677,                  5566,                 66849,,                  8918,                 57931,                 57931,,,                 -7233,,                 -1911,                 -1533,                 -7611,                 -7611,                 50320,,                 57804,                    127,,                 50219,                    101,,                              0.36,,                              0.36,                              0,,,,,,,,,
2484,2015年01月01日至2015年09月30日,,              2120472,,              1693227,                427245,                427245,,,                 83630,,                115313,,                 57945,                256888,                170357,,,                 14337,,                 43763,,                  9250,,                 34168,                 83018,                253375,,                 46507,                206868,                206868,,,                 11744,,                  3671,                  2667,                 12748,                 12748,                219616,,                213273,                 -6405,,                226079,                 -6463,,                              1.34,,                              1.33,,,,,,,,,,
2484,2015年01月01日至2015年06月30日,,              1360054,,              1076723,                283331,                283331,,,                 56180,,                 74272,,                 31674,                162126,                121205,,,                  8283,,                -13763,,                  6186,,                 19761,                  8095,                129300,,                 21574,                107726,                107726,,,                -10842,,                 -3559,                 -2512,                -11889,                -11889,                 95837,,                108854,                 -1128,,                 96935,                 -1098,,                              0.68,,                              0.68,                              0,,,,,,,,,
2484,2015年01月01日至2015年03月31日,,                705447,,                562193,                143254,                143254,,,                 31196,,                 35886,,                 16250,                 83332,                 59922,,,                  2464,,                 -7880,,                  3139,,                 11084,                  2529,                 62451,,                 12656,                 49795,                 49795,,,                 -3609,,                 -1648,                   -979,                 -4278,                 -4278,                 45517,,                 51050,                 -1255,,                 46716,                 -1199,,                              0.32,,                              0.32,                              0,,,,,,,,,
2484,2014年第3季,,                780130,,                616483,                163647,                163647,,,                 30052,,                 36843,,                 16976,                 83871,                 79776,,,                  2994,,                  7886,,                  3492,,                  5126,                 12514,                 92290,,                 18254,                 74036,                 74036,,,                -18602,,                     83,                 -2738,                -15781,                -15781,                 58255,,                 76155,                 -2119,,                 60888,                 -2633,,                              0.48,,                              0.48,,,,,,,,,,
2484,2014年第2季,,                630983,,                487108,                143875,                143875,,,                 25574,,                 42236,,                 14481,                 82291,                 61584,,,                  3987,,                -16302,,                  2316,,                  4730,                 -9901,                 51683,,                -27587,                 79270,                 79270,,,                    133,,                   -129,                   -232,                    236,                    236,                 79506,,                 82277,                 -3007,,                 82221,                 -2715,,                              0.52,,                              0.52,                              0,,,,,,,,,
2484,2014年度,,              2728475,,              2154749,                573726,                573726,,,                108264,,                161061,,                 58479,                327804,                245922,,,                 20927,,                 51465,,                 11977,,                 18353,                 78768,                324690,,                 31493,                293197,                293197,,,,,,,,                -16637,                276560,,                288945,                  4252,,                272200,                  4360,,                              1.83,,                              1.82,,                              0,                -18547,                 -5472,,                  3872,                 -3510,,,
2484,2014年01月01日至2014年09月30日,,              1993778,,              1572418,                421360,                421360,,,                 79554,,                115361,,                 49669,                244584,                176776,,,                 15092,,                    187,,                 11597,,                 14011,                 17693,                194469,,                  4296,                190173,                190173,,,                 -7485,,                    -68,                 -1208,                 -6345,                 -6345,                183828,,                198557,                 -8384,,                192307,                 -8479,,                              1.26,,                              1.26,,,,,,,,,,
2484,2014年01月01日至2014年06月30日,,              1213648,,                956602,                257046,                257713,,,                 49502,,                 83057,,                 28154,                160713,                 97000,,,                 12098,,                 -7699,,                  8105,,                  8885,                  5179,                102179,,                -13958,                116137,                116137,,,                 11117,,                   -151,                  1530,                  9436,                  9436,                125573,,                122402,                 -6265,,                131419,                 -5846,,                              0.78,,                              0.78,                   -667,,,,,,,,,
