證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2485,2015年第3季,,              2826670,,              2395877,                430793,                430793,,,                 90343,,                 85283,,                 89810,                265436,                165357,,,                 28676,,                255855,,                    805,,                   -856,                282870,                448227,,                 86587,                361640,                361640,,,                 38772,                 38772,                 38772,                400412,,                367735,                 -6095,,                406507,                 -6095,,                              1.16,                              1.16,,                              1.15,                              1.15,,,,
2485,2015年第2季,,              2505276,,              2149671,                355605,                355605,,,                 93668,,                 68737,,                 75662,                238067,                117538,,,                 22451,,                 -7538,,                    899,,                 -2736,                 11278,                128816,,                 19313,                109503,                109503,,,                -15579,                -15579,                -15579,                 93924,,                115696,                 -6193,,                100117,                 -6193,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,
2485,2015年01月01日至2015年09月30日,,              7630804,,              6482121,              1148683,              1148683,,,                271408,,                203327,,                239237,                713972,                434711,,,                 75782,,                161570,,                  2668,,                 -3592,                231092,                665803,,                120116,                545687,                545687,,,                 14554,                 14554,                 14554,                560241,,                562548,                -16861,,                577102,                -16861,,                              1.77,                              1.77,,                              1.75,                              1.75,,,,
2485,2015年01月01日至2015年06月30日,,              4804134,,              4086244,                717890,                717890,,,                181065,,                118044,,                149427,                448536,                269354,,,                 47106,,                -94285,,                  1863,,                 -2736,                -51778,                217576,,                 33529,                184047,                184047,,,                -24218,                -24218,                -24218,                159829,,                194813,                -10766,,                170595,                -10766,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,
2485,2015年01月01日至2015年03月31日,,              2298858,,              1936573,                362285,                362285,,,                 87397,,                 49307,,                 73765,                210469,                151816,,,                 24655,,                -86747,,                    964,,                              0,                -63056,                 88760,,                 14216,                 74544,                 74544,,,                 -8639,                 -8639,                 -8639,                 65905,,                 79117,                 -4573,,                 70478,                 -4573,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,
2485,2014年第3季,,              1943767,,              1597063,                346704,                346704,,,                 88950,,                 93553,,                 74694,                257197,                 89507,,,                 17389,,                 90138,,                    685,,                              0,                106842,                196349,,                 33266,                163083,                163083,,,                 18615,                 18615,                 18615,                181698,,                173147,                -10064,,                191762,                -10064,,                              0.55,                              0.55,,                              0.54,                              0.54,,,,
2485,2014年第2季,,              1653919,,              1379839,                274080,                274080,,,                 89686,,                 31418,,                 71978,                193082,                 80998,,,                 28695,,                -70586,,                  1011,,                              0,                -42902,                 38096,,                 16764,                 21332,                 21332,,,                -13672,                -13672,                -13672,                  7660,,                 33030,                -11698,,                 19358,                -11698,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,
2485,2014年度,,              7687767,,              6420382,              1267385,              1267385,,,                355719,,                308556,,                299443,                963718,                303667,,,                 99957,,                318752,,                  4947,,                              0,                413762,                717429,,                147683,                569746,                569746,,,,,                 25022,                594768,,                606052,                -36306,,                631101,                -36333,,                              1.91,                              1.91,,                              1.89,                              1.89,                 28573,                              0,                 -4267,                   -716
2485,2014年01月01日至2014年09月30日,,              5392933,,              4445876,                947057,                947057,,,                273284,,                209176,,                217510,                699970,                247087,,,                 68622,,                131857,,                  2945,,                              0,                197534,                444621,,                 82852,                361769,                361769,,,                  2114,                  2114,                  2114,                363883,,                390418,                -28649,,                392532,                -28649,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,
2485,2014年01月01日至2014年06月30日,,              3449166,,              2848813,                600353,                600353,,,                184334,,                115623,,                142816,                442773,                157580,,,                 51233,,                 41719,,                  2260,,                              0,                 90692,                248272,,                 49586,                198686,                198686,,,                -16501,                -16501,                -16501,                182185,,                217271,                -18585,,                200770,                -18585,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,
