證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2489,2015年第3季,,              6104593,,              5541134,                563459,                563459,,,                448554,,                 84050,,                130240,                662844,                -99385,,,                521256,,                 54759,,                    574,,                148135,                723576,                624191,,                107533,                516658,                516658,,,                229641,                234887,,                 -3480,                 42640,                418408,                418408,                935066,,                508702,                  7956,,                910993,                 24073,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,
2489,2015年第2季,,              4668009,,              4242537,                425472,                425472,,,                395316,,                 65555,,                131927,                592798,               -167326,,,                 74454,,                314849,,                    565,,                -79481,                309257,                141931,,                 19673,                122258,                122258,,,                -86545,               -114653,,                 -1911,                 -8583,               -194526,               -194526,                -72268,,                120722,                  1536,,                -36018,                -36250,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,
2489,2015年01月01日至2015年09月30日,,             13493768,,             12237789,              1255979,              1255979,,,              1103342,,                203117,,                398024,              1704483,               -448504,,,                688139,,                630639,,                  1715,,                -22098,              1294965,                846461,,                138761,                707700,                707700,,,                 85209,                140559,,                 -7793,                 14598,                203377,                203377,                911077,,                704124,                  3576,,                851542,                 59535,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,,,
2489,2015年01月01日至2015年06月30日,,              7389175,,              6696655,                692520,                692520,,,                654788,,                119067,,                267784,              1041639,               -349119,,,                166883,,                575880,,                  1141,,               -170233,                571389,                222270,,                 31228,                191042,                191042,,,               -144432,                -94328,,                 -4313,                -28042,               -215031,               -215031,                -23989,,                195422,                 -4380,,                -59451,                 35462,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,
2489,2015年01月01日至2015年03月31日,,              2721166,,              2454118,                267048,                267048,,,                259472,,                 53512,,                135857,                448841,               -181793,,,                 92429,,                261031,,                    576,,                -90752,                262132,                 80339,,                 11555,                 68784,                 68784,,,                -57887,                 20325,,                 -2402,                -19459,                -20505,                -20505,                 48279,,                 74700,                 -5916,,                -23433,                 71712,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,
2489,2014年第3季,,              2866563,,              2519949,                346614,                346614,,,                235748,,                 44419,,                 66223,                346390,                    224,,,                282468,,               -134403,,                  2015,,                 13117,                159167,                159391,,                 31719,                127672,                127672,,,                137728,                -29471,,                 -2599,                   -779,                106437,                106437,                234109,,                127054,                    618,,                244582,                -10473,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,
2489,2014年第2季,,              4336863,,              3862579,                474284,                474284,,,                290501,,                 53590,,                129771,                473862,                    422,,,                127944,,                 -1387,,                  3294,,                 89275,                212538,                212960,,                 25649,                187311,                187311,,,               -102778,                -56233,,                 -2511,                 -1796,               -159726,               -159726,                 27585,,                175610,                 11701,,                 36480,                 -8895,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,
2489,2014年第1季,,              5734972,,              5104912,                630060,                630060,,,                335934,,                 90260,,                149295,                575489,                 54571,,,                 82797,,                216908,,                  8404,,                 59548,                350849,                405420,,                 57769,                347651,                347651,,,,,,,,,                136485,                484136,,                342710,                  4941,,                429296,                 54840,,                              0.42,                              0.42,,                              0.42,                              0.42,                -14143,                156625,,,                  2543,                  8540
2489,2014年度,,             17835363,,             15724885,              2110478,              2110478,,,              1210665,,                264264,,                577166,              2052095,                 58383,,,                612178,,                244587,,                 14452,,                 73766,                916079,                974462,,                116254,                858208,                858208,,,,,,,,,                268389,              1126597,,                834690,                 23518,,              1102444,                 24153,,                              1.01,                              1.01,,                              1.00,                              1.00,                206626,                 58567,                  1567,,                  8447,                  6818
2489,2014年01月01日至2014年09月30日,,             12938398,,             11487440,              1450958,              1450958,,,                862183,,                188269,,                345289,              1395741,                 55217,,,                493209,,                 81118,,                 13713,,                161940,                722554,                777771,,                115137,                662634,                662634,,,                 20807,                 70921,,                 -2567,                  5965,                 83196,                 83196,                745830,,                645374,                 17260,,                710358,                 35472,,                              0.78,                              0.78,,                              0.78,                              0.78,,,,,,
2489,2014年01月01日至2014年06月30日,,             10071835,,              8967491,              1104344,              1104344,,,                626435,,                143850,,                279066,              1049351,                 54993,,,                210741,,                215521,,                 11698,,                148823,                563387,                618380,,                 83418,                534962,                534962,,,               -116921,                100392,,                     32,                  6744,                -23241,                -23241,                511721,,                518320,                 16642,,                465776,                 45945,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,
2489,2014年01月01日至2014年03月31日,,              5734972,,              5104912,                630060,                630060,,,                335934,,                 90260,,                149295,                575489,                 54571,,,                 82797,,                216908,,                  8404,,                 59548,                350849,                405420,,                 57769,                347651,                347651,,,                -14143,                156625,,                  2543,                  8540,                136485,                136485,                484136,,                342710,                  4941,,                429296,                 54840,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
