證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2492,2015年第3季,,              4294123,,              3444924,                849199,                849199,,,                238859,,                129145,,                109376,                477380,                371819,,,,                 14575,                  3855,                 40816,                 16824,                 76070,,                 -1326,                 39055,                 83428,                 37119,                 40583,                 43455,,                 21449,                 21449,,                -46932,                 46932,                145008,                516827,,                 69457,                447370,                447370,,,                427494,                -24980,,                122906,                525420,                525420,                972790,,                421638,                 25732,,                896913,                 75877,,                              0.62,                              0.62,,                              0.62,                              0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2015年第2季,,              3874276,,              3229137,                645139,                645139,,,                218551,,                126005,,                103054,                447610,                197529,,,,                 13951,                  5674,                  1750,                 12091,                 33466,,                  1335,                 24637,                              0,                 21726,,                  1588,,                 18842,                 18842,,,                175803,                192015,                389544,,                 60247,                329297,                329297,,,               -192125,               -284772,,                -82309,               -559206,               -559206,               -229909,,                311192,                 18105,,               -216809,                -13100,,                              0.46,                              0.46,,                              0.46,                              0.46,,              3874276,,              3229137,              3229137,                  1022,                  3680,,,,,,,,,,,,,,,,,,,,
2492,2015年01月01日至2015年09月30日,,             11881017,,              9790402,              2090615,              2090615,,,                675144,,                383745,,                309878,              1368767,                721848,,,,                 49047,                 11914,                 42566,                 60068,                163595,,                 -1671,                 87639,                 67448,                 67358,                 35725,                 50333,,                 67030,                 67030,,               -214807,                214807,                361705,              1083553,,                143979,                939574,                939574,,,                 60550,               -330864,,                 26381,               -243933,               -243933,                695641,,                871583,                 67991,,                622399,                 73242,,                              1.28,                              1.28,,                              1.28,                              1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2015年01月01日至2015年06月30日,,              7586894,,              6345478,              1241416,              1241416,,,                436285,,                254600,,                200502,                891387,                350029,,,,                 34472,                  8059,                  1750,                 43244,                 87525,,                   -345,                 48584,                              0,                 30239,,                  6878,,                 45581,                 45581,,,                167875,                216697,                566726,,                 74522,                492204,                492204,,,               -366944,               -305884,,                -96525,               -769353,               -769353,               -277149,,                449945,                 42259,,               -274514,                 -2635,,                              0.66,                              0.66,,                              0.66,                              0.66,,              7586894,,              6345478,              6345478,                  4858,                 15980,,,,,,,,,,,,,,,,,,,,
2492,2015年01月01日至2015年03月31日,,              3712618,,              3116341,                596277,                596277,,,                217734,,                128595,,                 97448,                443777,                152500,,,,                 20521,                  2385,,                 31153,                 54059,,                 -1680,                 23947,,                  8513,,                  5290,,                 26739,                 26739,,                  7928,                 -7928,                 24682,                177182,,                 14275,                162907,                162907,,,               -174819,                -21112,,                -14216,               -210147,               -210147,                -47240,,                138753,                 24154,,                -57705,                 10465,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,                  3836,                 12300,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
2492,2014年第3季,,              3931760,,              3273713,                658047,                658047,,,                224078,,                117912,,                 92475,                434465,                223582,,,,                 25014,                  5897,                 31838,                 12436,                 75185,,                     67,                 10459,                 32786,                 12208,                 -8371,                 39475,,                 24831,                 24831,,                -38666,                 38666,                128495,                352077,,                 16204,                335873,                335873,,,                292204,                -97266,,                 90442,                285380,                285380,                621253,,                302951,                 32922,,                574493,                 46760,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年第2季,,              3655429,,              3145677,                509752,                509752,,,                216400,,                131358,,                 97845,                445603,                 64149,,,,                 37747,                  3445,                    560,                 18138,                 59890,,                  3013,                  7625,                              0,                  8635,,                -15157,,                 26844,                 26844,,,                 10743,                 28632,                 92781,,                 11084,                 81697,                 81697,,,               -204336,                 63125,,                -22214,               -163425,               -163425,                -81728,,                 68634,                 13063,,                -82195,                    467,,                              0.10,                              0.10,,                              0.00,                              0.00,,              3655429,,              3145677,              3145677,                  7156,                 24316,,,,,,,,,,,,,,,,,,,,
2492,2014年度,,             14483334,,             12319768,              2163566,              2163566,,,                849671,,                515184,,                383610,              1748465,                415101,,,,                116275,                 16449,                 32843,                 49597,                215164,,                  4988,                 34780,                 66263,                 46683,                              0,                 91738,,                100569,                100569,,,                 78678,                285011,                700112,,                 60355,                639757,                639757,,,,,,,,                756636,              1396393,,                550916,                 88841,,              1275457,                120936,,,                              0.81,,,                              0.81,,             14483334,,             12319768,             12319768,                 32390,                              0,,,,,,,,,,,,                              0,                              0,,                              0,                497809,                133360,                -32363,,                157830
2492,2014年01月01日至2014年09月30日,,             10796456,,              9261727,              1534729,              1534729,,,                636006,,                359782,,                271897,              1267685,                267044,,,,                 94042,                 12493,                 32398,                 46281,                185214,,                  6869,                 23630,                  7450,                 29022,                -16935,                 25862,,                 77287,                 77287,,                -35216,                 35216,                169005,                436049,,                 37025,                399024,                399024,,,                120553,                 91432,,                 61654,                273639,                273639,                672663,,                346739,                 52285,,                607930,                 64733,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年01月01日至2014年06月30日,,              6864696,,              5988014,                876682,                876682,,,                411928,,                241870,,                179422,                833220,                 43462,,,,                 69028,                  6596,                    560,                 33845,                110029,,                  6802,                 13171,                              0,                 16814,,                -13613,,                 52456,                 52456,,,                 -3450,                 40510,                 83972,,                 20821,                 63151,                 63151,,,               -171651,                188698,,                -28788,                -11741,                -11741,                 51410,,                 43788,                 19363,,                 33437,                 17973,,                              0.06,                              0.06,,                              0.00,                              0.00,,              6864696,,              5988014,              5988014,                  8564,                 25336,,,,,,,,,,,,,,,,,,,,
