證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 賠償損失,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 當期所得稅費用（利益）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2505,2015年第3季,,,,                391864,                391864,                              0,                              0,                391864,                391864,,,                346751,                346751,                346751,                 45113,                 45113,,,                -10112,,                 67760,                 57648,                -12535,,,                 11585,,                   -231,,                  2312,,                 -1935,                  7107,                 -5428,,                              0,                 -5428,                 -5428,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  4971,                 -1892,                  3079,                  3079,                 -2349,,                 -5428,                              0,,                 -2349,                              0,,                             -0.01,,                             -0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年第2季,,,,              1835172,              1835172,,,              1835172,              1835172,,,              1238722,              1238722,              1238722,                596450,                596450,,,                128149,,                 73897,                202046,                394404,,,                  5061,,                   -740,,                  9433,,                 -2319,                 -7431,                386973,,                  7064,                379909,                379909,,,,,,,,,,                 -1139,,                 -1139,,,                 -1727,                 -1727,                 -2866,                377043,,                379909,,,                377043,,,                              0.68,,                              0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年01月01日至2015年09月30日,,,,              2290918,              2290918,                              0,                              0,              2290918,              2290918,,,              1629887,              1629887,              1629887,                661031,                661031,,,                156086,,                217745,                373831,                287200,,,                 19385,,                   -847,,                 22919,,                 -4268,                 -8649,                278551,,                  7064,                271487,                271487,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  3045,                 -3745,                   -700,                   -700,                270787,,                271487,                              0,,                270787,                              0,,                              0.50,,                              0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年01月01日至2015年06月30日,,,,              1899054,              1899054,,,              1899054,              1899054,,,              1283136,              1283136,              1283136,                615918,                615918,,,                166198,,                149985,                316183,                299735,,,                  7800,,                   -616,,                 20607,,                 -2333,                -15756,                283979,,                  7064,                276915,                276915,,,,,,,,,,                 -1926,,                 -1926,,,                 -1853,                 -1853,                 -3779,                273136,,                276915,,,                273136,,,                              0.52,,                              0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年01月01日至2015年03月31日,,,,,,,,,                 63882,,,,,                 44414,                 19468,                 19468,,,                 38049,,                 76088,                114137,                -94669,,,                  2739,,                    124,,                 11174,,                    -14,                 -8325,               -102994,,                              0,               -102994,               -102994,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                   -913,                   -913,               -103907,,               -102994,                              0,,               -103907,                              0,,                             -0.20,,                             -0.20,,                  1263,                  1263,,,                 62619,                              0,                 62619,                 62619,,                    204,                  2535,                              0,                    541,                              0,                    417,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                   -913,                              0,,,,,,,,,,,,,
2505,2014年第3季,,,,                391504,                391504,                              0,                              0,                391504,                391504,,,                249759,                249759,                249759,                141745,                141745,,,                 34871,,                 59366,                 94237,                 47508,,,                  7274,,                 -4177,,                  8391,,                 -9111,                -14405,                 33103,,                  7332,                 25771,                 25771,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  2816,                  1397,                  4213,                  4213,                 29984,,                 25771,                              0,,                 29984,                              0,,                              0.05,,                              0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年第2季,,,,                301930,                301930,,,                301930,                301930,,,                220513,                220513,                220513,                 81417,                 81417,,,                 36639,,                 59055,                 95694,                -14277,,,                 21251,,                -13229,,                  8278,,                 -9267,                 -9523,                -23800,,                -14925,                 -8875,                 -8875,,,,,,,,,,                 -1786,,                 -1786,,,                    593,                    593,                 -1193,                -10068,,                 -8875,,,                -10068,,,                             -0.02,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年度,,,,,,,,,              1556661,,,,,              1060339,                496322,                496322,,,                154780,,                246040,                400820,                 95502,,,                 34103,,                -43813,,                 26852,,                -18775,                -55337,                 40165,,                -10174,                 50339,                 50339,,,,,,,,,,,,,,,,,                 -4549,                 45790,,                 50339,,,                 45790,,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    784,                 -9597,                    422,,                  3842,,,,,,,,
2505,2014年01月01日至2014年09月30日,,,,              1443317,              1443317,                              0,                              0,              1443317,              1443317,,,                991941,                991941,                991941,                451376,                451376,,,                106747,,                185283,                292030,                159346,,,                 32202,,                -42631,,                 22862,,                -16944,                -50235,                109111,,                    -39,                109150,                109150,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  1211,                 -4941,                 -3730,                 -3730,                105420,,                109150,                              0,,                105420,                              0,,                              0.22,,                              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年01月01日至2014年06月30日,,,,              1051812,              1051812,,,              1051812,              1051812,,,                742182,                742182,                742182,                309630,                309630,,,                 71876,,                125917,                197793,                111837,,,                 24927,,                -38454,,                 14471,,                 -7832,                -35830,                 76007,,                 -7372,                 83379,                 83379,,,,,,,,,,                 -1606,,                 -1606,,,                 -6337,                 -6337,                 -7943,                 75436,,                 83379,,,                 75436,,,                              0.17,,                              0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
