證券代號,年季,　 營業收入,　　 營建工程收入,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分無形資產利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資利益,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　　 外幣兌換利益,　　 租賃收入,　　　 租賃收入合計,　　　 處分不動產、廠房及設備利益,　　 遞延所得稅費用（利益）
2509,2015年第3季,,,                249705,,                 16778,                266483,,,                135527,                  7813,                143340,                123143,                123143,,,                 21166,,                 22591,                 43757,                 79386,,,,                    639,                  4771,                  4251,                  9661,,                              0,                -12609,                    852,                      2,                -13463,,                 16226,                 16226,                -20028,                 59358,,                  5518,                  5518,                 53840,                 53840,,,                 65741,                 -9866,                              0,                 55875,                 55875,                109715,,                 55654,                 -1814,,                100337,                  9378,,                              0.37,,,,,,,,,,,,,,,,
2509,2015年第2季,,,,,                 47909,                 47909,,,                 29595,                  9550,                 39145,                  8764,                  8764,,,                 31364,,                 19070,                 50434,                -41670,,,,,,,                  1946,,,,,,                  1564,,                 14184,                 14184,                -10674,                -52344,,                  4965,                  4965,                -57309,                -57309,,,                -11582,                   -426,                              0,                -12008,                -12008,                -69317,,                -56224,                 -1085,,                -68232,                 -1085,,                             -0.37,,,,,,,,,,,,,,,,
2509,2015年01月01日至2015年09月30日,,,                282525,,                 43281,                325806,,,                165123,                 23484,                188607,                137199,                137199,,,                 65568,,                 67245,                132813,                  4386,,,,                  4485,                  4771,                  4352,                 13608,,                              0,                -11675,                 11204,                      2,                -22881,,                 44406,                 44406,                -53679,                -49293,,                 10810,                 10810,                -60103,                -60103,,,                 40492,                 -5518,                              0,                 34974,                 34974,                -25129,,                -56508,                 -3595,,                -28313,                  3184,,                             -0.37,,,,,,,,,,,,,,,,
2509,2015年01月01日至2015年06月30日,,,,,                 59323,                 59323,,,                 29596,                 15671,                 45267,                 14056,                 14056,,,                 44402,,                 44654,                 89056,                -75000,,,,,,,                  3947,,,,,,                 -9418,,                 28180,                 28180,                -33651,               -108651,,                  5292,                  5292,               -113943,               -113943,,,                -20836,                  4348,                              0,                -16488,                -16488,               -130431,,               -112162,                 -1781,,               -128650,                 -1781,,                             -0.74,,,,,,,,,,,,,,,,
2509,2015年01月01日至2015年03月31日,,,,,                 11414,                 11414,,,,                  6122,                  6122,                  5292,                  5292,,,                 13038,,                 25584,                 38622,                -33330,,,,,,,                  2001,,,,,,                -10982,,                 13996,                 13996,                -22977,                -56307,,                    327,                    327,                -56634,                -56634,,,                 -9254,                  4774,                              0,                 -4480,                 -4480,                -61114,,                -55938,                   -696,,                -60418,                   -696,,                             -0.37,,                             -0.37,,,,,,,,,,,,,,
2509,2014年第3季,,,                              0,,                  7841,                  7841,,,                              0,                  4224,                  4224,                  3617,                  3617,,,                 37575,,                 28912,                 66487,                -62870,,,,                    218,                  4842,                    159,                  5219,,                              0,                -20776,                    581,                              0,                -21357,,                  1185,                  1185,                -17323,                -80193,,                    610,                    610,                -80803,                -80803,,,                 11568,                 -7499,                              0,                  4069,                  4069,                -76734,,                -79430,                 -1373,,                -78462,                  1728,,                             -0.52,,,,,,,,,,,,,,,,
2509,2014年第2季,,,,,                  7423,                  7423,,,                              0,                  4808,                  4808,                  2615,                  2615,,,                 34594,,                 25237,                 59831,                -57216,,,,,,,                 12260,,,,,,                 14074,,                  1612,                  1612,                 24722,                -32494,,                    700,                    700,                -33194,                -33194,,,                 -8247,                    898,                              0,                 -7349,                 -7349,                -40543,,                -32669,                   -525,,                -40018,                   -525,,                             -0.22,,,,,,,,,,,,,,,,
2509,2014年度,,,,,                 36590,                 36590,,,                    563,                 19271,                 19834,                 16756,                 16756,,,                107008,,                103313,                210321,               -193565,,,,,,,                 22283,,,,,,                -23474,,                 11277,                 11277,                -12468,               -206033,,,                    386,               -206419,               -206419,,,,,,,                 26071,               -180348,,               -202885,                 -3534,,               -176814,                 -3534,,                             -1.34,,                             -1.34,,                              0,                 31723,                 -4852,                   -800,                              0,,,,,,,,
2509,2014年01月01日至2014年09月30日,,,                  1150,,                 23727,                 24877,,,                              0,                 15136,                 15136,                  9741,                  9741,,,                 82484,,                 80686,                163170,               -153429,,,,                  8811,                  4842,                  3993,                 17646,,                  2977,                    308,                  1375,                     12,                  1898,,                  3818,                  3818,                 15726,               -137703,,                  1366,                  1366,               -139069,               -139069,,,                 12629,                 -6693,                              0,                  5936,                  5936,               -133133,,               -136580,                 -2489,,               -134076,                    943,,                             -0.90,,,,,,,,,,,,,,,,
2509,2014年01月01日至2014年06月30日,,,,,                 17036,                 17036,,,                              0,                 10912,                 10912,                  6124,                  6124,,,                 44909,,                 51774,                 96683,                -90559,,,,,,,                 12428,,,,,,                 23254,,                  2633,                  2633,                 33049,                -57510,,                    756,                    756,                -58266,                -58266,,,                    730,                    806,                              0,                  1536,                  1536,                -56730,,                -57150,                 -1116,,                -55614,                 -1116,,                             -0.38,,,,,,,,,,,,,,,,
