證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2597,2015年第3季,,              1836897,,              1626393,                210504,                210504,,,                 19011,,                128754,,                 10530,                158295,                 52209,,,                235737,,                 29885,,                  5138,,                  1201,                261685,                313894,,                  9580,                304314,                304314,,,                              0,                              0,,                  7713,               -488983,                -51126,               -430144,               -430144,               -125830,,                280460,                 23854,,               -140717,                 14887,,                              2.08,                              2.08,,                              2.08,                              2.08,,,,,,,,
2597,2015年第2季,,              2479575,,              2130003,                349572,                349572,,,                 15967,,                134684,,                  9720,                160371,                189201,,,                  6545,,                 -7384,,                  7573,,                   -151,                 -8563,                180638,,                 31978,                148660,                148660,,,                              0,                              0,,                 -2919,                 76770,                 -6419,                 80270,                 80270,                228930,,                 96452,                 52208,,                175354,                 53576,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,
2597,2015年01月01日至2015年09月30日,,              7229012,,              6284884,                944128,                944128,,,                 52201,,                395316,,                 36531,                484048,                460080,,,                249060,,                 12981,,                 19867,,                 -3173,                239001,                699081,,                 77878,                621203,                621203,,,                              0,                              0,,                  2696,               -361093,                -14845,               -343552,               -343552,                277651,,                512688,                108515,,                175563,                102088,,                              3.80,                              3.80,,                              3.79,                              3.79,,,,,,,,
2597,2015年01月01日至2015年06月30日,,              5392115,,              4658491,                733624,                733624,,,                 33190,,                266562,,                 26001,                325753,                407871,,,                 13323,,                -16904,,                 14729,,                 -4374,                -22684,                385187,,                 68298,                316889,                316889,,,                              0,                              0,,                 -5017,                127890,                 36281,                 86592,                 86592,                403481,,                232228,                 84661,,                316280,                 87201,,                              1.72,                              1.72,,                              1.72,                              1.72,,,,,,,,
2597,2015年01月01日至2015年03月31日,,              2912540,,              2528488,                384052,                384052,,,                 17223,,                131878,,                 16281,                165382,                218670,,,                  6778,,                 -9520,,                  7156,,                 -4223,                -14121,                204549,,                 36320,                168229,                168229,,,,,,                 -2098,                 51120,                 42700,                  6322,                  6322,                174551,,                135776,                 32453,,                140926,                 33625,,                              1.01,                              1.01,,                              1.00,                              1.00,,,,,,,,
2597,2014年第3季,,              3755713,,              3264059,                491654,                491654,,,                 17237,,                133367,,                 13554,                164158,                327496,,,                209415,,                  2095,,                  8169,,                              0,                203341,                530837,,                 50917,                479920,                479920,,,                              0,                              0,,                    285,               -353629,                -51093,               -302251,               -302251,                177669,,                414171,                 65749,,                118096,                 59573,,                              3.07,                              3.07,,                              3.07,                              3.07,,,,,,,,
2597,2014年第2季,,              3694425,,              3242774,                451651,                451651,,,                 15618,,                120167,,                  9278,                145063,                306588,,,                 13081,,                     19,,                  9595,,                              0,                  3505,                310093,,                 38883,                271210,                271210,,,                              0,                              0,,                   -158,                145263,                  6570,                138535,                138535,                409745,,                227642,                 43568,,                364155,                 45590,,                              1.69,                              1.69,,                              1.69,                              1.69,,,,,,,,
2597,2014年第1季,,              3066667,,              2659456,                407211,                407211,,,                 15268,,                120077,,                 13397,                148742,                258469,,,                 12892,,                   -731,,                 10852,,,                  1309,                259778,,                 35561,                224217,                224217,,,,,,,,,,               -155049,                 69168,,                203373,                 20844,,                 49746,                 19422,,                              1.51,                              1.51,,                              1.51,                              1.51,                    -12,               -126263,,                 28774,                              0,                              0,,
2597,2014年度,,             14205725,,             12343517,              1862208,              1862208,,,                 69740,,                548969,,                 45877,                664586,              1197622,,,                268220,,                 25512,,                 36201,,                   -119,                257412,              1455034,,                136040,              1318994,              1318994,,,,,,,,,,               -325432,                993562,,              1130786,                188208,,                811896,                181666,,                              8.38,                              8.38,,                              8.37,                              8.37,                    557,               -363425,                  4292,                -33144,                              0,                              0,                              0.00,                              0.00
2597,2014年01月01日至2014年09月30日,,             10516805,,              9166289,              1350516,              1350516,,,                 48123,,                373611,,                 36229,                457963,                892553,,,                234685,,                  2086,,                 28616,,                              0,                208155,              1100708,,                125361,                975347,                975347,,,                              0,                              0,,                    115,               -334629,                -15749,               -318765,               -318765,                656582,,                845186,                130161,,                531997,                124585,,                              6.26,                              6.26,,                              6.25,                              6.25,,,,,,,,
