證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 勞務收入,　　　 運輸收入,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 空運成本,　　　　 場站及運務成本,　　　　 旅客服務成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 維修成本,　　　 勞務成本合計,　　 其他營業成本,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計
2610,2015年第3季,,             37089144,,             31798540,              5290604,              5290604,,              3002563,              2288041,,,              2221936,,             -1509840,,                444256,,                141035,                408875,              2696916,,                483642,              2213274,              2213274,,,                145053,                 -4079,                484027,,                   -182,                106498,                518321,                518321,              2731595,,              2133705,                 79569,,              2645081,                 86514,,                              0.39,                              0.39,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2015年第2季,,             35621247,,             31056441,              4564806,              4564806,,              2958121,              1606685,,,                454087,,               -284296,,                463501,,                132569,               -161141,              1445544,,                277233,              1168311,              1168311,,,                -28877,                 -6682,              1063599,,                              0,                176423,                851617,                851617,              2019928,,              1116577,                 51734,,              1973018,                 46910,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2015年01月01日至2015年09月30日,,            109874296,,             94302310,             15571986,             15571986,,              9117046,              6454940,,,              2939347,,             -1932784,,              1392611,,                389920,                  3872,              6458812,,              1195023,              5263789,              5263789,,,                 93243,                -13479,              2227809,,                   -182,                395139,              1912252,              1912252,              7176041,,              5100661,                163128,,              7013560,                162481,,                              0.94,                              0.94,,                              0.90,                              0.90,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2015年01月01日至2015年06月30日,,             72785152,,             62503770,             10281382,             10281382,,              6114483,              4166899,,,                717411,,               -422944,,                948355,,                248885,               -405003,              3761896,,                711381,              3050515,              3050515,,,                -51810,                 -9400,              1743782,,                              0,                288641,              1393931,              1393931,              4444446,,              2966956,                 83559,,              4368479,                 75967,,                              0.55,                              0.55,,                              0.53,                              0.53,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2015年01月01日至2015年03月31日,,             37163905,,             31447329,              5716576,              5716576,,              3156362,              2560214,,,                263324,,               -138648,,                484854,,                116316,               -243862,              2316352,,                434148,              1882204,              1882204,,,                -22933,                 -2718,                680183,,                              0,                112218,                542314,                542314,              2424518,,              1850379,                 31825,,              2395461,                 29057,,                              0.35,                              0.35,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年第3季,,             40244398,,             35695694,              4548704,              4548704,,              2852147,              1696557,,,                189699,,                -22253,,                498225,,                124866,               -205913,              1490644,,                250421,              1240223,              1240223,,,                 54454,                 -3668,               -347453,,                    765,                -49626,               -246276,               -246276,                993947,,              1177871,                 62352,,                928805,                 65142,,                              0.22,                              0.22,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年第2季,,             36947737,,             34307605,              2640132,              2640132,,              2838053,               -197921,,,                338958,,               -128021,,                511709,,                140381,               -160391,               -358312,,                600023,               -958335,               -958335,,,                -45805,                  3213,                 40045,,                    -72,                   -220,                 -2399,                 -2399,               -960734,,             -1032910,                 74575,,             -1031609,                 70875,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年度,,            150581742,,            136954265,             13627477,             13627477,,             11113447,              2514030,,,              1094416,,             -1740965,,              2019124,,                509352,             -2156321,                357709,,                959113,               -601404,               -601404,,,,,,,,,,             -1947978,             -2549382,,               -751232,                149828,,             -2696395,                147013,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                119945,                 17467,             -2537524,                 74083,,                -15590,               -393641,,,,,,,,,,,,,,,,,,,
2610,2014年01月01日至2014年09月30日,,            112439008,,            103574959,              8864049,              8864049,,              8237001,                627048,,,                820186,,             -1696667,,              1516883,,                388174,             -2005190,             -1378142,,              1041197,             -2419339,             -2419339,,,                 43639,                 14276,               -399706,,                    317,                -57348,               -284126,               -284126,             -2703465,,             -2581321,                161982,,             -2864270,                160805,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年01月01日至2014年06月30日,,             72194610,,             67879265,              4315345,              4315345,,              5384854,             -1069509,,,                630487,,             -1674414,,              1018658,,                263308,             -1799277,             -2868786,,                790776,             -3659562,             -3659562,,,                -10815,                 17944,                -52253,,                   -448,                 -7722,                -37850,                -37850,             -3697412,,             -3759192,                 99630,,             -3793075,                 95663,,                             -0.72,                             -0.72,,                             -0.72,                             -0.72,,,,,,,,,,,,,,,,,,,,,,,,,,
