證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2616,2015年第3季,,              3955943,,,              3654727,              3654727,              3654727,                301216,                301216,,,                100547,,                158654,                259201,                 42015,,,                 19972,                 15629,                 35601,,                  2985,                  6971,                 -3986,                 31615,                 73630,,                 10503,                 63127,                 63127,,,                 16045,                -37243,                 -2209,                -18989,                -18989,                 44138,,                 60871,                  2256,,                 35445,                  8693,,                              0.55,,                              0.48,,,,,,,,,,
2616,2015年第2季,,              4190030,,,              3868798,              3868798,              3868798,                321232,                321232,,,                 99783,,                160962,                260745,                 60487,,,,                 14261,                 14261,,                  3318,                  7374,                 -4259,                 10002,                 70489,,                 12239,                 58250,                 58250,,,                 -5460,                -14538,                 -2698,                -17300,                -17300,                 40950,,                 56108,                  2142,,                 40998,                    -48,,                              0.50,,                              0.44,                   -203,,,,,,,,,
2616,2015年01月01日至2015年09月30日,,             11997197,,,             11067824,             11067824,             11067824,                929373,                929373,,,                299764,,                477417,                777181,                152192,,,                 19972,                 43289,                 63261,,                  6827,                 21131,                -14304,                 48957,                201149,,                 34197,                166952,                166952,,,                  7147,                -86738,                 -9620,                -69971,                -69971,                 96981,,                159406,                  7546,,                 86446,                 10535,,                              1.43,,                              1.25,,,,,,,,,,
2616,2015年01月01日至2015年06月30日,,              8041254,,,              7413097,              7413097,              7413097,                628157,                628157,,,                199217,,                318763,                517980,                110177,,,,                 27660,                 27660,,                  4806,                 14802,                -10318,                 17342,                127519,,                 23694,                103825,                103825,,,                 -8898,                -49495,                 -7411,                -50982,                -50982,                 52843,,                 98535,                  5290,,                 51001,                  1842,,                              0.88,,                              0.77,                   -322,,,,,,,,,
2616,2015年01月01日至2015年03月31日,,              3851224,,,,              3544299,              3544299,                306925,                306925,,,                 99434,,                157801,                257235,                 49690,,,,,                 13399,,                  1488,                  2732,                 -1363,                  7340,                 57030,,                 11455,                 45575,                 45575,,,                 -3438,                -34957,                 -4713,                -33682,                -33682,                 11893,,                 42427,                  3148,,                 10003,                  1890,,                              0.38,,                              0.34,,                    119,,                              0,,                  4696,,,,
2616,2014年第3季,,              5349147,,,              5051255,              5051255,              5051255,                297892,                297892,,,                 97578,,                155265,                252843,                 45049,,,                 29170,                 25824,                 54994,,                  2303,                  4083,                 -1780,                 53214,                 98263,,                 13883,                 84380,                 84380,,,                  8501,                  3647,                  1006,                 11142,                 11142,                 95522,,                 81544,                  2836,,                 89337,                  6185,,                              0.73,,                              0.73,,,,,,,,,,
2616,2014年第2季,,              5225166,,,              4921650,              4921650,              4921650,                303516,                303516,,,                 96796,,                139842,                236638,                 66878,,,,                 18612,                 18612,,                  3661,                  4311,                   -994,                 17618,                 84496,,                 30638,                 53858,                 53858,,,                 -5751,                -52853,                 -6780,                -51824,                -51824,                  2034,,                 51376,                  2482,,                  1859,                    175,,                              0.46,,                              0.46,                   -344,,,,,,,,,
2616,2014年度,,             20289815,,,             19074509,             19074509,             19074509,              1215306,              1215306,,,                392399,,                594206,                986605,                228701,,,                 29200,                 56320,                 85520,,                  5639,                 10033,                   -214,                 76313,                305014,,                 68198,                236816,                236816,,,,,,,                -37879,                198937,,                225876,                 10940,,                182626,                 16311,,                              2.02,,                              1.96,,                 -4180,,,,                  8993,                 13398,                -28764,                -28584,                 -6071
2616,2014年01月01日至2014年09月30日,,             15450862,,,             14570359,             14570359,             14570359,                880503,                880503,,,                288378,,                451438,                739816,                140687,,,                 29170,                 66178,                 95348,,                  6032,                 10522,                 -4490,                 90858,                231545,,                 53916,                177629,                177629,,,                  1550,                -68992,                 -8180,                -59262,                -59262,                118367,,                169663,                  7966,,                109781,                  8586,,                              1.52,,                              1.51,,,,,,,,,,
2616,2014年01月01日至2014年06月30日,,             10101715,,,              9519104,              9519104,              9519104,                582611,                582611,,,                190800,,                296173,                486973,                 95638,,,,                 40354,                 40354,,                  4255,                  7214,                 -2710,                 37644,                133282,,                 40033,                 93249,                 93249,,,                 -6951,                -72639,                 -9186,                -70404,                -70404,                 22845,,                 88119,                  5130,,                 20444,                  2401,,                              0.79,,                              0.78,                    249,,,,,,,,,
