證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2617,2015年第3季,,                687256,,                629328,                 57928,                 57928,,                 23229,                 34699,,,,                  3439,                 43806,                 47245,,                 14451,                              0,                    703,                 21761,                 -8013,,                  3393,                  3393,,                      1,                      1,                 35840,                 70539,,                 19000,                 51539,                 51539,,,                499047,,                -22815,                476232,                476232,                527771,,                 51539,,                527771,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,
2617,2015年第2季,,                683391,,                639647,                 43744,                 43744,,                 28299,                 15445,,,,                  3410,                 61028,                 64438,,,,                  1138,                 88068,                -94931,,                  3294,                  3294,,                  3191,                  3191,                -30596,                -15151,,                 17500,                -32651,                -32651,,,               -108747,,                -14291,               -123038,               -123038,               -155689,,                -32651,,               -155689,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                  5725,,,,,,
2617,2015年01月01日至2015年09月30日,,              2037934,,              1836688,                201246,                201246,,                 80375,                120871,,,,                 10482,                108169,                118651,,                  6347,                              0,                  3266,                 94268,                -91187,,                 10184,                 10184,,                  3175,                  3175,                 20455,                141326,,                 39000,                102326,                102326,,,                303098,,                -45129,                257969,                257969,                360295,,                102326,,                360295,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,,
2617,2015年01月01日至2015年06月30日,,              1350678,,              1207360,                143318,                143318,,                 57146,                 86172,,,,                  7043,                 64363,                 71406,,,,                  2563,                 72507,                -83174,,                  6791,                  6791,,                  3174,                  3174,                -15385,                 70787,,                 20000,                 50787,                 50787,,,               -195949,,                -22314,               -218263,               -218263,               -167476,,                 50787,,               -167476,,                              0.12,                              0.12,,                              0.12,                              0.12,                  8104,,,,,,
2617,2015年01月01日至2015年03月31日,,                667287,,                567713,                 99574,                 99574,,                 28847,                 70727,,,,                  3633,                  3335,                  6968,,                              0,                 15561,                  3821,                              0,                 11740,,                  3497,                  3497,,,,                 15211,                 85938,,                  2500,                 83438,                 83438,,,                -87202,,                 -8023,                -95225,                -95225,                -11787,,                 83438,,                -11787,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,
2617,2014年第3季,,                744220,,                670216,                 74004,                 74004,,                 32427,                 41577,,,,                  5841,                    702,                  6543,,                  6977,                 16408,                  1410,                              0,                 21975,,                  5152,                  5152,,                      3,                      3,                 23369,                 64946,,                 20000,                 44946,                 44946,,,                139573,,                    752,                140325,                140325,                185271,,                 44946,,                185271,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,
2617,2014年第2季,,                735309,,                649731,                 85578,                 85578,,                 31795,                 53783,,,,                  6646,                112967,                119613,,,,                  1016,                  9330,                -21107,,                  6872,                  6872,,                  4008,                  4008,                 95642,                149425,,                 70000,                 79425,                 79425,,,               -151539,,                -10028,               -161567,               -161567,                -82142,,                 79425,,                -82142,,                              0.19,                              0.19,,                              0.19,                              0.19,                 10761,,,,,,
2617,2014年度,,              2897517,,              2531797,                365720,                365720,,                131299,                234421,,,,                 24148,                132300,                156448,,                 20020,                 40133,                  9197,,                 50956,,                 23226,                 23226,,,                  3905,                188083,                422504,,                117000,                305504,                305504,,,,,,,                432421,                737925,,                305504,,                737925,,                              0.73,                              0.73,,                              0.73,                              0.73,,                              0,                              0,                460113,                  5152,,                -32844
2617,2014年01月01日至2014年09月30日,,              2185468,,              1891450,                294018,                294018,,                 96573,                197445,,,,                 18911,                128782,                147693,,                  7184,                              0,                  4371,                  7641,                 -4828,,                 18922,                 18922,,                  3991,                  3991,                127934,                325379,,                108000,                217379,                217379,,,                152630,,                -30838,                121792,                121792,                339171,,                217379,,                339171,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,
2617,2014年01月01日至2014年06月30日,,              1441248,,              1221234,                220014,                220014,,                 64146,                155868,,,,                 13070,                128287,                141357,,,,                  2961,                 24049,                -27010,,                 13770,                 13770,,                  3988,                  3988,                104565,                260433,,                 88000,                172433,                172433,,,                 13057,,                -31590,                -18533,                -18533,                153900,,                172433,,                153900,,                              0.41,                              0.41,,                              0.41,                              0.41,                              0,,,,,,
