證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2707,2015年第3季,,              1546089,,                991701,                554388,                554388,,,                 55804,,                209211,                265015,                289373,,,                  5683,,                -19490,,                 10509,                -24316,                265057,,                 42841,                222216,                222216,,,                              0,                              0,                              0,,                137757,                              0,                137757,                137757,                359973,,                213052,                  9164,,                350830,                  9143,,                              1.68,                              1.68,,                              1.66,                              1.66,,,,
2707,2015年第2季,,              1638984,,              1038632,                600352,                600352,,,                 53048,,                189648,                242696,                357656,,,                  7679,,                 -3743,,                  9640,                 -5704,                351952,,                 59023,                292929,                292929,,,                              0,                              0,                              0,,                -46791,                              0,                -46791,                -46791,                246138,,                287229,                  5700,,                240450,                  5688,,                              2.46,                              2.46,,                              2.41,                              2.41,,,,
2707,2015年01月01日至2015年09月30日,,              4919153,,              3106967,              1812186,              1812186,,,                163111,,                610873,                773984,              1038202,,,                 24649,,                -52431,,                 29810,                -57592,                980610,,                164265,                816345,                816345,,,                 -6108,                    -55,                 -6053,,                 96110,                 -2739,                 93371,                 87318,                903663,,                799563,                 16782,,                886929,                 16734,,                              6.31,                              6.31,,                              6.20,                              6.20,,,,
2707,2015年01月01日至2015年06月30日,,              3373064,,              2115266,              1257798,              1257798,,,                107307,,                401662,                508969,                748829,,,                 18966,,                -32941,,                 19301,                -33276,                715553,,                121424,                594129,                594129,,,                 -6108,                    -55,                 -6053,,                -41647,                 -2739,                -44386,                -50439,                543690,,                586511,                  7618,,                536099,                  7591,,                              5.02,                              5.02,,                              4.91,                              4.91,,,,
2707,2015年01月01日至2015年03月31日,,              1734080,,              1076634,                657446,                657446,,,                 54259,,                212014,                266273,                391173,,,                 11287,,                -29198,,                  9661,                -27572,                363601,,                 62401,                301200,                301200,,,,,,,                  5144,                 -2739,                  2405,                  2405,                303605,,                299282,                  1918,,                301702,                  1903,,                              2.56,                              2.56,,                              2.51,                              2.51,,,,
2707,2014年第3季,,              1553823,,                997812,                556011,                556011,,,                 60283,,                208254,                268537,                287474,,,                  5043,,                 -3668,,                  8312,                 -6937,                280537,,                 53585,                226952,                226952,,,                              0,                              0,                              0,,                 15936,                    -80,                 15856,                 15856,                242808,,                222829,                  4123,,                238627,                  4181,,                              1.76,                              1.76,,                              1.74,                              1.74,,,,
2707,2014年第2季,,              1529162,,              1002445,                526717,                526717,,,                 57674,,                172868,                230542,                296175,,,                  5179,,                 -3052,,                  9616,                 -7489,                288686,,                 60604,                228082,                228082,,,                              0,                              0,                              0,,                -31358,                    321,                -31037,                -31037,                197045,,                223452,                  4630,,                192466,                  4579,,                              1.91,                              1.91,,                              1.89,                              1.89,,,,
2707,2014年度,,              6332393,,              3944457,              2387936,              2387936,,,                236138,,                828706,              1064844,              1323092,,,                 96572,,                 -5606,,                 41337,                 49629,              1372721,,                234827,              1137894,              1137894,,,,,,,,,,                 88264,              1226158,,              1122816,                 15078,,              1211281,                 14877,,                              9.60,                              9.60,,                              9.44,                              9.44,                 88875,                  5706,                 -6372,                    -55
2707,2014年01月01日至2014年09月30日,,              4579599,,              2901809,              1677790,              1677790,,,                174701,,                569358,                744059,                933731,,,                 27138,,                 -8226,,                 23710,                 -4798,                928933,,                177747,                751186,                751186,,,                              0,                              0,                              0,,                 40118,                 -1205,                 38913,                 38913,                790099,,                743001,                  8185,,                781915,                  8184,,                              5.86,                              5.86,,                              5.80,                              5.80,,,,
2707,2014年01月01日至2014年06月30日,,              3025776,,              1903997,              1121779,              1121779,,,                114418,,                361104,                475522,                646257,,,                 25627,,                 -4558,,                 18930,                  2139,                648396,,                124162,                524234,                524234,,,                              0,                              0,                              0,,                 24182,                 -1125,                 23057,                 23057,                547291,,                520172,                  4062,,                543288,                  4003,,                              4.45,                              4.45,,                              4.39,                              4.39,,,,
2707,2014年01月01日至2014年03月31日,,              1496614,,                901552,                595062,                595062,,,                 56744,,                188236,                244980,                350082,,,                 20448,,                 -1506,,                  9314,                  9628,                359710,,                 63558,                296152,                296152,,,,,,,                 55540,                 -1446,                 54094,                 54094,                350246,,                296720,                   -568,,                350822,                   -576,,                              2.54,                              2.54,,                              2.50,                              2.50,,,,
2707,2013年第3季,,              1334861,,                851532,                483329,                483329,,,                 59319,,                178325,                237644,                245685,,,                 29563,,                  1730,,                  9293,                 22000,                267685,,                 51638,                216047,                216047,,,,,,,,,,                -30505,                185542,,                216420,                   -373,,                185973,                   -431,,                              1.85,                              1.85,,                              1.84,                              1.84,                -30184,                   -321,,
2707,2013年第2季,,              1369730,,                838071,                531659,                531659,,,                 52803,,                193926,                246729,                284930,,,                  6873,,                  7124,,                  6320,                  7677,                292607,,                 56267,                236340,                236340,,,,,,,,,,                -17190,                219150,,                243167,                 -6827,,                225861,                 -6711,,                              2.29,                              2.29,,                              2.29,                              2.29,                -16547,                   -643,,
2707,2013年度,,              5735580,,              3507390,              2228190,              2228190,,,                245846,,                748653,                994499,              1233691,,,                139150,,                 15187,,                 31738,                122599,              1356290,,                234857,              1121433,              1121433,,,,,,,,,,                -56274,              1065159,,              1133238,                -11805,,              1078101,                -12942,,                              9.69,                              9.69,,                              9.63,                              9.63,                -55039,                 -1688,                    476,                     23
2707,2013年01月01日至2013年09月30日,,              4152749,,              2533780,              1618969,              1618969,,,                166661,,                550233,                716894,                902075,,,                 53823,,                 -4502,,                 20003,                 29318,                931393,,                163215,                768178,                768178,,,,,,,,,,                -34262,                733916,,                781684,                -13506,,                747141,                -13225,,                              6.69,                              6.69,,                              6.66,                              6.66,                -32816,                 -1446,,
2707,2013年01月01日至2013年06月30日,,              2817888,,              1682248,              1135640,              1135640,,,                107342,,                371908,                479250,                656390,,,                 25801,,                 -6232,,                 12251,                  7318,                663708,,                111577,                552131,                552131,,,,,,,,,,                 -3757,                548374,,                565264,                -13133,,                561168,                -12794,,                              5.32,                              5.32,,                              5.32,                              5.32,                 -2632,                 -1125,,
2707,2013年01月01日至2013年03月31日,,              1448158,,                844177,                603981,                603981,,,                 54539,,                177982,                232521,                371460,,,                 18928,,                -13356,,                  5931,                   -359,                371101,,                 55310,                315791,                315791,,,,,,,,,,                 13433,                329224,,                322097,                 -6306,,                335307,                 -6083,,                              3.03,                              3.03,,                              3.03,                              3.03,                 13915,                   -482,,
