證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 貼現及放款利息收入,　　　　 應收承購帳款利息收入,　　　　 買入匯款利息收入,　　　　 存放及拆放同業利息收入（銀行存款利息收入）,　　　　 投資有價證券利息收入（持有票債券利息收入）,　　　　 信用卡循環利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 存款利息費用,　　　　 央行及同業存款利息費用,　　　　 央行及同業融資利息費用,　　　　 附買回票債券負債利息費用,　　　　 結構型商品利息費用,　　　　 發行債券利息費用,　　　　 其他利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 進出口業務手續費收入,　　　　　 國內信用狀手續費收入,　　　　　 匯費收入,　　　　　 跨行手續費收入,　　　　　 放款手續費收入,　　　　　 保證手續費收入,　　　　　 承兌手續費收入,　　　　　 承購帳款手續費收入,　　　　　 信託業務收入,　　　　　 信託附屬業務手續費收入,　　　　　 代理手續費收入,　　　　　 信用卡手續費收入,　　　　　 其他手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 匯費支出,　　　　　 跨行手續費,　　　　　 信託手續費,　　　　　 保管手續費,　　　　　 其他手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　　 透過損益按公允價值衡量之金融資產股利收入,　　　　　 透過損益按公允價值衡量之金融資產利息收入,　　　　　 透過損益按公允價值衡量之金融資產處分利益,　　　　　 透過損益按公允價值衡量之金融資產評價利益,　　　　　 透過損益按公允價值衡量之金融負債處分利益,　　　　　 透過損益按公允價值衡量之金融負債評價利益,　　　　　 透過損益按公允價值衡量之金融資產及負債利益合計,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　　 透過損益按公允價值衡量之金融資產處分損失,　　　　　 透過損益按公允價值衡量之金融資產評價損失,　　　　　 透過損益按公允價值衡量之金融負債利息費用,　　　　　 透過損益按公允價值衡量之金融負債處分損失,　　　　　 透過損益按公允價值衡量之金融負債評價損失,　　　　　 透過損益按公允價值衡量之金融資產及負債損失合計,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　　 備供出售金融資產股利收入,　　　　　 備供出售金融資產處分利益,　　　　　 備供出售金融資產之已實現利益合計,　　　　 備供出售金融資產之已實現損失,　　　　　 備供出售金融資產處分損失,　　　　　 備供出售金融資產之已實現損失合計,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　　 兌換利益,　　　　　 兌換利益合計,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 避險工具之淨損益－公允價值避險,　　　　　 避險工具之利益－公允價值避險,　　　　　 避險工具之損失－公允價值避險,　　　　　 避險工具之淨損益－公允價值避險,　　　　 歸因於所規避風險之被避險項目之淨損益－公允價值避險,　　　　　 歸因於所規避風險之被避險項目之利益－公允價值避險,　　　　　 歸因於所規避風險之被避險項目之損失－公允價值避險,　　　　　 歸因於所規避風險之被避險項目之淨損益－公允價值避險,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產損失,　　　　　 以成本衡量之金融資產淨損益,　　　　 無活絡市場之債務商品淨投資損益,　　　　　 無活絡市場之債務工具投資損失,　　　　　 無活絡市場之債務工具淨投資損益合計,　　　　 出售承受擔保品淨損益,　　　　　 出售承受擔保品利益,　　　　　 出售承受擔保品淨損益,　　　　 證券經紀收入淨額,　　　　　 證券經紀收入,　　　　　 證券經紀費用,　　　　　 證券經紀收入淨額,　　　　 證券承銷收入淨額,　　　　　 證券承銷收入,　　　　　 證券承銷費用,　　　　　 證券承銷收入淨額,　　　　 證券自營費用,　　　　　 證券自營費用,　　　　　 證券自營費用合計,　　　　 顧問服務收入,　　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 營業資產出租淨損益,　　　　　 營業資產租金收入,　　　　　 營業資產出租費用,　　　　　 營業資產出租淨損益,　　　　 租賃收入,　　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 財產交易淨損益,　　　　　 財產交易利益,　　　　　 財產交易淨損益,　　　　 資產報廢損失,　　　　　 資產報廢損失,　　　　　 資產報廢損失合計,　　　　 災害損失,　　　　　 災害損失,　　　　　 災害損失合計,　　　　 其他什項損益,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　　 其他什項損益,　　　　 其他利息以外收益,　　　　 其他利息以外損失,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 收益,　　 費損 ,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 放款呆帳費用,　　 放款呆帳費用調整,　　 應收承購帳款呆帳費用,　　 應收承兌票款呆帳費用,　　 保證責任準備提存,　　 應收信用卡帳款呆帳費用,　　 應收信用卡帳款呆帳費用調整,　　 其他應收款呆帳費用,　　 其他應收款呆帳費用調整,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 短期員工福利,　　　 退職後福利,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊費用,　　　 攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 員工訓練費用,　　　 研究發展費用,　　　 租金,　　　 佣金支出,　　　 現金運送費,　　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 附賣回票債券投資利息收入,　　　　　 無活絡市場之債務商品投資損失,　　　　　 無活絡市場之債務商品淨投資損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損損失,　　　　　 資產減損損失合計,　　　　 資產減損（損失）迴轉利益淨額,　　　　 投資性不動產損益,　　　　　 投資性不動產利益,　　　　　 投資性不動產損失,　　　　　 投資性不動產損益,　　　　 出售不良債權淨損益,　　　　　 出售不良債權收入,　　　　　 出售不良債權淨損益,　　　　 兌換損失,　　　　　 兌換損失,　　　　　 兌換損失合計,　　 本期稅後淨利（損）歸屬於非控制權益,　　 本期稅後綜合損益總額歸屬於非控制權益
2801,2015年第3季,,,,              6962227,                 14128,                     74,                615770,                826464,                 13630,                  1013,              8433306,,              2575991,                218176,                  3734,                  6874,                  6478,                244276,                    254,              3055783,              5377523,,,,                 88722,                  3253,                119302,                 34914,                151606,                 56310,                    541,                  3484,                169173,                 67721,                  9220,                 58039,                695806,              1458091,,                  3427,                 33498,                  6634,                 22914,                198747,                265220,              1192871,,,                  1470,                 59705,              1956432,              5095086,                900312,                159965,              8172970,,                519249,                185623,                              0,              2145117,              5943894,              8793883,               -620913,,,                 86877,                131105,                217982,,                  3855,                  3855,                214127,,,              1340328,              1340328,              1340328,,,                110570,                              0,                110570,,                              0,                102875,               -102875,,                213364,                              0,                213364,,                      1,                     -1,,                  2395,                  2395,,                 13472,                    927,                 12545,,                              0,                     28,                    -28,,                     73,                    -73,,                  2000,                  2000,,                 10729,                 12263,                 -1534,,                 43382,                 43382,,                      3,                      3,,                     46,                    -46,,                     23,                    -23,,                  8228,                  4309,                  3919,                404143,                120545,                283598,              2410011,             20026820,             16168389,              7787534,,                151705,               -185658,                 -1771,                 -5423,                 25707,                 -1078,                 -2985,                 11845,                 -6371,                -14029,,,              2322959,                240386,              2563345,,                139569,                 33994,                173563,,                  6080,                    575,                200202,                     41,                  6739,                992587,              1206224,              3943132,,              3858431,               -596867,              3261564,,              3858431,               -596867,              3261564,,,                779357,               -282210,               -102551,                394596,                394596,,              4355578,               -699418,              3656160,,              3261564,,              3656160,,                              0.39,                              0.39,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2015年第2季,,,,              6726799,                 12417,                     81,                627449,                755056,                 11945,                  1164,              8134911,,              2568809,                176374,                  2568,                  7093,                  2999,                261281,                    311,              3019435,              5115476,,,,                 93518,                  3270,                113354,                 34052,                147457,                 51937,                    688,                  4873,                242743,                 68160,                  9767,                 57589,                706329,              1533737,,                  3079,                 33262,                 11145,                 42498,                156011,                245995,              1287742,,,,                 43773,              1851491,              1524701,                848640,                508958,              4777563,,                485651,                494148,                              0,              1993330,              1491062,              4464191,                313372,,,                 12194,                 22014,                 34208,,                              0,                              0,                 34208,,,                 78022,                 78022,                 78022,,,                  1821,                              0,                  1821,,                              0,                -11917,                 11917,,                 32599,                              0,                 32599,,                      1,                     -1,,                              0,                              0,,                 16701,                  1207,                 15494,,                    240,                     11,                    229,,                     43,                    -43,,                  1650,                  1650,,                  6987,                 12202,                 -5215,,                 44604,                 44604,,                     -1,                     -1,,                     76,                    -76,,,,,                 21885,                  4268,                 17617,                126486,                  5891,                120595,              1833939,             14684927,             11015021,              6949415,,                185950,               -706370,                  1246,                  2999,                 10715,                  9772,                 -2144,                 -8052,                 -5781,               -511665,,,              2217597,                239569,              2457166,,                143837,                 32503,                176340,,                  7445,                  2673,                205558,                     78,                  8396,                933518,              1157668,              3791174,,              3669906,               -615165,              3054741,,              3669906,               -615165,              3054741,,,               -176082,                242252,                 24403,                 90573,                 90573,,              3736076,               -590762,              3145314,,              3054741,,              3145314,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2015年01月01日至2015年09月30日,,,,             20259322,                 47203,                    239,              2073781,              2216006,                 36966,                  3090,             24636607,,              7705679,                571289,                  9015,                 21392,                 10834,                782719,                    963,              9101891,             15534716,,,,                271917,                  9753,                343780,                103856,                428316,                158201,                  1987,                 11331,                629664,                201259,                 26894,                177348,              1998645,              4362951,,                  9475,                100009,                 28620,                 65412,                506220,                709736,              3653215,,,                  1470,                155106,              5599606,              9450413,              2351068,                718060,             18275723,,              1356252,                730284,                              0,              6077713,             10028030,             18192279,                 83444,,,                 99071,                183795,                282866,,                  3934,                  3934,                278932,,,              1487760,              1487760,              1487760,,,                145027,                              0,                145027,,                 10623,                115630,               -105007,,                245963,                              0,                245963,,                      3,                     -3,,                  2395,                  2395,,                 44510,                  3045,                 41465,,                    658,                     68,                    590,,                    151,                   -151,,                  3650,                  3650,,                 24677,                 36519,                -11842,,                133575,                133575,,                     32,                     32,,                    123,                   -123,,                     23,                    -23,,                 50290,                 12813,                 37477,                661400,                168375,                493025,              5996376,             49707307,             38779611,             21531092,,                607160,             -1465903,                 -7801,                 -6017,                 47247,                 12811,                 -7340,                 27226,                -17703,               -810320,,,              6720545,                713584,              7434129,,                427147,                 98113,                525260,,                 14618,                  4097,                608519,                    137,                 24407,              2802549,              3454327,             11413716,,             10927696,             -1729335,              9198361,,             10927696,             -1729335,              9198361,,,                349401,                 89588,                -57864,                381125,                381125,,             11366685,             -1787199,              9579486,,              9198361,,              9579486,,                              1.09,                              1.09,,                              1.08,                              1.08,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2015年01月01日至2015年06月30日,,,,             13297095,                 33075,                    165,              1458011,              1389542,                 23336,                  2077,             16203301,,              5129688,                353113,                  5282,                 14517,                  4356,                538443,                    709,              6046108,             10157193,,,,                183195,                  6500,                224478,                 68941,                276710,                101891,                  1446,                  7847,                460491,                133538,                 17675,                119309,              1302839,              2904860,,                  6048,                 66511,                 21986,                 42498,                307473,                444516,              2460344,,,,                 95401,              3643174,              4355327,              1450756,                558095,             10102753,,                837003,                544661,                              0,              3932596,              4084136,              9398396,                704357,,,                 12194,                 52690,                 64884,,                     79,                     79,                 64805,,,                147432,                147432,                147432,,,                 34456,                              0,                 34456,,                 10623,                 12755,                 -2132,,                 32599,                              0,                 32599,,                      2,                     -2,,                              0,                              0,,                 31038,                  2118,                 28920,,                    658,                     40,                    618,,                     78,                    -78,,                  1650,                  1650,,                 13949,                 24256,                -10307,,                 90193,                 90193,,                     30,                     30,,                     76,                    -76,,,,,                 42060,                  8504,                 33556,                257256,                 47829,                209427,              3586365,             29680486,             22611220,             13743558,,                455455,             -1280245,                 -6030,                   -594,                 21540,                 13888,                 -4355,                 15382,                -11332,               -796291,,,              4397586,                473198,              4870784,,                287577,                 64120,                351697,,                  8538,                  3522,                408316,                     96,                 17668,              1809962,              2248102,              7470583,,              7069266,             -1132468,              5936798,,              7069266,             -1132468,              5936798,,,               -429956,                371798,                 44687,                -13471,                -13471,,              7011108,             -1087781,              5923327,,              5936798,,              5923327,,                              0.70,                              0.70,,                              0.70,                              0.70,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2015年01月01日至2015年03月31日,,,,              6570296,                 20658,                     84,                830562,                634486,                 11391,                    913,              8068390,,              2560879,                176739,                  2714,                  7425,                  1357,                277161,                    398,              3026673,              5041717,,,,                 89677,                  3229,                111124,                 34890,                129253,                 49954,                    759,                  2974,                217748,                 65378,                  7907,                 61720,                596510,              1371123,,                  2969,                 33249,                 10841,,                151462,                198521,              1172602,,,,                 51628,              1791683,              2830627,                602116,                 49137,              5325191,,                351352,                 50513,                              0,              1939266,              2593075,              4934206,                390985,,,,                 30676,                 30676,,                     79,                     79,                 30597,,,                 69410,                 69410,                 69410,,,                 32636,,                 32636,,                 10623,                 24672,                -14049,,,,,,                      1,                     -1,,,,,                 14337,                    910,                 13427,,                    418,                     29,                    389,,                     36,                    -36,,,,,                  6962,                 12054,                 -5092,,                 45589,                 45589,,                     31,                     31,,                              0,                              0,,,,,                 20174,                  4236,                 15938,                130770,                 41938,                 88832,              1752426,             14995560,             11596200,              6794143,,                269505,               -573874,                 -7276,                 -3594,                 10825,                  4117,                 -2212,                 23434,                 -5551,               -284626,,,              2179989,                233629,              2413618,,                143740,                 31617,                175357,,                  1093,                    849,                201747,                     18,                  9272,                877455,              1090434,              3679409,,              3399360,               -517303,              2882057,,              3399360,               -517303,              2882057,,,               -253874,                129546,                 20284,               -104044,               -104044,,              3275032,               -497019,              2778013,,              2882057,,              2778013,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2014年第3季,,,,              6360521,                 26267,                     42,              1161191,                617864,                 10066,                  1182,              8177133,,              2534719,                285859,                  1497,                  7032,                  2044,                296872,                    472,              3128495,              5048638,,,,                 73452,                  3395,                136338,                 34878,                201977,                 45302,                    641,                  4762,                257293,                 73000,                  8926,                 59590,                664520,              1564074,,                  4014,                 32798,                 10680,                 23487,                171978,                242957,              1321117,,,                              0,                 47685,                755432,              1951115,                268358,                138740,              3161330,,                196056,                140413,                  1982,                638875,              1862976,              2840302,                321028,,,                 58036,                 30048,                 88084,,                  1347,                  1347,                 86737,,,                 86077,                 86077,                 86077,,,                 10359,                 37977,                -27618,,                 48872,                  1056,                 47816,,                209136,                              0,                209136,,                      1,                     -1,,                              0,                              0,,                 19214,                  1463,                 17751,,                    750,                      4,                    746,,                     51,                    -51,,                              0,                              0,,                  7690,                 11892,                 -4202,,                 46110,                 46110,,                     44,                     44,,                              0,                              0,,                              0,                              0,,                  4509,                  4409,                    100,                346684,                 56853,                289831,              2104790,             13423382,              9970826,              7153428,,                250294,               -359610,                  2327,                 -5049,                 71279,                  1868,                 -2826,                  8886,                   -137,                -32968,,,              2165784,                235497,              2401281,,                147898,                 31685,                179583,,                  5003,                    953,                194563,                     12,                  7865,                944580,              1152976,              3733840,,              3452556,               -307231,              3145325,,              3452556,               -307231,              3145325,,,                340418,               -346082,                 -1032,                 -6696,                 -6696,,              3446892,               -308263,              3138629,,              3145325,,              3138629,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2014年第2季,,,,              6212773,                 21789,                     45,              1130063,                599494,                  9166,                  1646,              7974976,,              2492735,                430091,                     65,                  6977,                  8041,                286971,                    523,              3225403,              4749573,,,,                 80690,                  3389,                135144,                 34083,                 77820,                 43168,                    687,                  3502,                247137,                 68963,                  8860,                 41461,                637866,              1382770,,                  3554,                 31267,                 32874,                              0,                147414,                215109,              1167661,,,,                 58723,                853639,                161067,                265545,                -25858,              1313116,,                217974,                  6050,                  2041,                855207,               -154521,                926751,                386365,,,                  2047,                 15410,                 17457,,                 16356,                 16356,                  1101,,,                 23255,                 23255,                 23255,,,                    317,                  2292,                 -1975,,                 34629,                 11061,                 23568,,                 23185,                  9425,                 13760,,                      2,                     -2,,                  1111,                  1111,,                 19634,                  1128,                 18506,,                              0,                              0,                              0,,                     50,                    -50,,                              0,                              0,,                  8150,                 11945,                 -3795,,                 44603,                 44603,,                  1384,                  1384,,                     14,                    -14,,,,,                 23382,                  4204,                 19178,                156395,                 40121,                116274,              1694656,             10867969,              7400677,              6444229,,                291913,               -926733,                 -1498,                 -8932,                 -3441,                  7000,                 -3025,                  4300,                   -348,               -640764,,,              2193224,                335934,              2529158,,                150325,                 31860,                182185,,                  6744,                  2098,                200247,                    210,                  8328,                688731,                906358,              3617701,,              3467292,               -599416,              2867876,,              3467292,               -599416,              2867876,,,               -273500,                143695,                    854,               -128951,               -128951,,              3337487,               -598562,              2738925,,              2867876,,              2738925,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2014年度,,,,             25058648,                101831,                    253,              4247247,              2410687,                 37810,                  5995,             31862471,,             10003856,              1352154,                  3841,                 29625,                 16057,              1117005,                  1977,             12524515,             19337956,,,,                300488,                 13671,                547557,                139178,                469325,                177012,                  2865,                 16109,                968623,                276687,                 35569,                221146,              2285732,              5453962,,                 13473,                128355,                 85142,                 47482,                479871,                754323,              4699639,,,,                258270,              4299382,              7127018,              1317035,                133437,             13135142,,                899680,                101798,                  7424,              4048014,              7202738,             12259654,                875488,,,                 60083,                 76626,                136709,,                 17956,                 17956,                118753,,,                986655,                986655,                986655,,,                 29498,                  2292,                 27206,,                 44880,                              0,                 44880,,                232321,                 14354,                217967,,,,,                  1111,                  1111,,                 69801,                  4333,                 65468,,                    750,                      4,                    746,,                    206,                   -206,,                  1003,                  1003,,                 30073,                 48639,                -18566,,                178064,                178064,,                  1449,                  1449,,                  2833,                 -2833,,,,,                 46137,                 17414,                 28723,                635087,                 90081,                545006,              7225541,             52210026,             39785941,             26563497,,              1296473,             -2342831,                -57109,                -17691,                221496,                 16868,                -11695,                 13512,                 -3107,               -884084,,,              9115993,                946208,             10062201,,                596870,                118595,                715465,,                 17874,                  4622,                791875,                    818,                 34585,              3396056,              4245830,             15023496,,             12424085,             -1526905,             10897180,,             12424085,             -1526905,             10897180,,,,,,,,,             13066376,             -1579170,,,             10897180,,             11487206,,                              1.38,                              1.38,,                              1.37,                              1.37,                              0,                      6,                     -6,                700170,                196830,               -254709,                -52265,                590026,             11487206,,,,,,,,,,,,,,,,
2801,2014年01月01日至2014年09月30日,,,,             18558592,                 71800,                    176,              3274476,              1786685,                 27096,                  3998,             23722823,,              7434629,              1100179,                  1659,                 22473,                 14204,                833654,                  1583,              9408381,             14314442,,,,                227369,                 10105,                406113,                103947,                386379,                129201,                  2121,                 11513,                738395,                207034,                 26555,                142491,              1768405,              4159628,,                 10578,                 95147,                 75773,                 23487,                449128,                654113,              3505515,,,                              0,                206307,              2803147,              4408270,                938179,                201588,              8557491,,                677431,                158921,                  6067,              2758772,              4131366,              7732557,                824934,,,                 60083,                 52786,                112869,,                 17703,                 17703,                 95166,,,                568396,                568396,                568396,,,                 10683,                 40270,                -29587,,                 83502,                  1056,                 82446,,                232321,                  9425,                222896,,                      4,                     -4,,                  1111,                  1111,,                 53357,                  3355,                 50002,,                    750,                      4,                    746,,                    170,                   -170,,                              0,                              0,,                 23437,                 36133,                -12696,,                132670,                132670,,                  1432,                  1432,,                  2316,                 -2316,,                              0,                              0,,                 39944,                 12882,                 27062,                579207,                105615,                473592,              5467603,             37700414,             27129664,             19782045,,                333370,             -2023915,                -54314,                -17988,                207703,                 12732,                 -8564,                 11076,                 -3104,             -1543004,,,              6500006,                800590,              7300596,,                449194,                 86848,                536042,,                 12808,                  3516,                588065,                    403,                 25632,              2287237,              2917661,             10754299,,             10570750,             -1457202,              9113548,,             10570750,             -1457202,              9113548,,,                148756,               -113950,                    332,                 35138,                 35138,,             10605556,             -1456870,              9148686,,              9113548,,              9148686,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,,,,,,,,,,,,,,,,,,
2801,2014年01月01日至2014年06月30日,,,,             12198071,                 45533,                    134,              2113285,              1168821,                 17030,                  2816,             15545690,,              4899910,                814320,                    162,                 15441,                 12160,                536782,                  1112,              6279887,              9265803,,,,                153917,                  6710,                269775,                 69070,                184402,                 83900,                  1479,                  6750,                481102,                134034,                 17629,                 82901,              1103885,              2595554,,                  6565,                 62349,                 65093,                              0,                277149,                411156,              2184398,,,,                158622,              2047715,              2457156,                669821,                 62847,              5396161,,                481375,                 18508,                  4085,              2119897,              2268390,              4892255,                503906,,,                  2047,                 22738,                 24785,,                 16356,                 16356,                  8429,,,                482319,                482319,                482319,,,                    324,                  2292,                 -1968,,                 34629,                              0,                 34629,,                 23185,                  9425,                 13760,,                      3,                     -3,,                  1111,                  1111,,                 34143,                  1892,                 32251,,                              0,                              0,                              0,,                    120,                   -120,,                              0,                              0,,                 15747,                 24241,                 -8494,,                 86561,                 86561,,                  1388,                  1388,,                  2316,                 -2316,,,,,                 35435,                  8473,                 26962,                232523,                 48762,                183761,              3362813,             24277032,             17158838,             12628616,,                 83076,             -1664305,                -56641,                -12939,                136424,                 10864,                 -5738,                  2190,                 -2967,             -1510036,,,              4334222,                565093,              4899315,,                301296,                 55163,                356459,,                  7805,                  2563,                393502,                    391,                 17767,              1342656,              1764684,              7020458,,              7118194,             -1149971,              5968223,,              7118194,             -1149971,              5968223,,,               -191662,                232132,                  1364,                 41834,                 41834,,              7158664,             -1148607,              6010057,,              5968223,,              6010057,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,,,,,,,,,,,,,,,,,,,,
