證券代號,年季,　 營業收入,　　 保費收入,　　　 簽單保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 無活絡市場之債務工具投資損益之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益－投資,　　　 外匯價格變動準備淨變動,　　　　 外匯價格變動準備淨變動,　　　 投資性不動產損益,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 分離帳戶保險商品收益,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 其他保險負債淨變動合計,　　 具金融商品性質之保險契約準備淨變動,　　 承保費用,　　 佣金費用,　　　 佣金費用合計,　　 財務成本,　　 其他營業成本,　　　 其他營業成本合計,　　 分離帳戶保險商品費用,　　 營業成本合計,　 營業費用,　　 業務費用,　　 管理費用,　　 員工訓練費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 非金融資產減損損失及迴轉利益,　　　 非金融資產減損迴轉利益,　　　 非金融資產減損損失及迴轉利益淨額,　　 資產報廢損失,　　 收回呆帳及過期帳,　　 其他營業外收入及支出,　　　 其他營業外收入及支出淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 基本每股盈餘 ,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 收入,　 支出,　　　 無活絡市場之債券投資損益之已實現損益,　 繼續營業單位稅前純益（純損）,　　 其他綜合損益-稅前,　　　 重估價之利益（損失）,　　　 確定福利計畫精算利益（損失）,　　　 其他綜合損益－稅前合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 保險賠款與給付,　　　 賠款準備淨變動,　　　　 賠款準備淨變動,　　　 責任準備淨變動,　　　　 責任準備淨變動,　　　 特別準備淨變動,　　　　 特別準備淨變動,　　　 保費不足準備淨變動,　　　　 保費不足準備淨變動
2823,2015年第3季,,,             39269156,                              0,             39269156,                268624,,                -40652,             39041184,                 46139,,                249120,,              8099502,            -20474369,              5039078,                102383,,             26955285,,             -3569686,                138479,,                              0,             16290672,,                    -10,                328759,             55955864,,,             21650269,                133721,             21516548,,             23407815,                              0,                  1872,,              4516872,                  2266,,                 49087,                328759,             49823219,,                632136,                342096,                  7409,                981641,              5151004,,,,,                              0,                  1464,,                  5934,                  7398,              5158402,,                644672,              4513730,              4513730,,,,                100310,                  8386,                 91924,,            -11515788,               -839711,            -10676077,            -10584153,             -6070423,,                              1.35,,                              1.35,             55955864,             50797462,,,,,,,,,,,,,,,,
2823,2015年第2季,,,             36262527,                              0,             36262527,                269611,,                 98518,             35894398,                 46204,,                268165,,              7656777,              2639534,              4588200,                 88466,,             -4142562,,                411809,                152395,,                  1675,             11396294,,                    -11,              1248568,             48853618,,,             19623519,                131103,             19492416,,             21096265,                              0,                  1908,,              3267089,                  1499,,                 44602,              1248568,             45152347,,                581736,                353070,                  5916,                940722,              2760549,,,,,                    -77,                  1541,,                 11422,                 12886,              2773435,,                357714,              2415721,              2415721,,,,                 41779,                  4253,                 37526,,             -5914978,               -874502,             -5040476,             -5002950,             -2587229,,                              0.80,,                              0.80,,,,,,,,,,,,,,,,,,
2823,2015年第1季,,,             29067844,                              0,             29067844,                246263,,               -197480,             29019061,                 17636,,                214818,,              7508899,              5154154,              2600398,              1273628,,             -5967390,,                112844,                118119,,,             10800652,,                     43,              1949264,             42001474,,,             16667986,                150096,             16517890,,             16755242,                              0,                  1116,,              1733906,                  1521,,                 35754,              1949264,             36994693,,                562192,                328280,                  2535,                893007,              4113774,,,,,                   -573,                  2354,,                 10335,                 12116,              4125890,,                829712,              3296178,              3296178,,,,                              0,,                              0,,              4410824,                 26412,              4384412,              4384412,              7680590,,                              1.09,,                              1.09,             42001474,             37875584,,,,,,,,,,,,,,,,
2823,2015年度,,,            151225046,                              0,            151225046,              1052610,,                219676,            149952760,                155521,,                981941,,             31759072,            -12469945,             13437577,              1704328,                 19944,             14722831,,             -2432279,                532476,,               -126247,             47147757,,                     46,              5687483,            203925508,,,             83090765,                589774,             82500991,,             87630055,                              0,                  7758,,             13587394,                  8656,,                187725,              5687483,            189610062,,              2458016,              1222466,                 25253,              3705735,             10609711,,,                     70,                     70,                   -653,                 50028,,                 21308,                 70753,             10680464,,              1508562,              9171902,              9171902,,,                 -9455,                142089,                 11032,                121602,,               -903906,             -1084376,                180470,                302072,              9473974,,                              2.75,,                              2.75,            203925508,            193245044,,,,,,,,,,,,,,,,
2823,2015年01月01日至2015年09月30日,,,            104599527,                              0,            104599527,                784498,,               -139614,            103954643,                109979,,                732103,,             23265178,            -12680681,             12227676,              1464477,,             16845333,,             -3045033,                408993,,                  1675,             38487618,,                     22,              3526591,            146810956,,,             57941774,                414920,             57526854,,             61259322,                              0,                  4896,,              9517867,                  5286,,                129443,              3526591,            131970259,,              1776064,              1023446,                 15860,              2815370,             12025327,,,,,                   -650,                  5359,,                 27691,                 32400,             12057727,,              1832098,             10225629,             10225629,,,,                142089,                 12639,                129450,,            -13019942,             -1687801,            -11332141,            -11202691,               -977062,,                              3.06,,                              3.06,            146810956,            134753229,,,,,,,,,,,,,,,,
2823,2015年01月01日至2015年06月30日,,,             65330371,                              0,             65330371,                515874,,                -98962,             64913459,                 63840,,                482983,,             15165676,              7793688,              7188598,              1362094,,            -10109952,,                524653,                270514,,                  1675,             22196946,,                     32,              3197832,             90855092,,,             36291505,                281199,             36010306,,             37851507,                              0,                  3024,,              5000995,                  3020,,                 80356,              3197832,             82147040,,              1143928,                681350,                  8451,              1833729,              6874323,,,,,                   -650,                  3895,,                 21757,                 25002,              6899325,,              1187426,              5711899,              5711899,,,,                 41779,                  4253,                 37526,,             -1504154,               -848090,               -656064,               -618538,              5093361,,                              1.88,,                              1.88,,,,,,,,,,,,,,,,,,
2823,2014年第3季,,,             34309698,                              0,             34309698,                256591,,                -79022,             34132129,                 51545,,                259565,,              7015821,             -2530078,              4405756,                411083,,              3084312,,               -709936,                111057,,                              0,             11788015,,                      2,              1581921,             47813177,,,             16431511,                129059,             16302452,,             23479187,                              0,                  1886,,              2419130,                  7449,,                 42201,              1581921,             43834226,,                575127,                219767,                  5130,                800024,              3178927,,,,,                    -55,                  4600,,                  4770,                  9315,              3188242,,                394588,              2793654,              2793654,,,,                              0,                              0,                              0,,             -7737678,                423191,             -8160869,             -8160869,             -5367215,,                              0.84,,                              0.84,             47813177,             44624935,,,,,,,,,,,,,,,,
2823,2014年第2季,,,             32259964,                              0,             32259964,                252174,,                123138,             31884652,                 52294,,                251043,,              6760672,              3724966,              1883328,                712917,,             -5607009,,                423633,                557815,,                              0,              8456322,,                     -9,              3080689,             43724991,,,             16126798,                118882,             16007916,,             20457680,                              0,                  1735,,              2135496,                  3791,,                 32260,              3080689,             41719567,,                542554,                195178,                  5024,                742756,              1262668,,,,,                              0,                  3324,,                    554,                  3878,              1266546,,                 24077,              1242469,              1242469,,,,                              0,                              0,                              0,,                411383,                 74411,                336972,                336972,              1579441,,                              0.41,,                              0.41,,,,,,,,,,,,,,,,,,
2823,2014年第1季,,,             40280885,                    -34,             40280851,                253447,,                -70510,             40097914,                 51129,,                233378,,              6468848,             -6722001,              2127702,                550563,,              6147945,,               -376534,                110316,,,              8306839,,                     34,              2851950,             51541244,,,             12256156,                114083,             12142073,,             31759023,                    606,                    624,,              2378899,                  3256,,                 40281,              2851950,             49176712,,                547912,                200042,                  2894,                750848,              1613684,,,,,                   -181,                  2463,,                  4328,                  6610,              1620294,,                 43537,              1576757,              1576757,,,,                 30765,,                 30765,,              1641453,                579661,              1061792,              1092557,              2669314,,                              0.53,,                              0.52,             51541244,             49920950,,,,,,,,,,,,,,,,
2823,2014年度,,,            144674089,                    -34,            144674055,              1027796,,                272173,            143374086,                206524,,              1000458,,             27652402,            -17686010,              9763657,              2107244,                              0,             18681389,,             -2489805,              1097790,,               -192329,             38934338,,                     48,             10115736,            193631190,,,             64445890,                536724,             63909166,,             99554389,                    606,                  8384,,              9503709,                 18301,,                161265,             10115736,            183271556,,              2294923,              1203578,                 22707,              3521208,              6838426,,,                 16134,                 16134,                   -299,                154717,,                 14955,                185507,              7023933,,                511127,              6512806,              6512806,,,                  6396,                 48136,                  4016,                 50516,,              8732844,              2357005,              6375839,              6426355,             12939161,,                              1.96,,                              1.95,            193631190,            186607257,,,,,,,,,,,,,,,,
