證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損失,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現利益,　　　　 持有至到期日金融資產之已實現損失,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 其他可能重分類至損益之項目,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 其他綜合損益－其他,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 投資性不動產利益,　　　　 投資性不動產損失,　　　　 資產減損損失（迴轉利益）,　 停業單位損益,　　 停業單位損益合計
2882,2015年第3季,,,             40818692,              4427865,             36390827,,,             -1609936,,             62279909,,                              0,             72822670,            -72822670,,              2247169,,              8415047,                              0,              8415047,,                    526,                              0,                    526,,             80716094,                              0,             80716094,,                              0,                  8636,                 -8636,,                352976,                              0,                352976,,                              0,              4291441,             -4291441,             75279038,            111669865,,                387363,,             79805874,,              9513772,              1143018,              6613467,             17270257,             14206371,               -555272,             13651099,             13651099,,,                              0,                764361,                 -6411,               -128852,                629098,,              3261402,            -43504429,                169188,                301726,              1297774,            -38474339,            -37845241,            -24194142,,             13535384,                115715,,            -24644295,                450153,,                              1.07,                              1.07,,                              1.07,                              1.07,,,,,,,,,,,,,,,
2882,2015年第2季,,,             37724950,              4293984,             33430966,,,             -1635986,,             65979811,,              4933452,,              4933452,,             13310310,,             21178466,                              0,             21178466,,                    487,                              0,                    487,,                              0,              8438623,             -8438623,,                              0,                              0,                              0,,                232792,                              0,                232792,,              3759677,                              0,              3759677,             99320386,            132751352,,                 54515,,             88887228,,              9586710,                609596,              4441283,             14637589,             29172020,             -6047038,             23124982,             23124982,,,                              0,                544863,                    757,                -92755,                452865,,                546118,            -27910608,                  6075,               -213044,              2903807,            -24667652,            -24214787,             -1089805,,             22972772,                152210,,             -1140418,                 50613,,                              1.83,                              1.83,,                              1.83,                              1.83,,,,,,,,,,,,,,,
2882,2015年第1季,,,             37117958,              4238597,             32879361,,,                337034,,             47654569,,,,              3524422,,              2226506,,             20925792,                              0,             20925792,,                              0,                 47964,                -47964,,                              0,             14078929,            -14078929,,                              0,                              0,                              0,,                 51696,                              0,                 51696,,             10685316,                              0,             10685316,             71278442,            104157803,,                112293,,             70365746,,              9122251,                612439,              4039527,             13774217,             19905547,             -1796875,             18108672,             18108672,,,                              0,               -287160,                              0,                 48817,               -238343,,             -1531137,              4399625,                 -3207,                 17342,               -556307,              2326316,              2087973,             20196645,,             17922518,                186154,,             20052594,                144051,,                              1.43,                              1.43,,                              0.00,                              0.00,                              0,                              0,,,,,,,,,,,,,
2882,2015年01月01日至2015年09月30日,,,            115661600,             12960446,            102701154,,,             -2908888,,            175914289,,                              0,             64364796,            -64364796,,             17783985,,             50519305,                              0,             50519305,,                              0,                 46951,                -46951,,             58198542,                              0,             58198542,,                              0,                  8636,                 -8636,,                637464,                              0,                637464,,             10153552,                              0,             10153552,            245877866,            348579020,,                554171,,            239058848,,             28222733,              2365053,             15094277,             45682063,             63283938,             -8399185,             54884753,             54884753,,,                              0,              1022064,                 -5654,               -172790,                843620,,              2276383,            -67015412,                172056,                106024,              3645274,            -60815675,            -59972055,             -5087302,,             54430674,                454079,,             -5732119,                644817,,                              4.33,                              4.33,,                              4.33,                              4.33,,,,,,,,,,,,,,,
2882,2015年01月01日至2015年06月30日,,,             74842908,              8532581,             66310327,,,             -1298952,,            113634380,,              8457874,,              8457874,,             15536816,,             42104258,                              0,             42104258,,                              0,                 47477,                -47477,,                              0,             22517552,            -22517552,,                              0,                              0,                              0,,                284488,                              0,                284488,,             14444993,                              0,             14444993,            170598828,            236909155,,                166808,,            159252974,,             18708961,              1222035,              8480810,             28411806,             49077567,             -7843913,             41233654,             41233654,,,                              0,                257703,                    757,                -43938,                214522,,               -985019,            -23510983,                  2868,               -195702,              2347500,            -22341336,            -22126814,             19106840,,             40895290,                338364,,             18912176,                194664,,                              3.26,                              3.26,,                              3.26,                              3.26,,,,,,,,,,,,,,,
2882,2014年第3季,,,             35186713,              4124897,             31061816,,,               -310163,,             63687496,,                              0,             12124902,            -12124902,,              1860061,,             18462903,                              0,             18462903,,                  1120,                              0,                  1120,,             14745643,                              0,             14745643,,                              0,                              0,                              0,,                 51920,                              0,                 51920,,                878013,                              0,                878013,             87252091,            118313907,,                747127,,             85562206,,              8999134,                623021,              5419759,             15041914,             16962660,             -2845919,             14116741,             14116741,,,                 29441,                              0,                              0,                 -5884,                 23557,,                394500,            -24641051,               -146759,                    404,                108305,            -24284601,            -24261044,            -10144303,,             14006036,                110705,,            -10394553,                250250,,                              1.11,                              1.11,,                              1.11,                              1.11,,,,,,,,,,,,,,,
2882,2014年第2季,,,             34954389,              3990471,             30963918,,,              1787539,,             23731426,,             17771039,,             17771039,,             18253237,,              8211200,                              0,              8211200,,                  1573,                              0,                  1573,,                              0,             19997973,            -19997973,,                              0,                              0,                              0,,                 37506,                              0,                 37506,,                650040,                              0,                650040,             50445587,             81409505,,                450316,,             46781745,,              8458957,                615583,              4448894,             13523434,             20654010,             -2431650,             18222360,             18222360,,,                              0,                              0,                              0,                              0,                              0,,               -667960,             16069265,                -99438,                 13802,               -292578,             15023091,             15023091,             33245451,,             18141866,                 80494,,             33216375,                 29076,,                              1.44,                              1.44,,                              1.44,                              1.44,,,,,,,,,,,,,,,
2882,2014年第1季,,,             34430762,              3886466,             30544296,,,                222782,,             38105169,,,,            -14947556,,              3116052,,             10902514,                              0,             10902514,,                  1282,                              0,                  1282,,             15441047,                              0,             15441047,,                              0,                  7123,                 -7123,,                 29833,                              0,                 29833,,              2294211,                              0,              2294211,             55158211,             85702507,,                 -7675,,             60276071,,              8395781,                625550,              3784905,             12806236,             12627875,               -300949,             12326926,             12326926,,,                902335,                              0,                              0,                -74726,                827609,,                286489,              1290362,                -75850,                  7053,                561947,              2070001,              2897610,             15224536,,             12258798,                 68128,,             15086312,                138224,,                              0.98,                              0.98,,                              0.00,                              0.00,                              0,                              0,,,,,,,,,,,,,
2882,2014年度,,,            141353891,             16271075,            125082816,,,                369206,,            202458185,,                              0,             47375592,            -47375592,,             26194212,,             43743777,                              0,             43743777,,                  4591,                              0,                  4591,,             53400038,                              0,             53400038,,                              0,                118038,               -118038,,                167505,                              0,                167505,,              3448803,                              0,              3448803,            282292687,            407375503,,              2982412,,            290799984,,             35106064,              2526728,             19717595,             57350387,,             -6458083,             49784637,             49784637,,,,,,,,,,,,,,,,             75970285,,             49522447,                262190,,             75312384,                657901,,                              3.94,                              3.94,,                              0.00,                              0.00,,,             56242720,              1602548,             26656341,               -241911,                 88452,                913058,             -2832840,             26185648,,,,,
2882,2014年01月01日至2014年09月30日,,,            104571864,             12001834,             92570030,,,              1700158,,            125524091,,                              0,              9301419,             -9301419,,             23229350,,             37576617,                              0,             37576617,,                  3975,                              0,                  3975,,             10188717,                              0,             10188717,,                              0,                  7123,                 -7123,,                119259,                              0,                119259,,              3822264,                              0,              3822264,            192855889,            285425919,,              1189768,,            192620022,,             25853872,              1864154,             13653558,             41371584,             50244545,             -5578518,             44666027,             44666027,,,                931776,                              0,                              0,                -80610,                851166,,                 13029,             -7281424,               -322047,                 21259,                377674,             -7191509,             -6340343,             38325684,,             44406700,                259327,,             37908134,                417550,,                              3.53,                              3.53,,                              3.53,                              3.53,,,,,,,,,,,,,,,
