證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 經紀手續費收入,　　　　　 信託業務收入,　　　　　 其他手續費收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 代理費用,　　　　　 經紀經手費支出,　　　　　 其他手續費費用,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項收入,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　　　　　 以成本衡量之金融資產損失,　　　 確定福利計畫之再衡量數,　　　　　 信託手續費,　　　　　 自營經手費支出,　　　　 處分投資性不動產利益,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 投資性不動產利益,　　　　 資產減損損失（迴轉利益）
2883,2015年第3季,,,              3475114,              1232787,              2242327,,,,              2031319,                129707,                270187,              2431213,,                 36670,                121742,                 51925,                210337,              2220876,,                              0,                111314,               -111314,,                              0,,              1532455,              1532455,,                              0,              1223145,             -1223145,,                358174,               -358174,,                              0,                104194,               -104194,,,                775822,                775822,,                314851,                314851,,                310001,                310001,              1400674,                              0,              1400674,              3357178,              8839456,              7981263,              5599505,,               -300605,,              3006634,                351197,              1684086,              5041917,                858193,                134532,                992725,                992725,,,                 -1929,                 -1929,,              2434162,             -2918274,                              0,               -335227,                   -901,               -820240,               -822169,                170556,,                996261,                 -3536,,                173662,                 -3106,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,,,,,
2883,2015年第2季,,,              3836591,              1343698,              2492893,,,,              2865211,                203367,                303662,              3372240,,                 39523,                361429,                156007,                556959,              2815281,,              1526092,,              1526092,,                              0,,                621758,                621758,,                113470,                              0,                113470,,                131826,               -131826,,                106548,,                106548,,,                              0,               -328722,,,,,                705529,                705529,                705529,                328722,                376807,              5428130,             10282228,              7513771,              7921023,,               -425156,,              3417452,                355882,              1804388,              5577722,              2768457,               -394622,              2373835,              2373835,,,,                 -1087,,               -407990,             -1152728,                  9691,                -73240,                    472,             -1623795,             -1624882,                748953,,              2347082,                 26753,,                723190,                 25763,,                              0.16,                              0.16,,                              0.16,                              0.16,                328722,                 -1087,,,,,,,,,,,,,
2883,2015年01月01日至2015年09月30日,,,             11225128,              4003910,              7221218,,,,              6847951,                525411,                887949,              8261311,,                119260,                778768,                270419,              1168447,              7092864,,              2788694,                              0,              2788694,,                              0,,              2788858,              2788858,,                              0,                978127,               -978127,,                516248,               -516248,,                201026,                              0,                201026,,,              1100453,              1100453,,                832419,                832419,,              1006103,              1006103,              2938975,                              0,              2938975,             14316042,             28203992,             21414462,             21537260,,               -891008,,              9544606,              1054702,              5039430,             15638738,              6789530,               -640485,              6149045,              6149045,,,                 -3016,                 -3016,,              1622112,             -4010551,                 20659,               -380289,                 -1238,             -2749307,             -2752323,              3396722,,              6088518,                 60527,,              3337276,                 59446,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,,,,
2883,2015年01月01日至2015年06月30日,,,              7750014,              2771123,              4978891,,,,              4816632,                395704,                617762,              5830098,,                 82590,                657026,                232812,                972428,              4857670,,              2914326,,              2914326,,                              0,,              1256403,              1256403,,                245018,                              0,                245018,,                155173,               -155173,,                305220,,                305220,,,                321730,                321730,,,,,              1213670,              1213670,              1535400,                              0,              1535400,             10958864,             19836479,             13905142,             15937755,,               -590403,,              6537972,                703505,              3355344,             10596821,              5931337,               -775017,              5156320,              5156320,,,,                 -1087,,               -812050,             -1092277,                 20659,                -45062,                   -337,             -1929067,             -1930154,              3226166,,              5092257,                 64063,,              3163614,                 62552,,                              0.34,                              0.34,,                              0.34,                              0.34,                              0,                 -1087,,,,,,,,,,,,,
2883,2015年01月01日至2015年03月31日,,,              3913423,              1427425,              2485998,,,,              1951421,                192337,                314100,              2457858,,                 43067,                295597,                 76805,                415469,              2042389,,              1388234,                              0,              1388234,,                              0,,                634645,                634645,,                131548,,                131548,,                 23347,                -23347,,                198672,,                198672,,,                650452,                650452,,,,,                508141,                508141,              1158593,                              0,              1158593,              5530734,              9882973,              6720093,              8016732,,               -165247,,              3120520,                347623,              1550956,              5019099,              3162880,               -380395,              2782485,              2782485,,,,,,               -404060,                 60451,                 10968,                 28178,                   -809,               -305272,               -305272,              2477213,,              2745175,                 37310,,              2440424,                 36789,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,
2883,2014年第3季,,,              3054600,              1085915,              1968685,,,,              2063099,                109742,                 97755,              2270596,,                 24002,                254441,                 51105,                329548,              1941048,,                152378,                              0,                152378,,                              0,,              1320286,              1320286,,                527655,                              0,                527655,,                261387,               -261387,,                172715,                              0,                172715,,,              1188745,              1188745,,                177997,                177997,,                372962,                372962,              1739704,                              0,              1739704,              5592399,              9237934,              5870661,              7561084,,                117409,,              2389331,                296307,              1390764,              4076402,              3367273,               -171195,              3196078,              3196078,,,                              0,                              0,,                575497,             -1862621,                 11459,                 79300,                 -1598,             -1197963,             -1197963,              1998115,,              3187036,                  9042,,              1990893,                  7222,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,,,,,,,,
2883,2014年第2季,,,              2734811,                955606,              1779205,,,,              1864558,                 77968,                 53448,              1995974,,                 22063,                204719,                 45600,                272382,              1723592,,              2251626,,              2251626,,                              0,,              2146608,              2146608,,                              0,              1425597,             -1425597,,                791622,               -791622,,                145491,,                145491,,,                 21098,                 21098,,,,,                483023,                483023,                504121,                              0,                504121,              4554219,              9778631,              7305958,              6333424,,                  6499,,              2279795,                288807,              1285650,              3854252,              2472673,               -408942,              2063731,              2063731,,,,                              0,,               -639439,               -163263,                  8833,                -63906,                 73040,               -784735,               -784735,              1278996,,              2052097,                 11634,,              1269318,                  9678,,                              0.14,                              0.14,,                              0.14,                              0.14,                              0,                              0,,,,,,,,,,,,,
2883,2014年度,,,             12811017,              4398754,              8412263,,,,              7805219,                457397,                494405,              8757021,,                110608,                907123,                149630,              1353721,              7403300,,              3529790,,              3529790,,                102926,,              6420698,              6420698,,                              0,                870164,               -870164,,              1277209,             -1277209,,                426688,,                426688,,,              2584876,              2584876,,,,,              2008665,              2008665,              4593541,                              0,              4593541,             20329570,             35287960,             23363666,             28741833,,                 13707,,             10085241,              1229923,              5488668,             16803832,,               -941302,             10982992,             10982992,,,,,,,,,,,,,             11739188,,             10836229,                146763,,             11594533,                144655,,                              0.73,                              0.73,,                              0.73,                              0.73,,,                117929,                 68431,                102926,             11924294,              1945488,             -1757152,                 24088,                134807,                182799,                226166,                756196,,
2883,2014年01月01日至2014年09月30日,,,              8447623,              2912656,              5534967,,,,              5725741,                264399,                188304,              6178444,,                 67339,                606112,                140907,                814358,              5364086,,              2370525,                              0,              2370525,,                              0,,              5872767,              5872767,,                              0,                843927,               -843927,,              1094301,             -1094301,,                411086,                              0,                411086,,,              1475881,              1475881,,                487756,                487756,,                908308,                908308,              2871945,                              0,              2871945,             14952181,             26152390,             17233454,             20487148,,                 50320,,              7003935,                864033,              3649924,             11517892,              8918936,               -923883,              7995053,              7995053,,,                              0,                              0,,                514531,             -2239064,                 13167,                183712,                259001,             -1268653,             -1268653,              6726400,,              7928241,                 66812,,              6662942,                 63458,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,,,,
2883,2014年01月01日至2014年06月30日,,,              5393023,              1826741,              3566282,,,,              3662642,                154657,                 90549,              3907848,,                 43337,                351671,                 90829,                485837,              3422011,,              2219174,,              2219174,,                              0,,              4552481,              4552481,,                              0,              1371582,             -1371582,,                832914,               -832914,,                238371,,                238371,,,                287136,                287136,,,,,                876072,                876072,              1163208,                              0,              1163208,              9390749,             17474105,             11922442,             12957031,,                -67089,,              4614604,                567726,              2290127,              7472457,              5551663,               -752688,              4798975,              4798975,,,,                              0,,                -60966,               -376443,                  1708,                104417,                260594,                -70690,                -70690,              4728285,,              4741205,                 57770,,              4672049,                 56236,,                              0.32,                              0.32,,                              0.32,                              0.32,                              0,                              0,,,,,,,,,,,,,
