證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 資產減損損失（迴轉利益）
2889,2015年第3季,,,                690433,                258476,                431957,,,                542706,,                 98706,,                   -291,,                 -8883,,                              0,,                 29675,,,                 20036,,                 63048,                 83084,                744997,              1435430,                986155,              1176954,,                 18635,,                434217,                 25105,                249722,                709044,                449275,               -123840,                325435,                325435,,,                 88621,                -54438,                 17038,                 51221,                 51221,                376656,,                324788,                    647,,                431576,                -54920,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,
2889,2015年第2季,,,                749389,                273096,                476293,,,                555658,,                154704,,                 61002,,                 -2745,,                              0,,                 20895,,,                 20971,,                 45509,                 66480,                855994,              1605383,              1112045,              1332287,,                147402,,                445572,                 25932,                220043,                691547,                493338,                -83578,                409760,                409760,,,                -25708,               -168028,                  4898,               -188838,               -188838,                220922,,                402228,                  7532,,                238077,                -17155,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,
2889,2015年01月01日至2015年09月30日,,,              2191851,                803945,              1387906,,,              1602941,,                402220,,                118387,,                -25703,,                 -2444,,                 71812,,,                 61777,,                154673,                216450,              2383663,              4575514,              3038096,              3771569,,                196284,,              1297620,                 77210,                663037,              2037867,              1537418,               -310541,              1226877,              1226877,,,                 41621,               -117075,                 29225,                -46229,                -46229,              1180648,,              1193039,                 33838,,              1233979,                -53331,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,
2889,2015年01月01日至2015年06月30日,,,              1501418,                545469,                955949,,,              1060235,,                303514,,                118678,,                -16820,,                 -2444,,                 42137,,,                 41741,,                 91625,                133366,              1638666,              3140084,              2051941,              2594615,,                177649,,                863403,                 52105,                413315,              1328823,              1088143,               -186701,                901442,                901442,,,                -47000,                -62637,                 12187,                -97450,                -97450,                803992,,                868251,                 33191,,                802403,                  1589,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,,,,
2889,2015年01月01日至2015年03月31日,,,                752029,                272373,                479656,,,                504577,,                148810,,                 57676,,                -14075,,                 -2444,,                 21242,,,                 20770,,                 46116,                 66886,                782672,              1534701,                939896,              1262328,,                 30247,,                417831,                 26173,                193272,                637276,                594805,               -103123,                491682,                491682,,,                -21292,                105391,                  7289,                 91388,                 91388,                583070,,                466023,                 25659,,                564326,                 18744,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,
2889,2014年第3季,,,                763476,                281744,                481732,,,                573044,,                -41002,,                 26971,,                 13749,,                              0,,                 17786,,,                 21831,,                 48051,                 69882,                660430,              1423906,                979486,              1142162,,                 50929,,                421019,                 25350,                200444,                646813,                444420,                -79389,                365031,                365031,,,                 30424,               -194771,                 -7220,               -171567,               -171567,                193464,,                369280,                 -4249,,                207599,                -14135,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,
2889,2014年第2季,,,                695659,                249230,                446429,,,                583125,,                 81533,,                 48094,,                 -9084,,                -24537,,                 15211,,,                 21193,,                 72035,                 93228,                787570,              1483229,                925406,              1233999,,                    393,,                440062,                 25152,                210569,                675783,                557823,                  5759,                563582,                563582,,,                -15697,                 24478,                 12485,                 21266,                 21266,                584848,,                551809,                 11773,,                576153,                  8695,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,
2889,2014年度,,,              2659871,              1019546,              1640325,,,              2222739,,                328555,,                102651,,                 25280,,               -106278,,                 66299,,,                314454,,                262013,                576467,              3215713,              5875584,              3803491,              4856038,,                 80720,,              1783918,                102380,                816927,              2703225,,               -263727,              1808366,              1808366,,,,,,,,              1940376,,              1732798,                 75568,,              1848175,                 92201,,                              0.66,                              0.66,,                              0.66,                              0.66,              2072093,                 67233,                 49587,                 -8537,                 22297,                  1430,                132010,
2889,2014年01月01日至2014年09月30日,,,              2145557,                780592,              1364965,,,              1703921,,                356673,,                116185,,                -12017,,                -24537,,                 48951,,,                 63493,,                209663,                273156,              2462332,              4607889,              2847626,              3827297,,                 67777,,              1314045,                 76714,                608498,              1999257,              1760263,               -175472,              1584791,              1584791,,,                 13482,               -116529,                 16108,                -86939,                -86939,              1497852,,              1452892,                131899,,              1356490,                141362,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,
2889,2014年01月01日至2014年06月30日,,,              1382081,                498848,                883233,,,              1130877,,                397675,,                 89214,,                -25766,,                -24537,,                 31165,,,                 41662,,                161612,                203274,              1801902,              3183983,              1868140,              2685135,,                 16848,,                893026,                 51364,                408054,              1352444,              1315843,                -96083,              1219760,              1219760,,,                -16942,                 78242,                 23328,                 84628,                 84628,              1304388,,              1083612,                136148,,              1148891,                155497,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,
2889,2014年01月01日至2014年03月31日,,,                686422,                249618,                436804,,,                547752,,                316142,,                 41120,,                -16682,,                              0,,                 15954,,,                 20469,,                 89577,                110046,              1014332,              1700754,                942734,              1451136,,                 16455,,                452964,                 26212,                197485,                676661,                758020,               -101842,                656178,                656178,,,                 -1245,                 53764,                 10843,                 63362,                 63362,                719540,,                531803,                124375,,                572739,                146801,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,
2889,2013年第3季,,,                670738,                279774,                390964,,,                515893,,                107850,,                -28370,,                 -1747,,                              0,,                 15900,,,                 20375,,                 38941,                 59316,                668842,              1339580,                943583,              1059806,,                 45978,,                401839,                 24363,                191629,                617831,,                -57960,                338037,                338037,,,,,,,,                 98432,,                320552,                 17485,,                 84793,                 13639,,                              0.12,                              0.12,,                              0.12,                              0.12,                395997,                -16414,               -190295,,                -32896,,               -239605,
2889,2013年第2季,,,                623947,                286324,                337623,,,                443030,,                  4697,,                 21862,,                  2674,,                -30368,,                 12015,,,,,,                 86648,                540558,              1164505,                896474,                878181,,                -10855,,                400067,                 27654,                193284,                621005,,                -59346,                208685,                208685,,,,,,,,                156339,,                238006,                -29321,,                184188,                -27849,,                              0.09,                              0.09,,                              0.09,                              0.09,                268031,                 15949,                -59990,,                 -8305,,                -52346,
2889,2013年度,,,              2603726,              1114504,              1489222,,,              1836965,,                472533,,                  8510,,                 11346,,                -46573,,                142383,,,                 79891,,                219370,                299261,              2724425,              5328151,              3680231,              4213647,,                 22722,,              1636852,                109018,                797135,              2543005,,               -241333,              1406587,              1406587,,,,,,,,              1195914,,              1350210,                 56377,,              1130660,                 65254,,                              0.51,                              0.51,,                              0.51,                              0.51,              1647920,                 26932,               -199096,                    371,                -40040,                  1160,               -210673,
2889,2013年07月01日至2013年09月30日,,,                670738,                279774,                390964,,,                515893,,                107850,,                -28370,,                 -1747,,,,                 15900,,,,,,                 59316,                668842,              1339580,                943583,              1059806,,                 45978,,                401839,                 24363,                191629,                617831,,                -57960,                338037,                338037,,,,,,,,                 98432,,                320552,                 17485,,                 84793,                 13639,,                              0.12,                              0.12,,,,                395997,                -16414,               -190295,,                -32896,,               -239605,                              0
2889,2013年04月01日至2013年06月30日,,,                623947,                286324,                337623,,,                443030,,                  4697,,                 21862,,                  2674,,,,                 12015,,,,,,                 86648,                541548,              1165495,                897464,                879171,,                -10000,,                400067,                 27654,                193419,                621140,,                -59346,                208685,                208685,,,,,,,,                156339,,                238006,                -29321,,                184188,                -27849,,                              0.09,                              0.09,,,,                268031,                 15949,                -59990,,                 -8305,,                -52346,                -29378
2889,2013年01月01日至2013年12月31日,,,              2603726,              1114504,              1489222,,,              1836965,,                472533,,                  8510,,                 11346,,,,                142383,,,,,,                299261,              2724425,              5328151,              3680231,              4213647,,                 22722,,              1636852,                109018,                797135,              2543005,,               -241333,              1406587,              1406587,,,,,,,,              1195914,,              1350210,                 56377,,              1130660,                 65254,,                              0.52,                              0.52,,,,              1647920,                 26932,               -199096,                    371,                -40040,                  1160,               -210673,                -46573
2889,2013年01月01日至2013年09月30日,,,              1950168,                858121,              1092047,,,              1375546,,                248103,,                -10007,,                  2167,,                -30368,,                 36518,,,                 59933,,                135821,                195754,              1817713,              3767881,              2720623,              2909760,,                 18307,,              1189954,                 79756,                574485,              1844195,,               -183805,                863453,                863453,,,,,,,,                540833,,                865557,                 -2104,,                543058,                 -2225,,                              0.33,                              0.33,,                              0.33,                              0.33,              1047258,                 14952,               -295026,,                -42546,,               -322620,
2889,2013年01月01日至2013年06月30日,,,              1279430,                578347,                701083,,,                859653,,                140253,,                 18363,,                  3914,,                -30368,,                 20618,,,,,,                136438,              1148871,              2428301,              1777040,              1849954,,                -27671,,                788115,                 55393,                382856,              1226364,,               -125845,                525416,                525416,,,,,,,,                442401,,                545005,                -19589,,                458265,                -15864,,                              0.21,                              0.21,,                              0.21,                              0.21,                651261,                 31366,               -104731,,                 -9650,,                -83015,
2889,2013年01月01日至2013年03月31日,,,                655483,                292023,                363460,,,                416623,,                135556,,                 -3499,,                  1240,,,,                  8603,,,,,,                 49790,                608313,              1263796,                880566,                971773,,                -16816,,                388048,                 27739,                189572,                605359,,                -66499,                316731,                316731,,,,,,,,                286062,,                306999,                  9732,,                274077,                 11985,,                              0.12,                              0.12,,                              0.12,                              0.12,                383230,                 15417,                -44741,,                 -1345,,                -30669,
2889,2012年07月01日至2012年09月30日,,,                684647,                337960,                346687,,,                410749,,                144586,,                    347,,                 -1509,,,,                  7827,,,,,,                 49747,                611747,              1296394,                968377,                958434,,                     75,,                378641,                 28136,                223565,                630342,,                -57958,                270059,                270059,,,,,,,,                315243,,                269647,                    412,,                315037,                    206,,                              0.10,                              0.10,,,,                328017,                 -1236,                 39975,,                  6445,,                 45184,                              0
2889,2012年04月01日至2012年06月30日,,,                708292,                331528,                376764,,,                381839,,                -25181,,                440638,,                 -9104,,,,                  5259,,,,,,                 14553,                808004,              1516296,                832885,              1184768,,               -126414,,                392265,                 27422,                208084,                627771,,               -118490,                564921,                564921,,,,,,,,                385550,,                618362,                -53441,,                437283,                -51733,,                              0.24,                              0.24,,,,                683411,                    456,               -180837,,                  1010,,               -179371,                              0
2889,2012年01月01日至2012年12月31日,,,              2756116,              1333063,              1423053,,,              1685951,,                484336,,                463542,,                 -8331,,,,                 38451,,,,,,                154462,              2801438,              5557554,              3805271,              4224491,,               -127742,,              1643383,                111925,                844642,              2599950,,               -318206,              1434077,              1434077,,,,,,,,              1392102,,              1452126,                -18049,,              1400191,                 -8089,,                              0.55,                              0.55,,,,              1752283,                 -5202,                -21088,                -14207,                 -2008,                    530,                -41975,                -16973
2889,2012年01月01日至2012年09月30日,,,              2087460,              1008333,              1079127,,,              1285066,,                421946,,                456868,,                 -6839,,,,                 18646,,,,,,                130343,              2306030,              4393490,              2812360,              3385157,,               -129898,,              1207784,                 83476,                642665,              1933925,,               -258542,              1322588,              1322588,,,,,,,,              1344008,,              1304509,                 18079,,              1312643,                 31365,,                              0.50,                              0.50,,,,              1581130,                 -4941,                 17626,,                  8735,,                 21420,                              0
2889,2012年01月01日至2012年06月30日,,,              1402813,                670373,                732440,,,                874317,,                277360,,                456521,,                 -5330,,,,                 10819,,,,,,                 80596,              1694283,              3097096,              1843983,              2426723,,               -129973,,                829143,                 55340,                419100,              1303583,,               -200584,              1052529,              1052529,,,,,,,,              1028765,,              1034862,                 17667,,                997606,                 31159,,                              0.39,                              0.39,,,,              1253113,                 -3705,                -22349,,                  2290,,                -23764,                              0
2889,2012年01月01日至2012年03月31日,,,                694521,                338845,                355676,,,                492478,,                302541,,                 15883,,                  3774,,,,                  5560,,,,,,                 66043,                886279,              1580800,              1011098,              1241955,,                 -3559,,                436878,                 27918,                211016,                675812,,                -82094,                487608,                487608,,,,,,,,                643215,,                416500,                 71108,,                560323,                 82892,,                              0.16,                              0.16,,,,                569702,                 -4161,                158488,,                  1280,,                155607,                              0
