證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2904,2015年第3季,,                120321,,                 73747,                 46574,                 46574,,,                  1290,,                 16417,                 17707,                 28867,,,                  1524,,                  3900,,                    248,,                 11321,                 16497,                 45364,,                  5756,                 39608,                 39608,,,                              0,                              0,                              0,                 39608,,                 39599,                      9,,                 39599,                      9,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,
2904,2015年第2季,,                132349,,                 72358,                 59991,                 59991,,,                    863,,                 13130,                 13993,                 45998,,,                  1575,,                   -163,,                     31,,                  4121,                  5502,                 51500,,                  6325,                 45175,                 45175,,,                              0,                              0,                              0,                 45175,,                 45173,                      2,,                 45173,                      2,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,
2904,2015年01月01日至2015年09月30日,,                389030,,                225412,                163618,                163618,,,                  2962,,                 42304,                 45266,                118352,,,                  4944,,                  3517,,                    287,,                 20250,                 28424,                146776,,                 19633,                127143,                127143,,,                 -1782,                 -1782,                 -1782,                125361,,                127118,                     25,,                125336,                     25,,                              1.84,                              1.84,,                              1.84,                              1.84,,,,,
2904,2015年01月01日至2015年06月30日,,                268709,,                151665,                117044,                117044,,,                  1672,,                 25887,                 27559,                 89485,,,                  3420,,                   -383,,                     39,,                  8929,                 11927,                101412,,                 13877,                 87535,                 87535,,,                 -1782,                 -1782,                 -1782,                 85753,,                 87519,                     16,,                 85737,                     16,,                              1.27,                              1.27,,                              1.26,                              1.26,,,,,
2904,2015年01月01日至2015年03月31日,,                136360,,                 79307,                 57053,                 57053,,,                    809,,                 12757,                 13566,                 43487,,,                  1845,,                   -220,,                      8,,                  4808,                  6425,                 49912,,                  7552,                 42360,                 42360,,,                 -1782,                 -1782,                 -1782,                 40578,,                 42346,                     14,,                 40564,                     14,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,
2904,2014年第3季,,                138760,,                 77261,                 61499,                 61499,,,                  1258,,                 16143,                 17401,                 44098,,,                  1628,,                    551,,                    198,,                  3431,                  5412,                 49510,,                  5841,                 43669,                 43669,,,                              0,                              0,                              0,                 43669,,                 43658,                     11,,                 43658,                     11,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,
2904,2014年第2季,,                135334,,                 80848,                 54486,                 54486,,,                    824,,                 15552,                 16376,                 38110,,,                  1812,,                    164,,                     21,,                  2590,                  4545,                 42655,,                  2541,                 40114,                 40114,,,                              0,                              0,                              0,                 40114,,                 40104,                     10,,                 40104,                     10,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,
2904,2014年度,,                532734,,                317040,                215694,                215694,,,                  4325,,                 65389,                 69714,                145980,,,                  6327,,                  8051,,                    349,,                 11545,                 25574,                171554,,                 18263,                153291,                153291,,,,,                  1985,                155276,,                153288,                      3,,                155273,                      3,,                              2.22,                              2.22,,                              2.21,                              2.21,                  1853,                   -108,,                    222,                    -18
2904,2014年01月01日至2014年09月30日,,                408505,,                237565,                170940,                170940,,,                  3098,,                 47598,                 50696,                120244,,,                  4910,,                  5654,,                    219,,                  6889,                 17234,                137478,,                 13223,                124255,                124255,,,                  1283,                  1283,                  1283,                125538,,                124228,                     27,,                125511,                     27,,                              1.80,                              1.80,,                              1.79,                              1.79,,,,,
2904,2014年01月01日至2014年06月30日,,                269745,,                160304,                109441,                109441,,,                  1840,,                 31455,                 33295,                 76146,,,                  3282,,                  5103,,                     21,,                  3458,                 11822,                 87968,,                  7382,                 80586,                 80586,,,                  1283,                  1283,                  1283,                 81869,,                 80570,                     16,,                 81853,                     16,,                              1.17,                              1.17,,                              1.16,                              1.16,,,,,
2904,2014年01月01日至2014年03月31日,,                134411,,                 79456,                 54955,                 54955,,,                  1016,,                 15903,                 16919,                 38036,,,                  1470,,                  4939,,                              0,,                    868,                  7277,                 45313,,                  4841,                 40472,                 40472,,,                  1283,                  1283,                  1283,                 41755,,                 40466,                      6,,                 41749,                      6,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,
2904,2013年第3季,,                127654,,                 74122,                 53532,                 53532,,,                  1131,,                 14715,                 15846,                 37686,,,                  1768,,                    713,,                    190,,                  2428,                  4719,                 42405,,                  4034,                 38371,                 38371,,,,,                   -496,                 37875,,                 38361,                     10,,                 37865,                     10,,                              0.56,                              0.56,,                              0.55,                              0.55,                   -837,                              0,,                    341,                              0
2904,2013年第2季,,                127316,,                 74782,                 52534,                 52534,,,                    675,,                 14668,                 15343,                 37191,,,                  1582,,                 -2691,,                     14,,                  4225,                  3102,                 40293,,                  3484,                 36809,                 36809,,,,,                   -347,                 36462,,                 38015,                 -1206,,                 37668,                 -1206,,                              0.55,                              0.55,,                              0.55,                              0.55,                              0,,,                   -347,
2904,2013年度,,                515454,,                307942,                207512,                207512,,,                  3965,,                 62756,                 66721,                140791,,,                  6155,,                 13789,,                    239,,                 11600,                 31305,                172096,,                 21542,                150554,                150554,,,,,                  1529,                152083,,                151750,                 -1196,,                153279,                 -1196,,                              2.20,                              2.20,,                              2.19,                              2.19,                              0,                  2680,,                   -695,                    456
2904,2013年07月01日至2013年09月30日,,                127654,,                 74122,                 53532,                 53532,,,                  1131,,                 14715,                 15846,                 37686,,,                  1768,,                    713,,                    190,,                  2428,                  4719,                 42405,,                  4034,                 38371,                 38371,,,,,                   -496,                 37875,,                 38361,                     10,,                 37865,                     10,,                              0.56,                              0.56,,                              0.55,                              0.55,                   -496,,,,
2904,2013年04月01日至2013年06月30日,,                127316,,                 74782,                 52534,                 52534,,,                    675,,                 14668,                 15343,                 37191,,,                  1582,,                 -2691,,                     14,,                  4225,                  3102,                 40293,,                  3484,                 36809,                 36809,,,,,                   -347,                 36462,,                 38015,                 -1206,,                 37668,                 -1206,,                              0.55,                              0.55,,                              0.55,                              0.55,                   -347,,,,
2904,2013年01月01日至2013年12月31日,,                515454,,                307942,                207512,                207512,,,                  3965,,                 62756,                 66721,                140791,,,                  6155,,                 13789,,                    239,,                 11600,                 31305,                172096,,                 21542,                150554,                150554,,,,,                  1529,                152083,,                151750,                 -1196,,                153279,                 -1196,,                              2.20,                              2.20,,                              2.19,                              2.19,                              0,                  2680,,                   -695,                    456
2904,2013年01月01日至2013年09月30日,,                385137,,                224543,                160594,                160594,,,                  2771,,                 45683,                 48454,                112140,,,                  4648,,                 12292,,                    238,,                 11695,                 28397,                140537,,                 16224,                124313,                124313,,,,,                   -837,                123476,,                125495,                 -1182,,                124658,                 -1182,,                              1.82,                              1.82,,                              1.81,                              1.81,                   -837,                              0,,                              0,                              0
2904,2013年01月01日至2013年06月30日,,                257483,,                150421,                107062,                107062,,,                  1640,,                 30968,                 32608,                 74454,,,                  2880,,                 11579,,                     48,,                  9267,                 23678,                 98132,,                 12190,                 85942,                 85942,,,,,                   -341,                 85601,,                 87134,                 -1192,,                 86793,                 -1192,,                              1.26,                              1.26,,                              1.26,                              1.26,                              0,,,                   -341,
