證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 其他綜合損益,　　　 利息收入,　　　　 利息收入合計,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 營建工程收入,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　　　 銀行存款利息,　　　 利息費用
2923,2015年第3季,,              4673563,,              2680753,              1992810,                              0,                              0,              1992810,,,                117320,,                133704,                251024,,                              0,              1741786,,,                 33966,,                  1721,,                211506,               -175819,              1565967,,                766754,                799213,                799213,,,                              0,                              0,                              0,                              0,                              0,,                              0,              1829597,                              0,              1829597,,               -150888,               -150888,              1678709,              2477922,,                774626,                 24587,,              2337192,                140730,,                              0.45,                              0.45,,                              0.44,                              0.44,,,,,,,,,,,,,,,,,,,,,,,,,
2923,2015年第2季,,              2068777,,              1052986,              1015791,                              0,                              0,              1015791,,,                 84070,,                103467,                187537,,              1353044,              2181298,,,                 27525,,                -11754,,                214098,               -198327,              1982971,,              1110638,                872333,                872333,,,,,,,,,,               -377919,,               -377919,,               -352123,               -352123,               -730042,                142291,,                795527,                 76806,,                105187,                 37104,,                              0.46,                              0.46,,                              0.46,                              0.46,              1110638,,,,,,,,,,,,,,,,,,,,,,,,
2923,2015年01月01日至2015年09月30日,,             10109475,,              5647277,              4462198,                              0,                              0,              4462198,,,                280250,,                344504,                624754,,              1353044,              5190488,,,                 94089,,                 -2930,,                654173,               -563014,              4627474,,              2363616,              2263858,              2263858,,,                              0,                              0,                              0,                              0,                              0,,                              0,                943205,                              0,                943205,,               -587757,               -587757,                355448,              2619306,,              2140563,                123295,,              2445974,                173332,,                              1.23,                              1.23,,                              1.23,                              1.23,,,,,,,,,,,,,,,,,,,,,,,,,
2923,2015年01月01日至2015年06月30日,,              5435912,,              2966524,              2469388,                              0,                              0,              2469388,,,                162930,,                210800,                373730,,              1353044,              3448702,,,                 60123,,                 -4651,,                442667,               -387195,              3061507,,              1596862,              1464645,              1464645,,,,,,,,,,               -886392,,               -886392,,               -436869,               -436869,             -1323261,                141384,,              1365937,                 98708,,                108782,                 32602,,                              0.78,                              0.78,,                              0.78,                              0.78,              1596862,,,,,,,,,,,,,,,,,,,,,,,,
2923,2015年01月01日至2015年03月31日,,              3367135,,              1913538,              1453597,                              0,                              0,              1453597,,,                 78860,,                107333,                186193,,,              1267404,,,                 32598,,                  7103,,                228569,               -188868,              1078536,,                486224,                592312,                592312,,,,,,,,,,               -508473,,               -508473,,                -84746,                -84746,               -593219,                   -907,,                570410,                 21902,,                  3595,                 -4502,,                              0.33,                              0.33,,                              0.33,                              0.33,,,                              0,,,,,,,,,,,,,,,,,,,,,,
2923,2014年第3季,,              1472336,,                650170,                822166,                              0,                              0,                822166,,,                 56642,,                 84132,                140774,,              2319403,              3000795,,,                 22334,,                 28627,,                246208,               -195247,              2805548,,              1293501,              1512047,              1512047,,,                              0,                              0,                              0,                              0,                              0,,                              0,              1257498,                              0,              1257498,,                 61130,                 61130,              1318628,              2830675,,              1491039,                 21008,,              2739501,                 91174,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,,,,,,,,
2923,2014年第2季,,              1496474,,                665570,                830904,                              0,                              0,                830904,,,                 52444,,                115775,                168219,,                              0,                662685,,,                 21937,,                 57186,,                249399,               -170276,                492409,,                257223,                235186,                235186,,,,,,,,,,               -546144,,               -546144,,               -391116,               -391116,               -937260,               -702074,,                211587,                 23599,,               -671710,                -30364,,                              0.12,                              0.12,,                              0.12,                              0.12,                257223,,,,,,,,,,,,,,,,,,,,,,,,
2923,2014年第1季,,              1375389,,                599360,                776029,,,                776029,,,                 47929,,                 78653,                126582,,,                649447,,,                 18066,,                 -8091,,                231832,               -221857,                427590,,                154475,                273115,                273115,,,,,,,,,,,,,,,,               -167436,                105679,,                249333,                 23782,,                 84656,                 21023,,,                              0.14,,,                              0.14,,,,               -167436,,,,                 18066,,,,,,,,,,,              1375389,,                              0,,                599360,                 18066,                231832
2923,2014年度,,              7687342,,              3711091,              3976251,                              0,                              0,              3976251,,,                256350,,                387331,                643681,,              4572518,              7905088,,,                 86606,,                 73341,,                977094,               -817147,              7087941,,              3966699,              3121242,              3121242,,,,,,,,,,,,,,,,              2040338,              5161580,,              2898663,                222579,,              4838699,                322881,,                              1.67,                              1.67,,                              1.66,                              1.66,,,                              0,              2040338,                              0,                              0,,,,,,,,,,,,,,,,,,,
2923,2014年01月01日至2014年09月30日,,              4344199,,              1915100,              2429099,                              0,                              0,              2429099,,,                157015,,                278560,                435575,,              2319403,              4312927,,,                 62337,,                 77722,,                727439,               -587380,              3725547,,              1705199,              2020348,              2020348,,,                              0,                              0,                              0,                              0,                              0,,                              0,                666794,                              0,                666794,,               -452862,               -452862,                213932,              2234280,,              1951959,                 68389,,              2152447,                 81833,,                              1.12,                              1.12,,                              1.12,                              1.12,,,,,,,,,,,,,,,,,,,,,,,,,
