證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
3015,2015年第3季,,,,              3486720,              3486720,                  5288,                 11470,              3469962,              3469962,,              3077097,                392865,                   -330,                393195,,,                152164,,                146941,,                111935,                411040,                -17845,,,                119098,,                 68667,,                  1184,,                 -1168,                185413,                167568,,                 17498,                150070,,                              0,                150070,,,                 88253,                363084,                451337,                451337,                601407,,                147388,                  2682,,                596310,                  5097,,                              0.70,,                              0.70,,,,,,,
3015,2015年第2季,,,,              3396748,              3396748,                 10744,                  8890,              3377114,              3377114,,              3047489,                329625,                    582,                329043,,,                159331,,                154718,,                114875,                428924,                -99881,,,                 48535,,                  1401,,                  1859,,                 -2114,                 45963,                -53918,,                  4694,                -58612,,                              0,                -58612,,,                -49727,                480164,                430437,                430437,                371825,,                -53505,                 -5107,,                396234,                -24409,,                             -0.23,,                             -0.23,,                              0,,,,,
3015,2015年01月01日至2015年09月30日,,,,             10308934,             10308934,                 25239,                 29398,             10254297,             10254297,,              9186349,              1067948,                    101,              1067847,,,                481905,,                441903,,                343680,              1267488,               -199641,,,                196430,,                160649,,                  4965,,                 -4000,                348114,                148473,,                 40419,                108054,,                              0,                108054,,,                 16438,                909029,                925467,                925467,              1033521,,                116705,                 -8651,,              1059808,                -26287,,                              0.52,,                              0.51,,,,,,,
3015,2015年01月01日至2015年06月30日,,,,              6822214,              6822214,                 19951,                 17928,              6784335,              6784335,,              6109252,                675083,                    431,                674652,,,                329741,,                294962,,                231745,                856448,               -181796,,,                 77332,,                 91982,,                  3781,,                 -2832,                162701,                -19095,,                 22921,                -42016,,                              0,                -42016,,,                -71815,                545945,                474130,                474130,                432114,,                -30683,                -11333,,                463498,                -31384,,                             -0.13,,                             -0.13,,                              0,,,,,
3015,2015年01月01日至2015年03月31日,,,,              3425466,              3425466,                  9207,                  9038,              3407221,              3407221,,              3061763,                345458,                   -151,                345609,,,                170410,,                140244,,                116870,                427524,                -81915,,,                 28797,,                 90581,,                  1922,,                   -718,                116738,                 34823,,                 18227,                 16596,,                              0,                 16596,,,                -22088,                 65781,                 43693,                 43693,                 60289,,                 22822,                 -6226,,                 67264,                 -6975,,                              0.10,,                              0.10,,,,,,,
3015,2014年第3季,,,,              4453386,              4453386,                  1405,                  7588,              4444393,              4444393,,              3867442,                576951,                     84,                576867,,,                212465,,                152715,,                112251,                477431,                 99436,,,                 87728,,                 19028,,                  1172,,                      6,                105590,                205026,,                 33957,                171069,,                              0,                171069,,,                 46500,                121918,                168418,                168418,                339487,,                165054,                  6015,,                339451,                     36,,                              0.70,,                              0.70,,,,,,,
3015,2014年第2季,,,,              4111591,              4111591,                  6363,                  9768,              4095460,              4095460,,              3569217,                526243,                    -27,                526270,,,                213653,,                140696,,                112358,                466707,                 59563,,,                 44751,,                -16924,,                  1102,,                    340,                 27065,                 86628,,                 29523,                 57105,,                              0,                 57105,,,                -37678,                284170,                246492,                246492,                303597,,                 67419,                -10314,,                313142,                 -9545,,                              0.29,,                              0.29,,                              0,,,,,
3015,2014年度,,,,             15844822,             15844822,                 33721,                 36841,             15774260,             15774260,,             13705924,              2068336,                     50,              2068286,,,                824828,,                604954,,                443684,              1873466,                194820,,,                257841,,                 96986,,                  4881,,                  1055,                351001,                545821,,                135812,                410009,,                              0,                410009,,,,,,              1188351,              1598360,,                401263,                  8746,,              1585906,                 12454,,                              1.71,,                              1.70,,,                 81944,              1104516,                  2278,                    387,
3015,2014年01月01日至2014年09月30日,,,,             12077964,             12077964,                 23820,                 25743,             12028401,             12028401,,             10462447,              1565954,                    281,              1565673,,,                617053,,                445375,,                328588,              1391016,                174657,,,                200147,,                 50163,,                  3305,,                    768,                247773,                422430,,                104044,                318386,,                              0,                318386,,,                  2556,                802929,                805485,                805485,              1123871,,                335135,                -16749,,              1146996,                -23125,,                              1.43,,                              1.42,,,,,,,
3015,2014年01月01日至2014年06月30日,,,,              7624578,              7624578,                 22415,                 18155,              7584008,              7584008,,              6595005,                989003,                    197,                988806,,,                404588,,                292660,,                216337,                913585,                 75221,,,                112419,,                 31135,,                  2133,,                    762,                142183,                217404,,                 70087,                147317,,                              0,                147317,,,                -43944,                681011,                637067,                637067,                784384,,                170081,                -22764,,                807545,                -23161,,                              0.73,,                              0.72,,                              0,,,,,
